transient,anchor,phi,tau_s,kappa,nu,rmax,sigma,rho,logJ,ll_flow,ll_prior,flow_win,flow_win_deficit,rate_modern_mm_yr,flow_1900_1919,flow_1920_1949,flow_1950_1979,flow_1980_1999,flow_2000_2023,S1900_mm,inv_z,S2020_mm,com1p2,com1p5,com2p0,com3p0,sens_mm,ds126,ds245,ds585,spread,g_s1900,g_inv,g_lad,g_spread,npass,feasible,arm,kappa_f,kappa_s
P,pub,0.30000,700.00000,0.02492,0.50000,,0.08837,0.99000,-50.28957,-46.39848,-9.33422,33.90497,18.91606,0.71300,-43.08710,-36.96371,-8.17299,9.53857,22.68353,21.55487,0.67528,65.43228,50.59211,57.67036,67.28664,80.46173,72.37803,5.59880,6.61681,8.10468,2.50588,True,True,True,False,3,False,P_grid,,
P,pub,0.30000,700.00000,0.02367,1.00000,,0.08824,0.99000,-50.28440,-46.45908,-9.25959,33.80910,19.01192,0.78122,-43.06073,-36.83797,-8.21646,9.53796,22.58540,19.64781,0.70856,64.70069,50.70568,57.76765,67.36183,80.50664,72.37803,5.72007,6.86027,8.56392,2.84385,True,True,True,False,3,False,P_grid,,
P,pub,0.30000,700.00000,0.02115,1.50000,,0.08865,0.99000,-50.57590,-46.68209,-9.27775,33.40786,19.41316,0.83839,-42.88437,-36.66175,-8.25912,9.50056,22.21726,17.81513,0.73845,64.08072,50.80150,57.84975,67.42528,80.54453,72.37803,5.80410,7.02079,8.83321,3.02911,True,True,True,False,3,False,P_grid,,
P,pub,0.30000,1000.00000,0.50000,0.50000,,0.11770,0.99000,-67.21104,-57.45775,-13.76209,21.37918,31.44184,0.75773,-40.44708,-36.25294,-9.90430,5.98352,13.61647,35.87941,0.49141,79.65468,48.27562,55.68573,65.75287,79.54567,72.37803,4.02542,5.28236,6.80499,2.77957,False,True,True,False,2,False,P_grid,,
P,pub,0.30000,1000.00000,0.02540,1.00000,,0.09583,0.99000,-53.95059,-48.75491,-10.57601,32.28960,20.53143,0.73508,-43.55945,-37.37820,-8.75858,8.95891,21.62334,18.87346,0.77188,60.10322,51.40754,58.36896,67.82654,80.78419,72.37803,5.15871,6.26541,7.91063,2.75192,True,True,True,False,3,False,P_grid,,
P,pub,0.30000,1000.00000,0.02277,1.50000,,0.09588,0.99000,-54.16561,-48.88336,-10.59165,32.03575,20.78527,0.79018,-43.43873,-37.22479,-8.79410,8.94371,21.38147,17.00936,0.80182,59.45778,51.50448,58.45202,67.89073,80.82252,72.37803,5.23851,6.41821,8.16831,2.92980,True,True,True,False,3,False,P_grid,,
P,pub,0.40000,150.00000,0.00837,0.50000,,0.04286,0.99000,-34.74775,-30.60396,-9.49637,40.42655,12.39447,1.00979,-35.79385,-31.45513,-4.61548,13.29248,25.84341,27.05249,0.23009,97.34951,45.07151,52.94065,63.63141,78.27862,72.37803,9.45823,10.78190,12.83221,3.37398,True,True,True,False,3,False,P_grid,,
P,pub,0.40000,150.00000,0.00660,1.00000,,0.05199,0.99000,-37.32037,-33.35469,-9.47840,37.81048,15.01054,1.09957,-35.71702,-31.61541,-5.01811,12.59320,23.82980,24.59592,0.29310,94.89085,45.54026,53.34224,63.94177,78.46398,72.37803,9.95859,11.60816,14.31156,4.35296,True,True,True,False,3,False,P_grid,,
P,pub,0.40000,150.00000,0.00493,1.50000,,0.06011,0.99000,-39.95897,-35.93203,-9.61410,35.45137,17.36966,1.18572,-35.67416,-31.78915,-5.38291,11.98260,22.00973,22.47646,0.34941,92.80074,45.93250,53.67829,64.20147,78.61909,72.37803,10.31491,12.19158,15.27968,4.96477,True,True,True,True,4,False,P_grid,,
P,pub,0.40000,300.00000,0.01525,0.50000,,0.05318,0.99000,-38.96783,-35.25509,-9.11669,40.20919,12.61183,0.93843,-39.59497,-33.84564,-5.56062,12.35277,26.37205,25.86795,0.37299,87.49418,46.90342,54.51011,64.84433,79.00304,72.37803,8.12185,9.42205,11.40283,3.28098,True,True,True,False,3,False,P_grid,,
P,pub,0.40000,300.00000,0.01316,1.00000,,0.05992,0.99000,-40.52724,-37.01866,-9.04219,37.79949,15.02153,1.03653,-38.92856,-33.50146,-5.84073,11.87672,24.39872,23.12561,0.42931,85.72356,47.21967,54.78105,65.05372,79.12810,72.37803,8.42755,9.96498,12.38321,3.95566,True,True,True,False,3,False,P_grid,,
P,pub,0.40000,300.00000,0.01100,1.50000,,0.06666,0.99000,-42.43983,-38.92170,-9.08764,35.27290,17.54812,1.12850,-38.21224,-33.21126,-6.11183,11.38495,22.32996,20.79572,0.47464,84.62699,47.41364,54.94724,65.18215,79.20481,72.37803,8.62983,10.31596,12.94933,4.31950,True,True,True,False,3,False,P_grid,,
P,pub,0.40000,463.00000,0.01822,0.50000,,0.06570,0.99000,-42.90820,-39.32281,-9.00494,38.25372,14.56730,0.87702,-41.25362,-35.18902,-6.63715,11.28658,25.38244,25.01405,0.47186,80.47004,48.13621,55.56629,65.66057,79.49055,72.37803,7.23137,8.49875,10.40908,3.17771,True,True,True,False,3,False,P_grid,,
P,pub,0.40000,463.00000,0.01633,1.00000,,0.06928,0.99000,-43.75188,-40.34144,-8.92566,36.78058,16.04044,0.97475,-40.78326,-34.86352,-6.78194,11.04895,24.12893,22.34355,0.52333,79.05205,48.37817,55.77359,65.82077,79.58623,72.37803,7.47972,8.95670,11.24438,3.76467,True,True,True,False,3,False,P_grid,,
P,pub,0.40000,463.00000,0.01398,1.50000,,0.07369,0.99000,-45.06656,-41.63514,-8.95675,34.88139,17.93964,1.06210,-40.13020,-34.50708,-6.93510,10.74154,22.51864,19.94075,0.56695,78.05726,48.54657,55.91786,65.93227,79.65282,72.37803,7.64373,9.25007,11.72188,4.07815,True,True,True,False,3,False,P_grid,,
P,pub,0.40000,700.00000,0.02008,0.50000,,0.07590,0.99000,-46.40920,-42.49005,-9.34243,36.33930,16.48172,0.82536,-42.17013,-36.03661,-7.44468,10.45940,24.24187,24.25551,0.54954,74.88935,49.07560,56.37110,66.28255,79.86203,72.37803,6.53331,7.77273,9.62791,3.09460,True,True,True,False,3,False,P_grid,,
P,pub,0.40000,700.00000,0.01844,1.00000,,0.07781,0.99000,-46.88899,-43.11486,-9.26429,35.44436,17.37666,0.92245,-41.87864,-35.77461,-7.54521,10.33316,23.46241,21.67744,0.59757,73.71098,49.26962,56.53733,66.41101,79.93875,72.37803,6.75068,8.18538,10.38742,3.63674,True,True,True,False,3,False,P_grid,,
P,pub,0.40000,700.00000,0.01601,1.50000,,0.08069,0.99000,-47.84634,-44.03462,-9.28956,34.04906,18.77197,1.00659,-41.36307,-35.44683,-7.64563,10.13458,22.25335,19.25363,0.63997,72.77919,49.42200,56.66787,66.51190,79.99901,72.37803,6.89565,8.45003,10.82161,3.92595,True,True,True,False,3,False,P_grid,,
P,pub,0.40000,1000.00000,0.02119,0.50000,,0.08257,0.99000,-49.76660,-44.53698,-10.64846,35.01990,17.80112,0.79006,-42.67246,-36.53918,-7.95184,9.93202,23.42294,23.75097,0.60062,71.19583,49.67883,56.88792,66.68195,80.10057,72.37803,6.06463,7.28579,9.10558,3.04096,True,True,True,False,3,False,P_grid,,
P,pub,0.40000,1000.00000,0.01971,1.00000,,0.08371,0.99000,-50.07764,-44.97348,-10.57177,34.40782,18.41320,0.88638,-42.47624,-36.31430,-8.03830,9.85348,22.88131,21.22108,0.64691,70.13415,49.84959,57.03421,66.79502,80.16810,72.37803,6.26545,7.67397,9.82448,3.55903,True,True,True,False,3,False,P_grid,,
P,pub,0.40000,1000.00000,0.01725,1.50000,,0.08580,0.99000,-50.85402,-45.69941,-10.59450,33.29510,19.52592,0.96855,-42.05198,-36.01613,-8.11901,9.70737,21.90487,18.78853,0.68864,69.23309,49.99361,57.15760,66.89037,80.22505,72.37803,6.40081,7.92397,10.23679,3.83597,True,True,True,False,3,False,P_grid,,
