scenario,component,model,module,year,med,p17,p83
ssp585,ais,FACTS,ar5AIS,2100,3.984292793273926,-4.65413846206665,11.682505752563475
ssp585,ais,FACTS,larmip,2100,14.42544631958008,4.592133903503418,32.72116540527344
ssp585,ais,FACTS,deconto21,2100,28.605999755859376,9.580700096130371,50.078449401855465
ssp585,ais,FACTS,emuAIS,2100,9.235869979858398,2.877528007507325,14.158105453491212
ssp585,ais,FACTS,bamber19,2100,17.99416656494141,-0.19543332493305,60.30016870117186
ssp585,ais,BRICK-AM,extA108,2150,108.4714876757436,79.92643453798924,141.543284555359
ssp585,ais,FACTS,ar5AIS,2150,6.258302879333496,-12.604814712524414,22.81912030029297
ssp585,ais,FACTS,larmip,2150,37.44003753662109,14.23699694824219,80.14211950683594
ssp585,ais,FACTS,deconto21,2150,198.75849609375,89.08699951171876,356.27131054687476
ssp585,ais,FACTS,bamber19,2150,36.463381958007815,-1.1252078590393042,139.66789074707026
ssp585,te,BRICK-AM,extA108,2100,25.157262797863044,24.058580134320113,26.18755188835888
ssp585,te,FACTS,tlm,2100,28.818386840820313,23.950395278930667,34.819269897460934
ssp585,te,BRICK-AM,extA108,2150,46.45732453167393,44.42841314065115,48.35993512262717
ssp585,te,FACTS,tlm,2150,53.34743041992188,42.75259591674805,65.14825317382812
ssp585,lws,BRICK-AM,extA108,2100,2.596380650083528,2.596380650083528,2.596380650083528
ssp585,lws,FACTS,ssp-lws,2100,2.9554136276245115,1.6857779922485354,4.226862380981445
ssp585,lws,BRICK-AM,extA108,2150,4.2307986469202445,4.2307986469202445,4.2307986469202445
ssp585,lws,FACTS,ssp-lws,2150,4.704394340515137,2.9869464225769047,6.505680549621582
ssp585,total,BRICK-AM,extA108,2100,89.30144350528035,74.43577752762073,108.1885375681274
ssp585,total,FACTS,wf1e,2100,71.04866638183594,61.30398522949219,83.73646704101562
ssp585,total,FACTS,wf1f,2100,64.93224182128907,54.423025085449225,77.24436358642579
ssp585,total,FACTS,wf2e,2100,79.41106567382812,65.4159224243164,101.5194073486328
ssp585,total,FACTS,wf2f,2100,76.61276550292969,63.636753112792974,101.75796179199216
ssp585,total,FACTS,wf3e,2100,91.86170043945312,69.94316357421876,115.780857421875
ssp585,total,FACTS,wf3f,2100,91.85983276367188,70.59423962402344,114.9327666015625
ssp585,total,FACTS,wf4,2100,90.76986083984374,60.70895294189453,160.2202872314453
ssp585,total,BRICK-AM,extA108,2150,185.0190343694925,156.10282443408062,217.883416650551
ssp585,total,FACTS,wf1f,2150,117.07965698242188,96.71799792480468,141.48760314941407
ssp585,total,FACTS,wf2f,2150,151.70228881835936,123.63108862304688,208.412310546875
ssp585,total,FACTS,wf3f,2150,310.6564819335938,193.79719445800785,476.5996967773437
ssp585,total,FACTS,wf4,2150,162.33768310546876,113.27022985839848,306.3595112304687
