draw,cfg,avoided_glaciers_2050_cm,avoided_glaciers_2100_cm,avoided_glaciers_2150_cm,avoided_glaciers_2200_cm,avoided_glaciers_2300_cm,avoided_gis_2050_cm,avoided_gis_2100_cm,avoided_gis_2150_cm,avoided_gis_2200_cm,avoided_gis_2300_cm,avoided_ais_2050_cm,avoided_ais_2100_cm,avoided_ais_2150_cm,avoided_ais_2200_cm,avoided_ais_2300_cm,avoided_te_2050_cm,avoided_te_2100_cm,avoided_te_2150_cm,avoided_te_2200_cm,avoided_te_2300_cm,avoided_lws_2050_cm,avoided_lws_2100_cm,avoided_lws_2150_cm,avoided_lws_2200_cm,avoided_lws_2300_cm,avoided_total_2050_cm,avoided_total_2100_cm,avoided_total_2150_cm,avoided_total_2200_cm,avoided_total_2300_cm
1148,cfg_0458,0.007751810755202371,0.047455655598623636,0.08954552445918473,0.1280643824980494,0.20337913794374884,0.006988912423455673,0.04508930510857034,0.08620889799549403,0.1334661162729347,0.2446895610655595,0.0015444006385756381,0.01454119463170045,0.040552251135483885,0.07790395252190763,0.18613103751932059,0.027597937111591975,0.13377377387354628,0.2880944471836102,0.4792636426657637,0.9502576310069131,0.0,0.0,0.0,0.0,0.0,0.04388306092882743,0.2408599292124336,0.5044011207737782,0.818698093958659,1.5844573675355633
1149,cfg_0560,0.008735155801274708,0.04620806846218173,0.0781815031097004,0.10250405312629596,0.13879287886079084,0.006040121491784234,0.030530912884277228,0.07359418726215061,0.1174471833476538,0.20642228612375746,0.0018403484416729121,0.017911904039091375,2.139710672738854,8.435439393116795,8.242104855935082,0.023184893380186367,0.11580616066042637,0.24258246976228293,0.3873806151475563,0.6971694914588937,0.0,0.0,0.0,0.0,0.0,0.03980051911491245,0.21045704604596693,2.5340688328729897,9.042771244738304,9.28448951237857
1150,cfg_0375,0.011696066674444339,0.05770500440078763,0.09160838522298675,0.11399231363447626,0.1319178667412828,0.0111935558318077,0.0836494401793253,0.2077247631099013,0.36381494100331224,0.7463128987285259,0.0026343301655753493,0.030128211213835243,0.10787222783753236,0.2552478390276747,0.8276618528125823,0.023609430475879378,0.12070328154781862,0.26837860160306093,0.45255482846404504,0.908232367302098,0.0,0.0,0.0,0.0,0.0,0.04913338314770499,0.2921859373417419,0.6755839777734991,1.1856099221295722,2.6141249855844535
1151,cfg_0055,0.007429300410833228,0.041362059177160404,0.07107347394955887,0.09636026015718002,0.13888753857239422,0.007710285146002249,0.04441841087627907,0.1095493228830442,0.17888109490681714,0.3128599034085866,0.0022450570233867317,0.02286954500131344,0.06363074419516579,0.1217945496946129,0.27798060318917805,0.022538495098658018,0.10123280055148243,0.2126912431691892,0.34765347454066386,0.6602414294742402,0.0,0.0,0.0,0.0,0.0,0.039923137678883336,0.20988281560622113,0.4569447841969918,0.7446893792993023,1.389969474644488
1152,cfg_0067,0.01052715481434241,0.05928981670347966,0.1065549064845186,0.1525251594904411,0.23645655494895124,0.009243484363297583,0.05145269937704988,0.09574211197249838,0.16679426594537716,0.2793032070664978,0.0030509892521402016,0.026810136574731303,1.723760428425038,3.413366044691287,3.459079148012563,0.01845610125433783,0.09150319554745678,0.20255483507671102,0.34215796261052134,0.6885359747471682,0.0,0.0,0.0,0.0,0.0,0.04127772968411847,0.2290558482027194,2.1286122819587376,4.074843432737623,4.66337488477518
1153,cfg_0066,0.0037857915543115794,0.021833833306541095,0.04271415484961594,0.06440011525893574,0.10643350096467685,0.004874956249677709,0.026276533999350704,0.05512728003968981,0.08869082368241266,0.1649379403073965,0.0020339756838794187,0.017827353685939684,0.047767808752352536,0.09050851567112694,0.20931316606544925,0.01576674068875228,0.0762344881958299,0.16241801355367613,0.2679067502939425,0.5293250461369468,0.0,0.0,0.0,0.0,0.0,0.026461464176620098,0.14217220918766316,0.3080272571953344,0.5115062049064107,1.0100096534744836
1154,cfg_0420,0.010049079382156378,0.06539639957290433,0.121646579730875,0.1697894612679569,0.24639469402011827,0.005672415846312617,0.04352034012845252,0.11257162698180423,0.19647157692193673,0.39966217633413237,0.0023016424466004715,2.1288386292545267,3.1563127574580534,3.147709057781668,3.1887788021669508,0.026192386656195055,0.1363551235975926,0.31045381236182834,0.5354670903908811,1.1179756361080564,0.0,0.0,0.0,0.0,0.0,0.04421552433127118,2.374110492553484,3.7009847765325787,4.049437186362439,4.95281130862918
1155,cfg_0506,0.008007102211280426,0.04019889392513498,0.07113494033122159,0.10037068470676758,0.1529825870826933,0.00439681722729901,0.02814228152977094,0.0598057598615398,0.09565515177480322,0.17343515940506293,0.0018182303717639847,0.015371816146203088,0.04038586821664225,0.07557269432658842,0.17321312905267305,0.01758636665304092,0.07562509126820594,0.16042179532461276,0.26729766239320796,0.5427536200867529,0.0,0.0,0.0,0.0,0.0,0.031808516463389225,0.1593380828693256,0.3317483637340146,0.5388961932013672,1.0423844956271608
1156,cfg_0814,0.0073826292605776445,0.05178463129572464,0.09531972698013291,0.13135021488900733,0.19093755814845537,0.007862109191881572,0.062208754833866564,0.1416244865622076,0.2274772979977655,0.4165315400066092,0.0023201096722824666,0.025815270114915023,2.452243053962235,11.97665097770296,29.736681808059444,0.025254103920424598,0.11152423297837899,0.21553544022597748,0.3225547501824444,0.5498635537819645,0.0,0.0,0.0,0.0,0.0,0.04281895204516317,0.2513328892228799,2.9047227077305564,12.65803324077217,30.89401445999647
1157,cfg_0790,0.00965586838440835,0.04975411487987458,0.08500725003846199,0.11634769809922574,0.17307815120865655,0.008505059442089902,0.04782401984076046,0.10383800718208747,0.1648287388737657,0.29730958135180785,0.0032952968368027413,0.9294686708363997,0.9770512596352461,1.0454333255297712,5.737311998504339,0.02245553405306211,0.11483334472751494,0.2517069306418662,0.4186681209044494,0.8135663941484381,0.0,0.0,0.0,0.0,0.0,0.043911758716362215,1.141880150284564,1.4176034474976689,1.7452778834072262,7.021266125213231
