year,arm,component,gmst,med,p05,p17,p83,p95,n_finite,tap_onset_K,tap_V_m,tap_tau
2212,spliced,gis,12.546722171855134,247.52295258191396,231.71899082402763,237.00473259254258,259.2501932029334,268.32911616608123,2000,6.5,2.0,50.0
2213,spliced,gis,12.456880087146091,248.396518803218,232.4984333533323,237.82499197997933,260.2144981219529,269.32776935194585,2000,6.5,2.0,50.0
2214,spliced,gis,12.478563990122158,249.19483856091557,233.2207759722463,238.56613600229412,261.1931795237108,270.3366116469002,2000,6.5,2.0,50.0
2215,spliced,gis,12.650067227944023,250.0013035618422,233.89147128009694,239.2731105728692,262.0402355496875,271.3282453379719,2000,6.5,2.0,50.0
2216,spliced,gis,12.566905473563871,250.84355469251392,234.6132267025015,240.04293655339922,262.9418233567035,272.3266739290702,2000,6.5,2.0,50.0
2217,spliced,gis,12.618002229130035,251.60682361154363,235.3437128495,240.76747512753957,263.8020057048394,273.25017241416083,2000,6.5,2.0,50.0
2218,spliced,gis,12.518873996665853,252.3535395731962,236.05999575280953,241.4955052711732,264.67006103284837,274.24348819242886,2000,6.5,2.0,50.0
2219,spliced,gis,12.558166936423962,253.03217167678145,236.690138172293,242.17655147760374,265.5432747772641,275.0734631457861,2000,6.5,2.0,50.0
2220,spliced,gis,12.616910207010886,253.7197113272719,237.29216422897275,242.84437604350524,266.29078401250376,275.96310093148935,2000,6.5,2.0,50.0
2221,spliced,gis,12.6212228971894,254.41296885199364,237.8849075113581,243.5012060376106,267.04551458787745,276.84338653027766,2000,6.5,2.0,50.0
2222,spliced,gis,12.656412183475862,255.06430857207144,238.47207313133447,244.12111834044117,267.7971447986064,277.6702249611575,2000,6.5,2.0,50.0
2223,spliced,gis,12.636148923780354,255.77413267217418,239.11760976876874,244.7368394511441,268.5455859679867,278.4399180504136,2000,6.5,2.0,50.0
2224,spliced,gis,12.735101734896396,256.4294413808684,239.67216341512383,245.30234128257703,269.21823756635786,279.1695893658447,2000,6.5,2.0,50.0
2225,spliced,gis,12.795555680070002,257.1145178963476,240.2299965436713,245.92961626226506,269.9458933981173,280.0785757752122,2000,6.5,2.0,50.0
2226,spliced,gis,12.782605235161707,257.7787295231242,240.79228212673138,246.57400707450324,270.69543580006865,280.88915533693745,2000,6.5,2.0,50.0
2227,spliced,gis,12.858822812608445,258.4690374878603,241.3384804429675,247.20803565988444,271.37900371842704,281.6385017992551,2000,6.5,2.0,50.0
2228,spliced,gis,12.794115426976514,259.10828192336135,241.9464325867732,247.82766803433827,272.09589251394647,282.40311124263945,2000,6.5,2.0,50.0
2229,spliced,gis,12.796393860718998,259.75948545258075,242.4949548074099,248.41048513599443,272.81945062642285,283.16272547199554,2000,6.5,2.0,50.0
2230,spliced,gis,12.872334525630247,260.3849769582057,242.99787112498393,248.98169983532614,273.50750050436534,283.96731112838626,2000,6.5,2.0,50.0
2231,spliced,gis,12.96001641820641,261.04914076390617,243.48865535446456,249.55391597754,274.186278742045,284.7495001232442,2000,6.5,2.0,50.0
2232,spliced,gis,12.881443649398573,261.73058869743033,244.00070554438682,250.10918933592262,274.92527351857774,285.55151548173046,2000,6.5,2.0,50.0
2233,spliced,gis,12.977571887810125,262.2997083575751,244.45774480185662,250.64857269837302,275.5120124665643,286.2504903112821,2000,6.5,2.0,50.0
2234,spliced,gis,13.048262821814642,262.9230005024119,245.02757199541077,251.25733888530044,276.15821861515303,287.05243186554026,2000,6.5,2.0,50.0
2235,spliced,gis,12.974534021845843,263.52669168015177,245.60769271266463,251.82649694350295,276.8413585056679,287.83821951537817,2000,6.5,2.0,50.0
2236,spliced,gis,12.87752251416032,264.09609818178126,246.13810955412032,252.32301505594467,277.4319727609371,288.5653197703709,2000,6.5,2.0,50.0
2237,spliced,gis,12.937932936867186,264.6014504601111,246.5238966192729,252.77097606015414,278.01213409516697,289.1948598299479,2000,6.5,2.0,50.0
2238,spliced,gis,12.939515155696634,265.14076158773497,247.00120011991316,253.28695593600338,278.5958287971331,289.894611758213,2000,6.5,2.0,50.0
2239,spliced,gis,12.953352792093845,265.635188298736,247.41978982702557,253.81570727841705,279.18053601061223,290.6266404139601,2000,6.5,2.0,50.0
2240,spliced,gis,12.927569425619104,266.10499704030065,247.82325276007754,254.2669763008575,279.69710251660297,291.229115240951,2000,6.5,2.0,50.0
2241,spliced,gis,12.946392437852943,266.5749043744711,248.1849234199755,254.685354729348,280.2522706228687,291.83785884982444,2000,6.5,2.0,50.0
2242,spliced,gis,13.028324595742903,267.0474767413682,248.59903852456523,255.1117382450358,280.75582590258057,292.37048813794195,2000,6.5,2.0,50.0
