marker,specie,pulse_Gt,arm,horizon,component,median_cm,mean_cm,per_Gt_median,per_Gt_mean,p_fired,smooth_term_cm,premium_cm
M,CO2,1.0,P1p0,2300,total,0.015463585751149367,0.04621526876112595,0.015463585751149367,0.04621526876112595,0.0285,0.018841762632377284,0.027373506128748667
M,CO2,1.0,P1p0,2300,ais,0.004436907033507964,0.032789378564500954,0.004436907033507964,0.032789378564500954,0.0285,0.005726119813701916,0.02706325875079904
M,CO2,3.0,P3p0,2100,total,0.022226656520636823,0.0510319409215014,0.007408885506878941,0.0170106469738338,0.0275,0.007500289725056324,0.009510357248777478
M,CO2,3.0,P3p0,2100,ais,0.002628356706897428,0.030732815515964202,0.0008761189022991426,0.010244271838654733,0.0275,0.0009294140409324164,0.00931485779772232
M,CO2,3.0,P3p0,2150,total,0.02981393378963304,0.07796526557034564,0.00993797792987768,0.02598842185678188,0.0465,0.009945514746339278,0.016042907110442598
M,CO2,3.0,P3p0,2150,ais,0.005097603984943966,0.052534442023643324,0.0016992013283146552,0.017511480674547775,0.0465,0.0018542015604059248,0.015657279114141855
M,CO2,3.0,P3p0,2300,total,0.04791823473291856,0.12852997731757607,0.015972744910972853,0.04284332577252536,0.0685,0.018151449379294655,0.02469187639323069
M,CO2,3.0,P3p0,2300,ais,0.014037792407734173,0.08825106907587303,0.004679264135911391,0.02941702302529101,0.0685,0.005546899960897157,0.023870123064393855
M,CO2,10.0,P10p0,2100,total,0.07532109168016632,0.16865989210293122,0.007532109168016632,0.01686598921029312,0.093,0.006955477640259904,0.009910511570033215
M,CO2,10.0,P10p0,2100,ais,0.009000848052180821,0.10099271382304513,0.0009000848052180821,0.010099271382304513,0.093,0.0008533990114638904,0.009245872370840623
M,CO2,10.0,P10p0,2150,total,0.10449927312190255,0.24986035008675114,0.010449927312190254,0.024986035008675113,0.1505,0.008846764356814502,0.01613927065186061
M,CO2,10.0,P10p0,2150,ais,0.01819903975960102,0.1650893259614175,0.0018199039759601021,0.01650893259614175,0.1505,0.001642687282011075,0.014866245314130675
M,CO2,10.0,P10p0,2300,total,0.18647247114424204,0.4358017046758886,0.018647247114424205,0.04358017046758886,0.203,0.015762501785884085,0.027817668681704776
M,CO2,10.0,P10p0,2300,ais,0.05519739335417739,0.30151047693516375,0.00551973933541774,0.030151047693516377,0.203,0.004819914980849481,0.025331132712666897
M,CO2,30.0,P30p0,2100,total,0.2459604429251101,0.5287166378124947,0.008198681430837003,0.017623887927083155,0.3,0.005242676785527659,0.012381211141555494
M,CO2,30.0,P30p0,2100,ais,0.030367438944567393,0.3256902253888338,0.001012247964818913,0.01085634084629446,0.3,0.0006275405011626098,0.01022880034513185
M,CO2,30.0,P30p0,2150,total,0.47458180257194726,0.7794421451174881,0.01581939341906491,0.025981404837249603,0.4675,0.00547973142823525,0.020501673409014338
M,CO2,30.0,P30p0,2150,ais,0.12445272630402826,0.5251176160251686,0.004148424210134275,0.017503920534172285,0.4675,0.0010168831103372653,0.016487037423835022
M,CO2,30.0,P30p0,2300,total,1.1069479949089498,1.3249697698803757,0.036898266496964996,0.044165658996012526,0.5515,0.009123821909012576,0.03504183708699995
M,CO2,30.0,P30p0,2300,ais,0.71938855682248,0.9218943966078675,0.023979618560749334,0.03072981322026225,0.5515,0.0028595661716022966,0.027870247048659955
M,CO2,1.0,real1Gt,2100,total,0.0073989303187218525,0.01747725852042656,0.0073989303187218525,0.01747725852042656,0.0095,0.007652099222701083,0.009825159297725478
M,CO2,1.0,real1Gt,2100,ais,0.0008693675607052143,0.010710264305760804,0.0008693675607052143,0.010710264305760804,0.0095,0.0009483667081934676,0.009761897597567336
