year,model,member,scenario,tas_global_K,gsat_anom_C,gsat_anom_C_11yr,gis_anom_C,gis_anom_C_11yr,amp_11yr,source,basis
1879,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.984529698391,0.004832562908347882,-0.00932686484963018,0.6191712785244476,-0.016208026936699194,1.7377786853362478,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1880,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0615777550095,0.08188061952688486,-0.05284325225186525,-0.3451437415513112,-0.09176922251554163,1.7366308583382541,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1881,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.9695358121661,-0.010161323316538073,-0.07519928261722891,-1.4806909194921047,-0.16763689324816833,2.229235272116293,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1882,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.8149969190817,-0.164700216400945,-0.11332863914590648,-0.5971169056346639,-0.3049594496459091,2.6909301297908024,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1883,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.72548923869823,-0.2542078967844077,-0.1529591352150419,0.0012823159034383025,-0.23831965740452368,1.5580609622921526,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1884,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.5717880095839,-0.4079091258987546,-0.18297389480459392,-0.5341288995541902,-0.32257836715275157,1.7629748084952095,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1885,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.6530753733295,-0.3266217621531382,-0.18654626068661173,0.28392098992716797,-0.4500652603920669,2.412620112220602,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1886,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.7931530741501,-0.18654406133254042,-0.2099335250906103,-0.49810403355797916,-0.4187201287936711,1.994536740203574,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1887,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.73257080906257,-0.24712632642007293,-0.206105414978114,-1.0358567584800085,-0.32181447325782064,1.5614071725965746,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1888,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.73044843293366,-0.24924870254898224,-0.20569411411264582,0.4337177404422903,-0.26683294067332886,1.2972317745912803,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1889,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.72679052505225,-0.25290661043038654,-0.18265932790424957,-0.3954131052073535,-0.23990746404292776,1.3134147967996892,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1890,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.9452336736888,-0.03446346179384818,-0.13429541733229786,-0.7831845471080214,-0.1643903674458019,1.2240951382506056,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1891,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.80431784656554,-0.17537928891709953,-0.11264734116554109,-0.00034729396895727405,-0.305857775639569,2.715179714628996,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1892,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.01164502340356,0.0319478879209214,-0.09712393224242016,-0.4147287085977496,-0.2785941646773541,2.868439922531003,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1893,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.81952122860184,-0.16017590688079508,-0.07597531399080087,0.007679952794745759,-0.15008293071637074,1.9754170510508564,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1894,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.9788718869906,-0.0008252484920490133,-0.041347941646578915,0.2974625588378501,-0.06214447832320502,1.5029642552556612,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1895,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.10379102587535,0.12409389039271446,-0.00238191357669848,0.2965591630141944,-0.007812603980500977,3.2799695408470115,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1896,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.8912042111638,-0.08849292431881395,0.0034708224244985268,-1.27222050020427,0.13413513104242208,38.6464977567391,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1897,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.9639105723044,-0.015786563178210145,0.020698648098387326,-0.19820431297361552,0.04294484701052232,2.0747657917749827,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1898,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.9652056098304,-0.014491525652260862,0.018901229289709096,0.37776681509080845,0.12948518113329174,6.850622208143406,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1899,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.1113495287201,0.13165239323745936,0.03020131159351277,1.4010407167671133,0.0874497863264103,2.8955625339528126,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1900,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.15541683382094,0.17571969833829826,0.022408416721553047,0.20223751256239098,0.09761043778805795,4.355972088566769,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1901,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.00961376970196,0.029916634219318894,0.00273643041652411,0.7782405381441322,0.02275366438357971,8.31508970452172,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1902,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.9938239289783,0.014126793495677248,0.0015009862669950796,-1.0034404183198546,0.22924097729300674,152.72689852915104,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1903,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.9918734165081,0.012176281025460867,0.012318408290990523,0.537214966752714,0.32934798908623136,26.736245568927192,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1904,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.9438221339437,-0.03587500153895462,0.023907634773236583,-0.45470939008095,0.31654596776335936,13.240371570244871,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1905,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.89315004339903,-0.086547092083606,0.021685644373803825,0.4092297249159742,0.3259230945837663,15.02944016630099,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1906,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.88739917652003,-0.09229795896260384,0.019577944589839677,-0.5268653444350662,0.4066988799053645,20.77331856973526,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1907,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.877614325519,-0.10208280996363328,0.023408669325781582,0.9991399417994273,0.28528047303308574,12.186958133450442,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1908,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0829022145684,0.10320507908573973,0.015165171132940197,0.9029728167518556,0.36094162736864116,23.800695963439644,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1909,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0926871011351,0.11298996565244579,0.008871545211982058,0.23694458053921608,0.2974273650942843,33.525993272578255,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1910,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.08690763432634,0.10721049884369904,0.02171290271415542,1.5041891117915895,0.29892426532620936,13.76712590027541,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1911,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.13223213619733,0.15253500071469261,0.05256788249286873,1.0907711510999718,0.23991684151787301,4.563943422115581,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1912,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0517517417973,0.07205460631467986,0.07000303209127362,-0.5573619374509349,0.1319736447726014,1.8852561214852415,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1913,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.90314544885706,-0.07655168662557799,0.08611180760253877,-0.17116772062874475,-0.04937261448939849,-0.5733547566122962,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1914,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.92264353137756,-0.05705360410507865,0.07385251250028867,-0.16144191826521137,-0.12162226783759035,-1.6468264073902017,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1915,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0850770664676,0.10537993098495235,0.07429884798410119,-0.4382434875297747,-0.08777350724562377,-1.1813575799237956,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1916,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.2325548209649,0.2528576854822404,0.0882541734502421,-0.23985193697572527,-0.11768642854209009,-1.3334942013642217,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1917,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0791858221025,0.09948868661984989,0.06599639737402185,-1.714240508633054,-0.10033009771465179,-1.5202359781254469,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1918,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0548108561429,0.07511372066028343,0.04502688242573847,-0.9956689100825713,0.03596632918444181,0.7987745819124837,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1919,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.9480499684436,-0.03164716703901149,0.06235981394022164,0.10822662992174514,-0.06893559472135022,-1.1054490122025082,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1920,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.097596791457,0.11789965597438368,0.0708342538581519,0.6092809470508485,-0.16950693968813238,-2.3930080498564443,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1921,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.2404162144539,0.260719078971249,0.07466397193781983,1.17514697753046,-0.13142392907325665,-1.7602054332537589,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1922,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.8873965993589,-0.09230053612373013,0.055316029962294906,1.281690790201793,-0.0519912064362028,-0.9398940320128106,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1923,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.8210870773662,-0.15861005811643736,0.0557224689121602,0.9418987584390948,0.08736056581451573,1.5677798834116488,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1924,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0938076955164,0.11411056003373687,0.07058539427205543,-1.325088883592457,0.28121312174270297,3.984012905826248,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1925,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0158623704748,0.03616523499215418,0.08135575170301866,-1.2677267128998153,0.2311227169828488,2.8408896991885717,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1926,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.12720396534394,0.1475068298612996,0.06632912916021186,-0.019330370766141414,0.046821234472681474,0.7058924949789274,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1927,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0197274592341,0.04003032375146631,0.056002217714654474,0.633908012031867,-0.11277562754603113,-2.013770742449015,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1928,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.083656650551,0.10395951506836809,0.08744198883463965,-0.1813710138751503,-0.18080904386218064,-2.067759966028519,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1929,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.21830303510177,0.23860589961913092,0.12592019252792852,1.136709205127488,-0.3312299319654864,-2.630475107413937,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1930,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0665239001842,0.08682676470158412,0.1294529748312553,-0.44276782243665025,-0.15040296458531863,-1.1618347495016788,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1931,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.93230394348615,-0.04739319199649117,0.14696057902981155,-1.4180353605609923,-0.011096161239405237,-0.07550433805214074,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1932,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.12682018855276,0.14712305307011775,0.17045707663166612,-0.5804185046753787,-0.15000928602862276,-0.8800414097959208,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1933,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.23323408167875,0.2535369461961068,0.19839391605786327,0.5333232107241486,-0.12251085238392534,-0.6175131517046824,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1934,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.2443473179924,0.26465018250974026,0.2071747644708146,-0.7127310106972686,-0.10354149189339007,-0.49977849453752515,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1935,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.13266830085297,0.15297116537033162,0.19736773728442875,0.6640077575893883,-0.04265170883666707,-0.2161027401109698,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1936,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.2084460166589,0.2287488811762728,0.21492885705510967,0.26464812390523207,0.02567929319257897,0.11947810798619085,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1937,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.38566543896434,0.4059683034816999,0.2676253887998221,-1.5473747434475342,0.09279729714805285,0.3467432501983703,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1938,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.3270326929223,0.34733555743963507,0.2978299704579916,0.9363907821235387,0.03757519912285416,0.12616325705929612,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1939,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.18024598309347,0.20054884761083258,0.3051430079090768,0.02729195152073771,0.08542729916037604,0.2799582390753346,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1940,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.1104257360515,0.13072860056888658,0.31250001748205397,1.806496818751441,0.17735020922733147,0.5675206377788962,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1941,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.2596962176617,0.2799990821790743,0.3236037485360415,0.30887319988505624,0.1798837825739926,0.5558766960759046,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1942,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.511965792678,0.5322686571953454,0.3362412889173511,-0.6797373170507797,0.26392971374891194,0.7849414169173806,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1943,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.4590705867926,0.4793734513099821,0.34126526791397344,-1.1878615829525643,0.4383147604033091,1.2843813936371633,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1944,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.3136774936407,0.33398035815804406,0.34549246872757583,1.0596963111368893,0.353430878441791,1.02297708469146,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1945,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.3252744232951,0.345577287812489,0.35069875750310653,0.2984210000392409,0.39138937846155125,1.1160272743711797,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1946,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.25480934244683,0.27511220696419514,0.37663631338556963,0.6918770644026608,0.3135225624883498,0.8324278656779196,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1947,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.3474589608533,0.36776182537067825,0.4018882093261802,1.1891533668293448,0.413572550978162,1.02907361146915,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1948,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.4409292079272,0.46123207244454534,0.3937105632279192,0.37086076975083415,0.4959073373090374,1.2595733608040292,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1949,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.3735319018719,0.3938347663892614,0.37985719436775606,0.0026680805468402014,0.6292092567339839,1.6564363293980933,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1950,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.2375151596243,0.2578180241416703,0.3908510677752743,0.4448354517381006,0.6877035694808895,1.759502854617491,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1951,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.3957388507586,0.41604171527598055,0.4040549960686545,0.9499618430462249,0.755113193082818,1.8688376593034721,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1952,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.53746707300843,0.5577699375257907,0.43370777718730963,1.4094230732729898,0.8466336542271051,1.9520831738773758,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1953,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.4220116855971,0.4423145501144745,0.45699553730630976,0.22594533258885008,0.9392889119608635,2.0553568586191413,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1954,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.3066835293308,0.3269863938481876,0.4499963938457757,0.2784595307218467,0.9869568952031784,2.193255120931995,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1955,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.4346101011234,0.45491296564074446,0.45703465062692056,1.7031337513528513,1.046258309069613,2.2892319162987893,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1956,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.4705176345223,0.4908204990396712,0.47766745214939665,1.0399268596604543,1.0174507107228123,2.1300398554360607,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1957,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.58098993475204,0.6012927992694017,0.5044042330481592,1.6986021369898197,1.0052093113215248,1.992864542882514,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1958,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.6036243221623,0.6239271866796798,0.5005134225971904,2.2083612019006864,0.9868166580015931,1.9716087790032675,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1959,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.3639386298613,0.3842414943786707,0.4964774965268775,0.8952085854162988,1.1066662863570478,2.229036147859195,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1960,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.4509527264645,0.47125559098185477,0.507261917060005,0.6549836330776202,1.296186481274581,2.5552607788635795,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1961,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.46447597637155,0.4847788408889073,0.5074199550884683,0.12795186992329377,1.28138021187733,2.525285415024568,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1962,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.689843440645,0.7101463051623682,0.5059285396382465,0.815306449632061,1.23132873955893,2.433799722860793,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1963,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.4946681580478,0.5149710225651347,0.4943988667217086,1.2071038867537425,1.190354350005544,2.4076801751157344,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1964,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.37761649882367,0.39791936334103184,0.48807743541186194,1.5442912444988508,1.108716101926637,2.271598769959631,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1965,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.42531215519523,0.44561501971259077,0.48589917886962747,2.3631816748147116,1.161865551134161,2.391165907785786,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1966,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.4363485194365,0.4566513839538402,0.4792363426959541,1.5402647879830909,1.1907104524451417,2.4845996565009556,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1967,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.45411206456987,0.4744149290872315,0.48347757936192115,0.4893606641580561,1.221583239028343,2.5266595415666453,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1968,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.4541635326701,0.4744663971874843,0.4813292836748918,1.2478838519025715,1.2746388331991547,2.648163900329186,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1969,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.534088577754,0.5543914422713669,0.47389088781849603,1.31034047303271,1.2451377343647012,2.627477688158458,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1970,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.33997780789673,0.3602806724140919,0.4747989423136429,1.4798525266990623,1.1361959873086909,2.3930044615772164,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1971,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.3776615285541,0.3979643930714474,0.4854043333857796,0.9722775474984076,0.9877629029255853,2.0349280692155496,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1972,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.5111295796972,0.5314324442145448,0.4944667667990643,0.46755252233850797,0.8933421577488952,1.8066778552822769,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
