year,before_ais,after_ais,before_gsic,after_gsic,before_gis,after_gis,before_te,after_te,before_lws,after_lws,before_total,after_total,lws_fred
1861,-5.839099143141753,-0.9879190966227467,-3.8768906426847662,-7.77340150269732,-6.661753090998774,-6.661753090998774,-4.434096177249507,-4.754545596633813,0.0,0.0,NaN,NaN,NaN
1862,-5.791428019987361,-0.9810787531303153,-3.861069241494331,-7.725219524512893,-6.612602397558815,-6.612602397558815,-4.413021589143765,-4.731947960932285,0.0,0.0,NaN,NaN,NaN
1863,-5.743675346410089,-0.9743420327411487,-3.845749300173833,-7.677727763137644,-6.563556451441938,-6.563556451441938,-4.3956998502559115,-4.713374390566841,0.0,0.0,NaN,NaN,NaN
1864,-5.6956949656452105,-0.9676293176674176,-3.8311060863451623,-7.631140506687103,-6.514637099106919,-6.514637099106919,-4.49630705260976,-4.821252413915865,0.0,0.0,NaN,NaN,NaN
1865,-5.646387528499814,-0.9615978715645899,-3.8216030103204996,-7.590967940080461,-6.466401809120798,-6.466401809120798,-4.539618045142758,-4.867693465395568,0.0,0.0,NaN,NaN,NaN
1866,-5.59625561697958,-0.9552722031909153,-3.813535827728364,-7.552616983351047,-6.418386549527961,-6.418386549527961,-4.524591176151506,-4.851580613770896,0.0,0.0,NaN,NaN,NaN
1867,-5.546758086815025,-0.9486231639095231,-3.80303929806521,-7.511317786832396,-6.370109544158693,-6.370109544158693,-4.490228211332571,-4.8147342584966415,0.0,0.0,NaN,NaN,NaN
1868,-5.497921063998053,-0.941844804091718,-3.790556422621397,-7.467625939256145,-6.321625708425566,-6.321625708425566,-4.453372924507054,-4.775215462628386,0.0,0.0,NaN,NaN,NaN
1869,-5.449471431058224,-0.9350364120692565,-3.777040741926559,-7.422722589408994,-6.273054073858104,-6.273054073858104,-4.415518699941389,-4.734625536400328,0.0,0.0,NaN,NaN,NaN
1870,-5.401247431474561,-0.9282132616917902,-3.7629437025492187,-7.377166740965068,-6.224451085687283,-6.224451085687283,-4.375776031902289,-4.692010690043749,0.0,0.0,NaN,NaN,NaN
1871,-5.353566245248793,-0.9213741207588442,-3.7474391885220477,-7.329947758795474,-6.175713229497221,-6.175713229497221,-4.338275697216343,-4.651800229100623,0.0,0.0,NaN,NaN,NaN
1872,-5.306160320058025,-0.9145359672678264,-3.731268559262082,-7.281980270487349,-6.12693334500481,-6.12693334500481,-4.2991917437059834,-4.609891702168987,0.0,0.0,NaN,NaN,NaN
1873,-5.259026845296773,-0.9076819430958725,-3.714394287454219,-7.233221454770909,-6.078106683315438,-6.078106683315438,-4.262366074108316,-4.570404663947526,0.0,0.0,NaN,NaN,NaN
1874,-5.212183422485113,-0.9008338427591409,-3.6968249087650236,-7.183685041031712,-6.029234270089907,-6.029234270089907,-4.244773397556885,-4.5515405754192315,0.0,0.0,NaN,NaN,NaN
1875,-5.165007618238377,-0.8940905225133797,-3.6804007339217115,-7.135619640766645,-5.98054708246732,-5.98054708246732,-4.211398535047624,-4.51575373200437,0.0,0.0,NaN,NaN,NaN
1876,-5.1178574510410595,-0.887262827027224,-3.6637317325582632,-7.087325905223102,-5.931870565751469,-5.931870565751469,-4.177771150208711,-4.4796961166255045,0.0,0.0,NaN,NaN,NaN
1877,-5.070776632249691,-0.8804295629541101,-3.6469047815173266,-7.03891063398409,-5.883215591928954,-5.883215591928954,-4.150801691209363,-4.450777591315463,0.0,0.0,NaN,NaN,NaN
1878,-5.023854193137829,-0.8736320691873798,-3.629789583344291,-6.990216145298428,-5.834565776760387,-5.834565776760387,-4.121961916629804,-4.419853583861883,0.0,0.0,NaN,NaN,NaN
1879,-4.976722190665335,-0.8668199436405619,-3.6132129297412643,-6.942247175603047,-5.78602484829503,-5.78602484829503,-4.0926121931069,-4.388382773766645,0.0,0.0,NaN,NaN,NaN
1880,-4.929712051410258,-0.8600070081661524,-3.596349151302631,-6.894000280072785,-5.737489127294976,-5.737489127294976,-4.0625710555139785,-4.356170581529332,0.0,0.0,NaN,NaN,NaN
1881,-4.88248519327334,-0.8531860081029794,-3.5800579408339814,-6.846517365550519,-5.689066443666741,-5.689066443666741,-4.039554804854791,-4.3314909605089005,0.0,0.0,NaN,NaN,NaN
1882,-4.835494154491899,-0.8464084382128976,-3.5632923592795755,-6.798529985819129,-5.640625383213555,-5.640625383213555,-4.013161606266253,-4.3031903415971895,0.0,0.0,NaN,NaN,NaN
1883,-4.788517507664254,-0.8396064499358034,-3.546466810572543,-6.750540613911211,-5.59221792177132,-5.59221792177132,-3.9789192444527353,-4.2664733052338075,0.0,0.0,NaN,NaN,NaN
1884,-4.741604370961767,-0.8327565339604657,-3.529395876831993,-6.702325884373963,-5.543820754237123,-5.543820754237123,-4.022232913891381,-4.312917227077493,0.0,0.0,NaN,NaN,NaN
1885,-4.693844516530583,-0.8263523691331873,-3.515611233985867,-6.658139341931272,-5.495876449662235,-5.495876449662235,-4.290684461319136,-4.600769603686046,0.0,0.0,NaN,NaN,NaN
1886,-4.642105986308738,-0.8212379962169833,-3.5154004681998856,-6.63033754635561,-5.449660016512576,-5.449660016512576,-4.37845290605417,-4.6948810202537405,0.0,0.0,NaN,NaN,NaN
1887,-4.589383021065858,-0.8151819031113836,-3.515408974547203,-6.602824746673851,-5.403509867858764,-5.403509867858764,-4.377474734877575,-4.693832157244342,0.0,0.0,NaN,NaN,NaN
1888,-4.537834134778036,-0.808630199955884,-3.5111250071660063,-6.570184311262193,-5.356868122650555,-5.356868122650555,-4.361291199032354,-4.676479047159439,0.0,0.0,NaN,NaN,NaN
1889,-4.487517815304393,-0.8019694775669437,-3.503404190769862,-6.53345741347616,-5.309839572803627,-5.309839572803627,-4.323435146274415,-4.63588716061677,0.0,0.0,NaN,NaN,NaN
1890,-4.437930876825353,-0.7951626848226587,-3.493481752655308,-6.494136887194757,-5.262577139584208,-5.262577139584208,-4.280938846611308,-4.590319679362498,0.0,0.0,NaN,NaN,NaN
1891,-4.389304948653711,-0.7883159382746416,-3.481015161300954,-6.451821826068766,-5.215037706360965,-5.215037706360965,-4.267047260704901,-4.575424157037013,0.0,0.0,NaN,NaN,NaN
1892,-4.340865544454971,-0.7816155630292363,-3.4684684998248105,-6.409467721918688,-5.167528688211737,-5.167528688211737,-4.2695473234942725,-4.578104897835441,0.0,0.0,NaN,NaN,NaN
1893,-4.292127048100953,-0.7750078753863241,-3.4569529534764065,-6.368401134969901,-5.1201886962029715,-5.1201886962029715,-4.2618140157671816,-4.56981270868765,0.0,0.0,NaN,NaN,NaN
1894,-4.243518290546639,-0.7683486794105796,-3.4450013012917555,-6.326868412775296,-5.072834556355572,-5.072834556355572,-4.224167585875732,-4.529445594327852,0.0,0.0,NaN,NaN,NaN
1895,-4.195535697980719,-0.7615139331879959,-3.431042452917705,-6.28300063099802,-5.0252700448911565,-5.0252700448911565,-4.178103672583168,-4.480052670188632,0.0,0.0,NaN,NaN,NaN
1896,-4.148063037204426,-0.7546143059563468,-3.415659641221394,-6.237500173293538,-4.977567835380087,-4.977567835380087,-4.134373551405495,-4.43316219989339,0.0,0.0,NaN,NaN,NaN
1897,-4.101110168519934,-0.7477161864112734,-3.3989869264207826,-6.19053265938314,-4.929744563117994,-4.929744563117994,-4.094018394259789,-4.389890600216994,0.0,0.0,NaN,NaN,NaN
1898,-4.054369525369424,-0.740826475306011,-3.3818310447143585,-6.143060909287214,-4.881901257124428,-4.881901257124428,-4.058225641673086,-4.351511127287277,0.0,0.0,NaN,NaN,NaN
1899,-4.007840556573123,-0.7339578912931242,-3.364218978033236,-6.095119070786222,-4.834041268384299,-4.834041268384299,-4.025062396538057,-4.3159511947048825,0.0,0.0,NaN,NaN,NaN
1900,-3.9614747547561846,-0.7270995184217697,-3.3462491369831238,-6.046825632559457,-4.786176910912216,-4.786176910912216,-3.9948099327162794,-4.283512403821375,0.0,0.0,-14.524107402869948,-14.279011133216962,1.5646033324978563
1901,-3.9149970601485795,-0.7202538171181103,-3.3286301736154886,-5.999019388644534,-4.7383970635584145,-4.7383970635584145,-3.96475199373324,-4.251282195967754,0.0,0.0,-14.09018515795972,-13.852361332192812,1.8565911330960014
1902,-3.86845460232635,-0.713410056414898,-3.3112111711604033,-5.951520517215102,-4.690682724316792,-4.690682724316792,-3.9346069034061344,-4.218958538395722,0.0,0.0,-13.815953837205475,-13.585570272338309,1.9890015640042045
1903,-3.821794406426,-0.7065654588996992,-3.2941219892854363,-5.9044809751219764,-4.64305011522484,-4.64305011522484,-3.9398763942527184,-4.224608852123619,0.0,0.0,-13.704493326353246,-13.484355822534388,1.9943495788357475
1904,-3.7748737561202406,-0.6999274978329859,-3.278223231821652,-5.858911739484753,-4.595606969399386,-4.595606969399386,-4.046216635737004,-4.338634237835418,0.0,0.0,-13.740295364218122,-13.538455215692382,1.9546252288601615
1905,-3.72621956545955,-0.6938785283629676,-3.2682339121153117,-5.820352605282787,-4.548941873645147,-4.548941873645147,-4.069627657335772,-4.36373715964984,0.0,0.0,-13.601156721346008,-13.41504387973097,2.011866287209771
1906,-3.6768137736213635,-0.6873914578768179,-3.2591267220048774,-5.782877564230734,-4.502426174703784,-4.502426174703784,-4.0425330116000495,-4.3346844004345355,0.0,0.0,-13.669872246649014,-13.496352161964813,1.8110274352810602
1907,-3.6283380845278,-0.6806211471188315,-3.2469533575990592,-5.741853909624756,-4.455568054552545,-4.455568054552545,-3.9999193665963544,-4.288991093363665,0.0,0.0,-13.556741784440014,-13.392997125824051,1.7740370788357473
1908,-3.580626454809106,-0.6737388746034132,-3.232595079466197,-5.698326319947796,-4.408476863145411,-4.408476863145411,-3.9898465399592684,-4.278190309704813,0.0,0.0,-13.366805496483689,-13.21399292650514,1.8447394408962943
1909,-3.532946708238467,-0.6670278423859697,-3.218611337078711,-5.655297640678334,-4.3614723844065235,-4.3614723844065235,-3.9591713639728683,-4.245298257507024,0.0,0.0,-13.141917385148906,-12.99881171643019,1.9302844085476614
1910,-3.485500349461652,-0.6602001402804423,-3.203777800986714,-5.611336042097652,-4.3144015181342095,-4.3144015181342095,-3.9224040210624094,-4.205873761206792,0.0,0.0,-12.958827235198886,-12.824555007272997,1.9672564544460993
1911,-3.438416576222565,-0.6533293467408938,-3.1879489432166004,-5.5662754507074705,-4.267245996227571,-4.267245996227571,-3.890420297553421,-4.171578593557103,0.0,0.0,-12.780448378183237,-12.65484595219612,2.0035834350369193
1912,-3.3914684131152684,-0.6464774604336252,-3.171856253307725,-5.5209725126768,-4.2200973531232595,-4.2200973531232595,-3.8597834257492103,-4.138727613761329,0.0,0.0,-12.658054436711181,-12.541123931410732,1.9851510085842823
1913,-3.344711396798201,-0.6396300837169908,-3.1553189382025373,-5.475217982138091,-4.172932918715128,-4.172932918715128,-3.9165781388354692,-4.1996268460337,0.0,0.0,-12.710104514368664,-12.607970952421239,1.8794368781826714
1914,-3.29683379229176,-0.6332834952866626,-3.1428891999584447,-5.43430352258488,-4.126321832628738,-4.126321832628738,-3.9545970936066066,-4.240393407418452,0.0,0.0,-12.498261753407128,-12.41192209284031,2.022380165078423
1915,-3.2482342752822757,-0.6268567070555007,-3.132133320711624,-5.395386583080935,-4.079958895071806,-4.079958895071806,-3.939283039339383,-4.223972615813519,0.0,0.0,-12.288227328278325,-12.214792598894999,2.111382202126763
1916,-3.1999341041708607,-0.6201338714205804,-3.119913609537848,-5.3548228435105765,-4.033452840804037,-4.033452840804037,-3.8931064788305245,-4.174458903512567,0.0,0.0,-12.367331120889359,-12.303792546793849,1.8790759124539114
1917,-3.152465427510238,-0.6132216016445866,-3.105144733285515,-5.311361711252954,-3.986667907216807,-3.986667907216807,-3.8455866357220585,-4.123504830399918,0.0,0.0,-12.492064349752388,-12.436955696532035,1.5978003539822314
1918,-3.105932059479495,-0.6062816667537938,-3.0879670931220247,-5.265176562533343,-3.939621086147211,-3.939621086147211,-3.7996777328833775,-4.0742781192253,0.0,0.0,-12.109154789280735,-12.061314252308277,1.8240431823513723
1919,-3.059986816205813,-0.5993316417838288,-3.0693154836125274,-5.217357803944356,-3.8924291695092545,-3.8924291695092545,-3.7545100954241546,-4.025846244225848,0.0,0.0,-11.773019572280749,-11.731742866992287,2.0032219924710013
1920,-3.0145256049573255,-0.5923725685782364,-3.0494552608079797,-5.168218288277749,-3.8451252914611107,-3.8451252914611107,-3.708904701898138,-3.9769449767963305,0.0,0.0,-11.671858072891347,-11.636508338880219,1.9461527862332084
1921,-2.9695177317447152,-0.585399004874376,-3.028453044374473,-5.117840440892681,-3.797717683252772,-3.797717683252772,-3.67167910404618,-3.937029107750189,0.0,0.0,-11.562776476098506,-11.533395149450385,1.9045910873196343
1922,-2.9244670931185945,-0.5784643260463349,-3.007690484252814,-5.067818616268758,-3.7503800823459006,-3.7503800823459006,-3.629712553309873,-3.892029660053727,0.0,0.0,-11.447464347265162,-11.423906818952704,1.8647858657620173
1923,-2.8797982200160344,-0.5715004644809005,-2.985925846523511,-5.016725579809382,-3.70295619514261,-3.70295619514261,-3.612034381889079,-3.8730738979941384,0.0,0.0,-11.517023500557022,-11.500564994412818,1.6636911430142145
1924,-2.8350523827760776,-0.564669724569766,-2.964707938934037,-4.966342177280356,-3.6556409542434505,-3.6556409542434505,-3.588785413628356,-3.848144741013411,0.0,0.0,-11.280073164212972,-11.270684071738033,1.7641135253689504
1925,-2.789996482150021,-0.5578105867477421,-2.944235642307346,-4.916893312107915,-3.6084592733175054,-3.6084592733175054,-3.550216209312809,-3.8067881638861403,0.0,0.0,-11.119416220695783,-11.116459949667401,1.7734913863918995
1926,-2.7451647287261305,-0.5508646536879545,-2.923020543205295,-4.866673339839532,-3.561223812126075,-3.561223812126075,-3.5096170768381327,-3.7632549569329337,0.0,0.0,-11.044920341215159,-11.04791094290602,1.6941058196804744
1927,-2.700768802678728,-0.5438974769228386,-2.9006943715177833,-4.815265297722559,-3.5138881028987274,-3.5138881028987274,-3.4657190290160305,-3.716184424037352,0.0,0.0,-10.986251042674693,-10.994416038144898,1.5948192634365774
1928,-2.6567279168421565,-0.536899369287924,-2.8774428352817143,-4.76288632127034,-3.466475427079347,-3.466475427079347,-3.4227078818944694,-3.670064887613621,0.0,0.0,-10.665956882469459,-10.678928826623004,1.7573971786282283
1929,-2.6131434876426396,-0.5298950409389656,-2.8530707782505544,-4.709318785914191,-3.418961030480789,-3.418961030480789,-3.3868911973067894,-3.6316597531318493,0.0,0.0,-10.43601044817022,-10.453778564955243,1.8360560455105523
1930,-2.569659647156781,-0.5229223219498367,-2.828561221157102,-4.655685716385267,-3.371468983945631,-3.371468983945631,-3.382774865871743,-3.6272459369410317,0.0,0.0,-10.200708713819436,-10.225566954909945,1.9517560043118214
1931,-2.525739198392092,-0.5161351790218591,-2.8056145924815947,-4.603917647038652,-3.3242139240009134,-3.3242139240009134,-3.33850073471231,-3.579772141395296,0.0,0.0,-10.044529738060733,-10.074500179930542,1.9495387115261775
1932,-2.481913129777298,-0.5091231107225533,-2.781928754201049,-4.551397477148244,-3.276905146119608,-3.276905146119608,-3.290319520108965,-3.5281088998742467,0.0,0.0,-9.897146544430255,-9.931614628087987,1.9339200057766655
1933,-2.4386437436077446,-0.502076058699463,-2.7568064986073786,-4.497339849460766,-3.2294544423120914,-3.2294544423120914,-3.2697333475380512,-3.506034977199594,0.0,0.0,-9.763959469922636,-9.804226765529283,1.9306785621426323
1934,-2.395412469390352,-0.4951782370064992,-2.7319793562861623,-4.4437084665438835,-3.1820806435467315,-3.1820806435467315,-3.2267728090973806,-3.459969706915175,0.0,0.0,-9.672648167594009,-9.717339943285673,1.8635971107266165
1935,-2.352232646905734,-0.4881501891686011,-2.7067525916293462,-4.3897178846895075,-3.134695845549091,-3.134695845549091,-3.183662012321946,-3.4137433192180175,0.0,0.0,-9.610084067039365,-9.659048209258463,1.7672590293667534
1936,-2.3095062559964363,-0.48111216550910085,-2.680409086792384,-4.3345622484007125,-3.0872092093289734,-3.0872092093289734,-3.1399630659995723,-3.366886276765804,0.0,0.0,-9.261932337072146,-9.31461461895937,1.9551552810452204
1937,-2.267146486910172,-0.4740576782450876,-2.653157143010022,-4.278481543610781,-3.0396469710049896,-3.0396469710049896,-3.093532033661552,-3.317099702112199,0.0,0.0,-9.091451170985364,-9.147254431371685,1.9620314636013725
1938,-2.225270830918686,-0.4669740213381399,-2.62467757670351,-4.221122043010116,-2.991968483579461,-2.991968483579461,-3.0471251302610916,-3.267339000179717,0.0,0.0,-8.992626497955369,-9.050988024600054,1.8964155235073783
1939,-2.1833483328154113,-0.4598801290574437,-2.596333147538431,-4.164017987527289,-2.9443466590663387,-2.9443466590663387,-2.998810268044117,-3.2155324524137234,0.0,0.0,-8.854100801437388,-8.915039622037884,1.8687376060269094
1940,-2.1420306224553887,-0.4527671483122717,-2.566484564175873,-4.105333662525849,-2.8965731465500806,-2.8965731465500806,-2.9558897261771993,-3.169510069230985,0.0,0.0,-8.638801217644376,-8.702007184905021,1.9221768417141654
1941,-2.100867403624269,-0.44567145079601445,-2.5363398437855356,-4.046427041207215,-2.8488014163061965,-2.8488014163061965,-2.918264195321537,-3.1291653642675112,0.0,0.0,-8.483054460011362,-8.54884687355076,1.9212183990261773
1942,-2.059781184738436,-0.43860191720205255,-2.506103724062802,-3.9875279898040654,-2.801057475966646,-2.801057475966646,-2.8826983070346626,-3.091029150981849,0.0,0.0,-8.429079946584963,-8.497655788737028,1.8205607452175834
1943,-2.018629137952539,-0.4315427528659097,-2.4760905628428596,-3.9289869454229978,-2.753381301356301,-2.753381301356301,-2.8497471736071533,-3.0556966592903763,0.0,0.0,-8.354414887206307,-8.42617437038304,1.7434332885525443
1944,-1.9772783675682648,-0.4245008105048129,-2.4466415599318054,-3.871181869961128,-2.7058162702596373,-2.7058162702596373,-2.8176508072708466,-3.0212807081851176,0.0,0.0,-8.065633365831037,-8.141026019711179,1.8817536391995173
1945,-1.9358760706371276,-0.4174664969057049,-2.417369735350036,-3.8136799194414293,-2.658313074073055,-2.658313074073055,-2.781504876829452,-2.98252253345311,0.0,0.0,-8.033961694686003,-8.11287996166963,1.7591020622036675
1946,-1.8945966189306178,-0.41040638758273995,-2.387770958739736,-3.7559212556980324,-2.6108075014041727,-2.6108075014041727,-2.730938518082718,-2.9283017748798885,0.0,0.0,-7.849696097636682,-7.931019420044271,1.7744174995205624
1947,-1.8538747073956374,-0.4032504020818781,-2.356620530850021,-3.696552459617723,-2.5631433943911492,-2.5631433943911492,-2.6754445929231725,-2.8687973376822926,0.0,0.0,-7.746739757869253,-7.829400126082316,1.7023434676907283
1948,-1.8135023336415435,-0.3960474045595739,-2.3245521818636377,-3.636281954963387,-2.5154013348434763,-2.5154013348434763,-2.618140261826989,-2.807351657618038,0.0,0.0,-7.598422680800837,-7.681908920609665,1.6731734313748103
1949,-1.773652124391818,-0.3888174155074584,-2.2911892476744953,-3.574699386565503,-2.4675330001602997,-2.4675330001602997,-2.561542161700094,-2.74666324740338,0.0,0.0,-7.399458999158343,-7.483255514868276,1.6944575347683644
1950,-1.7340974062781518,-0.38157568399873587,-2.257125158642811,-3.5124651856733555,-2.4196140873227474,-2.4196140873227474,-2.504655845838043,-2.6856657922786225,0.0,0.0,-7.352560956660557,-7.436389207852265,1.5629315414211964
1951,-1.6946184513383882,-0.3743236379268098,-2.222896129729511,-3.4501724083174086,-2.3717131568497702,-2.3717131568497702,-2.4573311742969284,-2.634920995663155,0.0,0.0,-6.972265199620305,-7.056836486162852,1.7742937125942924
1952,-1.6551823430051193,-0.36712359469591704,-2.1887207994559432,-3.3880616239344707,-2.3238581676363896,-2.3238581676363896,-2.4129351475121386,-2.5873164951697545,0.0,0.0,-6.780565705067788,-6.866229128894728,1.8001307525418024
1953,-1.6158483607580054,-0.3599375705994776,-2.154367690185886,-3.325878852888338,-2.2760194186136236,-2.2760194186136236,-2.369828033821928,-2.5410940567321383,0.0,0.0,-6.715867996351556,-6.802734391805692,1.7001955070278862
1954,-1.5766314016032075,-0.3527539642171671,-2.119775991369478,-3.2635584480990865,-2.228189061028713,-2.228189061028713,-2.3270155070924097,-2.495187494874731,0.0,0.0,-6.539256057489994,-6.6273330646158835,1.7123559036038134
1955,-1.537316961257658,-0.3455697884157447,-2.085460180756698,-3.201662923442223,-2.1804330256034294,-2.1804330256034294,-2.283011630385534,-2.448003484905585,0.0,0.0,-6.576900867544036,-6.666348291907698,1.5093209304592825
1956,-1.4980902187442373,-0.33837683197344126,-2.0509493017982816,-3.1396775221043463,-2.1326908654857153,-2.1326908654857153,-2.2371555495382225,-2.398833413135353,0.0,0.0,-6.674195322795162,-6.764888019927562,1.2446906127712942
1957,-1.4590112054045106,-0.3311669969293549,-2.0160825934063418,-3.0774283766206647,-2.0849418906384205,-2.0849418906384205,-2.185437439196205,-2.343377666583326,0.0,0.0,-6.475169017186439,-6.566610819312727,1.2703041114590385
1958,-1.4199897991506854,-0.32391679115857364,-1.981026724961783,-3.01509822384076,-2.0372074389033497,-2.0372074389033497,-2.128177256429589,-2.2819793254214216,0.0,0.0,-6.120055028060831,-6.21185558793953,1.4463461913845754
1959,-1.3814356335384037,-0.3166220559212116,-1.944782456422164,-2.951605409030515,-1.989358982730833,-1.989358982730833,-2.0669352457884265,-2.216311392119271,0.0,0.0,-5.9963427857256235,-6.087728307047627,1.3861695327542043
1960,-1.343470312967649,-0.309282458345139,-1.9070664412792677,-2.886650278455976,-1.9413597377098863,-1.9413597377098863,-2.0122174039726537,-2.157639125334146,0.0,0.0,-5.879807880936482,-5.970625584852174,1.324306014992974
1961,-1.305989140111115,-0.30195957832140885,-1.8682753218053172,-2.8206695234409116,-1.8932604998889442,-1.8932604998889442,-1.9613934329547562,-2.1031421370084473,0.0,0.0,-5.739750509955147,-5.829863853854726,1.2891678848049857
1962,-1.2685480734487786,-0.29464934274873156,-1.8294648814899617,-2.754806880441043,-1.845197381082004,-1.845197381082004,-1.9191347844501525,-2.0578294818165856,0.0,0.0,-5.6498894625335865,-5.740027428151054,1.21245565793731
1963,-1.2310490789381907,-0.2873884570931404,-1.7909463100087528,-2.6893968520526164,-1.7972105222532182,-1.7972105222532182,-1.905690109191689,-2.0434131680982954,0.0,0.0,-5.5121687560092285,-5.604681735114648,1.2127272643826223
1964,-1.1930196628695944,-0.2803081089822965,-1.7541447640691512,-2.6259670792801906,-1.7494837853852037,-1.7494837853852037,-2.0261582843170256,-2.1725875045764846,0.0,0.0,-5.530706540150198,-5.636246521733399,1.1920999564907768
1965,-1.1526771996496494,-0.2740633405105328,-1.7248531179633186,-2.570713365934081,-1.7027607168858712,-1.7027607168858712,-2.0926858652192717,-2.2439229930704854,0.0,0.0,-5.588253995534463,-5.706737512217321,1.084722904183648
1966,-1.1109990294561785,-0.2675717007967535,-1.6982553216703593,-2.518443047736696,-1.6564206410521205,-1.6564206410521205,-2.1044483259143676,-2.256535519607548,0.0,0.0,-5.562328218856278,-5.69117580995637,1.0077950992367484
1967,-1.0694110873363867,-0.2607749956015979,-1.6707615084832117,-2.4653084713485782,-1.6100043753030153,-1.6100043753030153,-2.0437126148095315,-2.191410475799624,0.0,0.0,-5.482146990281212,-5.615755722401882,0.9117425956509331
1968,-1.0292109972957553,-0.25352720269559126,-1.6389113097178782,-2.4076246063217157,-1.5630680631505474,-1.5630680631505474,-2.0214980184199827,-2.167590444112706,0.0,0.0,-5.520937944193606,-5.660059871890003,0.731750444390557
1969,-0.9896600660379518,-0.24646410379604,-1.605968658087173,-2.34888867798141,-1.516029674649106,-1.516029674649106,-1.9792385797800147,-2.12227694168288,0.0,0.0,-5.300493084151482,-5.4432555037066725,0.790403894402764
1970,-0.9509462110996747,-0.2392619540969141,-1.5707425325116269,-2.2878410288951905,-1.4687354936911152,-1.4687354936911152,-1.9234691428646193,-2.062477081663308,0.0,0.0,-5.2356207475898335,-5.380042925769326,0.6782726325772026
1971,-0.913021706695667,-0.2319482709674967,-1.5334275903275074,-2.2247008453118076,-1.4212098831825788,-1.4212098831825788,-1.8734174319063948,-2.0088081641595763,0.0,0.0,-5.203374763150058,-5.3489653146593685,0.5377018489620903
1972,-0.8756876311210204,-0.22464051088669756,-1.4947690205797457,-2.1602689814618206,-1.373548647924034,-1.373548647924034,-1.8441478593537588,-1.9774232974962167,0.0,0.0,-5.03480187211211,-5.182530150902321,0.5533512868664482
1973,-0.8381432073256994,-0.21744886698986643,-1.4569194775285368,-2.0968278440823225,-1.3260303256618595,-1.3260303256618595,-1.7996836342868237,-1.9297456700725217,0.0,0.0,-5.022965454696267,-5.172241516699918,0.397811190106652
1974,-0.8008391479325256,-0.2101666629699015,-1.4183338365888023,-2.0327427400746965,-1.2784548011728187,-1.2784548011728187,-1.7359382246546775,-1.8613934186650791,0.0,0.0,-5.364089020624404,-5.513280633158076,-0.13052301027558072
1975,-0.7640999793523129,-0.20275109910583544,-1.3781571460555675,-1.967117768121569,-1.2307109691561298,-1.2307109691561298,-1.689626724148499,-1.8117350143357123,0.0,0.0,-4.991464300774589,-5.141184332781327,0.07113051793792025
1976,-0.7276571692730398,-0.19541893214978212,-1.3375146585191864,-1.901144578664269,-1.1829446313779197,-1.1829446313779197,-1.6742250666304155,-1.795220288446548,0.0,0.0,-4.810069640904024,-4.962456545741981,0.11227188489653844
1977,-0.6912437179767039,-0.1882649287691549,-1.297242827103327,-1.8357029131457159,-1.135264415514376,-1.135264415514376,-1.6206066020725454,-1.7377268502415106,0.0,0.0,-4.545103749421872,-4.697705294425678,0.19925381324507974
