year,ais_p5,ais_p50,ais_p95,gsic_p5,gsic_p50,gsic_p95,gis_p5,gis_p50,gis_p95,te_p5,te_p50,te_p95,total_p5,total_p50,total_p95,provenance
1939,-2.8703847773011124,-2.1810785323189563,-1.4398441346404836,-2.9980375828505426,-2.5669113177017353,-2.2266921526823005,-3.3583311695360885,-2.990383983166245,-2.6432782470168594,-3.7524039985389757,-2.825845482821915,-2.0731506437122587,-9.69125137824436,-8.734028750419286,-7.841977986102192,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1940,-2.8196090295951604,-2.140449088466445,-1.4148627564776697,-2.9612393310973415,-2.5353586987726815,-2.199852211815268,-3.3043600539832236,-2.942634368102722,-2.6015293357952967,-3.7056142946634036,-2.7906092786736307,-2.047299987773688,-9.470700791911801,-8.52579292227664,-7.644929495800883,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1941,-2.7694578438033446,-2.1005929595362374,-1.3895262165136077,-2.923821814429115,-2.5033857793817633,-2.172529523811533,-3.251137578420299,-2.8947734276188912,-2.559390532389522,-3.668622113846366,-2.762751354233123,-2.026862326076541,-9.313956109272175,-8.379565289888887,-7.509427256114333,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1942,-2.7191703317337996,-2.0607725258434106,-1.3640770596137364,-2.8865814608754885,-2.471494872360486,-2.145205335110817,-3.1976287970840414,-2.8470035438473884,-2.5168455982848927,-3.6344274975124646,-2.7370002085298335,-2.007970279566697,-9.25881560478471,-8.334340231069929,-7.474393998704591,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1943,-2.6675884834660826,-2.019833107612797,-1.3388280825388092,-2.8491418268793463,-2.439641377885014,-2.1178827717662676,-3.1447793918702,-2.799414847422075,-2.475400033782573,-3.6053896605434366,-2.715132509726134,-1.9919272814173,-9.186537930267106,-8.270065574423851,-7.419973232880738,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1944,-2.61595684824755,-1.979766935114874,-1.3137668039322479,-2.811682386138846,-2.407910190801822,-2.090277738683724,-3.091973546297954,-2.7519980926156267,-2.434077768270592,-3.610849394008178,-2.7192441040946393,-1.9949437076739964,-8.92891346828861,-8.01698596511602,-7.17301288299292,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1945,-2.564505296215225,-1.9395977941448677,-1.286439719037212,-2.776876317918902,-2.3782544653633977,-2.0644165080588475,-3.039279439348039,-2.7047505750149927,-2.3916517820394354,-3.59726921364651,-2.7090171958657097,-1.9874408482618748,-8.913930210895417,-8.009738249398797,-7.177524192736059,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1946,-2.5134569682983248,-1.8987858325824365,-1.2587814447446843,-2.742390252288086,-2.3490049638858554,-2.0388579109500444,-2.9871412118881766,-2.657483803603485,-2.350208292077705,-3.544470086913089,-2.669255439446446,-1.9582700703772293,-8.728943251699778,-7.838226963137516,-7.015865687738383,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1947,-2.463283465150333,-1.85911685352248,-1.2311753535382004,-2.7050268465314242,-2.317127041453351,-2.0113813967175065,-2.9342583084954668,-2.609857937182056,-2.308472493992991,-3.4773734171831316,-2.6187265461975793,-1.9212001002738581,-8.616447080434156,-7.740406446286262,-6.929785959886579,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1948,-2.414081594615175,-1.8204313781006198,-1.204324902658061,-2.6656027128275928,-2.2836164309644253,-1.9823239384330227,-2.880996416754204,-2.5620356229566794,-2.2660286831116103,-3.430985169094435,-2.583792668776997,-1.8955712430337506,-8.478722242915092,-7.612443431277189,-6.8139743443547,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1949,-2.364010297773544,-1.7809144956068388,-1.1782453724114121,-2.625830749568575,-2.249758638852547,-1.9531071194318983,-2.8281540737787854,-2.5142232927977166,-2.224195158137562,-3.376924808999228,-2.5430811077525846,-1.8657036513846814,-8.282996619934396,-7.429731570388188,-6.64561986580103,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1950,-2.315790428074975,-1.7417687129177863,-1.1534600813635834,-2.584743800746318,-2.21517651213743,-1.9233732626093571,-2.7754087317045966,-2.4661112317818477,-2.182142567275107,-3.3140304851537477,-2.4957169004329334,-1.8309554185140016,-8.23101871857589,-7.3922099954847145,-6.624213336555129,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1951,-2.2669953434903456,-1.7031825111357097,-1.1280307669443013,-2.542161770373448,-2.1787885477250137,-1.8916914275619743,-2.721523176369659,-2.4176999232267953,-2.1388893051284517,-3.2599242900565244,-2.4549708221674527,-1.8010625036683972,-7.840930802047984,-7.016441090040768,-6.263227085526682,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1952,-2.218260211311766,-1.6646990624683164,-1.1035900234631246,-2.499061253459644,-2.1419119994513363,-1.8598840435322468,-2.667336029677336,-2.3693571577691017,-2.096188830844212,-3.2166293691258336,-2.42236645526326,-1.7771426663502725,-7.647295048924593,-6.834311462518553,-6.094866474705017,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1953,-2.1694001813758446,-1.6260023322372552,-1.0783236978162294,-2.4570094860794467,-2.1058905495206357,-1.828929452684771,-2.614124728186557,-2.3213777465937917,-2.0538766610131254,-3.17499348373172,-2.391011468244257,-1.7541394229255385,-7.5822410236221796,-6.77972123482836,-6.052744808112985,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1954,-2.1190557865454975,-1.5878416895380492,-1.0532555968823305,-2.415103720797205,-2.070119717828807,-1.7980207855303132,-2.5604580490839393,-2.2734670319946955,-2.011281711809114,-3.132418469641529,-2.3589492459209973,-1.7306173240519893,-7.40416666398461,-6.613504216525423,-5.898679506913607,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
