name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
gis_slow_w,12,likelihood_only,0.9328151097655012,1000.0,0.0,1.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.04863197311234135,0.4300847413706488,0.9175390981497978,0.4528387015903052,Slow (discharge) channel: temperature-dependent fraction of the rate,–
gis_amp,13,likelihood_only,1.9221976385152952,0.3181243343729514,1.5101657793813976,2.2846646737809513,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,1.5713792871433183,1.9057614705077586,2.226859119761873,1.9026349024767955,Southern-Greenland/global warming ratio,–
gis_s_high,14,greenland_icesheet,0.0,0.5,-2.0,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,-0.7776074612974352,-0.5535816248332432,-0.3644109109645772,-0.5597046847887017,log₁₀ rate scale of the high basin (NO+NE) relative to the active basin,log₁₀(–)
thermal_alpha,15,thermal_expansion,0.16,1000.0,0.05,0.3,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.14837518710935063,0.16692027557564354,0.1858928394108335,0.16695848710454744,Thermal expansion coefficient α,kg m⁻³ °C⁻¹
gic_a_R19,16,glaciers_small_icecaps,0.069,0.018,0.01,0.141,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.039263413778218265,0.06762034546479255,0.09633460691019262,0.06767245509656304,"Committed-loss scale a, RGI 19",m SLE
gic_b_R19,17,glaciers_small_icecaps,0.768973947986,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.19765891945548733,0.7325418569362473,2.4255202576166903,0.9444363613965605,"Equilibrium temperature sensitivity b, RGI 19",K⁻¹ (glacier frame)
gic_T_off_R19,18,glaciers_small_icecaps,0.162195920935,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,-3.145069973360019,-0.12910443807548774,0.7138545409599707,-0.526316986760657,"Equilibrium temperature offset T_off, RGI 19","K rel. 1850–1900, glacier frame"
gic_log10_kappa_R19,19,glaciers_small_icecaps,-2.7735015084073384,0.114,-3.906900780980522,-1.6567771449058029,"N(k10c(gic_amp_R19), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.774,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,-3.0012332586579786,-2.779391719165984,-2.5602563839348758,-2.7802795742827335,"log₁₀ of the response-rate constant κ, RGI 19",log₁₀(yr⁻¹ K⁻ν)
gic_a_SLOWP,20,glaciers_small_icecaps,0.145920024267,0.0327892146787,0.0332566214715,0.2770768829818,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.09021400226173358,0.13161562688651024,0.17659259393078927,0.13226931382060034,"Committed-loss scale a, SLOWG",m SLE
gic_b_SLOWP,21,glaciers_small_icecaps,0.269493082055,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L31 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L31) | posterior parameters_subsample_brick_mengel_L31.csv n=10000 | quantiles 5/50/95 over all draws | commit 818b003 | 2026-09-22 21:50,0.11526757394710928,0.17239436464420232,0.28202795597700503,0.18243385886668517,"Equilibrium temperature sensitivity b, SLOWG",K⁻¹ (glacier frame)
