model,component,year,p5,p50,p95
BRICK2.0,ais,1896,-5.229274355968272,-4.1500573120893165,-2.895842627660751
BRICK2.0,ais,1897,-5.167243427571216,-4.103337097606751,-2.861948698118079
BRICK2.0,ais,1898,-5.109586772961843,-4.057249616583709,-2.830343858540454
BRICK2.0,ais,1899,-5.052726579088153,-4.013552613872147,-2.79755546848901
BRICK2.0,ais,1900,-4.996016271887832,-3.9649697384425258,-2.7649238206582183
BRICK2.0,ais,1901,-4.939641578965479,-3.9167002606750874,-2.7322215537476113
BRICK2.0,ais,1902,-4.8854696521232,-3.8712281408341847,-2.699470188134599
BRICK2.0,ais,1903,-4.83124028095942,-3.825171325247875,-2.666622661345786
BRICK2.0,ais,1904,-4.770998069292242,-3.7804436396835883,-2.6338296106544545
BRICK2.0,ais,1905,-4.7111518379390205,-3.737057674415788,-2.623524352886293
BRICK2.0,ais,1906,-4.65502715328936,-3.692556234447602,-2.5891664203647213
BRICK2.0,ais,1907,-4.598852595842959,-3.644068043997884,-2.555610149331034
BRICK2.0,ais,1908,-4.542794017359073,-3.594934565796584,-2.5224891172276998
BRICK2.0,ais,1909,-4.480699927554789,-3.546958620226867,-2.4911378936956687
BRICK2.0,ais,1910,-4.418996883148309,-3.496372530560992,-2.465252410411918
BRICK2.0,ais,1911,-4.362559421183082,-3.447473345448587,-2.4392445882700047
BRICK2.0,ais,1912,-4.312004832105577,-3.397498860869046,-2.4132670334917186
BRICK2.0,ais,1913,-4.254341130369142,-3.3535893275672333,-2.387280981660453
BRICK2.0,ais,1914,-4.189301702164504,-3.305485039612295,-2.362434974756719
BRICK2.0,ais,1915,-4.131085310711172,-3.2575561547758607,-2.3375147174657074
BRICK2.0,ais,1916,-4.072981426362037,-3.2135724694281826,-2.3094033668512646
BRICK2.0,ais,1917,-4.015490232524833,-3.1697384154957433,-2.2767244696669318
BRICK2.0,ais,1918,-3.958857354779272,-3.1265291261667993,-2.244586785009044
BRICK2.0,ais,1919,-3.9027673300628756,-3.0850431665728486,-2.2127966870534963
BRICK2.0,ais,1920,-3.847127224396842,-3.04163415380666,-2.181291661986669
BRICK2.0,ais,1921,-3.7919087956712145,-2.999056540556208,-2.1500494812676663
BRICK2.0,ais,1922,-3.736359815570432,-2.957366363681908,-2.118811156856291
BRICK2.0,ais,1923,-3.681155346389535,-2.9142733089016652,-2.0877807238394546
BRICK2.0,ais,1924,-3.6258982970031894,-2.8692836089762603,-2.0568763621285164
BRICK2.0,ais,1925,-3.5705412547933415,-2.824167926197696,-2.025941341951719
BRICK2.0,ais,1926,-3.515822985739088,-2.7828981897069838,-1.995071834682848
BRICK2.0,ais,1927,-3.4611565664213972,-2.7370336973608618,-1.964433683146464
BRICK2.0,ais,1928,-3.404140761543683,-2.6917501533469315,-1.9339757440794754
BRICK2.0,ais,1929,-3.3448572954559976,-2.6524192045930244,-1.903771669363636
BRICK2.0,ais,1930,-3.291864634299141,-2.611469252296993,-1.8736483720964567
BRICK2.0,ais,1931,-3.240085182421844,-2.5699691265208804,-1.8411999214839416
BRICK2.0,ais,1932,-3.188268333086577,-2.5255145483972994,-1.80275877932338
BRICK2.0,ais,1933,-3.136803828463547,-2.4828116572329275,-1.7658150252005969
BRICK2.0,ais,1934,-3.084356993674081,-2.4406710724440193,-1.7389660864005303
BRICK2.0,ais,1935,-3.0310838250610117,-2.3963115762427067,-1.6998365601923497
BRICK2.0,ais,1936,-2.9782270498037238,-2.355085677676197,-1.6612513514846454
BRICK2.0,ais,1937,-2.9270903780429376,-2.310417669681596,-1.623418850291291
BRICK2.0,ais,1938,-2.8767828914174767,-2.2665643211759656,-1.586880982097277
BRICK2.0,ais,1939,-2.828683663527414,-2.2241306999373887,-1.561169176866528
BRICK2.0,ais,1940,-2.780741066700338,-2.1798782798444636,-1.5365142506596867
BRICK2.0,ais,1941,-2.7304744514710917,-2.1363544176243634,-1.511974298650007
BRICK2.0,ais,1942,-2.678633619752684,-2.097748532029527,-1.4806168752919533
BRICK2.0,ais,1943,-2.6267438835443313,-2.05929524194996,-1.4470058710370806
BRICK2.0,ais,1944,-2.576896658824008,-2.0167454067605735,-1.4130710686123031
BRICK2.0,ais,1945,-2.527403133606969,-1.975663953552016,-1.3790486049617556
BRICK2.0,ais,1946,-2.4779642265516912,-1.9350460006518295,-1.3474034972503057
BRICK2.0,ais,1947,-2.4287675597588008,-1.8937570365471323,-1.3189974060249325
BRICK2.0,ais,1948,-2.3797380535410406,-1.8543763548464776,-1.2910111835744802
BRICK2.0,ais,1949,-2.330990994685765,-1.8148514943385647,-1.2633957234486481
BRICK2.0,ais,1950,-2.2824109294480426,-1.7748543939038444,-1.2359975229612556
BRICK2.0,ais,1951,-2.2338733051603596,-1.7344784190382296,-1.2097257286862457
BRICK2.0,ais,1952,-2.1854118250002794,-1.6930316149019022,-1.1824940786743658
BRICK2.0,ais,1953,-2.1370279309822675,-1.6539744109925736,-1.1539889123868177
BRICK2.0,ais,1954,-2.088644136539388,-1.6136861487482568,-1.1284599526927495
BRICK2.0,ais,1955,-2.0398896341884982,-1.5743508716012213,-1.099377256241197
BRICK2.0,ais,1956,-1.99119231439985,-1.5345733850126986,-1.0702904381349212
BRICK2.0,ais,1957,-1.9425863586333945,-1.4941521268275775,-1.04135433485622
BRICK2.0,ais,1958,-1.8940021099864441,-1.4540370271641558,-1.012457103125556
BRICK2.0,ais,1959,-1.8457006064010713,-1.4141418097839713,-0.9840928934775803
BRICK2.0,ais,1960,-1.7977595591214521,-1.3753643463202612,-0.9564070617879918
BRICK2.0,ais,1961,-1.750142597320568,-1.3358669564101566,-0.9305916221255445
BRICK2.0,ais,1962,-1.702562431885859,-1.2969838468829886,-0.9041024599842065
BRICK2.0,ais,1963,-1.655234169845432,-1.2593310578354946,-0.8780288818671882
BRICK2.0,ais,1964,-1.608743048085151,-1.2204591255766175,-0.8518246361896052
BRICK2.0,ais,1965,-1.5580267293426753,-1.1787929084675173,-0.8216716426372522
BRICK2.0,ais,1966,-1.5063336174642963,-1.1347602088511817,-0.7912393222147707
BRICK2.0,ais,1967,-1.4574288019820876,-1.0921440087340764,-0.7632092099992943
