index,name,comp,mu,sigma,lo,hi,prior_form,note,provenance
12,gis_slow_ell,likelihood_only,-4.207448374546157,1.0,-8.207448374546157,-0.20744837454615705,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
13,gis_slow_w,likelihood_only,0.9328151097655012,1000.0,0.0,1.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
14,gis_amp,likelihood_only,1.9221976385152952,0.31812433437295146,1.5101657793813976,2.2846646737809513,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
15,gis_s_high,greenland_icesheet,0.0,0.5,-2.0,2.0,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
16,thermal_alpha,thermal_expansion,0.16,1000.0,0.05,0.3,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
17,gic_a_R19,glaciers_small_icecaps,0.069,0.018,0.01,0.14100000000000001,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
18,gic_b_R19,glaciers_small_icecaps,0.768973947986,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
19,gic_T_off_R19,glaciers_small_icecaps,0.162195920935,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
20,gic_log10_kappa_R19,glaciers_small_icecaps,-2.7735015084073384,0.114,-3.906900780980522,-1.6567771449058029,"N(k10c(gic_amp_R19), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.774,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
21,gic_a_SLOWP,glaciers_small_icecaps,0.145920024267,0.0327892146787,0.0332566214715,0.2770768829818,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
22,gic_b_SLOWP,glaciers_small_icecaps,0.269493082055,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
23,gic_T_off_SLOWP,glaciers_small_icecaps,0.342896725929,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
24,gic_log10_kappa_SLOWP,glaciers_small_icecaps,-3.4077329224195196,0.114,-4.748442048628195,-2.1692365340734474,"N(k10c(gic_amp_SLOWP), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -3.408,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
25,gic_a_FAST,glaciers_small_icecaps,0.139935475733,0.0242107853213,0.08091770565225,0.2367786170182,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
