marker,specie,pulse_Gt,arm,horizon,component,median_cm,mean_cm,per_Gt_median,per_Gt_mean,p_fired,smooth_term_cm,premium_cm
M,CO2,1.0,P1p0,2300,ais,0.0038053611420281186,0.003911478110692664,0.0038053611420281186,0.003911478110692664,0.0,0.003911478110692664,0.0
M,CO2,3.0,P3p0,2100,total,0.02189219163750522,0.02287961116299808,0.00729739721250174,0.007626537054332694,0.0,0.007626537054332694,0.0
M,CO2,3.0,P3p0,2100,ais,0.002365645584274212,0.0023730941236893197,0.000788548528091404,0.0007910313745631065,0.0,0.0007910313745631065,0.0
M,CO2,3.0,P3p0,2150,total,0.028526481705796414,0.029863041696257753,0.009508827235265471,0.009954347232085917,0.0,0.009954347232085917,0.0
M,CO2,3.0,P3p0,2150,ais,0.004479753377999884,0.004521837489960416,0.0014932511259999615,0.0015072791633201387,0.0,0.0015072791633201387,0.0
M,CO2,3.0,P3p0,2300,total,0.04313968748414254,0.05125795850107847,0.014379895828047514,0.017085986167026158,0.0,0.017085986167026158,0.0
M,CO2,3.0,P3p0,2300,ais,0.011416937450306364,0.011735905590299911,0.003805645816768788,0.00391196853009997,0.0,0.00391196853009997,0.0
M,CO2,10.0,P10p0,2100,total,0.07299773105357588,0.1021146759663732,0.007299773105357588,0.010211467596637321,0.041666666666666664,0.007305366344162472,0.00290610125247485
M,CO2,10.0,P10p0,2100,ais,0.008000052293005933,0.0337545870900036,0.0008000052293005933,0.0033754587090003597,0.041666666666666664,0.0007585321718437658,0.0026169265371565943
M,CO2,10.0,P10p0,2150,total,0.09510631927966529,0.18133621072654785,0.009510631927966529,0.018133621072654784,0.08333333333333333,0.009092191773184528,0.009041429299470256
M,CO2,10.0,P10p0,2150,ais,0.015877000536040242,0.09686476675990822,0.0015877000536040243,0.009686476675990822,0.08333333333333333,0.0013985330971364154,0.008287943578854406
M,CO2,10.0,P10p0,2300,total,0.1568233540582753,0.533469356091441,0.01568233540582753,0.053346935609144094,0.125,0.01494684347116788,0.03840009213797622
M,CO2,10.0,P10p0,2300,ais,0.04083703097572311,0.4015835540520151,0.004083703097572311,0.04015835540520151,0.125,0.003521944033324953,0.03663641137187656
M,CO2,30.0,P30p0,2100,total,0.25651247609058103,0.5708393223393623,0.008550415869686034,0.019027977411312076,0.2916666666666667,0.005466380467271915,0.013561596944040162
M,CO2,30.0,P30p0,2100,ais,0.02504705391509443,0.3657316898694291,0.0008349017971698143,0.01219105632898097,0.2916666666666667,0.000534914561902723,0.011656141767078246
M,CO2,30.0,P30p0,2150,total,0.4269080859020846,0.8351915069059631,0.014230269530069487,0.027839716896865437,0.4583333333333333,0.0053204054769219215,0.022519311419943518
M,CO2,30.0,P30p0,2150,ais,0.07582771320515036,0.5817524595436396,0.0025275904401716788,0.019391748651454654,0.4583333333333333,0.0008207333726964313,0.018571015278758225
M,CO2,30.0,P30p0,2300,total,0.9411799675374084,1.6600616892945215,0.03137266558458028,0.05533538964315072,0.5,0.008286852962761375,0.04704853668038934
M,CO2,30.0,P30p0,2300,ais,0.33433148318293604,1.2622143564464097,0.011144382772764534,0.04207381188154699,0.5,0.002010396957721679,0.040063414923825307
M,CO2,1.0,real1Gt,2100,total,0.007298084559963058,0.007627245619405976,0.007298084559963058,0.007627245619405976,0.0,0.007627245619405976,0.0
M,CO2,1.0,real1Gt,2100,ais,0.0007887217287620985,0.0007910234256388593,0.0007887217287620985,0.0007910234256388593,0.0,0.0007910234256388593,0.0
M,CO2,1.0,real1Gt,2150,total,0.009509340940738298,0.009954884434291008,0.009509340940738298,0.009954884434291008,0.0,0.009954884434291008,0.0
M,CO2,1.0,real1Gt,2150,ais,0.001493223694211565,0.0015072290684169747,0.001493223694211565,0.0015072290684169747,0.0,0.0015072290684169747,0.0
M,CO2,1.0,real1Gt,2300,total,0.014380492220197993,0.01708046176196672,0.014380492220197993,0.01708046176196672,0.0,0.01708046176196672,0.0
M,CO2,1.0,real1Gt,2300,ais,0.003805308288619358,0.003911593939963283,0.003805308288619358,0.003911593939963283,0.0,0.003911593939963283,0.0
