name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.5406315607978739,0.8667341384198812,1.5151235653062036,0.9265089813619437,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
gis_slow_ell,12,likelihood_only,-4.207448374546157,1.0,-8.207448374546157,-0.207448374546157,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,-6.116449437027797,-5.130463441016773,-4.441752415513602,-5.189867311729541,Slow (discharge) channel: log rate at the reference temperature,ln(yr⁻¹)
gis_slow_w,13,likelihood_only,0.9328151097655012,1000.0,0.0,1.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.07558102971552877,0.5250697233930692,0.9489220628855567,0.523284257286097,Slow (discharge) channel: temperature-dependent fraction of the rate,–
gis_amp,14,likelihood_only,1.9221976385152952,0.3181243343729514,1.5101657793813976,2.2846646737809513,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,1.5754651488923292,1.916926416503518,2.233722269592658,1.913107861696637,Southern-Greenland/global warming ratio,–
gis_s_high,15,greenland_icesheet,0.0,0.5,-2.0,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,-0.8630195581967481,-0.6449240988000673,-0.43217267735498,-0.6464885175997339,log₁₀ rate scale of the high basin (NO+NE) relative to the active basin,log₁₀(–)
thermal_alpha,16,thermal_expansion,0.1600092262387788,0.0289202732742281,0.1017281451123426,0.240245827809451,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.15498412574936551,0.17150906528080773,0.18485372924371377,0.17092044351620142,Thermal expansion coefficient α,kg m⁻³ °C⁻¹
gic_a_R19,17,glaciers_small_icecaps,0.069,0.018,0.01,0.141,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.03907212917929969,0.0676731913875949,0.09660220030229431,0.06761827939841214,"Committed-loss scale a, RGI 19",m SLE
gic_b_R19,18,glaciers_small_icecaps,0.768973947986,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.2218051397544893,0.7808054474638904,2.5045686402011618,0.9915423779499383,"Equilibrium temperature sensitivity b, RGI 19",K⁻¹ (glacier frame)
gic_T_off_R19,19,glaciers_small_icecaps,0.162195920935,10.0,-3.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,-2.3275322944298553,-0.053682552873623196,0.710878334598192,-0.3378591952289931,"Equilibrium temperature offset T_off, RGI 19","K rel. 1850–1900, glacier frame"
gic_log10_kappa_R19,20,glaciers_small_icecaps,-2.7735015084073384,0.114,-3.906900780980522,-1.6567771449058029,"N(k10c(gic_amp_R19), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.774,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,-2.9994318838411407,-2.778221214638067,-2.5596273163356424,-2.7774597453025325,"log₁₀ of the response-rate constant κ, RGI 19",log₁₀(yr⁻¹ K⁻ν)
gic_a_SLOWP,21,glaciers_small_icecaps,0.145920024267,0.0327892146787,0.0332566214715,0.2770768829818,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.08760797190418829,0.13272189893303005,0.1793607953601415,0.1327739879852648,"Committed-loss scale a, SLOWG",m SLE
gic_b_SLOWP,22,glaciers_small_icecaps,0.269493082055,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.1278494781629495,0.20026650492707085,0.34690025637717514,0.21336758791217172,"Equilibrium temperature sensitivity b, SLOWG",K⁻¹ (glacier frame)
gic_T_off_SLOWP,23,glaciers_small_icecaps,0.342896725929,10.0,-3.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,-2.8529494669444637,-1.646898111008265,0.08992215553881144,-1.5584931336082017,"Equilibrium temperature offset T_off, SLOWG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_SLOWP,24,glaciers_small_icecaps,-3.4077329224195196,0.114,-4.748442048628195,-2.1692365340734474,"N(k10c(gic_amp_SLOWP), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -3.408,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,-3.6785351954700745,-3.4446692646680233,-3.210094150182678,-3.4445401687095045,"log₁₀ of the response-rate constant κ, SLOWG",log₁₀(yr⁻¹ K⁻ν)
gic_a_FAST,25,glaciers_small_icecaps,0.139935475733,0.0242107853213,0.08091770565225,0.2367786170182,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.11154995767191563,0.14551193923172007,0.1800414077407031,0.14563655104542617,"Committed-loss scale a, FASTG",m SLE
gic_b_FAST,26,glaciers_small_icecaps,0.368982026346,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.23958573186178658,0.3335479720594763,0.47634315922426684,0.3421226389027634,"Equilibrium temperature sensitivity b, FASTG",K⁻¹ (glacier frame)
gic_T_off_FAST,27,glaciers_small_icecaps,-1.21396297595,10.0,-3.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,-2.437094035583705,-1.5336678725399948,-0.8020670843024766,-1.56144940547411,"Equilibrium temperature offset T_off, FASTG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_FAST,28,glaciers_small_icecaps,-2.583191353176445,0.114,-3.774659554587068,-1.5210935581243517,"N(k10c(gic_amp_FAST), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.583,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,-2.753805629232999,-2.5631631654028095,-2.3724503646859745,-2.5625679023923107,"log₁₀ of the response-rate constant κ, FASTG",log₁₀(yr⁻¹ K⁻ν)
gic_amp_R19,29,likelihood_only,0.72,0.15,0.58,0.88,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.597674519754697,0.7271492663208818,0.8597278375943049,0.726997291936821,"Regional/global warming ratio, RGI 19",–
gic_amp_SLOWP,30,likelihood_only,2.5,0.45,1.8,3.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,2.0189688304947597,2.5685468224541275,3.17484597982558,2.5781902981360347,"Regional/global warming ratio, SLOWG",–
gic_amp_FAST,31,likelihood_only,1.45,0.15,1.33,1.82,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,1.3455664287399982,1.4588010737652999,1.662383673080556,1.4757027669849911,"Regional/global warming ratio, FASTG",–
gic_u_unch,32,likelihood_only,28.15,1000.0,14.5,41.8,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,18.470389903192157,28.04242963104722,37.78568906937622,28.041543080010307,Uncharted-ice content of the Frederikse glacier target,mm SLE
gic_delta,33,likelihood_only,0.0,0.3,-1.2,1.2,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.11128674196417998,0.24263793471510342,0.39174586926315536,0.24600188473342177,Early-segment (1900–1960) rate bias of the glacier target,mm yr⁻¹
gic_u_pre,34,likelihood_only,12.5,1000.0,0.0,25.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.6761121851941094,7.485345059726482,20.283075525708565,8.578932001938584,Pre-1901 uncharted-ice set-aside (ledger),mm SLE
gic_s_r5,35,likelihood_only,2.5,2.0,0.0,8.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.37083377758713437,2.576850327337311,5.5909955723356735,2.697291590670734,RGI 05 share of the 19th-century glacier datum (ledger),mm SLE
d2_gsic_1,36,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,-0.07603086354696564,0.03561188585704985,0.14034895043874135,0.035003249588112524,"Glacier discrepancy, basis coefficient 1",cm (RMS)
d2_gsic_2,37,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,-0.05330623577046957,0.04076322266642405,0.12628457607068977,0.03949041693705281,"Glacier discrepancy, basis coefficient 2",cm (RMS)
d2_steric_1,38,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.09319255756746041,0.2581022934388819,0.401625446168641,0.25447418037168407,"Thermal-expansion discrepancy, basis coefficient 1",cm (RMS)
d2_steric_2,39,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,-0.09935771495654673,0.012620002373521299,0.12883619529720278,0.013495538238674698,"Thermal-expansion discrepancy, basis coefficient 2",cm (RMS)
antarctic_lambda,40,antarctic_icesheet,0.0104037965530259,0.0036400937870837,0.0039655007162256,0.0207045749815236,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.0053142639245998,0.01038444140440345,0.01628486082036428,0.010539142968531286,Fast-dynamics disintegration rate λ,m yr⁻¹
antarctic_gamma,41,antarctic_icesheet,2.7942969591912563,0.929134202724309,0.7468384104926892,4.216655330550766,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,1.3495880366391528,2.741320416371479,3.93492105648844,2.7058992595041556,Power of ice-flow speed on water depth γ,–
antarctic_kappa,42,antarctic_icesheet,0.065595024147877,0.0135129329991935,0.0306678806536859,0.0844899346889301,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.038610282785870025,0.057858724795859046,0.07721503969026955,0.05790413888859577,Exponential dependence of precipitation on Antarctic temperature κ_DAIS,°C⁻¹
ais_gmst_amp,43,antarctic_icesheet,1.09,0.18,0.55,1.63,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.7833787050182547,1.0739928999585098,1.353599261716302,1.0720647494871243,Antarctic/global warming ratio,–
ais_mu,44,antarctic_icesheet,10.803983219053745,1.8146745536450215,7.050094127655029,13.64998722076416,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,8.252899598222527,10.51785541132953,12.852733275641986,10.524133705406799,Profile parameter µ,m¹ᐟ²
ais_bedheight0,45,antarctic_icesheet,780.0119260199738,22.981432678137423,740.0018920898438,819.9996337890625,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,748.7348771889904,781.5258261622104,813.4976718311448,781.3517271379128,Bed height at the continent centre b₀,m
ais_slope,46,antarctic_icesheet,0.0006282574195086,6.241869534698466e-05,0.0004504189419094,0.000749991624616,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.00059564779703336,0.0006303296347873,0.00066048332621883,0.0006297662108149886,Bed slope,–
ais_iceflow0,47,antarctic_icesheet,1.236704511362016,0.3409994913939713,0.6000201106071472,1.7999885082244873,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.7209210793443162,0.9746651995636262,1.2475541092838047,0.984614439468203,Ice-flow constant f₀,m yr⁻¹
ais_precip0_LOG,48,antarctic_icesheet,-0.9185983775741948,0.7434692410998681,-3.6494137408659304,0.4054295036331867,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,-0.9931786627390804,-0.6383441518559616,-0.278780864437378,-0.6379024072398054,ln of the precipitation constant P₀,ln(m yr⁻¹)
ais_runoff_Ton,49,antarctic_icesheet,-15.635803044193976,5.538678616391889,-43.273209157795954,-5.221713088869225,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,-17.95949437046559,-17.785670203174163,-17.54800435319129,-17.774226505830082,Runoff onset temperature T_on = −h₀/c (sampled in place of h₀),°C (DAIS scale)
ais_c,50,antarctic_icesheet,97.23491521829128,26.614172731873794,47.5013542175293,142.49981689453125,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,55.121587984260614,85.58943913590794,120.9118166476635,86.74477444273693,Runoff-line slope c,m °C⁻¹
sd_ais,51,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the ais residual,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.00162035798922287,0.01349695050274125,0.028444592729334073,0.013963219760855645,"AR(1) innovation sd, Antarctica",cm
