ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp585,lws,2150,fixed,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,lws,2150,joint,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,lws,2300,fixed,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,lws,2300,joint,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,total,2100,fixed,2000,92.00470035654476,93.61810828942413,69.12364813066044,122.75635115666708,53.63270302600664,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,total,2100,joint,2000,90.66746979103189,92.43060804371429,55.545725929660854,134.98063634098781,79.43491041132697,1.4810909376096293,0.9854656277306407,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,total,2150,fixed,2000,193.75922613669252,197.65676644214943,157.4831925877363,252.81760953197588,95.33441694423956,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,total,2150,joint,2000,191.2084722682127,196.58422344504118,130.2843914673892,278.5731258310848,148.28873436369557,1.5554585543899493,0.9868354456232172,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,total,2300,fixed,2000,510.55915012242485,519.2014073127849,410.000309526239,659.2689707668466,249.26866124060757,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,total,2300,joint,2000,497.87001149568414,517.7669249320086,331.19326078256614,757.2182587930187,426.0249980104525,1.7090997155042695,0.9751465846343209,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
