quantity,basin,python,julia,absdiff,tol,window,ssp,tap_onset_K,in_lit_bracket,first_fire_year,k_c,cm2100_med,cm2100_q05,cm2100_q95,m2300_med,m2300_q05,m2300_q95,lit_lo,lit_hi,in_band,ratio_med,ratio_q05,ratio_q95,g4_cm_med,tap_V_m,tap_tau,within_inventory,m2300_SSP1-2.6_med,tap2100_SSP1-2.6_m,m2300_SSP2-4.5_med,tap2100_SSP2-4.5_m,m2300_SSP5-8.5_med,tap2100_SSP5-8.5_m,g4_rel_to_base,headroom_bind_frac,bands_ok,ratio_ok,g4_ok,all_pass
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,8.092499735130566,7.130928157899227,9.290408558637788,15.824822569363057,1.0,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.4822604562778845,0.08391657761883964,2.1289481639691954,0.0,False,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,7.474892001784856,6.636961617816201,8.527876726232307,11.793797285927337,1.0,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.3691436558151726,0.04360632478448243,1.586645472203262,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,6.206813402623635,5.624491535436368,6.965839399823679,9.656360788919482,1.0,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.1379572552952633,0.022231959814403884,1.2990914420736983,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,4.89833896468573,4.565955533406307,5.343303324698445,8.555699841343705,1.0,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.8977731701630074,0.011225350338646111,1.1510171054912086,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,9.439044362039105,8.203170286862482,10.953425215400063,17.922737009834048,1.25,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.728131473180813,0.10489572202354955,2.4111852049614946,0.0,False,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,8.662343697689966,7.588009857977289,9.993505236788149,12.883955405539396,1.25,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.586735472602423,0.05450790598060304,1.7333068402540772,0.0,False,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,7.085575990644234,6.3238131537752,8.04311365060631,10.212159784279581,1.25,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.2977524719525366,0.027789949768004855,1.3738643025921233,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,5.442998702167476,5.007416145890775,6.017363827002153,8.836333599809858,1.25,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.9975223655372166,0.01403168792330764,1.1887713818640109,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,10.782264502112309,9.268957691981441,12.627770379731864,20.02065145030504,1.5,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.9740024900837416,0.12587486642825946,2.6934222459537933,0.0,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,9.853158584101653,8.53275945337972,11.471445261069555,13.97411352515146,1.5,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.8043272893896733,0.06540948717672365,1.879968208304893,0.0,True,True,False,False
