year,ais_p5,ais_p50,ais_p95,gsic_p5,gsic_p50,gsic_p95,gis_p5,gis_p50,gis_p95,te_p5,te_p50,te_p95,total_p5,total_p50,total_p95,ais_obs,gsic_obs,gis_obs,te_obs,total_obs,ais_obs_lo,ais_obs_hi,gsic_obs_lo,gsic_obs_hi,gis_obs_lo,gis_obs_hi,te_obs_lo,te_obs_hi,total_obs_lo,total_obs_hi
1910,-0.630693966513686,-0.5562735160157272,-0.48728787919878025,-6.237899574255707,-5.939584962366057,-5.637342384577281,-4.584166241203416,-4.083745102661597,-3.5621896814473057,-4.398365772999967,-4.117560768298075,-3.808795754124888,-13.251862960457714,-12.7573205942101,-12.07333930089396,-0.5797470959750088,-6.496743735400114,-3.709659749811346,-4.497396707534791,-14.584220989879785,-1.0709090731360698,-0.14590910131281076,-7.786818187887018,-5.088636285608465,-4.190909164602107,-3.2263635635375976,-5.283419665423306,-3.6623451514677567,-17.676997451319128,-11.491444528440443
1911,-0.6255540419809208,-0.5528388759165397,-0.48550048635959786,-6.147610668632778,-5.855764247697206,-5.560375323648617,-4.535713493010688,-4.041198357242875,-3.526519889577536,-4.362501003838089,-4.083985714724418,-3.7777384052011156,-13.045627095636238,-12.558026880135955,-11.880178536919088,-0.5743019017306241,-6.407831534472379,-3.7024556940252134,-4.502541589736938,-13.043930420599185,-1.0609091303565288,-0.14590910131281076,-7.6768183404749095,-5.013636285608465,-4.175909012014215,-3.2263635635375976,-5.3411139098080715,-3.662645368142562,-16.065818522294805,-10.022042318903566
1912,-0.62038967390336,-0.5493237872338241,-0.48369194400102633,-6.057231016231697,-5.772236845708853,-5.483341005271705,-4.48849822760406,-3.9994062302396376,-3.491404635464824,-4.328146519289368,-4.051824524615748,-3.7479888978528293,-12.895302746234366,-12.415280277056315,-11.747705655379546,-0.5688701542941008,-6.332779654589567,-3.6499250238591983,-4.496937417984009,-12.278627734047507,-1.0509090922095559,-0.15090909654443913,-7.586818187887019,-4.9486365144903015,-4.120909088308161,-3.171363639831543,-5.297583636370572,-3.668254499001937,-15.220845141660401,-9.336410326434613
1913,-0.6150029226725555,-0.5457933855453072,-0.4816428800443283,-5.9710744263479985,-5.6892005453831045,-5.4076244822120865,-4.439822545620247,-3.9574765226984887,-3.4540392882257227,-4.391832952605408,-4.1114450229619095,-3.8031386123896533,-12.924630179647712,-12.452976964061063,-11.790362532249013,-0.563472453030673,-6.264344748583707,-3.6160070245916187,-4.43869423866272,-11.516863662958656,-1.0359091303565289,-0.15090909654443913,-7.501818340474909,-4.88363636190241,-4.075909012014216,-3.1363637924194343,-5.208056506243619,-3.6457573218779133,-14.481263207514921,-8.55246411840239
1914,-0.6104189636924096,-0.5433330322037563,-0.48030756688557025,-5.890615466305976,-5.614252227965039,-5.33739716280061,-4.3910931895329375,-3.91570450463876,-3.418105964811459,-4.43446529452956,-4.151355586936635,-3.8400563885113876,-12.695488535989615,-12.231422606758478,-11.574754471598617,-0.5580358418551359,-6.151126059618863,-3.6001985376531427,-4.3344473361969,-11.317767953942738,-1.0209090731360697,-0.15090909654443913,-7.371818035299128,-4.793636209314519,-4.05590893572027,-3.1413637161254884,-5.225079211321744,-3.4610725684599437,-14.22457603762161,-8.410959870263866
1915,-0.6060269689656983,-0.5409418732059327,-0.47924254298987046,-5.813553073327813,-5.5428181759811,-5.271420636316438,-4.342984933465027,-3.875129506829862,-3.382124144249706,-4.417292965576925,-4.135279591522673,-3.825185889562726,-12.468820144313716,-12.010892903264434,-11.362037451698281,-0.5526043805209073,-5.996160849657926,-3.567949086969549,-4.308618783950806,-10.966806909463546,-1.0109091303565287,-0.15090909654443913,-7.206817882711237,-4.673636514490302,-4.015909164602106,-3.121363639831543,-5.1373373595151035,-3.452298764749007,-13.858449396075892,-8.0751644228512
1916,-0.601125108569151,-0.5380467376851631,-0.47801769015151907,-5.735982399914878,-5.4702379809538,-5.205091993844367,-4.296683623266531,-3.8336691915164023,-3.3469211719509744,-4.365513138163325,-4.086805545262971,-3.780346784090212,-12.529446670570138,-12.07735226310944,-11.439697702364475,-0.5471856984225187,-5.89606166752902,-3.5504369562322453,-4.27322907447815,-13.597869378010007,-0.9959090731360698,-0.15090909654443913,-7.076818340474909,-4.568636209314519,-4.0009090120142154,-3.1063634872436516,-5.095237597552212,-3.4506382270292804,-16.451897514044482,-10.743841241975533
1917,-0.5960850042241977,-0.5346627114631166,-0.47612138264634385,-5.6561020959532495,-5.394678916370914,-5.134673118156458,-4.24840975154011,-3.7921529162181944,-3.3108836011000657,-4.312227028332652,-4.036921382222036,-3.734203302772042,-12.631338472481628,-12.188099804075577,-11.55947029281404,-0.5418106946078214,-5.776659354296598,-3.4816617792302904,-4.251692819595336,-12.611988349679645,-0.9859091303565288,-0.15090909654443913,-6.926818340474909,-4.4586363619024105,-3.9209090883081608,-3.0413637161254883,-5.084869250384243,-3.3894676490263516,-15.45375487633324,-9.77022182302605
1918,-0.5907464460989041,-0.5310017156069516,-0.4736116018022786,-5.57332984539436,-5.3162566791523584,-5.063012409989296,-4.200136474534988,-3.750321026626879,-3.274343560758454,-4.260747337347902,-3.988728310771696,-3.6896241025495375,-12.226246933381319,-11.789617103594626,-11.172624808287228,-0.5363208684054288,-5.671779212084684,-3.470746785944159,-4.2542582035064695,-12.208527517008307,-0.9759090922095557,-0.15590909177606754,-6.781817882711237,-4.378636438196356,-3.9059089357202694,-3.0413637161254883,-5.096025714007291,-3.404468564553693,-14.998773341075626,-9.418281692940987
1919,-0.5852046989779749,-0.5272412373677704,-0.47110595469914374,-5.489635447346506,-5.237004300392774,-4.9893014606892985,-4.152057750575587,-3.707977387692014,-3.2380771527690193,-4.210098860143327,-3.9413133858939595,-3.6457646977419866,-11.867520027710889,-11.43810663763861,-10.827090241150438,-0.5308707150545988,-5.585030707446012,-3.454160482233221,-4.2755896091461185,-11.564427391598436,-0.9659090540625828,-0.15590909177606754,-6.681817882711237,-4.303636438196356,-3.88090893572027,-3.0313634872436515,-5.1055388060483065,-3.4511329932646317,-14.377060063926706,-8.751794719270166
1920,-0.5796532167088067,-0.5231138088524,-0.4686472013426429,-5.405000949485672,-5.157467965149282,-4.915306928646747,-4.103274488799086,-3.6651026803292095,-3.2027510035001288,-4.1589595076258625,-3.8934389246714107,-3.601480216007227,-11.742940757483465,-11.320112634053793,-10.718665010756341,-0.5255169781771574,-5.532799491015348,-3.4362096613103685,-4.26266884803772,-10.701706010615759,-0.9509090922095558,-0.15590909177606754,-6.6168184930628,-4.253636438196356,-3.860909240896052,-3.021363639831543,-5.0812162962826815,-3.483283643289046,-13.417805586743393,-7.985606434488124
1921,-0.5741041963078042,-0.5188654489949182,-0.46575231922953586,-5.319919234581063,-5.077678499072377,-4.839901626192926,-4.054180658063423,-3.622263501238754,-3.1654884055050005,-4.117216792038097,-3.854361190590833,-3.5653328180640402,-11.61217936483036,-11.195234852954243,-10.600532575727351,-0.5200888547030362,-5.471430548754606,-3.420304281061346,-4.285170221328736,-10.734537322586597,-0.9409090540625829,-0.15590909177606754,-6.556817882711237,-4.213636285608465,-3.8459090883081606,-3.0013635635375975,-4.92666650685397,-3.5670395179228347,-13.409268563259152,-8.059806081914042
1922,-0.5683336687775697,-0.5146755875476567,-0.46307450089451707,-5.238234797601638,-4.999430913241822,-4.767383630135013,-4.005801612497084,-3.5796466721069935,-3.1277406506155474,-4.070157835495562,-3.8103066204943525,-3.52458178390198,-11.476900783974678,-11.065057435351036,-10.477279545072575,-0.5146193417635831,-5.397064169970426,-3.4399301355535346,-4.291196298599244,-10.889055580499917,-0.9309091112830417,-0.15590909177606754,-6.4768183404749085,-4.143636209314519,-3.850909012014216,-3.0263635635375974,-4.963939150896938,-3.613166455789046,-13.620746885535162,-8.157364275464673
1923,-0.5627114867536699,-0.5105246466620552,-0.4601893117152045,-5.154194536456597,-4.920567543435156,-4.693189527237172,-3.9570760389867288,-3.536676535398935,-3.090677751623556,-4.0503345170181895,-3.791748882763452,-3.5074156419424445,-11.527289911612979,-11.122220067844577,-10.541297047777974,-0.5092426213351164,-5.277970084277067,-3.4075719659978687,-4.334321069717407,-12.369379719999987,-0.9159090540625827,-0.15090909654443913,-6.341818493062799,-4.043636209314519,-3.820909088308161,-3.0013635635375975,-4.981467684832486,-3.6708923621611165,-15.186953202076607,-9.551806237923367
1924,-0.5573515991618847,-0.5064700238616735,-0.45724317752377247,-5.073544221323625,-4.8434024590936176,-4.620915840999823,-3.9083139683510515,-3.4941569824744088,-3.053447845814294,-4.024264416715817,-3.76734317669653,-3.4848400553573478,-11.2727146548585,-10.872707956283815,-10.301349211560368,-0.5037558468905363,-5.183896597948942,-3.348880941217596,-4.327344751358032,-11.843624490956326,-0.9009090922095557,-0.15090909654443913,-6.231817882711237,-3.963636285608465,-3.745909088308161,-2.9513635635375977,-5.018062075701627,-3.5847809119658036,-14.415425125054362,-9.27182385685829
1925,-0.5518807974261113,-0.502499261820627,-0.45449999741780117,-4.994174061588513,-4.768901557744659,-4.550430229989521,-3.860225808302252,-3.451649155525007,-3.0174210260449423,-3.9810150555479193,-3.7268549858570887,-3.4473879670849006,-11.095122882249116,-10.701351893894131,-10.137374284456886,-0.4983725461092862,-5.090534934130583,-3.3296964471990402,-4.261248254776,-12.308590158398246,-0.8909090540625828,-0.15090909654443913,-6.1168184930628,-3.878636438196356,-3.7209090883081606,-2.9313634872436514,-4.963791903582486,-3.5287327094511554,-14.951946091946317,-9.665234224850176
1926,-0.5465516556570343,-0.49832146904642954,-0.4516898363893088,-4.9151102232626025,-4.694323855944891,-4.480034957406385,-3.810455996220547,-3.408647468009967,-2.9805287578127726,-3.9354894458118417,-3.684235869058563,-3.407964745366701,-11.004109643219742,-10.615824425451986,-10.059374072679919,-0.49286192980679605,-4.98425517949191,-3.227677327936346,-4.176789331436157,-12.375294004599997,-0.8809091112830418,-0.15090909654443913,-5.986818187887018,-3.788636285608465,-3.610909240896052,-2.836363792419434,-4.867051562395963,-3.4693149848417804,-14.857375837450114,-9.89321217174988
1927,-0.5410721107155532,-0.4941367568432326,-0.448712328266001,-4.836919618779379,-4.6195134479511974,-4.409135247115634,-3.760897436002643,-3.3659454679256617,-2.9434214202369238,-3.8862646158337317,-3.6381537014525342,-3.365338157880717,-10.929649007146503,-10.54653960944717,-9.996764200605664,-0.4874995144930753,-4.8710231390866365,-3.1523057764226743,-4.124979639053345,-11.688079061427516,-0.8659090540625827,-0.15590909177606754,-5.8518183404749085,-3.68363636190241,-3.5359092408960526,-2.7613637924194343,-4.806061419573697,-3.408334760232405,-14.120179256700355,-9.255978866154676
1928,-0.5353378551217517,-0.4897357966308787,-0.4456329082677782,-4.757504517482355,-4.544821619853883,-4.337443520008747,-3.712208880744126,-3.322936743388953,-2.907214064242236,-3.838034306987144,-3.5930025617340746,-3.3235727829583572,-10.592571702395619,-10.214966705655108,-9.67278031357412,-0.48211411562832923,-4.768762549487027,-3.0399404352361508,-4.053016519546508,-11.935822354782758,-0.8559091112830417,-0.15590909177606754,-5.716818493062799,-3.588636285608465,-3.4159091646021063,-2.661363792419434,-4.735761126604947,-3.352803449197249,-14.436709959335527,-9.434934750229989
1929,-0.5296683199332951,-0.4851873610556819,-0.4421214145821692,-4.6779557762752475,-4.469377185168878,-4.2660174227225065,-3.6618976651597652,-3.279197253254768,-2.87080137948387,-3.797871468394571,-3.5554038405118806,-3.2887934906029934,-10.346191571348248,-9.974876769681327,-9.441265670485466,-0.47669376459988694,-4.671262320605192,-2.9371179407293146,-4.0196997165679935,-12.005013214767548,-0.8459090731360699,-0.15590909177606754,-5.586818187887018,-3.488636285608465,-3.3009090120142153,-2.5713636398315427,-4.652452715960416,-3.3074791236357264,-14.408928882289814,-9.601097547245281
1930,-0.5240835712934833,-0.4806259577088785,-0.43869278001808426,-4.600172429721041,-4.39450129051577,-4.195377051703885,-3.613225883992621,-3.2356958415087584,-2.833366242358718,-3.7932556432024156,-3.5510827035929795,-3.284796384336482,-10.098639887687932,-9.731076542767081,-9.205987001076931,-0.4712276372042569,-4.575126990404996,-2.8757768457586117,-3.9823153018951416,-11.515169963785276,-0.8309091112830418,-0.15590909177606754,-5.476818340474909,-3.4036364381963558,-3.2409091646021064,-2.51136360168457,-4.6152437773617825,-3.2784263892607264,-13.909088972370581,-9.12125095519997
1931,-0.518751113774959,-0.47641910650251296,-0.4357308667010734,-4.525673881187393,-4.323010902655497,-4.127546642368335,-3.565202592552846,-3.192605129465937,-2.7971652613245412,-3.7436090942810685,-3.5046057408595006,-3.2418046063676376,-9.930812527929135,-9.568121167881777,-9.050057203143648,-0.4658552559939298,-4.443500861254606,-2.6913759058172047,-3.9497736454010006,-11.483082223322828,-0.8209090731360698,-0.15590909177606754,-5.32681834047491,-3.2836363619024103,-3.0509090120142157,-2.331363677978516,-4.6000967589291655,-3.307748822732405,-13.914656239200328,-9.051508207445329
1932,-0.5133696756338061,-0.47193007203433424,-0.4321206439735043,-4.450487477758877,-4.251038550039865,-4.05961022506472,-3.516378991272953,-3.1499388145492357,-2.7586451257442954,-3.6895813592300732,-3.454027300200563,-3.195018909477572,-9.770001583835567,-9.413213852565239,-8.902889698049034,-0.4603271397677335,-4.350369605151089,-2.5936906641179864,-3.9116777896881105,-10.051369010422885,-0.8059091112830417,-0.15590909177606754,-5.211818187887018,-3.223636514490302,-2.9509090120142156,-2.23636360168457,-4.558589800921353,-3.2382633490995927,-12.4310001390338,-7.6717378818119695
1933,-0.5074900999889339,-0.4671850023442877,-0.4285728630573918,-4.374617591319785,-4.1781850913588805,-3.9899246802002746,-3.466685956680474,-3.1060369912444923,-2.7206933007183287,-3.666497169955646,-3.432416875549701,-3.1750289935329774,-9.626335277687017,-9.274005949565586,-8.771070531562,-0.4549425515261564,-4.259532507983121,-2.484005719965155,-3.867179727554321,-10.665086116665005,-0.7959090731360698,-0.15590909177606754,-5.106818264180964,-3.143636209314519,-2.8309089357202697,-2.131363677978516,-4.539269122210416,-3.190562848611312,-13.077756208894716,-8.252416024435295
1934,-0.5019281883852025,-0.4626890135075733,-0.42495078861474395,-4.30045675460959,-4.1070029654678475,-3.92238777012871,-3.417551197319769,-3.0620449142703627,-2.6837043013009194,-3.6183236108698296,-3.3873188625152473,-3.133312761464812,-9.524738569195282,-9.176931676526397,-8.681198881133973,-0.449480524930087,-4.18574787053195,-2.3884008234197447,-3.853262567520142,-11.985083748733437,-0.7859091303565289,-0.16090908700769596,-5.016818111593073,-3.0836363619024105,-2.7309089357202696,-2.041363716125488,-4.563311251727018,-3.085680036111312,-14.308634388168272,-9.661533109298603
1935,-0.4961308824153776,-0.45801219883941424,-0.4211008955471374,-4.227272035836905,-4.036445529836083,-3.854602643207894,-3.3687027787334665,-3.018950614266271,-2.646362554293669,-3.5699815604421765,-3.3420631151370053,-3.0914506231349765,-9.451885830860592,-9.108858132717046,-8.621729928849849,-0.4440792950716886,-4.097811469164762,-2.276845914667303,-3.7873159885406498,-10.749636153060496,-0.7709090731360697,-0.16090908700769596,-4.916818111593073,-2.9986365144903018,-2.6159091646021064,-1.9263635635375977,-4.439176043597135,-3.1616272254423663,-13.081579657893435,-8.417692648227558
1936,-0.49048008076345256,-0.4532717720243824,-0.4171530610929788,-4.153310506182968,-3.965550034337493,-3.787179852085651,-3.318487982165369,-2.9748320261393513,-2.606905310650636,-3.520979991815284,-3.296189955200709,-3.049017370385224,-9.092661832250222,-8.754716918086324,-8.276474575401782,-0.43867577639493077,-3.990919837084684,-2.151611310785467,-3.683291864395142,-11.331579615712926,-0.7609091303565287,-0.16090908700769596,-4.786818187887018,-2.8986365144903017,-2.4859092408960524,-1.7963636398315428,-4.3477053252133455,-2.9797191901640456,-13.621363155383467,-9.041796076042385
1937,-0.48470997798233695,-0.44840203471118667,-0.4131407144674234,-4.079762866679259,-3.8942489182860855,-3.718301270306793,-3.269175756299419,-2.930635241474455,-2.5693786976238826,-3.468914813841779,-3.247448776025895,-3.0039311635898343,-8.910026038818781,-8.57883718447508,-8.107717277155722,-0.43329123583706947,-3.8969142523678872,-2.0860078638250177,-3.566823816299438,-10.408622341639276,-0.7459090731360698,-0.15590909177606754,-4.671818035299127,-2.8036364381963557,-2.4059091264551338,-1.746363639831543,-4.188163622942837,-2.9194580359892415,-12.645460624387596,-8.171784058890957
1938,-0.47868339973242524,-0.44328247978988955,-0.40895757649397213,-4.005415716131199,-3.8219417085917406,-3.649830584407588,-3.2190168061744084,-2.886366956443693,-2.5309940266200632,-3.4168766927172203,-3.1987329263087667,-2.958868386862952,-8.800722426228857,-8.474093279433168,-8.010167648382115,-0.4277643593874845,-3.7989928809079254,-2.044928914850409,-3.444520044326782,-9.458879569494297,-0.7359091303565288,-0.15590909177606754,-4.566818111593073,-2.718636209314519,-2.370909088308161,-1.7113636016845697,-4.155308016863736,-2.733458356423812,-11.663485539725091,-7.254273599263502
1939,-0.4725472658781291,-0.4382498746108394,-0.4047261749145563,-3.931285410982357,-3.7510804446798356,-3.581996713249818,-3.1699066784131755,-2.841966571689552,-2.493408019443218,-3.3626990926634686,-3.1480141884831676,-2.9119529133204547,-8.652344213870341,-8.330472721980355,-7.874654712604935,-0.4223870190707119,-3.720932349291714,-1.9972474878484552,-3.301994562149048,-9.040954238843426,-0.7209090731360699,-0.15590909177606754,-4.481818264180964,-2.6486363237554373,-2.320909088308161,-1.6713636398315428,-3.991813525286587,-2.599630384011702,-11.18238298827494,-6.8995254894119125
1940,-0.46640544828472585,-0.4329814487143252,-0.4003643945185196,-3.8562939851425972,-3.6790399023511924,-3.5126820885880847,-3.1200494000310997,-2.7972197574480395,-2.455141344213968,-3.3145703835115405,-3.10295816202686,-2.8702755193677585,-8.426452147482175,-8.109652790349534,-7.662250559650922,-0.4169570836153898,-3.6258666602048004,-1.9552793329412288,-3.169507455825806,-10.107915886818585,-0.7109091303565287,-0.15590909177606754,-4.3718180352991265,-2.55863636190241,-2.2809091264551338,-1.631363677978516,-3.817486437884244,-2.4986515326933425,-12.22670935366698,-7.98912241997019
1941,-0.46033344420239364,-0.4277367282397804,-0.3957628332470812,-3.782149774738729,-3.6078916008941944,-3.444363030820849,-3.070229653949889,-2.752821597512951,-2.417024148399117,-3.2723792052907728,-3.063460596527296,-2.8337397720555977,-8.261744836089584,-7.949919888189039,-7.5100233566291905,-0.41157092181119054,-3.522109946337613,-1.893123418634588,-3.092987680435181,-8.573523044806226,-0.6959090731360698,-0.16090908700769596,-4.25181834047491,-2.4636362856084655,-2.210909050161188,-1.576363563537598,-3.7690699187192047,-2.408424787087874,-10.671727747064653,-6.4753183425478
1942,-0.45429621005374443,-0.42248158087116156,-0.3911346360890921,-3.708600322096708,-3.5376070232249264,-3.3768680667763653,-3.0195136043246076,-2.7083802556801606,-2.3789914543454014,-3.2324975957249746,-3.0261251498182546,-2.7992040119525283,-8.2010545884295,-7.89343629783876,-7.460664730379557,-0.40614322749051196,-3.4279491034421055,-1.8451209848577332,-2.967337656021119,-8.558236350339786,-0.6859091303565288,-0.16090908700769596,-4.136818187887018,-2.3636362856084654,-2.160909050161188,-1.5413637161254878,-3.6121485320004547,-2.277423123879866,-10.577404381917606,-6.539068318761967
1943,-0.4483096189295832,-0.41731641616902737,-0.3865334759501359,-3.6366041184304603,-3.4686513446450427,-3.311191877181443,-2.9700517737413903,-2.6637946646046577,-2.3402538925119662,-3.195548026871061,-2.991534553453498,-2.767207273111151,-8.120536072467251,-7.816526713499738,-7.391170757881062,-0.40063289729031654,-3.319212683764371,-1.775259572809393,-2.8022913455963137,-7.905895246343566,-0.6759090922095559,-0.15590909177606754,-4.011818187887018,-2.2586363619024103,-2.085909050161188,-1.476363563537598,-3.4544539061459627,-2.118810109658675,-9.927721927328289,-5.884068565358843
1944,-0.44242494264187604,-0.41214849351297345,-0.3820238305973039,-3.5672463074797194,-3.4012453996829457,-3.246134684446817,-2.9206836086808905,-2.6197792769395027,-2.300714762356907,-3.1595569463058717,-2.957841252579433,-2.7360405439399296,-7.826218510938834,-7.5271331584557295,-7.108604985409636,-0.3952644738284025,-3.203119620409878,-1.7251830881292172,-2.6818834781646728,-8.759281718198487,-0.6609091303565289,-0.15590909177606754,-3.871818035299127,-2.1536364381963553,-2.025909012014216,-1.4313636779785157,-3.3105162230404934,-2.020424680276351,-10.714875111977227,-6.803688324419747
1945,-0.43652513249849034,-0.40699920229695424,-0.3776964246456176,-3.4979222195114446,-3.3350559182660033,-3.1830140847597255,-2.8721779375867476,-2.575705948818112,-2.2618330458914664,-3.1190249097198994,-2.9198969040829708,-2.7009415419873495,-7.790944982994761,-7.496314470359542,-7.084045241797804,-0.3898103627291593,-3.10310283574191,-1.720994169061834,-2.6717501163482664,-8.789272925871458,-0.6509090922095557,-0.15590909177606754,-3.7568182641809638,-2.078636438196355,-2.020909088308161,-1.4313636779785157,-3.2893065062436184,-2.0411514563993975,-10.752065214227692,-6.826480637515226
1946,-0.4305848471618259,-0.4018562535978043,-0.37310154606330526,-3.4292463722753155,-3.2694425480902316,-3.120850191045325,-2.822751612727157,-2.531414040917354,-2.223473872707064,-3.062322606646941,-2.8668146479326104,-2.651839784121022,-7.601967856365614,-7.31238238741236,-6.907617469724665,-0.3843481930819425,-3.0097617712887854,-1.70151384527033,-2.6829302310943604,-7.319124425810338,-0.6409090540625828,-0.15590909177606754,-3.6468180352991273,-1.9836363619024104,-1.990909164602106,-1.4113636016845699,-3.3654352751645176,-1.9928621573881673,-9.242340624633064,-5.395908226987612
