quantity,basin,python,julia,absdiff,tol,window,ssp,tap_onset_K,in_lit_bracket,first_fire_year,cm2100_med,cm2100_q05,cm2100_q95,m2300_med,m2300_q05,m2300_q95,lit_lo,lit_hi,in_band,ratio_med,ratio_q05,ratio_q95,g4_cm_med,tap_V_m,tap_tau,within_inventory,m2300_SSP1-2.6_med,tap2100_SSP1-2.6_m,m2300_SSP2-4.5_med,tap2100_SSP2-4.5_m,m2300_SSP5-8.5_med,tap2100_SSP5-8.5_m,g4_rel_to_base,headroom_bind_frac,bands_ok,ratio_ok,g4_ok,all_pass
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,15.872017123605042,13.325352245053146,18.885992699341436,7.396916753137081,2.5,50.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,2.9069496638751526,0.0,1.0,0.0005,True,True,True,True
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,13.745329724471786,11.64071546792724,16.245689571688416,7.396916753137081,2.5,100.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,2.516808914679267,0.0,1.0,0.0005,True,True,True,True
tap_cell,high,,,,,,,5.5,True,,,,,,,,,,,10.381176155609978,8.959507153930051,12.090787681684509,7.396916753137081,2.5,200.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,1.9001145366699368,0.0,1.0,0.0005,True,True,True,True
tap_cell,high,,,,,,,6.0,True,,,,,,,,,,,10.470025689029798,9.029315607536798,12.200154685009297,7.396916753137081,1.5,50.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,1.9162868527494603,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,6.0,True,,,,,,,,,,,13.04319888395387,11.08012741969334,15.37898913919775,7.396916753137081,2.0,50.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,2.3885129035125767,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,6.0,True,,,,,,,,,,,11.08346983123247,9.51766198922915,12.96002137187695,7.396916753137081,2.0,100.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,2.028649849491995,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,6.0,True,,,,,,,,,,,15.620229044859538,13.126175121924364,18.57296707020831,7.396916753137081,2.5,50.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,2.8607389542756927,0.0,1.0,0.0005,True,True,True,True
tap_cell,high,,,,,,,6.0,True,,,,,,,,,,,13.165347763238124,11.177872684831325,15.530293077308643,7.396916753137081,2.5,100.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,2.410910136749966,0.0,1.0,0.0005,True,True,True,True
tap_cell,high,,,,,,,6.0,True,,,,,,,,,,,9.759413035870852,8.463280272806475,11.32817932867686,7.396916753137081,2.5,200.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,1.7866974151680393,0.0,1.0,0.0005,True,True,True,True
tap_cell,high,,,,,,,6.5,True,,,,,,,,,,,10.11719333065158,8.750436353552601,11.76611747080404,7.396916753137081,1.5,50.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,1.8519120218386993,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,6.5,True,,,,,,,,,,,12.574918833587624,10.705537406787569,14.802615093161874,7.396916753137081,2.0,50.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,2.3026797956315614,0.0,1.0,0.0,True,True,True,True
tap_cell,high,,,,,,,6.5,True,,,,,,,,,,,10.268619427143689,8.870474979499095,11.951303398421969,7.396916753137081,2.0,100.0,True,0.1008443308767274,0.0,0.1831982335783065,0.0,1.8794887185669344,0.0,1.0,0.0,True,True,True,True
