year,incumbent_hindcast_cm,stock_hindcast_cm,A_hindcast_cm,B_hindcast_cm,A+B_hindcast_cm,A+B'_hindcast_cm,A+B+C_hindcast_cm,A+B'+C_hindcast_cm,A+B+C+D_hindcast_cm,A+B'+C+D_hindcast_cm,A+B'+C+D2_hindcast_cm
1875,-5.25980332,-11.3544075,-4.6217417,-10.0756569,-4.60712802,-4.3416167,-2.64371883,-1.80166243,-4.56505766,-3.26126667,-4.31509073
1876,-5.21905518,-10.9628991,-4.57082071,-9.73375641,-4.55671993,-4.29583319,-2.62598696,-1.78123348,-4.50024414,-3.24663526,-4.2705484
1877,-5.1782978,-10.5852966,-4.53134459,-9.40418499,-4.51780691,-4.26393852,-2.60818678,-1.76998959,-4.43575159,-3.23945982,-4.23934911
1878,-5.13750491,-10.2202193,-4.49266288,-9.08523162,-4.47969803,-4.23284303,-2.59026159,-1.75917364,-4.37126814,-3.23238859,-4.20890845
1879,-5.09684311,-9.87296037,-4.42189932,-8.78437081,-4.40931385,-4.1656875,-2.57257345,-1.72351629,-4.30592021,-3.19864463,-4.14426567
1880,-5.05614601,-9.53714243,-4.37402166,-8.49304325,-4.3619643,-4.12273747,-2.55476025,-1.70411696,-4.24113709,-3.1852708,-4.10228035
1881,-5.01558673,-9.21794079,-4.34287807,-8.21862037,-4.33141899,-4.10090154,-2.53719973,-1.69925194,-4.18670352,-3.18027267,-4.08087175
1882,-4.97495445,-8.90800811,-4.3198155,-7.95110016,-4.30897678,-4.09099645,-2.51943171,-1.69925014,-4.16294314,-3.17799551,-4.0714394
1883,-4.9343326,-8.60965716,-4.32150296,-7.69386813,-4.31091221,-4.09099644,-2.50163836,-1.69924834,-4.16294303,-3.17799538,-4.0714394
1884,-4.8936838,-8.32138442,-4.30817987,-7.4449917,-4.29752215,-4.09099643,-2.48373861,-1.69924647,-4.16294293,-3.17799526,-4.0714394
1885,-4.85371719,-8.06263511,-4.30995219,-7.23220675,-4.29962313,-4.09099643,-2.4672871,-1.69924533,-4.16294283,-3.17799514,-4.0714394
1886,-4.81644023,-7.88274711,-4.29679585,-7.10682936,-4.28639886,-4.09099642,-2.45608048,-3.16516316,-4.16294276,-3.17799506,-4.0714394
1887,-4.77922615,-7.70896922,-4.29478666,-6.98663512,-4.28355084,-4.09099642,-2.44493789,-3.20016604,-4.16294269,-3.17799497,-4.0714394
1888,-4.74119995,-7.5198646,-4.29492562,-6.86060052,-4.28319237,-4.09099641,-2.43239732,-3.20016516,-4.16294262,-3.17799488,-4.0714394
1889,-4.70252173,-7.32031312,-4.25985067,-6.71669059,-4.2487542,-4.06308482,-2.41853827,-3.19094581,-4.1148807,-3.17271094,-4.04400173
1890,-4.66343083,-7.11695404,-4.23707841,-6.56238991,-4.22666431,-4.05281986,-2.40376841,-3.19094397,-4.09653135,-3.17066506,-4.03419123
1891,-4.62385697,-6.90867733,-4.22184236,-6.39556225,-4.21181825,-4.05281985,-2.3879049,-3.19094167,-4.09651495,-3.17066495,-4.03419123
1892,-4.58428921,-6.7075027,-4.20834978,-6.23436746,-4.19846904,-4.05281985,-2.37200793,-3.19093936,-4.09651485,-3.17066483,-4.03419123
1893,-4.54494847,-6.51813941,-4.18577192,-6.0862843,-4.17661662,-4.04233074,-2.35656125,-3.19093724,-4.07651879,-3.16848743,-4.02414927
1894,-4.50554305,-6.33357256,-4.15006751,-5.94066918,-4.14158858,-4.01270707,-2.34092692,-3.18033525,-4.01703601,-3.16220358,-3.99499499
1895,-4.46575973,-6.14703968,-4.14875819,-5.78689629,-4.13965132,-4.01270707,-2.32441443,-3.18033265,-4.01703591,-3.16220347,-3.99499499
1896,-4.42571368,-5.96139643,-4.09271739,-5.62936897,-4.08413349,-3.9593075,-2.30727459,-3.15267853,-3.95201116,-3.13880088,-3.94294028
1897,-4.38543094,-5.77742141,-4.08676342,-5.46934208,-4.07760025,-3.95930749,-2.28956682,-3.15267532,-3.95201106,-3.13880075,-3.94294028
1898,-4.34507331,-5.59857109,-4.06571656,-5.31240373,-4.05731863,-3.95015,-2.27164783,-3.152672,-3.93128718,-3.13662664,-3.93422178
1899,-4.30464614,-5.42485437,-4.06231662,-5.15871699,-4.05328063,-3.95015,-2.25352956,-3.15266857,-3.93128707,-3.13662651,-3.93422178
1900,-4.26416919,-5.25654415,-4.04800757,-5.00887252,-4.03948725,-3.95014999,-2.23525604,-3.15266504,-3.93126315,-3.13662638,-3.93422178
1901,-4.22378534,-5.09616622,-3.9972651,-4.86708108,-3.98932986,-3.90196014,-2.21713651,-3.12833744,-3.86627816,-3.11688055,-3.88704082
1902,-4.18346409,-4.94278519,-3.94372935,-4.73203062,-3.93634489,-3.85072626,-2.19910571,-3.10149491,-3.8012089,-3.09400389,-3.83692484
1903,-4.14323154,-4.79654733,-3.91348586,-4.60413458,-3.90684282,-3.82677325,-2.18122076,-3.09431752,-3.74714823,-3.08814982,-3.81324955
1904,-4.10326046,-4.6600482,-3.89372984,-4.48777402,-3.88789238,-3.81806358,-2.16386186,-3.09431449,-3.72966746,-3.08608286,-3.80494584
1905,-4.06448839,-4.54765488,-3.88251199,-4.40673321,-3.87691679,-3.81806358,-2.14909105,-3.09431263,-3.72966737,-3.08608276,-3.80494584
1906,-4.02591209,-4.44176939,-3.84946322,-4.33294444,-3.84460595,-3.78993642,-2.1346944,-3.08395094,-3.68792936,-3.08028445,-3.77711034
1907,-3.98675041,-4.330332,-3.84234562,-4.24643256,-3.83728725,-3.78993641,-2.1189843,-3.08394869,-3.68792926,-3.08028433,-3.77711034
1908,-3.94717523,-4.21630441,-3.83675501,-4.15195033,-3.83137918,-3.78993641,-2.10231283,-3.083946,-3.68792916,-3.08028422,-3.77711034
1909,-3.90769683,-4.10761479,-3.79079113,-4.06275194,-3.78604621,-3.74621241,-2.08580858,-3.06190542,-3.62313847,-3.06418778,-3.73405644
1910,-3.86807061,-4.00045533,-3.74190161,-3.97257595,-3.73774942,-3.69925161,-2.06892923,-3.03718009,-3.55823071,-3.04456388,-3.68786173
1911,-3.82826709,-3.89443517,-3.73050426,-3.88083232,-3.72680524,-3.69925161,-2.05160996,-3.03717707,-3.55823061,-3.04456376,-3.68786173
1912,-3.78843272,-3.79169354,-3.70354576,-3.79120854,-3.70064829,-3.67821713,-2.03417512,-3.03170219,-3.5167898,-3.03937885,-3.66701226
1913,-3.74853119,-3.69163297,-3.64350025,-3.70280819,-3.64105365,-3.61993674,-2.01654461,-2.99795244,-3.45150621,-3.00802634,-3.6100414
1914,-3.70947245,-3.60631139,-3.6222122,-3.63624264,-3.62060174,-3.6063996,-2.00073271,-2.99795014,-3.43096184,-3.00490476,-3.5967292
1915,-3.67076743,-3.52821723,-3.62268265,-3.57916048,-3.62096676,-3.60639959,-1.98565121,-2.99794814,-3.43096175,-3.00490465,-3.5967292
1916,-3.63179379,-3.44927535,-3.55935844,-3.51779053,-3.55803447,-3.54513097,-1.96993483,-2.96129919,-3.3657646,-2.97127048,-3.53688745
1917,-3.59233396,-3.36687574,-3.48580792,-3.44759944,-3.48472896,-3.47513571,-1.95309325,-2.91731254,-3.30020826,-2.92768505,-3.46890294
1918,-3.55241311,-3.28151719,-3.44737588,-3.36948039,-3.44694519,-3.43873241,-1.93518593,-2.89903617,-3.23545296,-2.91565735,-3.43265794
1919,-3.51221739,-3.1957501,-3.44637206,-3.2879067,-3.44575142,-3.43873241,-1.91663362,-2.89903245,-3.23545285,-2.91565722,-3.43265794
1920,-3.4717995,-3.11034217,-3.4254851,-3.20431384,-3.42567117,-3.42423871,-1.89756072,-2.89792916,-3.20551958,-2.91164865,-3.41828378
1921,-3.43117227,-3.02552113,-3.4196671,-3.11922701,-3.41988824,-3.42423871,-1.87800423,-2.8979248,-3.20551947,-2.91164851,-3.41828378
1922,-3.39061593,-2.94478774,-3.41192979,-3.03866307,-3.41240556,-3.4242387,-1.85854906,-2.89792052,-3.20551935,-2.91164838,-3.41828378
1923,-3.34987819,-2.86492045,-3.38799344,-2.95732779,-3.38926636,-3.40516221,-1.83867624,-2.89313798,-3.16279721,-2.90618818,-3.39924267
1924,-3.30927385,-2.78969334,-3.32792961,-2.88161108,-3.32958604,-3.34700771,-1.81902983,-2.85709278,-3.09723122,-2.87067051,-3.34208992
1925,-3.26884309,-2.71931202,-3.27666598,-2.81191675,-3.27880379,-3.29703555,-1.79969812,-2.82711526,-3.03193136,-2.84310623,-3.29261613
1926,-3.2282837,-2.65010839,-3.23964937,-2.74226401,-3.24242567,-3.26148086,-1.78005361,-2.80849359,-2.96705214,-2.82996174,-3.25704911
1927,-3.18752039,-2.58123279,-3.1468159,-2.67137693,-3.14948171,-3.17820014,-1.75995137,-2.75042968,-2.90055118,-2.77104817,-3.17669981
1928,-3.14659047,-2.51314569,-3.0534179,-2.60013407,-3.05595316,-3.09516257,-1.73947691,-2.69138268,-2.8339559,-2.71122599,-3.09644207
1929,-3.10545356,-2.44541257,-2.91062549,-2.52796662,-2.91229363,-2.92509604,-1.71856509,-2.60609383,-2.76619348,-2.62714348,-2.92493403
1930,-3.0643107,-2.38030002,-2.76781384,-2.45859937,-2.76864268,-2.75391895,-1.69760037,-2.51981163,-2.69837825,-2.54214265,-2.75328302
1931,-3.02350981,-2.32142588,-2.69931531,-2.39777738,-2.70028839,-2.69032706,-1.6772467,-2.47340551,-2.63231658,-2.49400693,-2.69183143
1932,-2.98258001,-2.26346964,-2.63480869,-2.33714858,-2.63595722,-2.63003891,-1.65660043,-2.42917815,-2.56630977,-2.44788568,-2.63331466
1933,-2.94137798,-2.20492294,-2.50654485,-2.27447745,-2.50707612,-2.48356651,-1.6354044,-2.34797199,-2.49866237,-2.36757786,-2.48480216
1934,-2.90025873,-2.14956263,-2.40718311,-2.21568562,-2.40747471,-2.39232199,-1.61431797,-2.28096502,-2.43163793,-2.30039714,-2.38773884
1935,-2.85907959,-2.0957757,-2.34678003,-2.15834094,-2.34723659,-2.33598728,-1.59308271,-2.23736955,-2.36558869,-2.25486054,-2.33333231
1936,-2.81769287,-2.04201048,-2.26867908,-2.10017552,-2.26911961,-2.26795048,-1.57144108,-2.18167146,-2.29896545,-2.19813538,-2.26830954
1937,-2.7761409,-1.98873255,-2.17611081,-2.04199453,-2.17637603,-2.18842717,-1.54948384,-2.11676818,-2.23189075,-2.13290029,-2.18186729
1938,-2.73435712,-1.93527108,-2.1273483,-1.98291014,-2.12783123,-2.14146919,-1.52712314,-2.07989705,-2.16601379,-2.09495396,-2.13598926
1939,-2.69262348,-1.88453812,-2.10825276,-1.92725939,-2.10907597,-2.12117844,-1.50480421,-2.06962295,-2.12189284,-2.0869727,-2.11575505
1940,-2.65059971,-1.8329838,-2.00296678,-1.86995148,-2.00346154,-2.01433401,-1.48202873,-1.99647978,-2.05430774,-2.01412069,-2.00392294
1941,-2.60853642,-1.78321197,-1.93131343,-1.81480831,-1.93181716,-1.95253978,-1.45916698,-1.9422678,-1.98757952,-1.95877074,-1.9447129
1942,-2.56647616,-1.73557797,-1.78367497,-1.76234812,-1.78337682,-1.76842314,-1.43628011,-1.84687337,-1.91894686,-1.86534753,-1.76215655
1943,-2.52448438,-1.69062656,-1.68865547,-1.71332608,-1.68815623,-1.678301,-1.41345527,-1.77698903,-1.85150163,-1.7955084,-1.66712671
1944,-2.48263203,-1.64889581,-1.6583407,-1.66845563,-1.65802921,-1.64613793,-1.39079551,-1.75156678,-1.78611513,-1.77251966,-1.63596234
1945,-2.44083856,-1.60944242,-1.62600283,-1.62640955,-1.62587381,-1.61239566,-1.36818747,-1.72404841,-1.72063701,-1.74678845,-1.6032857
1946,-2.3989991,-1.57117847,-1.56318839,-1.58570887,-1.56310382,-1.55800929,-1.34548321,-1.67275471,-1.65406154,-1.69413628,-1.55175942
1947,-2.35685805,-1.53166974,-1.4702953,-1.54312592,-1.47002295,-1.47016498,-1.32234984,-1.60241888,-1.58653983,-1.62388017,-1.45873091
1948,-2.3145469,-1.49222167,-1.3594171,-1.50048471,-1.35880512,-1.34692149,-1.29898947,-1.52161501,-1.51848444,-1.54394668,-1.33337846
1949,-2.27198597,-1.45208654,-1.31855745,-1.45685793,-1.3180554,-1.3072939,-1.27534474,-1.48434158,-1.45245237,-1.50506181,-1.29573115
1950,-2.22929934,-1.41249801,-1.31575984,-1.41392021,-1.315199,-1.30173863,-1.25156584,-1.48433251,-1.44201821,-1.502412,-1.29051883
1951,-2.18659976,-1.3745208,-1.26252268,-1.37306606,-1.26203015,-1.2546111,-1.22775702,-1.43726119,-1.37549637,-1.45366519,-1.24609575
1952,-2.14393327,-1.33851412,-1.23092537,-1.33473775,-1.23054294,-1.22176161,-1.20395861,-1.40701745,-1.31351739,-1.42402778,-1.21454741
1953,-2.10125104,-1.30392511,-1.16930635,-1.2982084,-1.16894774,-1.17054448,-1.18012784,-1.35340721,-1.24667696,-1.36923578,-1.16642099
1954,-2.05854019,-1.27057102,-1.13012279,-1.26323683,-1.12985756,-1.13282452,-1.15625849,-1.31589976,-1.18089231,-1.3299654,-1.13029828
1955,-2.0159093,-1.2393897,-1.08465515,-1.23097918,-1.08446726,-1.0914285,-1.13243554,-1.27309073,-1.1145725,-1.28515914,-1.09079434
1956,-1.97325891,-1.20936559,-1.04486839,-1.20014562,-1.04476483,-1.0537255,-1.10858092,-1.2343776,-1.05621947,-1.24430097,-1.05459473
1957,-1.93055499,-1.18014089,-1.01359452,-1.17028904,-1.01357575,-1.0216916,-1.08467035,-1.20253139,-1.00869077,-1.21251096,-1.02357948
1958,-1.88783269,-1.15199913,-0.966909927,-1.14175378,-0.966955996,-0.980343468,-1.06073039,-1.15782599,-0.949649366,-1.16595183,-0.983987403
1959,-1.84488005,-1.12298727,-0.916663854,-1.11216529,-0.916761006,-0.937311811,-1.03663218,-1.11008003,-0.88913181,-1.11658219,-0.942824978
1960,-1.80163579,-1.09257813,-0.885420993,-1.08092164,-0.885588827,-0.905702777,-1.01237209,-1.07713811,-0.845571139,-1.08320498,-0.912072684
1961,-1.75818337,-1.06160201,-0.799500421,-1.04906642,-0.799537714,-0.82566533,-0.98800499,-1.00561193,-0.777766254,-1.01185157,-0.825928549
1962,-1.71474812,-1.03218616,-0.761608311,-1.01916993,-0.761702621,-0.790323224,-0.963637832,-0.966005503,-0.733326108,-0.970008086,-0.791914133
1963,-1.67139659,-1.00485616,-0.703172085,-0.991826007,-0.703279505,-0.744510193,-0.939300958,-0.910771448,-0.679379628,-0.913716695,-0.748443458
1964,-1.62843284,-0.982182602,-0.661952816,-0.970019937,-0.662107418,-0.707776513,-0.915145982,-0.867669815,-0.642161628,-0.868641026,-0.713053887
1965,-1.58707572,-0.973416375,-0.618761334,-0.964306852,-0.618958844,-0.670250438,-0.892515382,-0.822680516,-0.631565351,-0.821817296,-0.67689721
1966,-1.5463018,-0.969068007,-0.564842753,-0.963440525,-0.565061839,-0.627710497,-0.87075534,-0.769415821,-0.636281746,-0.767342033,-0.636172952
1967,-1.50536324,-0.963594219,-0.538493331,-0.96112619,-0.538729121,-0.600058056,-0.848689694,-0.737762408,-0.635097858,-0.736367286,-0.609053469
1968,-1.46353408,-0.951561935,-0.53349136,-0.951173845,-0.533566064,-0.587984711,-0.825376897,-0.729600774,-0.627766466,-0.729089835,-0.597031938
1969,-1.4214961,-0.938275136,-0.513818705,-0.939671688,-0.51388045,-0.564753161,-0.801822412,-0.704128127,-0.611271752,-0.705839441,-0.574076557
1970,-1.37899585,-0.921687657,-0.506970657,-0.924271325,-0.506900558,-0.551067227,-0.777871394,-0.693199531,-0.59938194,-0.697370132,-0.560423615
1971,-1.33607188,-0.902154177,-0.496555824,-0.905406429,-0.496399208,-0.53453393,-0.753672995,-0.677697724,-0.583366227,-0.687013245,-0.543943654
1972,-1.29288149,-0.881108312,-0.504818556,-0.88477471,-0.504306517,-0.534533927,-0.729339193,-0.677686364,-0.583366082,-0.687013093,-0.543943654
1973,-1.24988561,-0.86263726,-0.509694947,-0.867139983,-0.508786384,-0.533128604,-0.705087841,-0.677675379,-0.582146048,-0.686165662,-0.542793993
1974,-1.2067531,-0.843740335,-0.508247697,-0.848995595,-0.507111054,-0.524486717,-0.680764449,-0.674434598,-0.57355607,-0.680716925,-0.534190381
1975,-1.16329948,-0.822813795,-0.480151804,-0.828494376,-0.479043856,-0.496581204,-0.65629724,-0.640666766,-0.543934589,-0.646152734,-0.506727511
1976,-1.1197663,-0.802083322,-0.476657615,-0.80823899,-0.475360457,-0.485929878,-0.631793185,-0.634011951,-0.533066031,-0.639297387,-0.496068553
1977,-1.07633398,-0.783136849,-0.458465288,-0.790058818,-0.457148661,-0.464221119,-0.607321711,-0.609519487,-0.51143831,-0.617058195,-0.474482582
1978,-1.03270524,-0.763257231,-0.398288207,-0.770797636,-0.396992299,-0.421469545,-0.582770109,-0.550617096,-0.468570524,-0.557376842,-0.433335182
1979,-0.988638614,-0.740288407,-0.373879363,-0.747976182,-0.372590675,-0.39614903,-0.558067069,-0.519244284,-0.443255814,-0.52589487,-0.4082058
1980,-0.944063794,-0.713632331,-0.355741217,-0.720931303,-0.354422368,-0.37466424,-0.533217549,-0.493823765,-0.421179906,-0.502279871,-0.386740338
1981,-0.898853238,-0.68210875,-0.298575502,-0.688328301,-0.297285354,-0.334164912,-0.508216383,-0.436108256,-0.377940697,-0.443699778,-0.347493846
1982,-0.853336316,-0.649151139,-0.291462242,-0.654245974,-0.290017425,-0.320177412,-0.48314986,-0.422563818,-0.363727505,-0.433893779,-0.333355458
1983,-0.807530441,-0.615004672,-0.297587139,-0.618988811,-0.29567228,-0.318782718,-0.458024697,-0.422544576,-0.362429291,-0.432947857,-0.332174855
1984,-0.762114413,-0.586568268,-0.309474107,-0.590585555,-0.311062075,-0.318782716,-0.432975319,-0.422526593,-0.362429142,-0.432947702,-0.332174855
1985,-0.71735493,-0.565844794,-0.321769258,-0.571152006,-0.324114021,-0.318782714,-0.408066478,-0.422510502,-0.362428994,-0.432947548,-0.332174855
1986,-0.672392219,-0.544189134,-0.256040758,-0.55061067,-0.258348433,-0.275764843,-0.383109305,-0.358829256,-0.321623882,-0.368851825,-0.279610723
1987,-0.626743245,-0.51696595,-0.232427997,-0.523634239,-0.234667551,-0.251635099,-0.358009018,-0.326884834,-0.298806158,-0.336378255,-0.255544563
1988,-0.580582401,-0.486034015,-0.20070547,-0.492434328,-0.202914356,-0.22352901,-0.332808961,-0.287439259,-0.271916674,-0.294692574,-0.227671866
1989,-0.533930134,-0.451723145,-0.179188713,-0.457446635,-0.181315835,-0.200780054,-0.307511379,-0.256981629,-0.250149659,-0.264041848,-0.204875889
1990,-0.486620541,-0.412374837,-0.190648013,-0.416786602,-0.192612134,-0.200780052,-0.282071071,-0.256954937,-0.250149508,-0.26404169,-0.204875889
1991,-0.438447212,-0.36582801,-0.193409091,-0.368004952,-0.194917902,-0.195045901,-0.256400351,-0.256923524,-0.243902688,-0.259653197,-0.199113407
1992,-0.389685342,-0.315472108,-0.170790085,-0.315230858,-0.17222266,-0.171964154,-0.230528775,-0.2253233,-0.216211699,-0.226854422,-0.175966404
1993,-0.341800742,-0.27813177,-0.18077637,-0.278191019,-0.18169919,-0.171964152,-0.204931978,-0.225293126,-0.216211546,-0.226854263,-0.175966404
1994,-0.296096065,-0.264923879,-0.192066639,-0.26889794,-0.192748921,-0.171964149,-0.179810147,-0.225273051,-0.216211397,-0.226854107,-0.175966404
1995,-0.250002436,-0.248616937,-0.190380433,-0.255748532,-0.190704454,-0.162385155,-0.154612173,-0.218050574,-0.208512463,-0.219595468,-0.166217051
1996,-0.202711035,-0.221170051,-0.182494038,-0.229548355,-0.182579441,-0.148274523,-0.129158361,-0.202382799,-0.195453775,-0.208671538,-0.151865005
1997,-0.154122422,-0.181342573,-0.135247768,-0.188905411,-0.135346662,-0.114608557,-0.103315123,-0.150217551,-0.158171642,-0.155239104,-0.118692993
1998,-0.104602949,-0.133417079,-0.108648327,-0.139040677,-0.10869543,-0.0901189119,-0.0770665755,-0.114371022,-0.127659736,-0.116898749,-0.0940998827
1999,-0.0544275149,-0.0809418846,-0.0697472794,-0.084319431,-0.0697944711,-0.0603509029,-0.0504005525,-0.0679085297,-0.0864236033,-0.0687479401,-0.0644714942
2000,-0.00371608291,-0.0256155901,-0.049953546,-0.0268358763,-0.0498982963,-0.0394899546,-0.0223419176,-0.0378715198,-0.0459700076,-0.0357859527,-0.0433268409
2001,0.0477544175,0.0351539607,-0.000344981194,0.036437655,-0.000308656338,-0.00605879821,0.010100849,0.0171631826,0.0220578297,0.0202816172,-0.0102283122
2002,0.100232214,0.104271068,0.0602521262,0.108814292,0.0602696024,0.0308473116,0.0516304767,0.0801939313,0.0919391296,0.0837350972,0.0353312155
2003,0.153464132,0.177958725,0.110263035,0.185587807,0.110259419,0.0637426874,0.101755778,0.13647308,0.162433366,0.140941441,0.067916681
2004,0.207123123,0.251510542,0.245095828,0.261133481,0.245360646,0.228480719,0.157329504,0.241071858,0.236064756,0.242815783,0.234657679
2005,0.261008554,0.322209819,0.321205384,0.332425046,0.321437743,0.298216084,0.216078094,0.315899944,0.309696146,0.317164813,0.310996003
2006,0.315038282,0.389159749,0.428051058,0.398697821,0.428320347,0.422355801,0.27702847,0.408398533,0.383327535,0.40784868,0.437247432
2007,0.369186166,0.45229865,0.488997175,0.460167167,0.489202194,0.465462342,0.33987289,0.475278652,0.456894901,0.474846795,0.487097524
2008,0.423508179,0.512651331,0.560716315,0.518276103,0.560843223,0.530613436,0.405300482,0.549471148,0.530526291,0.548603266,0.557196409
2009,0.477984981,0.570170155,0.600476718,0.573119411,0.600598312,0.55801864,0.473070805,0.60258463,0.603029405,0.602870308,0.581401833
2010,0.532945787,0.629365371,0.653638481,0.630126356,0.653694496,0.589260559,0.547131125,0.665743418,0.676660795,0.666419145,0.618266701
2011,0.588340421,0.689418008,0.87125783,0.688237214,0.871877211,0.864646784,0.626666055,0.808795457,0.750292185,0.803824709,0.880745478
2012,0.644248988,0.751302269,0.900783588,0.748560581,0.901466558,0.887980297,0.712210541,0.856606567,0.823923574,0.853174049,0.89908678
2013,0.700831794,0.817023056,0.980111618,0.813391036,0.980599333,0.973626273,0.804597421,0.938779937,0.897554964,0.934283977,0.984301843
2014,0.757988355,0.884875344,1.03609826,0.880531775,1.03644207,1.01634101,0.901790984,1.00716987,0.971186354,1.00264483,1.02954821
2015,0.815948887,0.95787204,1.10980431,0.953515822,1.10993289,1.09382987,1.00352993,1.08718593,1.04481774,1.08174588,1.10629479
2016,0.874626903,1.03434803,1.10759636,1.03014142,1.10841913,1.10390397,1.10706347,1.104104,1.11463129,1.10250601,1.11378783
2017,0.933695535,1.10927021,1.22432845,1.10431614,1.22489058,1.25246758,1.21123693,1.2078887,1.18826268,1.20357112,1.25431444
2018,0.993266406,1.1843329,1.27212515,1.17831247,1.27254542,1.28253699,1.31615974,1.27287526,1.26189407,1.26876337,1.28580713
2019,1.05360641,1.26335062,1.30088837,1.25678373,1.30135091,1.3040369,1.42209514,1.32389042,1.33552546,1.32103437,1.29987626
2020,1.11438492,1.34106293,1.39709964,1.33325468,1.39722168,1.42321114,1.52856512,1.4187778,1.40915685,1.4138633,1.41202264
2021,1.17524568,1.41233904,1.44978582,1.40180271,1.44970041,1.46637619,1.63515643,1.48866284,1.48278824,1.48357705,1.4542977
2022,1.23683504,1.48723622,1.54646681,1.47499608,1.54598939,1.58831524,1.74251656,1.58502874,1.55641963,1.5777704,1.56715992
