year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected,provenance
1900,-1.17867082486161,-0.6408373361947939,-0.15397748312212708,-1.4846335664201944,0.1830111186337296,-0.6340783032503996,-7.301600390751463,-6.39694778938694,-5.270203165160988,-8.157823592761133,-4.50553668885454,-7.27700420293,-4.522767351704268,-4.107905915935202,-3.7010401479161974,-5.215342566594308,-2.953234419577584,-4.130332357233222,-4.029521324615034,-3.6234454793199635,-3.2205585174861397,-4.828089610266271,-2.453863302324338,-3.6098928928375242,-15.076162288750279,-13.468272091036908,-12.036546380564186,NaN,NaN,-13.937918849348069,-7.27700420293,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1911,-1.0691327178389756,-0.6227021867167701,-0.21000318034838347,-1.3819845989885564,0.10954372735914206,-0.5743019017306241,-6.538513822313486,-5.761667859735049,-4.77033030268022,-7.398231998623407,-4.068855944345372,-6.40783153447,-4.086720932997061,-3.7578985652336234,-3.422147563058012,-4.398309477867036,-3.1239381471707772,-3.7024556940252134,-3.8999025471588187,-3.5068890609832084,-3.116961880532584,-4.682809432423102,-2.272783751801981,-4.502541589736938,-13.242089854147727,-11.885326569334548,-10.61446045450881,NaN,NaN,-12.7859735900405,-6.40783153447,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1912,-1.059223647942255,-0.6209528585331611,-0.21446170311763743,-1.2979205106929657,0.07102451198790254,-0.5688701542941008,-6.467267036528817,-5.699431720926155,-4.724203341014187,-7.350317094411042,-3.956096954428038,-6.33277965459,-4.047344366706048,-3.72663782714133,-3.398335438402711,-4.386726761590615,-3.1140876966248197,-3.6499250238591983,-3.8804762963162833,-3.4894204945890976,-3.1014356250362862,-4.591920688260679,-2.3144769547634896,-4.496937417984009,-13.12705665478988,-11.790565630184535,-10.533955209843251,NaN,NaN,-12.504873544685173,-6.33277965459,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1913,-1.0490669668718338,-0.6187401820659896,-0.21936729310794534,-1.3648848408590049,0.08312927573685673,-0.563472453030673,-6.391947851705899,-5.633017230891592,-4.672246967499853,-7.192508567019475,-3.9533213949886994,-6.26434474858,-3.989242879111022,-3.672226370143623,-3.3528257875443,-4.317598567076303,-3.049517787843898,-3.6160070245916187,-3.9655060434338476,-3.565881351346145,-3.169394882292563,-4.689948915968372,-2.4335025981733724,-4.43869423866272,-13.170791304613823,-11.85127630105839,-10.602028690059003,NaN,NaN,-12.481187939747363,-6.26434474858,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1914,-1.0416456009856254,-0.6185974101350284,-0.2255021523743412,-1.2814185439499306,0.06453947981494058,-0.5580358418551359,-6.322520391055827,-5.577338798133296,-4.631486230346759,-7.134418372501455,-3.9439553901545414,-6.15112605962,-3.9533264252341986,-3.644347478200398,-3.3312881716477,-4.303929527706539,-3.0060229827380773,-3.6001985376531427,-4.065501470261183,-3.6557997183434443,-3.2493153238624313,-4.856352160996205,-2.4091841022618654,-4.3344473361969,-13.027510106995793,-11.713226735727254,-10.482419500971705,NaN,NaN,-12.215842947480144,-6.15112605962,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1915,-1.0383871595690708,-0.6204462492859083,-0.2338496588030135,-1.270672173303474,0.04949722096039896,-0.5526043805209073,-6.245375769496469,-5.51557666775992,-4.580307763269744,-7.0848374324006755,-3.9048567490185784,-5.99616084966,-3.939885379249055,-3.6378753231083607,-3.326812151588521,-4.284515128051873,-3.036656529139157,-3.567949086969549,-4.038947676251461,-3.6319218884196847,-3.228092443877362,-4.785516084924121,-2.481046679747279,-4.308618783950806,-12.829837711796536,-11.527915880691078,-10.317939551009713,NaN,NaN,-11.887195821280871,-5.99616084966,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1916,-1.028884492151203,-0.6190886414220398,-0.24054738466979356,-1.30086327526736,0.10529105993703244,-0.5471856984225187,-6.143143284677852,-5.425771297672742,-4.499998500519227,-6.993691146403017,-3.7831788434837548,-5.89606166753,-3.8783619988108637,-3.5823992549567096,-3.279030388985426,-4.209014296806196,-2.9711757208552685,-3.5504369562322453,-3.9886654119667484,-3.5867068297229006,-3.1879047983792725,-4.736910389964318,-2.4887141327891826,-4.27322907447815,-12.844414590498223,-11.5684929815695,-10.37389109396531,NaN,NaN,-11.995727195056805,-5.89606166753,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1917,-1.016779895728945,-0.6180587740348924,-0.24533107953078592,-1.2842726096680825,0.010094291863716109,-0.5418106946078214,-6.073446217110191,-5.366947604602316,-4.454328624939225,-6.909024346134493,-3.658073796557508,-5.7766593543,-3.8103453004153005,-3.5203224916394875,-3.2236410767809085,-4.126499498702064,-2.917599504778987,-3.4816617792302904,-3.9448200038980943,-3.547279951725057,-3.1528617520636786,-4.675353554234886,-2.3942519128561752,-4.251692819595336,-12.946329859477258,-11.68655475740211,-10.509718875368694,NaN,NaN,-12.29178087162002,-5.7766593543,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1918,-1.0075689911390888,-0.6145526856839701,-0.24885808035985427,-1.2777131620860538,0.05148866619566829,-0.5363208684054288,-6.016740969453476,-5.318768678768864,-4.418345380223541,-6.7652058424003645,-3.7657693728154085,-5.67177921208,-3.764198117804261,-3.479678079801915,-3.1899548301234253,-4.0914232480824015,-2.8935751774049274,-3.470746785944159,-3.90036253043884,-3.507302689353003,-3.1173295180138196,-4.672697237936471,-2.3521538429916014,-4.2542582035064695,-12.569967683105606,-11.327513810810924,-10.168608395187125,NaN,NaN,-11.69048315752298,-5.67177921208,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1919,-1.0005386703719534,-0.6124110339535829,-0.2522680385453057,-1.2838263802766918,0.047275976913144314,-0.5308707150545988,-5.957819397827878,-5.267562194761173,-4.380992260353132,-6.728548151799316,-3.7039132548966442,-5.58503070745,-3.7496269749239306,-3.4698558286871615,-3.1813654657551123,-4.032971545840816,-2.886304977798112,-3.454160482233221,-3.8690454725913654,-3.479141614490377,-3.092299642435999,-4.565082984780484,-2.305611955579305,-4.2755896091461185,-12.278651104869246,-11.053606892262415,-9.915029591528285,NaN,NaN,-11.250664952584467,-5.58503070745,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1920,-0.9923996744389069,-0.610571266438638,-0.25584656091628727,-1.2480851857302515,0.011124496814395375,-0.5255169781771574,-5.888538152132742,-5.20981611671048,-4.335951838026724,-6.645676186465127,-3.6716091501598105,-5.53279949102,-3.714141916146629,-3.4415719647254495,-3.160910468564149,-4.02868413907122,-2.8393094404462755,-3.4362096613103685,-3.8651930449423277,-3.4756774160348334,-3.089220624438919,-4.6043980023755,-2.3156570110041663,-4.26266884803772,-12.220775708879954,-11.015782224075252,-9.887053679895452,NaN,NaN,-11.224365852032271,-5.53279949102,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1921,-0.9850117191698157,-0.6086086577123992,-0.25971978771659776,-1.2347228010100857,0.02398454712923831,-0.5200888547030362,-5.820982278724044,-5.152069640808644,-4.293725047086081,-6.543238702598793,-3.566001163092498,-5.47143054875,-3.6974364733409724,-3.4280190656794165,-3.150123720135049,-3.996751347306268,-2.8636715032052757,-3.420304281061346,-3.837577410698806,-3.450844753046556,-3.067149078239259,-4.469741201088167,-2.4412343849665135,-4.285170221328736,-12.139362933144652,-10.95459058724676,-9.839297407668848,NaN,NaN,-11.325210959935976,-5.47143054875,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1922,-0.9758197973595378,-0.6060496786213156,-0.2633433984710974,-1.2146567500275665,-0.02135690077563134,-0.5146193417635831,-5.741896509574463,-5.088411468468876,-4.243502127155898,-6.512155790028668,-3.645835255887172,-5.39706416997,-3.6745683194525496,-3.410044574297291,-3.137733102532097,-3.9610891135429576,-2.853592670255257,-3.4399301355535346,-3.796963448779109,-3.4143236715433423,-3.0346887360665233,-4.410744081162481,-2.408324328705674,-4.291196298599244,-12.038515131429866,-10.869725412907297,-9.774720662687646,NaN,NaN,-11.200481604358236,-5.39706416997,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1923,-0.9658648147103079,-0.603018729721108,-0.26622444288604813,-1.208361710462813,0.013547487030441566,-0.5092426213351164,-5.66737208896927,-5.0258020029523855,-4.192948086469135,-6.495263068271009,-3.503916262371939,-5.27797008428,-3.640197277646611,-3.380250306615114,-3.1140672441621353,-3.9365836727243164,-2.8400442265292307,-3.4075719659978687,-3.7625906330278407,-3.3834147834119888,-3.0072165735886878,-4.385020413008896,-2.3769916320887745,-4.334321069717407,-12.08881763330613,-10.942055882103961,-9.864627789661204,NaN,NaN,-11.352617614839804,-5.27797008428,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1924,-0.9548322577929688,-0.599973110607927,-0.26828749792689555,-1.2305286070926822,-0.01690948061355782,-0.5037558468905363,-5.584277778979901,-4.953999749726662,-4.132470905028477,-6.372735702390975,-3.3863813528200843,-5.18389659795,-3.580952592411138,-3.326246174091272,-3.067376215871827,-3.8804856038611604,-2.7760735557768896,-3.348880941217596,-3.7333987386280993,-3.3571647082109015,-2.9838852156985234,-4.391484413577027,-2.3357377776021346,-4.327344751358032,-11.81680358810285,-10.685422674926428,-9.622959217407804,NaN,NaN,-11.075476495691147,-5.18389659795,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1925,-0.9454584987275515,-0.5966436980389198,-0.27046567377368763,-1.1453909251893144,-0.028553689237271234,-0.4983725461092862,-5.496069751447991,-4.8815515104070615,-4.070332601661452,-6.243421344723849,-3.4559520954526377,-5.09053493413,-3.5260886052060907,-3.278690344577587,-3.026450400004922,-3.848842104601569,-2.7260141629970764,-3.3296964471990402,-3.7302061211620208,-3.354293827430598,-2.9813335450296905,-4.354110583530908,-2.316507177177325,-4.261248254776,-11.66860708249823,-10.547049705393302,-9.499216317297765,NaN,NaN,-11.202160503297451,-5.09053493413,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1926,-0.9365352128698973,-0.5943031709982808,-0.2723392346322018,-1.1957128746650145,-0.034754710687640265,-0.49286192980679605,-5.416737187974942,-4.815226516725476,-4.018093000048019,-6.257901689630321,-3.345169385714309,-4.98425517949,-3.483096876397983,-3.241366191049176,-2.9921274343560955,-3.7936963960005707,-2.6625951954856344,-3.227677327936346,-3.7028455023025195,-3.3296904805982477,-2.9594658175719943,-4.329532602400077,-2.3381500296759907,-4.176789331436157,-11.595592940895452,-10.492621943352074,-9.457155146285032,NaN,NaN,-11.233488262164094,-4.98425517949,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1927,-0.9256823809511641,-0.5912757363080778,-0.27420425731274667,-1.1906795202744331,-0.003136832347242336,-0.4874995144930753,-5.313199901940299,-4.723130088880302,-3.938773306594279,-6.0697891660752035,-3.2870838719154585,-4.87102313909,-3.4088529039761686,-3.1688653212524605,-2.925795650448096,-3.711263516115327,-2.6458236891551117,-3.1523057764226743,-3.707400528687905,-3.3337864732570983,-2.9631063812620813,-4.292356565964248,-2.317808649660745,-4.124979639053345,-11.50879612418508,-10.426577451035383,-9.409120455361036,NaN,NaN,-11.300538775892718,-4.87102313909,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1928,-0.9154977653638344,-0.5892533317990107,-0.2768206997945251,-1.150741038590206,-0.026702981014830766,-0.48211411562832923,-5.236084677654201,-4.655461846881451,-3.886244756400367,-5.9909642806256045,-3.2596875589000645,-4.76876254949,-3.329768150169473,-3.0961174032073493,-2.8581390008759766,-3.632649733451904,-2.558360834104785,-3.0399404352361508,-3.682527338078382,-3.3114198835781252,-2.943226708362669,-4.378732457677351,-2.2322444676517166,-4.053016519546508,-11.168401644590096,-10.097832076822467,-9.091672032000654,NaN,NaN,-10.99322183443144,-4.76876254949,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1929,-0.9054093215671375,-0.5859536836193158,-0.2800716010744529,-1.170541942850612,-0.012771009521952988,-0.47669376459988694,-5.141420218551309,-4.571994548643469,-3.8169637573363686,-5.853633292634881,-3.2043184748442606,-4.67126232061,-3.225842657981434,-2.9959002750441153,-2.7656400197936906,-3.5390775749361576,-2.483742546496858,-2.9371179407293146,-3.6391814076632536,-3.272442148269919,-2.9085828650495573,-4.2808895812290375,-2.261945028788174,-4.0196997165679935,-10.851127916423998,-9.794045159237937,-8.799705988286044,NaN,NaN,-10.474411885506226,-4.67126232061,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1930,-0.8959365858142421,-0.5823549891444927,-0.28122647115437993,-1.1450368176522547,-0.033461813674853604,-0.4712276372042569,-5.063890516488868,-4.505596504821387,-3.7659072686061803,-5.803722444281377,-3.1890806725468943,-4.5751269904,-3.12524995254528,-2.8962810726002806,-2.666606398716134,-3.3940946234413696,-2.3916066461220744,-2.8757768457586117,-3.6035035524536583,-3.240359736301696,-2.8800676615739,-4.176919516367003,-2.3008640730185705,-3.9823153018951416,-10.523463076841347,-9.474911468597355,-8.498574209267362,NaN,NaN,-10.184452568299797,-4.5751269904,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1931,-0.8856885855893502,-0.5789030996736484,-0.28315915598129576,-1.0872187959902355,-0.032282397160905064,-0.4658552559939298,-4.982715751527669,-4.436068049026339,-3.7077599135751322,-5.664502426256072,-3.134739181992857,-4.44350086125,-3.0638333852370363,-2.835376757447626,-2.612644881982495,-3.314070025209991,-2.345732137291181,-2.6913759058172047,-3.564060882296636,-3.204891909391406,-2.848543463761464,-4.183142160055778,-2.2571088642400863,-3.9497736454010006,-10.334317495040139,-9.30831580722765,-8.347068281421398,NaN,NaN,-9.757755545159595,-4.44350086125,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1932,-0.8737182243559461,-0.5752063039916706,-0.28499949450317913,-1.10218866632589,-0.052727682887411004,-0.4603271397677335,-4.892102826454825,-4.355976778277722,-3.6427038294197027,-5.539711222374326,-3.039850165799265,-4.35036960515,-3.0020816946271993,-2.7784451331080513,-2.5601440991377133,-3.2842734291098785,-2.284636948382135,-2.5936906641179864,-3.5244058886865663,-3.169233155967983,-2.8168495683472314,-4.116153708804509,-2.1407841430077816,-3.9116777896881105,-10.152317667608502,-9.144595712088591,-8.198539537590664,NaN,NaN,-9.504605049194335,-4.35036960515,"posterior_predictive_ladrillo.jl | tag L27r | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L27r.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
