year,ais_p5,ais_p50,ais_p95,gsic_p5,gsic_p50,gsic_p95,gis_p5,gis_p50,gis_p95,te_p5,te_p50,te_p95,total_p5,total_p50,total_p95,ais_obs,gsic_obs,gis_obs,te_obs,total_obs
1925,-0.5916294108880888,-0.5226568443086408,-0.4579376590377188,-5.434009995352006,-5.079096796670609,-4.792050436361058,-3.754022412926886,-3.398975522959902,-3.0498971684497387,-3.846428975785078,-3.6056732760159287,-3.335561445905535,-11.195254645237304,-10.859000723777362,-10.435203543685166,-0.4983725461092862,-5.090534934130583,-3.3296964471990402,-4.261248254776,-12.308590158398246
1926,-0.5836495154784256,-0.516580269114908,-0.4521585271976771,-5.350862098964245,-5.002494414687564,-4.719455424784634,-3.7065473909139124,-3.355859216755111,-3.0127113886780514,-3.8024424492370072,-3.564439954335583,-3.2974170363722477,-11.101657148468473,-10.771203471135868,-10.353895048016145,-0.49286192980679605,-4.98425517949191,-3.227677327936346,-4.176789331436157,-12.375294004599997
1927,-0.5756071530245899,-0.5103097605663365,-0.44660298487601663,-5.267814902279064,-4.925395637773988,-4.64659885183082,-3.658117080862745,-3.312743317628126,-2.974810005534356,-3.7548817618962165,-3.519856185750948,-3.2561731719896154,-11.023935235728473,-10.699759667911788,-10.289791875197022,-0.4874995144930753,-4.8710231390866365,-3.1523057764226743,-4.124979639053345,-11.688079061427516
1928,-0.5677890698607163,-0.5041937920588501,-0.4411438463572814,-5.185711820965525,-4.847837697165984,-4.572671025664355,-3.6102317575227083,-3.2697623655927015,-2.936999005548296,-3.7082819739350916,-3.4761731719276803,-3.21576258411992,-10.686458930563335,-10.36606885314215,-9.962654681135902,-0.48211411562832923,-4.768762549487027,-3.0399404352361508,-4.053016519546508,-11.935822354782758
1929,-0.5600436375163615,-0.4980465417633342,-0.4357252523448934,-5.1035666424709945,-4.769765470121952,-4.497240439929321,-3.561979257234674,-3.2262376132995008,-2.898458055632868,-3.6694769194560926,-3.439797003593333,-3.182111463966326,-10.439461672037666,-10.12324485237196,-9.726236637164735,-0.47669376459988694,-4.671262320605192,-2.9371179407293146,-4.0196997165679935,-12.005013214767548
1930,-0.5524067398054898,-0.49181457418332764,-0.43005452053285276,-5.022526469342896,-4.6918050065209025,-4.423309994698889,-3.5140717661619307,-3.183248776079458,-2.8599518434792217,-3.665017141354645,-3.4356163719428894,-3.1782440160071586,-10.187478506081595,-9.87556969644271,-9.48361605532693,-0.4712276372042569,-4.575126990404996,-2.8757768457586117,-3.9823153018951416,-11.515169963785276
1931,-0.5451145076838333,-0.4858550888907938,-0.4241433583271519,-4.944536589871725,-4.617696875973479,-4.352555395655233,-3.466375088339004,-3.140219342808786,-2.8222188267275734,-3.6170489921127382,-3.390650645314287,-3.1366468072064713,-10.015344821635411,-9.7086847561782,-9.325074280997576,-0.4658552559939298,-4.443500861254606,-2.6913759058172047,-3.9497736454010006,-11.483082223322828
1932,-0.5377240944024062,-0.47986883122019264,-0.4180515680687846,-4.865626162031629,-4.542749412850922,-4.281800256939747,-3.4188487559664407,-3.096932134492647,-2.784465583368399,-3.564847771394776,-3.3417168036385156,-3.0913787467919405,-9.852349803911292,-9.55130402949829,-9.173996494455572,-0.4603271397677335,-4.350369605151089,-2.5936906641179864,-3.9116777896881105,-10.051369010422885
1933,-0.5300126507734698,-0.47366817484512713,-0.4117739080391192,-4.786006597922513,-4.467434484104887,-4.210604334730397,-3.3695164189691833,-3.053885917518154,-2.7460643641280478,-3.5425439887492116,-3.3208090594567152,-3.0720372646123,-9.70463350387023,-9.407641983685702,-9.036984546446389,-0.4549425515261564,-4.259532507983121,-2.484005719965155,-3.867179727554321,-10.665086116665005
1934,-0.5224804407830895,-0.4676296025282063,-0.40581686688061397,-4.707421395188496,-4.393663580955613,-4.140947741300549,-3.322422662581601,-3.010577921574428,-2.707698221472233,-3.4959990320110665,-3.2771774448602726,-3.031674225498752,-9.600757725615653,-9.307255584980538,-8.943748966923351,-0.449480524930087,-4.18574787053195,-2.3884008234197447,-3.853262567520142,-11.985083748733437
1935,-0.5148517858076531,-0.46147446644155055,-0.3997138895150514,-4.6302014527540605,-4.32052456222721,-4.071159243730429,-3.273954300899032,-2.967134159259784,-2.6691783276375145,-3.449291280113807,-3.2333932247800465,-2.991170013037212,-9.52694322333431,-9.235733815300282,-8.879012860570798,-0.4440792950716886,-4.097811469164762,-2.276845914667303,-3.7873159885406498,-10.749636153060496
1936,-0.5072141008601382,-0.45529070894381884,-0.39357651997301435,-4.551643062068187,-4.24657956984856,-4.000130066451666,-3.226004004802788,-2.9239290473564212,-2.6301755723935965,-3.4019463063331283,-3.189011667811397,-2.950113211990208,-9.166077596095443,-8.879482331656984,-8.528690339499809,-0.43867577639493077,-3.990919837084684,-2.151611310785467,-3.683291864395142,-11.331579615712926
1937,-0.49963075250256245,-0.44911834083526747,-0.3872356063389162,-4.473234128654083,-4.171979662344029,-3.9298120630047917,-3.177959866717018,-2.880064080676254,-2.5914797846470807,-3.3516412945729726,-3.1418553475738085,-2.9064895135365654,-8.982162682836822,-8.700541069736659,-8.35648566829414,-0.43329123583706947,-3.8969142523678872,-2.0860078638250177,-3.566823816299438,-10.408622341639276
1938,-0.49234560035718883,-0.4428160417656045,-0.38117905122217766,-4.39216505055234,-4.096680969083803,-3.8585008128445666,-3.1295603378905397,-2.8362712597621957,-2.552773437793875,-3.3013624249515248,-3.0947235331860643,-2.8628884851258483,-8.871397913138006,-8.593356115632183,-8.25501056117127,-0.4277643593874845,-3.7989928809079254,-2.044928914850409,-3.444520044326782,-9.458879569494297
1939,-0.48500521857024687,-0.4364448672120269,-0.37493301522866146,-4.31442529568613,-4.022795080379211,-3.787500424159666,-3.0812806389925114,-2.7927295764358817,-2.513955649569704,-3.2490164057133306,-3.0456539562196925,-2.8174948577595944,-8.721026515556602,-8.447529952241492,-8.115173630343717,-0.4223870190707119,-3.720932349291714,-1.9972474878484552,-3.301994562149048,-9.040954238843426
1940,-0.4775454568620172,-0.4301218881977814,-0.3683993463920572,-4.234858308372077,-3.947800396804896,-3.7159983992841306,-3.032911286541333,-2.7491095397058425,-2.474444418717366,-3.202514782668445,-3.0020629629737843,-2.777169396929034,-8.494856632953606,-8.224405084531451,-7.897667591617237,-0.4169570836153898,-3.6258666602048004,-1.9552793329412288,-3.169507455825806,-10.107915886818585
1941,-0.47026271445502504,-0.42379916651989585,-0.36234671638285737,-4.155224217422599,-3.873035706993191,-3.645428468098368,-2.984321614333723,-2.7049264223204563,-2.4352598662238614,-3.161749960590037,-2.963849692822434,-2.741818797781111,-8.328641072880435,-8.061304573419289,-7.740042762935419,-0.41157092181119054,-3.522109946337613,-1.893123418634588,-3.092987680435181,-8.573523044806226
1942,-0.46293213359376845,-0.4174302357641929,-0.35616226718263083,-4.077579619061166,-3.7993121232755653,-3.575448519365597,-2.9351552178243594,-2.66073130454391,-2.3962206429745074,-3.1232166276349025,-2.927728238417105,-2.7084033101699934,-8.265484886208501,-8.000716871226782,-7.684228211351662,-0.40614322749051196,-3.4279491034421055,-1.8451209848577332,-2.967337656021119,-8.558236350339786
1943,-0.4558598945786757,-0.41113387470959606,-0.34976085979988675,-3.999938861541027,-3.727209872787751,-3.5063956308787945,-2.886259284168481,-2.616774151369995,-2.3572546024540606,-3.0875162119621717,-2.8942623833228867,-2.6774444829381823,-8.18200661278288,-7.9210482935582,-7.610375056767561,-0.40063289729031654,-3.319212683764371,-1.775259572809393,-2.8022913455963137,-7.905895246343566
1944,-0.44880575027503755,-0.4049152476662588,-0.34348958942558633,-3.9256263647549403,-3.656257840573531,-3.439122652204031,-2.8370774831925147,-2.573012991246924,-2.3176294927281345,-3.052741880987755,-2.8616646474293765,-2.6472887414866584,-7.886915566702551,-7.629097574387035,-7.323434961441936,-0.3952644738284025,-3.203119620409878,-1.7251830881292172,-2.6818834781646728,-8.759281718198487
1945,-0.4417047558403039,-0.3987996435947373,-0.3371675047873248,-3.85155321319466,-3.5866111732688375,-3.373150878300757,-2.7886361454361244,-2.528959610307471,-2.278433480372083,-3.0135801099829966,-2.824954090171656,-2.613328282489702,-7.848683158672895,-7.5947508385666,-7.293453796563604,-0.3898103627291593,-3.10310283574191,-1.720994169061834,-2.6717501163482664,-8.789272925871458
1946,-0.4347445993681067,-0.3924938144779092,-0.3305107092639743,-3.7781658011974786,-3.5173559931568987,-3.307680648847129,-2.7394408920496565,-2.4851428451111515,-2.239175310798159,-2.9587947402995463,-2.7735978465940785,-2.5658192895858356,-7.658275289942301,-7.4080953727540315,-7.11218972395397,-0.3843481930819425,-3.0097617712887854,-1.70151384527033,-2.6829302310943604,-7.319124425810338
1947,-0.4275887907957705,-0.38606525848689205,-0.323874491349947,-3.7031782250860292,-3.4467662386958877,-3.2405616846528655,-2.6902337601585846,-2.4408254567302112,-2.2003862754039356,-2.8986706720375057,-2.717237064283377,-2.513680662997801,-7.548266560793333,-7.302233962526504,-7.0121725321174555,-0.3789894970980558,-2.905828818407925,-1.649337751215155,-2.7342485904693605,-8.126264350354845
1948,-0.42041311603600545,-0.37965659825192977,-0.3170171334253449,-3.628402497976741,-3.3763399238659146,-3.1728885338011557,-2.641677408840391,-2.3964716307453906,-2.1613496902204155,-2.8365851463762364,-2.6590375961238104,-2.4598410920481677,-7.392638607343319,-7.151270651098768,-6.866991667295663,-0.37351922121914943,-2.814448508349333,-1.5536521738225768,-2.8385199069976803,-7.332821028831916
1949,-0.413225981004298,-0.37309983714029593,-0.3104701212294238,-3.5523409424712407,-3.3048356977210824,-3.1044095480052367,-2.5928048028662496,-2.3520306607130372,-2.1212010892931663,-2.775264776160077,-2.601555390796288,-2.4066650516144743,-7.1863428438620875,-6.94926166120411,-6.670776839658732,-0.36812314120205974,-2.7524962988766752,-1.4421209161931818,-2.8981478214263916,-6.104148728330061
1950,-0.4059502032671194,-0.3665187774296399,-0.3039931318801042,-3.476335866629455,-3.2334062098707603,-3.0364158238347616,-2.543667211066584,-2.307573646922297,-2.081323181969173,-2.71363214289017,-2.543780467585484,-2.3532182216745623,-7.132970623169338,-6.899365908473138,-6.626909001048259,-0.36264223185452554,-2.6413558569821447,-1.3604312723333192,-2.815257120132446,-6.490746621142681
1951,-0.39869616152188136,-0.3599218922584645,-0.29720478528785743,-3.401233538706017,-3.1624351788938334,-2.968901580667338,-2.49492319187468,-2.263044557364227,-2.0414377441881846,-2.6623589310199307,-2.495716548823461,-2.30875491563179,-6.747205482564128,-6.517419635729823,-6.2504861872282005,-0.3572604569521817,-2.5635623541745276,-1.291308576410467,-2.7181330204010004,-5.433687535374539
1952,-0.3916231932793628,-0.3533883600785392,-0.2906120127833361,-3.3275888995021132,-3.0925635939564255,-2.9026915926591976,-2.4458063590078907,-2.21851362826567,-2.001254476771722,-2.6142587157747856,-2.450627022467491,-2.2670431813136713,-6.551958587476754,-6.325101738934816,-6.062502420696162,-0.3518108281222257,-2.4708892432126133,-1.244715864008123,-2.6388128757476808,-5.429882731854707
1953,-0.3845222938859347,-0.3468038857751654,-0.28427906213187354,-3.25401594448783,-3.0235098694143936,-2.8370021661231517,-2.396629912529451,-2.1737524999683497,-1.96125997664962,-2.5675549542614604,-2.40684654300507,-2.2265424292490064,-6.484051508736551,-6.260047659527123,-6.00227274761421,-0.34638618555935946,-2.3708160010251134,-1.1987132852727718,-2.6377714633941642,-4.849188605467255
1954,-0.3772645786346888,-0.340349945253436,-0.2779239039000944,-3.1808493683992194,-2.955059082345338,-2.771934514180165,-2.346976947763192,-2.1290290659371545,-1.9212363989639354,-2.521170358611477,-2.3633652521748356,-2.1863184526962027,-6.304263942653686,-6.084027105791223,-5.83186944101072,-0.34098810282620523,-2.2891849127682775,-1.16956976110285,-2.6217352390289306,-5.865882631110119
1955,-0.3704306952963503,-0.33390646980757765,-0.27140545066480243,-3.109341494174123,-2.887488481560485,-2.7081025437531223,-2.297903658681493,-2.084432987883792,-1.8814203986898448,-2.473495012538691,-2.3186740015780747,-2.144975158102253,-6.339977887335513,-6.123308627775737,-5.8762058109210535,-0.33553046313199136,-2.2426900473507967,-1.146664029901678,-2.6249311923980714,-5.534710569325889
1956,-0.36336622007827696,-0.32738091092112165,-0.26493232828175906,-3.038466171412251,-2.8205529032236134,-2.6448388646502696,-2.248746326215244,-2.0398832513968808,-1.8410521752529418,-2.423812923424129,-2.2721016140090424,-2.1018916481646355,-6.435058040130305,-6.222818743027254,-5.98151367173988,-0.33016361323269944,-2.152102049914274,-1.1088739221746269,-2.6001024723052977,-6.876097271304517
1957,-0.3560599817216203,-0.3207781225102554,-0.2581578969819792,-2.9680341991229175,-2.7539181845566567,-2.581968265543845,-2.1997127566200922,-1.9954586471512972,-1.8007924717115795,-2.3677797055962797,-2.219575627603738,-2.053300541386575,-6.235203762874557,-6.026408498789539,-5.791296469171927,-0.3247422131625089,-2.053627547350797,-1.036597234552557,-2.548732614517211,-5.26638116035934
1958,-0.3489078444938391,-0.3141744032339603,-0.2514920804760179,-2.897834594133175,-2.6877116224645654,-2.5198249521501306,-2.1507264559018395,-1.9508717361604828,-1.7609107326151598,-2.3057420117863887,-2.1614209974040923,-1.9995024494504223,-5.879159750435022,-5.674428444510043,-5.446088518565656,-0.3192844781008634,-1.9792344656857574,-0.9685359781438658,-2.0671160221099854,-5.444852192363919
1959,-0.34172148583216966,-0.3075353634074155,-0.24502089571245786,-2.826830450971356,-2.620918125375779,-2.4563624716834354,-2.101576318039963,-1.906135201021772,-1.7207829540147932,-2.239390265758193,-2.0992223401620125,-1.9419632807010523,-5.754658415337784,-5.55397710652542,-5.331636733918326,-0.31389617052945223,-1.9245202628048985,-0.94980486089533,-2.270864725112914,-5.145200276751647
1960,-0.3345479369235688,-0.3007954002362832,-0.23863391343055673,-2.754818204550433,-2.5529968217286916,-2.3918791737159966,-2.0517121007694765,-1.8609197115034086,-1.6804385278637095,-2.1801070334579977,-2.0436497642048463,-1.8905538135578728,-5.63698546800661,-5.44045455285124,-5.223022160995797,-0.3084096821871671,-1.8498691168698396,-0.881216985529119,-1.997335672378541,-4.5589059522749595
1961,-0.3271244149646826,-0.29393780465693525,-0.23217505261423815,-2.6823684164219244,-2.4848488451249207,-2.327211611283866,-2.0016230035868294,-1.8156761329569004,-1.6393889970692954,-2.125042557588923,-1.992031884257272,-1.8428027842514259,-5.49579077734283,-5.30309808683918,-5.090923084961475,-0.30309595194729894,-1.7750989523800937,-0.8129214113408869,-1.8097164630889897,-4.593547354659224
1962,-0.3197717983658419,-0.2871813239154899,-0.22584889243926626,-2.6097174782856145,-2.4175218118442343,-2.263312181508475,-1.9512126855554082,-1.7704658297505929,-1.5990546252557682,-2.0792580530679747,-1.9491131236494237,-1.8030991970900925,-5.406338712575129,-5.216810219159109,-5.0100308567390055,-0.29754404154690833,-1.6921268072995277,-0.7267779176885429,-1.6807960987091066,-4.7832616179935
1963,-0.31241693521154795,-0.2803971453243641,-0.2196076202785875,-2.5384699221185585,-2.3514919361851496,-2.200685838467938,-1.9011838760377353,-1.7256582995631604,-1.5584006619913706,-2.064691619522739,-1.9354584323782296,-1.7904674198120738,-5.270732850892059,-5.084361315880281,-4.882579545577515,-0.29218482104214755,-1.6561305609616364,-0.7027726953679869,-1.8142593860626226,-4.741207803944308
1964,-0.30560506591097025,-0.2738761664441369,-0.2130684330830433,-2.470130951481504,-2.2882917214724823,-2.1411554292428474,-1.852050748229731,-1.6808720244520952,-1.5185154246123596,-2.1952110730271603,-2.057808411661297,-1.903651794147531,-5.298354126907967,-5.1127403045935385,-4.912499666194599,-0.28678678599270907,-1.6563836661252114,-0.6994616335088559,-2.048475503921509,-5.147275527638862
1965,-0.2999936412689541,-0.26843369553932483,-0.20661424286270288,-2.412329366239513,-2.23551924291297,-2.0925151499292083,-1.8044389051343928,-1.6376965887471624,-1.4791830654880858,-2.267289391581403,-2.125375203776093,-1.966156954640234,-5.369826077590304,-5.185282305540644,-4.9890520886578305,-0.281308260830966,-1.6436187354001133,-0.656011277979071,-2.089956521987914,-4.5376163909647005
1966,-0.29442674567072125,-0.26286663423091416,-0.20019040931150536,-2.3580854950093064,-2.186506237023062,-2.0484866875918954,-1.757258296386579,-1.5947919676028621,-1.4405241901541033,-2.280033254765135,-2.1373214030180554,-1.977208228165667,-5.357422877215402,-5.176200157656686,-4.985041536229261,-0.27591704455288973,-1.6075242606076325,-0.5829888170415709,-2.034507989883423,-5.147061003775025
1967,-0.28849384421378393,-0.2569759516786446,-0.19343299636788464,-2.303091222975889,-2.1369564545181223,-2.0030814008355002,-1.7101769467629273,-1.552025499808655,-1.4015564380357615,-2.2142300514431117,-2.0756369540946134,-1.9201447468431698,-5.288471703014219,-5.111154687957557,-4.927317212155712,-0.2704956444826994,-1.5743239966305826,-0.5461797540838069,-2.1567160129547114,-5.168768370944515
1968,-0.2818040797546625,-0.25048812588823943,-0.18611325062716474,-2.2435777216658455,-2.082386469826126,-1.9524104549256989,-1.6625386675263132,-1.5082901660584735,-1.3618891966421536,-2.1901619772187906,-2.053075348880496,-1.899273299335562,-5.337476210528817,-5.163475773563659,-4.984633056541183,-0.2649793061343107,-1.5531613913449376,-0.4902192896062678,-2.3616812229156494,-5.371642008513516
1969,-0.27535915524074045,-0.24414923070593325,-0.17938486883403443,-2.1839451296868453,-2.0271305845633094,-1.9006458756960245,-1.614535438652712,-1.46450090568572,-1.3224857638736476,-2.1443766166374276,-2.0101557857947703,-1.8595689698123832,-5.125881130191609,-4.955681306064176,-4.780902060705029,-0.2596308144656095,-1.5060065833005045,-0.4493830507451839,-2.2940184116363525,-5.340070319460355
1970,-0.2687581047970825,-0.23759621596947614,-0.17267958488059265,-2.1217100043549424,-1.9696805449205588,-1.8466398150441476,-1.5662481812515465,-1.42003990705225,-1.2823308325395717,-2.0839540492591677,-1.9535151880258752,-1.8071714895837463,-5.068418070449527,-4.901920812990904,-4.733107101133533,-0.25425337878140536,-1.4767449942502116,-0.43406332189386587,-2.2299360752105715,-5.362510923261866
