ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvVL,te,2300,fixed,2000,19.494992320407583,19.410841462365234,17.61256747532096,20.970066591242986,3.3574991159220247,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2300,joint,2000,18.60571270153607,19.391155511568133,8.845156741030301,32.61193141711955,23.76677467608925,7.078713606619223,0.9543842026580024,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,lws,2100,fixed,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,lws,2100,joint,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,lws,2150,fixed,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,lws,2150,joint,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,lws,2300,fixed,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,lws,2300,joint,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,total,2100,fixed,2000,35.50804759513508,36.38227358037462,33.0286864254919,38.32125726434378,5.29257083885188,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,total,2100,joint,2000,34.77439944270525,40.16384622341646,26.393884011865282,93.9417227263921,67.54783871452682,12.762765161057345,0.9793385386660812,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,total,2150,fixed,2000,45.16994350146969,46.16848266145526,41.92266753054507,48.618645920924166,6.695978390379096,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,total,2150,joint,2000,43.886203777031355,53.17335753496777,32.234141085957326,143.25715315838528,111.02301207242795,16.58055113080231,0.9715797801607486,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,total,2300,fixed,2000,59.91165662591431,60.823729341969496,55.5935461389928,64.49230471759708,8.89875857860428,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,total,2300,joint,2000,57.52268454269168,73.84892139836704,40.785821737749515,203.4957874618471,162.70996572409757,18.28456905385759,0.9601250872073315,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvVL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
