gmt_K,pchip,linear,saturating,logistic2
1.91,1.53858783,1.88361138,1.9194404,1.40846398
1.92,1.54106728,1.90093455,1.93633246,1.43516352
1.93,1.54346483,1.91825772,1.95320873,1.46224408
1.94,1.54580137,1.93558089,1.97006924,1.48970661
1.95,1.54809775,1.95290406,1.98691399,1.51755185
1.96,1.55037483,1.97022722,2.00374301,1.5457804
1.97,1.5526535,1.98755039,2.0205563,1.57439265
1.98,1.5549546,2.00487356,2.03735389,1.60338881
1.99,1.55729902,2.02219673,2.05413578,1.63276888
2,1.55970761,2.0395199,2.07090199,1.66253266
2.01,1.56220125,2.05684307,2.08765254,1.69267976
2.02,1.5648008,2.07416624,2.10438744,1.72320956
2.03,1.56752712,2.0914894,2.12110671,1.75412123
2.04,1.57040108,2.10881257,2.13781035,1.7854137
2.05,1.57344356,2.12613574,2.15449839,1.81708569
2.06,1.57667541,2.14345891,2.17117084,1.84913568
2.07,1.5801175,2.16078208,2.18782771,1.88156191
2.08,1.58379071,2.17810525,2.20446902,1.91436238
2.09,1.58771588,2.19542842,2.22109478,1.94753484
2.1,1.59191391,2.21275158,2.23770501,1.98107678
2.11,1.59640564,2.23007475,2.25429972,2.01498547
2.12,1.60121194,2.24739792,2.27087893,2.04925787
2.13,1.60635369,2.26472109,2.28744265,2.08389072
2.14,1.61185175,2.28204426,2.30399089,2.11888048
2.15,1.61772699,2.29936743,2.32052367,2.15422333
2.16,1.62400026,2.31669059,2.33704101,2.18991521
2.17,1.63069245,2.33401376,2.35354292,2.22595177
2.18,1.63782441,2.35133693,2.3700294,2.26232838
2.19,1.65123362,2.3686601,2.38650049,2.29904015
2.2,1.67804569,2.38598327,2.40295618,2.33608191
2.21,1.71763933,2.40330644,2.41939651,2.37344821
2.22,1.7693625,2.42062961,2.43582147,2.41113333
2.23,1.83256321,2.43795277,2.45223109,2.44913126
2.24,1.90658943,2.45527594,2.46862537,2.48743574
2.25,1.99078914,2.47259911,2.48500434,2.52604022
2.26,2.08451032,2.48992228,2.50136801,2.56493789
2.27,2.18710097,2.50724545,2.51771639,2.60412164
2.28,2.29790905,2.52456862,2.5340495,2.64358414
2.29,2.41628256,2.54189178,2.55036734,2.68331775
2.3,2.54156948,2.55921495,2.56666994,2.7233146
2.31,2.67311779,2.57653812,2.58295731,2.76356657
2.32,2.81027547,2.59386129,2.59922947,2.80406525
2.33,2.95239051,2.61118446,2.61548642,2.84480203
2.34,3.09881088,2.62850763,2.63172818,2.88576803
2.35,3.24888458,2.6458308,2.64795477,2.92695414
2.36,3.40195958,2.66315396,2.6641662,2.96835103
2.37,3.55738387,2.68047713,2.68036248,3.00994914
2.38,3.71450542,2.6978003,2.69654363,3.05173872
2.39,3.87267223,2.71512347,2.71270966,3.09370977
2.4,4.03123228,2.73244664,2.72886059,3.13585215
2.41,4.18953354,2.74976981,2.74499644,3.17815548
2.42,4.346924,2.76709298,2.7611172,3.22060924
2.43,4.50275164,2.78441614,2.77722291,3.26320272
2.44,4.65636446,2.80173931,2.79331356,3.30592507
2.45,4.80711042,2.81906248,2.80938919,3.34876526
2.46,4.95433751,2.83638565,2.82544979,3.39171217
2.47,5.09739371,2.85370882,2.84149539,3.4347545
2.48,5.23562702,2.87103199,2.857526,3.47788089
2.49,5.3683854,2.88835515,2.87354164,3.52107983
2.5,5.49501684,2.90567832,2.88954231,3.56433976
2.51,5.61486934,2.92300149,2.90552803,3.60764902
2.52,5.72729085,2.94032466,2.92149882,3.65099588
2.53,5.83162939,2.95764783,2.93745468,3.69436857
2.54,5.92723291,2.974971,2.95339564,3.73775528
2.55,6.01344941,2.99229417,2.96932171,3.78114416
2.56,6.08962687,3.00961733,2.98523289,3.82452337
2.57,6.15511327,3.0269405,3.00112921,3.86788104
2.58,6.2092566,3.04426367,3.01701068,3.91120534
2.59,6.25140483,3.06158684,3.03287731,3.95448444
2.6,6.28090596,3.07891001,3.04872912,3.99770656
2.61,6.30250442,3.09623318,3.06456612,4.04085999
2.62,6.32337944,3.11355635,3.08038832,4.08393305
2.63,6.34359216,3.13087951,3.09619574,4.12691415
2.64,6.36315908,3.14820268,3.1119884,4.16979181
2.65,6.38209669,3.16552585,3.12776629,4.21255463
2.66,6.40042151,3.18284902,3.14352945,4.25519133
2.67,6.41815002,3.20017219,3.15927788,4.29769075
2.68,6.43529873,3.21749536,3.1750116,4.34004188
2.69,6.45188415,3.23481852,3.19073061,4.38223385
2.7,6.46792276,3.25214169,3.20643495,4.42425596
2.71,6.48343107,3.26946486,3.22212461,4.46609767
2.72,6.49842558,3.28678803,3.23779961,4.50774862
2.73,6.51292279,3.3041112,3.25345996,4.54919866
2.74,6.52693921,3.32143437,3.26910569,4.59043782
2.75,6.54049132,3.33875754,3.2847368,4.63145636
2.76,6.55359564,3.3560807,3.3003533,4.67224473
2.77,6.56626866,3.37340387,3.31595522,4.71279363
2.78,6.57852688,3.39072704,3.33154255,4.75309398
2.79,6.5903868,3.40805021,3.34711533,4.79313696
2.8,6.60186493,3.42537338,3.36267356,4.83291398
2.81,6.61297776,3.44269655,3.37821725,4.87241672
2.82,6.62374179,3.46001972,3.39374642,4.9116371
2.83,6.63417352,3.47734288,3.40926108,4.95056732
2.84,6.64428946,3.49466605,3.42476124,4.98919984
2.85,6.65410611,3.51198922,3.44024693,5.02752741
2.86,6.66363995,3.52931239,3.45571814,5.06554305
2.87,6.67290751,3.54663556,3.47117491,5.10324005
2.88,6.68192526,3.56395873,3.48661723,5.140612
2.89,6.69070973,3.58128189,3.50204512,5.17765276
2.9,6.6992774,3.59860506,3.5174586,5.2143565
2.91,6.70764477,3.61592823,3.53285768,5.25071764
2.92,6.71582835,3.6332514,3.54824238,5.28673094
2.93,6.72384464,3.65057457,3.5636127,5.3223914
2.94,6.73171013,3.66789774,3.57896866,5.35769435
2.95,6.73944133,3.68522091,3.59431027,5.39263537
2.96,6.74705474,3.70254407,3.60963755,5.42721036
2.97,6.75456686,3.71986724,3.62495051,5.46141549
2.98,6.76199418,3.73719041,3.64024917,5.49524721
2.99,6.76935322,3.75451358,3.65553353,5.52870226
3,6.77666046,3.77183675,3.67080361,5.56177766
3.01,6.78393241,3.78915992,3.68605943,5.5944707
3.02,6.79118557,3.80648308,3.70130099,5.62677893
3.03,6.79837655,3.82380625,3.71652831,5.65870019
3.04,6.8054264,3.84112942,3.73174141,5.69023258
3.05,6.81233766,3.85845259,3.74694029,5.72137445
3.06,6.81911361,3.87577576,3.76212497,5.75212441
3.07,6.82575753,3.89309893,3.77729547,5.78248131
3.08,6.8322727,3.9104221,3.7924518,5.81244428
3.09,6.8386624,3.92774526,3.80759396,5.84201264
3.1,6.8449299,3.94506843,3.82272198,5.87118599
3.11,6.85107849,3.9623916,3.83783586,5.89996412
3.12,6.85711144,3.97971477,3.85293562,5.92834708
3.13,6.86303204,3.99703794,3.86802128,5.95633512
3.14,6.86884355,4.01436111,3.88309284,5.98392868
3.15,6.87454926,4.03168428,3.89815032,6.01112845
3.16,6.88015244,4.04900744,3.91319373,6.03793528
3.17,6.88565639,4.06633061,3.92822309,6.06435023
3.18,6.89106436,4.08365378,3.94323841,6.09037454
3.19,6.89637965,4.10097695,3.9582397,6.11600964
3.2,6.90160552,4.11830012,3.97322697,6.14125712
3.21,6.90674527,4.13562329,3.98820024,6.16611874
3.22,6.91180216,4.15294645,4.00315953,6.19059642
3.23,6.91677948,4.17026962,4.01810483,6.21469224
3.24,6.9216805,4.18759279,4.03303618,6.23840842
3.25,6.92650851,4.20491596,4.04795357,6.26174732
3.26,6.93126677,4.22223913,4.06285703,6.28471145
3.27,6.93595858,4.2395623,4.07774656,6.30730342
3.28,6.9405872,4.25688547,4.09262218,6.32952598
3.29,6.94515592,4.27420863,4.10748391,6.351382
3.3,6.94966802,4.2915318,4.12233175,6.37287445
3.31,6.95412676,4.30885497,4.13716571,6.39400639
3.32,6.95853544,4.32617814,4.15198582,6.41478102
3.33,6.96289733,4.34350131,4.16679209,6.43520158
3.34,6.96721571,4.36082448,4.18158452,6.45527144
3.35,6.97149386,4.37814765,4.19636313,6.47499401
3.36,6.97573505,4.39547081,4.21112793,6.49437281
3.37,6.97994256,4.41279398,4.22587894,6.51341141
3.38,6.98411968,4.43011715,4.24061617,6.53211345
3.39,6.98826967,4.44744032,4.25533963,6.55048262
3.4,6.99239583,4.46476349,4.27004933,6.56852269
3.41,6.99650143,4.48208666,4.28474529,6.58623744
3.42,7.00058974,4.49940982,4.29942752,6.60363074
3.43,7.00466404,4.51673299,4.31409603,6.62070645
3.44,7.00872762,4.53405616,4.32875084,6.6374685
3.45,7.01278211,4.55137933,4.34339196,6.65392085
3.46,7.01682528,4.5687025,4.3580194,6.67006748
3.47,7.02085538,4.58602567,4.37263317,6.68591238
3.48,7.02487065,4.60334884,4.38723329,6.70145958
3.49,7.02886936,4.620672,4.40181977,6.71671311
3.5,7.03284975,4.63799517,4.41639262,6.73167703
3.51,7.0368101,4.65531834,4.43095186,6.74635539
3.52,7.04074865,4.67264151,4.44549749,6.76075225
3.53,7.04466366,4.68996468,4.46002954,6.77487168
3.54,7.04855339,4.70728785,4.47454801,6.78871773
3.55,7.0524161,4.72461102,4.48905291,6.80229447
3.56,7.05625004,4.74193418,4.50354426,6.81560595
3.57,7.06005346,4.75925735,4.51802208,6.8286562
3.58,7.06382463,4.77658052,4.53248637,6.84144927
3.59,7.0675618,4.79390369,4.54693714,6.85398916
3.6,7.07126323,4.81122686,4.56137441,6.86627986
3.61,7.07492717,4.82855003,4.5757982,6.87832537
3.62,7.07855188,4.84587319,4.59020851,6.89012963
3.63,7.08213562,4.86319636,4.60460536,6.90169658
3.64,7.08567665,4.88051953,4.61898875,6.91303013
3.65,7.08917322,4.8978427,4.63335871,6.92413416
3.66,7.09262358,4.91516587,4.64771524,6.93501253
3.67,7.096026,4.93248904,4.66205836,6.94566906
3.68,7.09937874,4.94981221,4.67638808,6.95610753
3.69,7.10268003,4.96713537,4.69070441,6.96633172
3.7,7.10592816,4.98445854,4.70500737,6.97634534
3.71,7.10912136,5.00178171,4.71929697,6.9861521
3.72,7.11225791,5.01910488,4.73357321,6.99575563
3.73,7.11533604,5.03642805,4.74783611,7.00515956
3.74,7.11835403,5.05375122,4.76208569,7.01436747
3.75,7.12131013,5.07107438,4.77632196,7.0233829
3.76,7.12420259,5.08839755,4.79054493,7.03220934
3.77,7.12702967,5.10572072,4.80475461,7.04085026
3.78,7.12978963,5.12304389,4.81895101,7.04930908
3.79,7.13248072,5.14036706,4.83313415,7.05758917
3.8,7.13510121,5.15769023,4.84730404,7.06569387
3.81,7.13764934,5.1750134,4.86146069,7.07362646
3.82,7.14012337,5.19233656,4.87560412,7.08139021
3.83,7.14252157,5.20965973,4.88973433,7.0889883
3.84,7.14484219,5.2269829,4.90385134,7.09642392
3.85,7.14708348,5.24430607,4.91795516,7.10370017
3.86,7.1492437,5.26162924,4.9320458,7.11082013
3.87,7.15133082,5.27895241,4.94612328,7.11778683
3.88,7.15336137,5.29627558,4.96018761,7.12460325
3.89,7.15533782,5.31359874,4.9742388,7.13127235
3.9,7.15726239,5.33092191,4.98827686,7.13779701
3.91,7.1591373,5.34824508,5.0023018,7.14418009
3.92,7.1609648,5.36556825,5.01631364,7.1504244
3.93,7.16274711,5.38289142,5.03031239,7.15653271
3.94,7.16448645,5.40021459,5.04429807,7.16250773
3.95,7.16618507,5.41753775,5.05827067,7.16835215
3.96,7.16784519,5.43486092,5.07223023,7.1740686
3.97,7.16946905,5.45218409,5.08617674,7.17965967
3.98,7.17105886,5.46950726,5.10011022,7.18512791
3.99,7.17261687,5.48683043,5.11403068,7.19047583
4,7.17414529,5.5041536,5.12793814,7.19570588
4.01,7.17564637,5.52147677,5.1418326,7.2008205
4.02,7.17712233,5.53879993,5.15571408,7.20582206
4.03,7.17857541,5.5561231,5.1695826,7.2107129
4.04,7.18000783,5.57344627,5.18343815,7.21549531
4.05,7.18142182,5.59076944,5.19728077,7.22017155
4.06,7.18281961,5.60809261,5.21111044,7.22474384
4.07,7.18420344,5.62541578,5.2249272,7.22921436
4.08,7.18557553,5.64273895,5.23873105,7.23358523
4.09,7.18693812,5.66006211,5.25252201,7.23785857
4.1,7.18829343,5.67738528,5.26630008,7.24203642
4.11,7.18964369,5.69470845,5.28006527,7.24612081
4.12,7.19099114,5.71203162,5.29381761,7.25011372
4.13,7.192338,5.72935479,5.3075571,7.2540171
4.14,7.19368651,5.74667796,5.32128375,7.25783286
4.15,7.19503889,5.76400112,5.33499758,7.26156286
4.16,7.19639738,5.78132429,5.34869859,7.26520896
4.17,7.1977642,5.79864746,5.36238681,7.26877294
4.18,7.19914159,5.81597063,5.37606224,7.27225658
4.19,7.20053178,5.8332938,5.38972489,7.27566161
4.2,7.20193699,5.85061697,5.40337477,7.27898974
4.21,7.20335945,5.86794014,5.4170119,7.28224261
4.22,7.20480141,5.8852633,5.4306363,7.28542188
4.23,7.20626508,5.90258647,5.44424796,7.28852913
4.24,7.2077527,5.91990964,5.45784691,7.29156594
4.25,7.20926649,5.93723281,5.47143315,7.29453385
4.26,7.21080869,5.95455598,5.4850067,7.29743435
4.27,7.21238153,5.97187915,5.49856756,7.30026894
4.28,7.21398724,5.98920231,5.51211576,7.30303905
4.29,7.21562884,6.00652548,5.5256513,7.30574611
4.3,7.21730729,6.02384865,5.53917419,7.30839149
4.31,7.21902018,6.04117182,5.55268445,7.31097656
4.32,7.22076507,6.05849499,5.56618209,7.31350266
4.33,7.22253952,6.07581816,5.57966712,7.31597108
4.34,7.22434107,6.09314133,5.59313955,7.3183831
4.35,7.22616728,6.11046449,5.60659939,7.32073998
4.36,7.2280157,6.12778766,5.62004666,7.32304294
4.37,7.2298839,6.14511083,5.63348136,7.32529318
4.38,7.23176942,6.162434,5.64690351,7.32749188
4.39,7.23366981,6.17975717,5.66031313,7.32964017
4.4,7.23558264,6.19708034,5.67371021,7.3317392
4.41,7.23750545,6.21440351,5.68709478,7.33379005
4.42,7.23943581,6.23172667,5.70046684,7.33579381
4.43,7.24137126,6.24904984,5.71382641,7.33775154
4.44,7.24330935,6.26637301,5.7271735,7.33966426
4.45,7.24524765,6.28369618,5.74050812,7.341533
4.46,7.24718371,6.30101935,5.75383028,7.34335873
4.47,7.24911507,6.31834252,5.76713999,7.34514242
4.48,7.2510393,6.33566568,5.78043727,7.34688503
4.49,7.25295395,6.35298885,5.79372213,7.34858747
4.5,7.25485657,6.37031202,5.80699457,7.35025067
4.51,7.25674472,6.38763519,5.82025462,7.35187549
4.52,7.25861596,6.40495836,5.83350227,7.35346282
4.53,7.26046782,6.42228153,5.84673755,7.3550135
4.54,7.26229788,6.4396047,5.85996047,7.35652836
4.55,7.26410368,6.45692786,5.87317103,7.35800822
4.56,7.26588278,6.47425103,5.88636924,7.35945386
4.57,7.26763273,6.4915742,5.89955513,7.36086607
4.58,7.26935109,6.50889737,5.9127287,7.36224561
4.59,7.27103541,6.52622054,5.92588996,7.36359322
4.6,7.27268324,6.54354371,5.93903893,7.36490962
4.61,7.27429215,6.56086688,5.95217561,7.36619553
4.62,7.27585967,6.57819004,5.96530001,7.36745165
4.63,7.27738337,6.59551321,5.97841216,7.36867866
4.64,7.27886081,6.61283638,5.99151205,7.36987721
4.65,7.28028953,6.63015955,6.00459971,7.37104796
4.66,7.28166708,6.64748272,6.01767514,7.37219155
4.67,7.28299104,6.66480589,6.03073835,7.3733086
4.68,7.28425894,6.68212905,6.04378936,7.37439971
4.69,7.28546834,6.69945222,6.05682817,7.37546549
4.7,7.2866168,6.71677539,6.06985481,7.3765065
4.71,7.28771416,6.73409856,6.08286927,7.37752333
4.72,7.2887827,6.75142173,6.09587157,7.37851652
4.73,7.28982398,6.7687449,6.10886173,7.37948662
4.74,7.29083911,6.78606807,6.12183975,7.38043416
4.75,7.29182917,6.80339123,6.13480565,7.38135966
4.76,7.29279528,6.8207144,6.14775943,7.38226362
4.77,7.29373851,6.83803757,6.16070111,7.38314654
4.78,7.29465996,6.85536074,6.1736307,7.38400891
4.79,7.29556073,6.87268391,6.1865482,7.3848512
4.8,7.29644191,6.89000708,6.19945364,7.38567387
4.81,7.2973046,6.90733025,6.21234703,7.38647738
4.82,7.2981499,6.92465341,6.22522837,7.38726216
4.83,7.29897889,6.94197658,6.23809767,7.38802865
4.84,7.29979267,6.95929975,6.25095495,7.38877728
4.85,7.30059233,6.97662292,6.26380022,7.38950845
4.86,7.30137898,6.99394609,6.27663348,7.39022256
4.87,7.30215371,7.01126926,6.28945476,7.39092003
4.88,7.3029176,7.02859242,6.30226406,7.39160121
4.89,7.30367176,7.04591559,6.31506139,7.39226651
4.9,7.30441728,7.06323876,6.32784676,7.39291628
4.91,7.30515525,7.08056193,6.34062019,7.39355088
4.92,7.30588677,7.0978851,6.35338169,7.39417066
4.93,7.30661294,7.11520827,6.36613126,7.39477597
4.94,7.30733484,7.13253144,6.37886892,7.39536715
4.95,7.30805358,7.1498546,6.39159469,7.39594451
4.96,7.30877024,7.16717777,6.40430856,7.39650839
4.97,7.30948593,7.18450094,6.41701055,7.39705909
4.98,7.31020174,7.20182411,6.42970068,7.39759692
4.99,7.31091875,7.21914728,6.44237895,7.39812218
5,7.31163808,7.23647045,6.45504538,7.39863517
5.01,7.3123608,7.25379361,6.46769997,7.39913616
5.02,7.31308802,7.27111678,6.48034274,7.39962543
5.03,7.31382083,7.28843995,6.4929737,7.40010326
5.04,7.31456033,7.30576312,6.50559286,7.40056992
5.05,7.3153076,7.32308629,6.51820022,7.40102566
5.06,7.31606376,7.34040946,6.53079581,7.40147074
5.07,7.31682988,7.35773263,6.54337963,7.4019054
5.08,7.31760706,7.37505579,6.5559517,7.4023299
5.09,7.3183964,7.39237896,6.56851202,7.40274445
5.1,7.319199,7.40970213,6.5810606,7.40314931
5.11,7.32001595,7.42,6.59359746,7.40354469
5.12,7.32084834,7.42,6.60612261,7.40393081
5.13,7.32169901,7.42,6.61863606,7.40430789
5.14,7.32257104,7.42,6.63113781,7.40467614
5.15,7.32346304,7.42,6.64362789,7.40503577
5.16,7.32437348,7.42,6.6561063,7.40538697
5.17,7.32530085,7.42,6.66857304,7.40572995
5.18,7.32624364,7.42,6.68102814,7.4060649
