component,pulse_gtco2,year,horizon_after,median,mean,q05,q95,n_carrier_1e6,frac_carrier_1e6,n_tip,frac_tip,n
total,10.0,2150,120,0.00820883676195372,0.039626431338388564,0.004819808452471986,0.13459962020807126,841,1.0,173,0.2057074910820452,841
ais,10.0,2180,150,0.003144861147499345,0.039718649512439676,0.0014717502873173862,0.24481803921760487,841,1.0,197,0.2342449464922711,841
total,10.0,2180,150,0.009920636997020615,0.045899742782364306,0.0053745745688649205,0.25048959988114794,841,1.0,200,0.23781212841854935,841
ais,30.0,2100,70,0.0014496298771715654,0.020661700443058362,0.0007375903683259911,0.08523879857253669,841,1.0,279,0.33174791914387636,841
total,30.0,2100,70,0.0058826019136641134,0.02464140409453066,0.0035961869049731345,0.08929357728635938,841,1.0,279,0.33174791914387636,841
ais,30.0,2130,100,0.0024558247525452437,0.027969661594877904,0.0010239560028446615,0.1252637667767072,841,1.0,332,0.3947681331747919,841
total,30.0,2130,100,0.0084219631555101,0.03287589956261127,0.004454699182225113,0.12944318049838013,841,1.0,332,0.3947681331747919,841
ais,30.0,2150,120,0.0032341262367752144,0.032656860943469354,0.0012187378329076015,0.12664798825147702,841,1.0,353,0.41973840665873957,841
total,30.0,2150,120,0.010175287558385667,0.03810734574722573,0.004975551329881404,0.1315435057184781,841,1.0,354,0.42092746730083236,841
ais,30.0,2180,150,0.005258541487958013,0.03781720977847043,0.00149039691119901,0.12723751326600197,841,1.0,390,0.4637336504161712,841
total,30.0,2180,150,0.013783356238086242,0.043998145283404885,0.005662010452782325,0.13352051796473433,841,1.0,393,0.46730083234244946,841
