year,ssp,gmst,gsic_med,gsic_lo,gsic_hi
2093,SSP4-6.0,3.052935039593731,11.630500314873487,9.467362921725611,13.473227771153821
2094,SSP4-6.0,3.0768033881443215,11.753526222400279,9.566464036191995,13.609256071689577
2095,SSP4-6.0,3.0938087552267013,11.874671951975586,9.665140419319455,13.73646658742915
2096,SSP4-6.0,3.1099885369808304,11.994407289492475,9.763365623794128,13.861637005237187
2097,SSP4-6.0,3.1223890236314684,12.110306248261878,9.86091960618052,13.985403019512349
2098,SSP4-6.0,3.130839510613566,12.226303248572005,9.957699916694368,14.110688670800366
2099,SSP4-6.0,3.145618075771809,12.342457160682006,10.053602837435733,14.232604613847416
2100,SSP4-6.0,3.1594002916640718,12.456880383850379,10.148821858714308,14.360331340377364
2101,SSP4-6.0,3.1799490687053544,12.57243631813782,10.243336227808673,14.487512444747557
2102,SSP4-6.0,3.200144960151736,12.686312129531046,10.337391738500655,14.613237280653177
2103,SSP4-6.0,3.2180523552382203,12.799141277070213,10.431044774918538,14.736908813984355
2104,SSP4-6.0,3.238541042034558,12.907559392706597,10.52386449846897,14.858744616675564
2105,SSP4-6.0,3.2449711831348176,13.01491466502701,10.612669533638268,14.980304474139356
2106,SSP4-6.0,3.2538533673315415,13.12645119685866,10.700466815561574,15.100327538342878
2107,SSP4-6.0,3.260288739899585,13.236992600143552,10.787348142253293,15.218976004096756
2108,SSP4-6.0,3.2738898253415325,13.346405431922122,10.873252501906146,15.34703622597392
2109,SSP4-6.0,3.28320995863582,13.45281495507485,10.958414482535346,15.464821047894302
2110,SSP4-6.0,3.296118005673912,13.56086961360116,11.045585877494062,15.575484251252764
2111,SSP4-6.0,3.3086730646073326,13.668869006370368,11.139361847631791,15.680897593884987
2112,SSP4-6.0,3.3255203204769566,13.777619687722492,11.232615433183327,15.79078338360359
2113,SSP4-6.0,3.339985801369394,13.884975811656142,11.325171692251871,15.89073167694646
2114,SSP4-6.0,3.35816490639687,13.991631776468427,11.40817341533444,15.99058992390723
2115,SSP4-6.0,3.371291202361451,14.101799285319803,11.490743674649673,16.092547225545957
2116,SSP4-6.0,3.3799621240578808,14.206127968338944,11.57280550708407,16.194503796570242
2117,SSP4-6.0,3.3876292158822663,14.309033430117719,11.654163149072515,16.295184942203477
2118,SSP4-6.0,3.389305986786148,14.411171700994224,11.740611060379514,16.402279534709056
2119,SSP4-6.0,3.397988857695501,14.513647331728464,11.831627569720057,16.51664754534626
2120,SSP4-6.0,3.409949027455542,14.612533506752126,11.9166719641465,16.630054325768945
2121,SSP4-6.0,3.415598308550444,14.712014134673009,11.998029807614257,16.742634791274725
2122,SSP4-6.0,3.4336007347000526,14.810171549896657,12.078644996413702,16.85416967806283
2123,SSP4-6.0,3.4491677344723763,14.905987158947836,12.1588328968851,16.965066656072583
2124,SSP4-6.0,3.4617502037140238,15.00122980689482,12.238536541337545,17.06370115524956
2125,SSP4-6.0,3.4693002047110197,15.09333715286419,12.31768797625541,17.160898718655847
2126,SSP4-6.0,3.4749366888793034,15.18435478468447,12.397137366172908,17.25817432069053
2127,SSP4-6.0,3.481315033993197,15.273371983738953,12.478360545903048,17.356774774267755
2128,SSP4-6.0,3.4893537875812024,15.36273416166196,12.554390201282859,17.462310222574057
2129,SSP4-6.0,3.498179480944245,15.453810039565827,12.626647885449202,17.558777803149663
2130,SSP4-6.0,3.497042079723202,15.543090177463533,12.70187071482653,17.654740612748217
2131,SSP4-6.0,3.5090217221101283,15.636419628844553,12.77671357566808,17.74896041881378
2132,SSP4-6.0,3.5284226098105034,15.728738884081949,12.851486320365163,17.842132715886457
