tag,shift,block,scenario,window,horizon,metric,value
L15,-0.077,H,,full,0,cov90,0.6904761904761905
L15,-0.077,H,,full,0,band_cm,0.22333439669191718
L15,-0.077,H,,1920-1949,0,bias_cm,-0.06625758421616333
L15,-0.077,H,,1920-1949,0,bias_sigma,-0.39569945775381804
L15,-0.077,H,,1920-1949,0,rmse_cm,0.06931290339341994
L15,-0.077,H,,1920-1949,0,cov90,1.0
L15,-0.077,H,,1920-1949,0,band_cm,0.32192144017387786
L15,-0.077,H,,1950-1992,0,bias_cm,-0.07005103264087138
L15,-0.077,H,,1950-1992,0,bias_sigma,-0.4183544564597303
L15,-0.077,H,,1950-1992,0,rmse_cm,0.0751616270242388
L15,-0.077,H,,1950-1992,0,cov90,0.5348837209302325
L15,-0.077,H,,1950-1992,0,band_cm,0.15103107005015196
L15,-0.077,H,,1993-2026,0,bias_cm,-0.04046923097102371
L15,-0.077,H,,1993-2026,0,bias_sigma,-0.2416878451031968
L15,-0.077,H,,1993-2026,0,rmse_cm,0.08049346853952327
L15,-0.077,H,,1993-2026,0,cov90,0.42424242424242425
L15,-0.077,H,,1993-2026,0,band_cm,0.09256292264900108
L15,-0.077,P,ssp126,,2100,ais_med,5.551772245520803
L15,-0.077,P,ssp126,,2100,ais_p05,4.501065729727031
L15,-0.077,P,ssp126,,2100,ais_p95,6.707383097731871
L15,-0.077,P,ssp126,,2100,tipped_frac,0.0075
L15,-0.077,P,ssp126,,2150,ais_med,8.646966923081706
L15,-0.077,P,ssp126,,2150,ais_p05,6.9765055841083115
L15,-0.077,P,ssp126,,2150,ais_p95,10.466171655205535
L15,-0.077,P,ssp126,,2150,tipped_frac,0.0015
L15,-0.077,P,ssp126,,2300,ais_med,17.22199342165724
L15,-0.077,P,ssp126,,2300,ais_p05,13.853929248439481
L15,-0.077,P,ssp126,,2300,ais_p95,20.704870957699193
L15,-0.077,P,ssp126,,2300,tipped_frac,0.003
L15,-0.077,P,ssp245,,2100,ais_med,13.774950082384997
L15,-0.077,P,ssp245,,2100,ais_p05,5.9330422268141065
L15,-0.077,P,ssp245,,2100,ais_p95,54.82419824917979
L15,-0.077,P,ssp245,,2100,tipped_frac,0.5725
L15,-0.077,P,ssp245,,2150,ais_med,60.252483487378996
L15,-0.077,P,ssp245,,2150,ais_p05,11.716412224332664
L15,-0.077,P,ssp245,,2150,ais_p95,125.14058469294122
L15,-0.077,P,ssp245,,2150,tipped_frac,0.769
L15,-0.077,P,ssp245,,2300,ais_med,203.72066409658328
L15,-0.077,P,ssp245,,2300,ais_p05,30.807984163879897
L15,-0.077,P,ssp245,,2300,ais_p95,344.4770955269839
L15,-0.077,P,ssp245,,2300,tipped_frac,0.849
L15,-0.077,P,ssp585,,2100,ais_med,48.37941365251693
L15,-0.077,P,ssp585,,2100,ais_p05,27.428555525408274
L15,-0.077,P,ssp585,,2100,ais_p95,79.5147353960049
L15,-0.077,P,ssp585,,2100,tipped_frac,1.0
L15,-0.077,P,ssp585,,2150,ais_med,116.11523901518781
L15,-0.077,P,ssp585,,2150,ais_p05,71.45423340950175
L15,-0.077,P,ssp585,,2150,ais_p95,173.58007195894493
L15,-0.077,P,ssp585,,2150,tipped_frac,1.0
L15,-0.077,P,ssp585,,2300,ais_med,346.7429368997663
L15,-0.077,P,ssp585,,2300,ais_p05,219.70305205177
L15,-0.077,P,ssp585,,2300,ais_p95,508.85100069232556
L15,-0.077,P,ssp585,,2300,tipped_frac,1.0
L15,-0.12,H,,full,0,bias_cm,-0.05627368735673901
L15,-0.12,H,,full,0,bias_sigma,-0.33607424472680114
L15,-0.12,H,,full,0,rmse_cm,0.07826107055577355
L15,-0.12,H,,full,0,cov90,0.873015873015873
L15,-0.12,H,,full,0,band_cm,0.29273227982737965
L15,-0.12,H,,1920-1949,0,bias_cm,-0.08715922823224886
L15,-0.12,H,,1920-1949,0,bias_sigma,-0.5205269669540517
L15,-0.12,H,,1920-1949,0,rmse_cm,0.08851957649045832
L15,-0.12,H,,1920-1949,0,cov90,1.0
L15,-0.12,H,,1920-1949,0,band_cm,0.42908774243220626
L15,-0.12,H,,1950-1992,0,bias_cm,-0.07717207759239594
L15,-0.12,H,,1950-1992,0,bias_sigma,-0.460882321900249
L15,-0.12,H,,1950-1992,0,rmse_cm,0.08277365789093952
