year,ssp,gmst,gsic_med,gsic_lo,gsic_hi
2286,SSP4-6.0,4.1839076195813165,33.48915015279461,23.29335956163228,42.765876939359984
2287,SSP4-6.0,4.183666559380538,33.527623752329376,23.300353369360067,42.83585487662218
2288,SSP4-6.0,4.1889537229335065,33.55939011334405,23.303921257543845,42.904920881887314
2289,SSP4-6.0,4.196973476870981,33.60252953652094,23.30649509077841,42.97108068570856
2290,SSP4-6.0,4.1971877935992215,33.6200612913066,23.308347220960474,43.03613491595717
2291,SSP4-6.0,4.196137215102399,33.644034359438265,23.308347220960474,43.100286832744374
2292,SSP4-6.0,4.194323109049844,33.67451325500619,23.308347220960474,43.15990577797624
2293,SSP4-6.0,4.193340276318441,33.71153789889041,23.308347220960474,43.21699890666753
2294,SSP4-6.0,4.185675882856888,33.732624250212744,23.308347220960474,43.27780199601825
2295,SSP4-6.0,4.184096140342174,33.76016296676931,23.308347220960474,43.30324717629752
2296,SSP4-6.0,4.1812400308848465,33.78837271178533,23.308347220960474,43.3277477081958
2297,SSP4-6.0,4.192702606986888,33.814709203460325,23.308347220960474,43.35130803600712
2298,SSP4-6.0,4.197440486800648,33.852030532195585,23.308524742246277,43.374015380625345
2299,SSP4-6.0,4.204828196225356,33.87685775050042,23.30887245015296,43.433891603644526
2300,SSP4-6.0,4.206569968923614,33.895493241929415,23.309213126925766,43.49719593694675
1990,SSP3-7.0,0.6172413401272017,-1.0443047943379253,-1.2177544351127125,-0.9142577859864159
1991,SSP3-7.0,0.6480920599899472,-0.9795267132711738,-1.142305699972399,-0.8577583990952622
1992,SSP3-7.0,0.6054709248449786,-0.9120917033091928,-1.0639160901957927,-0.7990422857755712
1993,SSP3-7.0,0.49579326119498635,-0.8485798827404611,-0.9897995760239761,-0.7435160706217803
1994,SSP3-7.0,0.5159107825733913,-0.7943154190791162,-0.9265196477058659,-0.6960948941512936
1995,SSP3-7.0,0.5766612473873399,-0.7383825587564862,-0.8613358429467947,-0.647235109542818
1996,SSP3-7.0,0.6411345082576302,-0.6772550224208272,-0.7902811777538888,-0.5939613474615577
1997,SSP3-7.0,0.6860734222790282,-0.6110029325130777,-0.7130063473341518,-0.5359785532409652
1998,SSP3-7.0,0.7181171626962323,-0.5410315791251646,-0.6312234931162561,-0.47469591095205926
1999,SSP3-7.0,0.7443055351790053,-0.46831124980534966,-0.5463789877804257,-0.41114636239573193
2000,SSP3-7.0,0.78080095281422,-0.3935364089932889,-0.4591465980565181,-0.3457671866902628
2001,SSP3-7.0,0.8277653991917374,-0.31617939590272565,-0.3688524068568789,-0.27781366625529424
2002,SSP3-7.0,0.8625038868905944,-0.23507652749436975,-0.27392518625580775,-0.20629330314332306
2003,SSP3-7.0,0.8825685123647669,-0.150863217037262,-0.17567969456803756,-0.13250407458350438
2004,SSP3-7.0,0.8931410769792334,-0.06533127336161779,-0.07589960643317908,-0.0574495064250117
2005,SSP3-7.0,0.8998718941653809,0.020866717981204985,0.017846099219550084,0.024922596754649133
2006,SSP3-7.0,0.9059038132337379,0.10754153764315905,0.09387095452739712,0.1253410045876275
2007,SSP3-7.0,0.9146854493265001,0.1943271138318263,0.17009169320020734,0.22665949455668405
2008,SSP3-7.0,0.9219150757625193,0.28198457959417694,0.2470786078369378,0.3289120773756272
2009,SSP3-7.0,0.944300568261457,0.3699384532123891,0.32448664430735014,0.4316721154027967
2010,SSP3-7.0,0.9618227486686342,0.45943266675252037,0.4032450037973846,0.5360619007672925
2011,SSP3-7.0,0.9819605692158233,0.5501096393618705,0.48312858360506966,0.641747749156013
2012,SSP3-7.0,1.0103928501951052,0.6421254396522997,0.5643190862035306,0.7491728189652082
2013,SSP3-7.0,1.0340522463545012,0.7368201066088709,0.6474030061582268,0.8595555868895268
2014,SSP3-7.0,1.0652103142894338,0.8331363592014196,0.7320190684761247,0.9719693634923074
2015,SSP3-7.0,1.0914259349003625,0.9318191491588856,0.8181128410314067,1.0865840060727323
2016,SSP3-7.0,1.1177753966933797,1.032278180083782,0.9057714463994042,1.2024321530747073
2017,SSP3-7.0,1.1352689289387357,1.134142061678282,0.9952278816710316,1.3202736876351935
2018,SSP3-7.0,1.1649203935269674,1.2375031227230295,1.0864316520254145,1.4394089372547372
2019,SSP3-7.0,1.182199889988876,1.3427699011339438,1.179626411021342,1.5623675226036515
2020,SSP3-7.0,1.1943139276760628,1.4491283823756662,1.2729774396990274,1.6869164632770068
2021,SSP3-7.0,1.2138611355134368,1.5562698545777924,1.3669389198218418,1.812350256488501
2022,SSP3-7.0,1.2427603526572801,1.665025010345155,1.462562407841719,1.9393545827379581
2023,SSP3-7.0,1.2676427457733097,1.7761773425432688,1.558199930699764,2.0687558915782653
2024,SSP3-7.0,1.297249643489362,1.8891132677983449,1.6551955686588564,2.2003595395643103
2025,SSP3-7.0,1.3244296313174653,2.0031784478586303,1.7551464567281845,2.333248987316368
2026,SSP3-7.0,1.3467314996250777,2.118946485596476,1.857784059438659,2.4672810819602615
2027,SSP3-7.0,1.3630639604643093,2.2361361356960083,1.9614916037721066,2.605677349535999
2028,SSP3-7.0,1.3791948710386996,2.3543387564122433,2.0657648187395705,2.741793083874959
2029,SSP3-7.0,1.3976964174747024,2.4731495607631606,2.169868409759901,2.877070772285048
2030,SSP3-7.0,1.4171559216792757,2.5927776249548975,2.27536862323858,3.0165648689381865
2031,SSP3-7.0,1.4319447065489144,2.7136352773334815,2.382017209344151,3.157238083269082
2032,SSP3-7.0,1.4496937502486302,2.8360541963137305,2.490300964302103,3.2987446647001875
2033,SSP3-7.0,1.4735708145579405,2.9592722225712924,2.5995470554182663,3.4413361369094435
2034,SSP3-7.0,1.5045608077211996,3.084097904871327,2.710164817120055,3.5855415801621024
2035,SSP3-7.0,1.5339186962796172,3.210838110234447,2.8226264827541994,3.7318909787264625
2036,SSP3-7.0,1.5643211371365495,3.340402223204073,2.9366969873681623,3.880224811132602
2037,SSP3-7.0,1.5959829909410648,3.4713755563596536,3.052551292907339,4.032069253618849
2038,SSP3-7.0,1.6253973204747485,3.604206981007982,3.170315078502378,4.186855639539299
2039,SSP3-7.0,1.6518755376759244,3.7389022070143696,3.2868699942646846,4.343711202336058
2040,SSP3-7.0,1.6749494453529516,3.8759887332250194,3.405390536758166,4.501255135038632
2041,SSP3-7.0,1.6952626335166214,4.01397423994226,3.526799703846104,4.658876930518672
2042,SSP3-7.0,1.7139449110217546,4.152543018994939,3.649187077804786,4.8174446084522895
2043,SSP3-7.0,1.740640384481486,4.291086229905321,3.770143107091526,4.975858968388048
2044,SSP3-7.0,1.7672324935741603,4.430299648014798,3.8901846208924833,5.140127412006493
2045,SSP3-7.0,1.7901621726621537,4.57207833367123,4.011298155585229,5.308131861107472
