ism,exp,gcm,ssp,protocol,cm_2100
NCAR_CISM,expb02,CNRM-CM6-1,ssp126,standard,4.936253651976585
NCAR_CISM,expb03,UKESM1-0-LL,ssp585,standard,19.82051432132721
NCAR_CISM,expb04,CESM2,ssp585,standard,19.501616060733795
NCAR_CISM,expb05,CNRM-ESM2-1,ssp585,standard,13.045595586299896
UAF_PISM1,expb01,CNRM-CM6-1,ssp585,standard,12.392517179250717
UAF_PISM1,expb02,CNRM-CM6-1,ssp126,standard,4.254842922091484
UAF_PISM1,expb03,UKESM1-0-LL,ssp585,standard,16.131623089313507
UAF_PISM1,expb05,CNRM-ESM2-1,ssp585,standard,16.14215075969696
UAF_PISM2,expb06,CNRM-CM6-1,ssp585,open,9.749913960695267
UAF_PISM2,expb07,CNRM-CM6-1,ssp126,open,3.9565730839967728
UAF_PISM2,expb08,UKESM1-0-LL,ssp585,open,14.370837807655334
UAF_PISM2,expb10,CNRM-ESM2-1,ssp585,open,9.742140024900436
UCIJPL_ISSM1,expb01,CNRM-CM6-1,ssp585,standard,10.655275732278824
UCIJPL_ISSM1,expb02,CNRM-CM6-1,ssp126,standard,4.032456874847412
UCIJPL_ISSM1,expb03,UKESM1-0-LL,ssp585,standard,15.516552329063416
VUB_GISMHOMv1,expb01,CNRM-CM6-1,ssp585,standard,14.752854406833649
VUB_GISMHOMv1,expb02,CNRM-CM6-1,ssp126,standard,5.752763897180557
VUB_GISMHOMv1,expb03,UKESM1-0-LL,ssp585,standard,21.02169543504715
VUB_GISMHOMv1,expb04,CESM2,ssp585,standard,20.118893682956696
VUB_GISMHOMv1,expb05,CNRM-ESM2-1,ssp585,standard,14.272801578044891
