scenario,quantity,year,value,unit
vvH,gmst,2014,0.14338811742157354,K
vvH,gmst_rms_hist,2014,0.1053453226441531,K
vvH,gmst_driver_inside_magicc_5_95_frac,2014,0.24848484848484848,fraction of years
ssp126,gmst,1900,0.02756632089778753,K
ssp126,gmst,1950,0.06270765853514815,K
ssp126,gmst,1980,0.08289527517055811,K
ssp126,gmst,2000,0.0851139904554219,K
ssp126,gmst,2014,0.10139182159774718,K
ssp126,gmst_rms_hist,2014,0.08496031489811967,K
ssp126,gmst_driver_inside_magicc_5_95_frac,2014,0.3878787878787879,fraction of years
ssp245,gmst,1900,0.02756632089778753,K
ssp245,gmst,1950,0.06270765853514815,K
ssp245,gmst,1980,0.08289527517055811,K
ssp245,gmst,2000,0.0851139904554219,K
ssp245,gmst,2014,0.10139182159774718,K
ssp245,gmst_rms_hist,2014,0.08496031489811967,K
ssp245,gmst_driver_inside_magicc_5_95_frac,2014,0.3878787878787879,fraction of years
ssp585,gmst,1900,0.02756632089778753,K
ssp585,gmst,1950,0.06270765853514815,K
ssp585,gmst,1980,0.08289527517055811,K
ssp585,gmst,2000,0.0851139904554219,K
ssp585,gmst,2014,0.10139182159774718,K
ssp585,gmst_rms_hist,2014,0.08496031489811967,K
ssp585,gmst_driver_inside_magicc_5_95_frac,2014,0.3878787878787879,fraction of years
vvVL,ohc,1900,3.1721470557584093,1e22 J
vvVL,ohc,1950,9.321890342483126,1e22 J
vvVL,ohc,1980,10.335188228792674,1e22 J
vvVL,ohc,2000,11.991467738696457,1e22 J
vvVL,ohc,2014,9.349378850993567,1e22 J
vvVL,ohc_te_ref_offset,2014,11.148952985327949,1e22 J
vvVL,ohc_resid_rms_after_offset,2014,6.938894785957891,1e22 J
vvLN,ohc,1900,3.1721470557584093,1e22 J
vvLN,ohc,1950,9.321890342483126,1e22 J
vvLN,ohc,1980,10.335188228792674,1e22 J
vvLN,ohc,2000,11.991467738696457,1e22 J
vvLN,ohc,2014,9.349378850993567,1e22 J
vvLN,ohc_te_ref_offset,2014,11.148952985327949,1e22 J
vvLN,ohc_resid_rms_after_offset,2014,6.938894785957891,1e22 J
vvL,ohc,1900,3.1721470557584093,1e22 J
vvL,ohc,1950,9.321890342483126,1e22 J
vvL,ohc,1980,10.335188228792674,1e22 J
vvL,ohc,2000,11.991467738696457,1e22 J
vvL,ohc,2014,9.349378850993567,1e22 J
vvL,ohc_te_ref_offset,2014,11.148952985327949,1e22 J
vvL,ohc_resid_rms_after_offset,2014,6.938894785957891,1e22 J
vvML,ohc,1900,3.1721470557584093,1e22 J
vvML,ohc,1950,9.321890342483126,1e22 J
vvML,ohc,1980,10.335188228792674,1e22 J
vvML,ohc,2000,11.991467738696457,1e22 J
vvML,ohc,2014,9.349378850993567,1e22 J
vvML,ohc_te_ref_offset,2014,11.148952985327949,1e22 J
vvML,ohc_resid_rms_after_offset,2014,6.938894785957891,1e22 J
vvM,ohc,1900,3.1721470557584093,1e22 J
vvM,ohc,1950,9.321890342483126,1e22 J
vvM,ohc,1980,10.335188228792674,1e22 J
vvM,ohc,2000,11.991467738696457,1e22 J
vvM,ohc,2014,9.349378850993567,1e22 J
vvM,ohc_te_ref_offset,2014,11.148952985327949,1e22 J
vvM,ohc_resid_rms_after_offset,2014,6.938894785957891,1e22 J
vvHL,ohc,1900,3.1721470557584093,1e22 J
vvHL,ohc,1950,9.321890342483126,1e22 J
vvHL,ohc,1980,10.335188228792674,1e22 J
vvHL,ohc,2000,11.991467738696457,1e22 J
vvHL,ohc,2014,9.349378850993567,1e22 J
vvHL,ohc_te_ref_offset,2014,11.148952985327949,1e22 J
vvHL,ohc_resid_rms_after_offset,2014,6.938894785957891,1e22 J
vvH,ohc,1900,3.1721470557584093,1e22 J
vvH,ohc,1950,9.321890342483126,1e22 J
vvH,ohc,1980,10.335188228792674,1e22 J
vvH,ohc,2000,11.991467738696457,1e22 J
vvH,ohc,2014,9.349378850993567,1e22 J
vvH,ohc_te_ref_offset,2014,11.148952985327949,1e22 J
vvH,ohc_resid_rms_after_offset,2014,6.938894785957891,1e22 J
ssp126,ohc,1900,4.171972163340811,1e22 J
ssp126,ohc,1950,11.737405116674907,1e22 J
ssp126,ohc,1980,11.773061149888331,1e22 J
ssp126,ohc,2000,12.579696814211687,1e22 J
ssp126,ohc,2014,9.552695592292622,1e22 J
ssp126,ohc_te_ref_offset,2014,11.644076015628233,1e22 J
ssp126,ohc_resid_rms_after_offset,2014,7.062817496574528,1e22 J
ssp245,ohc,1900,4.171972163340811,1e22 J
ssp245,ohc,1950,11.737405116674907,1e22 J
ssp245,ohc,1980,11.773061149888331,1e22 J
ssp245,ohc,2000,12.579696814211687,1e22 J
ssp245,ohc,2014,9.552695592292622,1e22 J
ssp245,ohc_te_ref_offset,2014,11.644076015628233,1e22 J
ssp245,ohc_resid_rms_after_offset,2014,7.062817496574528,1e22 J
ssp585,ohc,1900,4.171972163340811,1e22 J
ssp585,ohc,1950,11.737405116674907,1e22 J
ssp585,ohc,1980,11.773061149888331,1e22 J
ssp585,ohc,2000,12.579696814211687,1e22 J
ssp585,ohc,2014,9.552695592292622,1e22 J
ssp585,ohc_te_ref_offset,2014,11.644076015628233,1e22 J
ssp585,ohc_resid_rms_after_offset,2014,7.062817496574528,1e22 J
