year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected
1948,-0.42342506687667525,-0.38088625665144304,-0.33744145413850574,-0.7216253401074872,-0.045893141507919115,-0.37351922121914943,-2.9124623929242746,-2.660174580801337,-2.364508598793669,-3.594013111369887,-1.6913989260966025,-2.81444850835,-1.4322975246918659,-1.3665141358238597,-1.3009849042727548,-1.70601815290434,-1.0163319986168462,-1.5536521738225768,-2.8642137265352794,-2.6807803280973967,-2.441452435581317,-3.5680359465131537,-1.7574257213255864,-2.8385199069976803,-6.116456766606064,-5.52581199590714,-5.109418315960263,NaN,NaN,-6.29570893822944,-2.525745356213732
1949,-0.4163614516902322,-0.3745824205283728,-0.33163214772355115,-0.6879618702187289,-0.041845750218846595,-0.36812314120205974,-2.8522504873460703,-2.6053620288530834,-2.3196618338685204,-3.620501262450163,-1.6404092275967534,-2.75249629888,-1.3894368738122886,-1.3253530636040327,-1.262156973669198,-1.667157155699383,-1.00301048855864,-1.4421209161931818,-2.8022960907069585,-2.62282809549929,-2.3886739151105854,-3.465860097793252,-1.7670024016623496,-2.8981478214263916,-5.926517530115393,-5.343579673635738,-4.937009995056132,NaN,NaN,-5.795047387289413,-2.4878517427550877
1950,-0.4102759908343442,-0.3689428266754159,-0.3269584146364127,-0.6867378173344281,-0.05438975172206961,-0.36264223185452554,-2.79122585845232,-2.5517214757320215,-2.2730751708181685,-3.5570784447608603,-1.5214908616467235,-2.64135585698,-1.3851326107002222,-1.323002100581531,-1.261021316421116,-1.6509000100867417,-0.9830836164225818,-1.3604312723333192,-2.740063150356234,-2.564580751487818,-2.3356266294331807,-3.442965386200203,-1.6603453824730043,-2.815257120132446,-5.925790321557729,-5.352210217608432,-4.955345316890268,NaN,NaN,-5.985805844939225,-2.4007698968664437
1951,-0.4048944613319797,-0.3635376624455318,-0.3222063349318054,-0.6661644360154999,-0.059766194266723326,-0.3572604569521817,-2.7364880346370577,-2.501077260668407,-2.229463399746381,-3.4828405721193434,-1.468370951428601,-2.56356235417,-1.3309593299251656,-1.269405126973148,-1.2090966991905958,-1.5962263977769426,-0.943945125398959,-1.291308576410467,-2.6882905330491513,-2.5161238180107093,-2.2914957109022867,-3.3988168548474396,-1.6092362995478042,-2.7181330204010004,-5.547495691984311,-4.982361578014691,-4.592212820852726,NaN,NaN,-5.4950770375657925,-2.347034990067799
1952,-0.39893896885155933,-0.35786671055454367,-0.31736438368167014,-0.6701992800275915,-0.06702972090869369,-0.3518108281222257,-2.671146357290878,-2.441687967499787,-2.1771565936348645,-3.4098812225789166,-1.4234022116775424,-2.47088924321,-1.297063357021174,-1.23729045389932,-1.180120088393236,-1.5713337075022458,-0.9080418579200809,-1.244715864008123,-2.6397218176236876,-2.470665598302,-2.250095794593669,-3.3760113978899486,-1.573411932596554,-2.6388128757476808,-5.362931885074078,-4.812693920048675,-4.429506352222459,NaN,NaN,-5.224996184831158,-2.2784204751191544
1953,-0.39272778771844924,-0.35224277901452733,-0.3125984953769364,-0.6600827668886493,-0.0625675999032837,-0.34638618555935946,-2.597711077918703,-2.3727511889512063,-2.11630325407508,-3.2940396647087744,-1.3823148261449707,-2.37081600103,-1.234394458138601,-1.1753898076026839,-1.1199098988434335,-1.4986198173186662,-0.861615615804182,-1.1987132852727718,-2.5925631575079535,-2.4265271294557453,-2.2098978077843587,-3.3658356959136566,-1.4830226547036423,-2.6377714633941642,-5.268530633899437,-4.730672486511807,-4.356003086430632,NaN,NaN,-5.3352413439159,-2.2024058289505106
1954,-0.3862853631545669,-0.3464573386255297,-0.30733620420501917,-0.6396576181786062,-0.06256288341024506,-0.34098810282620523,-2.5134383105735396,-2.296600364985862,-2.04800604546753,-3.2880407098406987,-1.335298620284544,-2.28918491277,-1.1936398747774921,-1.135895572506389,-1.0819952135518864,-1.4447594376082082,-0.813922814580644,-1.16956976110285,-2.545726771958168,-2.3826902956825435,-2.169974527438701,-3.2732330917206225,-1.4642214160885627,-2.6217352390289306,-5.076237423604653,-4.5526680894925144,-4.187958615427573,NaN,NaN,-5.127941677618937,-2.1448333367018657
1955,-0.3799633217785046,-0.34072992449826117,-0.30215074437697004,-0.6234974715383175,-0.04902084988543149,-0.33553046313199136,-2.448314833802675,-2.2368018436851296,-1.995143134136817,-3.1585316453559553,-1.3272799411555891,-2.24269004735,-1.146214475446314,-1.0903936526729126,-1.038142511164136,-1.3732029952186202,-0.7880773957133035,-1.146664029901678,-2.497587063966875,-2.337633608401207,-2.1289402965659625,-3.185271739464004,-1.4570490323508491,-2.6249311923980714,-5.111447598211382,-4.598753437461461,-4.2423750422276125,NaN,NaN,-5.472432942739919,-2.122397067293222
1956,-0.3741104801262417,-0.33490299428912634,-0.29714215832222735,-0.6023626889762267,-0.05797119442456209,-0.33016361323269944,-2.394984330953993,-2.1862729121680493,-1.9511151766327537,-3.1170778692987215,-1.2448653709000583,-2.15210204991,-1.1039739212451332,-1.0507972014171632,-0.9991939347285819,-1.3488262777249553,-0.7537744270957037,-1.1088739221746269,-2.4474210670862004,-2.290680402245119,-2.0861788594102775,-3.164089126901967,-1.4400478291867822,-2.6001024723052977,-5.213712610479196,-4.715858919070416,-4.3696579294265065,NaN,NaN,-5.659138423447326,-2.0558676658645774
1957,-0.36802704469313907,-0.3293323138385964,-0.2918742612219575,-0.5990396614057233,-0.06475041335766096,-0.3247422131625089,-2.343897066934058,-2.1405213440107307,-1.9107485245555043,-3.066588188348808,-1.1948545415764245,-2.05362754735,-1.0709766437361068,-1.0189242909369984,-0.9696348325997581,-1.3000588851091515,-0.7150948050283111,-1.036597234552557,-2.3908420809593443,-2.237724915164186,-2.037950997710435,-2.899050258814648,-1.6086689418272209,-2.548732614517211,-5.037794141360531,-4.55153143046773,-4.2117622435813376,NaN,NaN,-5.107489815830466,-1.981451759315933
