year,component,med_diff_cm,p05_diff_cm,p95_diff_cm
2242,glaciers,0.022160226923881865,0.014429326034069944,0.03452754281614059
2243,glaciers,0.022175567836718812,0.014439986660852,0.034608662129584376
2244,glaciers,0.022185391199153415,0.01445078529790722,0.034680313607501206
2245,glaciers,0.022194868496674403,0.014461823085194503,0.03468776126436044
2246,glaciers,0.022205676815769237,0.014473049863154407,0.03470363306697326
2247,glaciers,0.022218296765272427,0.014484450601101794,0.034750266812301686
2248,glaciers,0.022227855153092335,0.014495966651237868,0.034791640285385485
2249,glaciers,0.022238204927949035,0.014507554900983344,0.03480849681408209
2250,glaciers,0.022250370626861304,0.014519010378786314,0.03483986642864529
2251,glaciers,0.02226934752379961,0.014530325663884725,0.034887594979812066
2252,glaciers,0.022277530302868165,0.014541629340699204,0.03490880028788199
2253,glaciers,0.022287749828557857,0.014552993139387916,0.03492979664558788
2254,glaciers,0.022299859292681745,0.014564486185987668,0.03495104539295113
2255,glaciers,0.022314326641248883,0.014576191759945623,0.034973025445126725
2256,glaciers,0.02232666856888965,0.014588050570733204,0.03502599012318956
2257,glaciers,0.022337520677087497,0.014600914727458657,0.03505766656827748
2258,glaciers,0.02234633765894145,0.01462128822028612,0.03508675204758304
2259,glaciers,0.022356865246069724,0.014655721314337455,0.03511358615953596
2260,glaciers,0.02236593704774137,0.014690402577987793,0.03514059833073144
2261,glaciers,0.022379311597100937,0.014700286499433446,0.035167649180549175
2262,glaciers,0.022390395968406196,0.0147065664263053,0.035194646043592924
2263,glaciers,0.022403087254176057,0.014712804190633389,0.03522157517128584
2264,glaciers,0.02242568893697605,0.014719009946266669,0.03524848303640091
2265,glaciers,0.022445379809778565,0.014725183086017779,0.03527539652008844
2266,glaciers,0.0224515313429432,0.014731321735583247,0.03529235316110313
2267,glaciers,0.022473114155466156,0.01473744894398532,0.03533169498450501
2268,glaciers,0.022486921428793494,0.014743559147485107,0.03536079915681345
2269,glaciers,0.022501666742197557,0.014750586495071882,0.03538998238996846
2270,glaciers,0.022515831469534398,0.014762697155382387,0.03541918504820813
2271,glaciers,0.022530826483649236,0.014764390424736895,0.03544841338682829
2272,glaciers,0.02254520067629784,0.014766605746572648,0.035477611339914006
2273,glaciers,0.022558007634233768,0.01477198876523067,0.03550908987491849
2274,glaciers,0.02256752235129955,0.014777311621221935,0.035603322469353674
2275,glaciers,0.022589617666350925,0.014782575691308962,0.03569795035094501
2276,glaciers,0.022599629256805365,0.014788160081053991,0.03575351291482338
2277,glaciers,0.022619303587248396,0.014803059078976055,0.03580196276132863
2278,glaciers,0.02263762429241556,0.01481570932062599,0.03584754507756447
2279,glaciers,0.022647563991302633,0.014815564491723698,0.03589346313503743
2280,glaciers,0.022656955382905686,0.014815413571819747,0.03590783497036867
2281,glaciers,0.022665655061542722,0.014815255632497148,0.03592176258846801
2282,glaciers,0.022682553306096587,0.014821235984137537,0.03593441250783815
2283,glaciers,0.02270145137109303,0.014825108908859708,0.03594635383540296
2284,glaciers,0.022713525241400134,0.014829181607603381,0.03595673068614662
2285,glaciers,0.022742305347410507,0.014830735715074983,0.035966766737464254
2286,glaciers,0.02274834722465613,0.014839430250638764,0.035976417829383676
2287,glaciers,0.02276234321588433,0.01484455891733667,0.035985770182607804
2288,glaciers,0.02277614793638172,0.014849483524412932,0.03599485201026002
2289,glaciers,0.022789814301837907,0.014854650067500953,0.03600369749797174
2290,glaciers,0.0228031629503489,0.014862272599604154,0.03601233521320708
2291,glaciers,0.022816325815019134,0.01487381971936621,0.03602240724153418
2292,glaciers,0.022830091885502668,0.014882633387436605,0.03606353756954749
2293,glaciers,0.02283782974263726,0.014893391928845201,0.036105134956926126
2294,glaciers,0.022847861361354305,0.014908901179321,0.036146266630421746
2295,glaciers,0.02285870561749892,0.014919205184644735,0.036186875150863516
2296,glaciers,0.022878202839767603,0.014927750373010262,0.03622500324828958
2297,glaciers,0.022890122785645062,0.014936244183116986,0.036261894255824684
2298,glaciers,0.02290140175542099,0.014944679677086814,0.03629745576826915
2299,glaciers,0.022912711988213097,0.014951225634534725,0.036331958093602075
2300,glaciers,0.0229198497089369,0.014955279086583407,0.036365625830623576
2025,gis,0.0,0.0,0.0
2026,gis,-8.118849894600544e-6,-2.764065672717919e-5,-2.7853289727097775e-6
2027,gis,-2.055919217225366e-5,-6.19493131445381e-5,-6.1874579112775066e-6
2028,gis,-3.7539339359238255e-5,-0.00010241977005485126,-1.0198123107763024e-5
2029,gis,-5.9060699752588874e-5,-0.0001458151635935767,-1.4744993636472968e-5
2030,gis,-8.585883011447137e-5,-0.0001945632013026888,-1.9908838716720112e-5
2031,gis,-0.00011672257187855806,-0.0002478214804688239,-2.576230564264037e-5
2032,gis,9.68380129364732e-5,-6.22609134977914e-5,0.00024993505301851293
2033,gis,0.00041493284952576204,0.0001994754903915652,0.0006636039867048192
2034,gis,0.0007723449173031582,0.0004873238256850599,0.0011342440545833998
2035,gis,0.0011429788170165267,0.0007830663099499091,0.00163516837374309
2036,gis,0.0015162489026119275,0.0010591316061473676,0.0021486129634854297
2037,gis,0.0018947562835331944,0.0013118539473220725,0.002691970369054308
2038,gis,0.0022697796216912813,0.0015868097704418993,0.003248928099516313
