block,ssp,horizon,quantity,value,unit,note
2,ssp585,2100,scope_free_sum_vs_FACTS/AR5,0.9087090773315533,x,ours (glac-r19 12.89 + gis 13.90) = 26.79 cm vs FACTS/AR5 (15.46 + 14.02) = 29.48; glaciers alone 0.924x
2,ssp585,2100,scope_free_sum_vs_FACTS/emu,0.879887048812583,x,ours (glac-r19 12.89 + gis 13.90) = 26.79 cm vs FACTS/emu (17.73 + 12.72) = 30.44; glaciers alone 0.806x
2,ssp585,2100,scope_free_sum_vs_MAGICC,0.9304897322393896,x,ours (glac-r19 12.89 + gis 13.90) = 26.79 cm vs MAGICC (15.30 + 13.49) = 28.79; glaciers alone 0.934x
2,ssp126,2150,scope_free_sum_vs_FACTS/AR5,0.6702681606035532,x,ours (glac-r19 8.95 + gis 7.92) = 16.88 cm vs FACTS/AR5 (12.00 + 13.18) = 25.18; glaciers alone 0.812x; CONFOUNDED by the GIS deficit
2,ssp126,2150,scope_free_sum_vs_MAGICC,0.7816487193325575,x,ours (glac-r19 8.95 + gis 7.92) = 16.88 cm vs MAGICC (12.28 + 9.31) = 21.59; glaciers alone 0.793x; CONFOUNDED by the GIS deficit
2,ssp245,2150,scope_free_sum_vs_FACTS/AR5,0.698651586499114,x,ours (glac-r19 12.53 + gis 12.43) = 24.96 cm vs FACTS/AR5 (17.53 + 18.19) = 35.73; glaciers alone 0.796x; CONFOUNDED by the GIS deficit
2,ssp245,2150,scope_free_sum_vs_MAGICC,0.75086041630756,x,ours (glac-r19 12.53 + gis 12.43) = 24.96 cm vs MAGICC (16.71 + 16.53) = 33.24; glaciers alone 0.835x; CONFOUNDED by the GIS deficit
2,ssp585,2150,scope_free_sum_vs_FACTS/AR5,0.8877048797234227,x,ours (glac-r19 18.88 + gis 30.60) = 49.48 cm vs FACTS/AR5 (28.40 + 27.33) = 55.73; glaciers alone 0.773x; CONFOUNDED by the GIS deficit
2,ssp585,2150,scope_free_sum_vs_MAGICC,0.9089130715499752,x,ours (glac-r19 18.88 + gis 30.60) = 49.48 cm vs MAGICC (22.03 + 32.40) = 54.43; glaciers alone 0.997x; CONFOUNDED by the GIS deficit
2,ssp126,2300,scope_free_sum_vs_MAGICC,0.7382820589740539,x,ours (glac-r19 11.16 + gis 10.08) = 21.25 cm vs MAGICC (13.80 + 14.98) = 28.78; glaciers alone 0.898x; CONFOUNDED by the GIS deficit
2,ssp245,2300,scope_free_sum_vs_MAGICC,0.6068470694459304,x,ours (glac-r19 16.43 + gis 18.32) = 34.75 cm vs MAGICC (21.47 + 35.79) = 57.26; glaciers alone 0.889x; CONFOUNDED by the GIS deficit
2,ssp585,2300,scope_free_sum_vs_MAGICC,0.8311060698259133,x,ours (glac-r19 22.37 + gis 95.74) = 118.11 cm vs MAGICC (29.10 + 113.01) = 142.11; glaciers alone 0.949x; CONFOUNDED by the GIS deficit
3,ssp126,2100,predicted_scope_ratio_measured_r19,0.9265454026701002,x,r19 = 7.0% of ours = 6.1% of global; addendum 3's observed-era prediction was 0.931
3,ssp126,2150,predicted_scope_ratio_measured_r19,0.9359189456129567,x,r19 = 8.1% of ours = 7.0% of global; addendum 3's observed-era prediction was 0.931
3,ssp126,2300,predicted_scope_ratio_measured_r19,0.9520996137307834,x,r19 = 9.9% of ours = 8.6% of global; addendum 3's observed-era prediction was 0.931
3,ssp245,2100,predicted_scope_ratio_measured_r19,0.9358185123300117,x,r19 = 8.1% of ours = 7.0% of global; addendum 3's observed-era prediction was 0.931
3,ssp245,2150,predicted_scope_ratio_measured_r19,0.9544659738584607,x,r19 = 10.2% of ours = 8.8% of global; addendum 3's observed-era prediction was 0.931
3,ssp245,2300,predicted_scope_ratio_measured_r19,0.989905203745913,x,r19 = 13.9% of ours = 12.1% of global; addendum 3's observed-era prediction was 0.931
3,ssp585,2100,predicted_scope_ratio_measured_r19,0.9508667311151489,x,r19 = 9.8% of ours = 8.5% of global; addendum 3's observed-era prediction was 0.931
3,ssp585,2150,predicted_scope_ratio_measured_r19,0.9913182297559072,x,r19 = 14.1% of ours = 12.2% of global; addendum 3's observed-era prediction was 0.931
3,ssp585,2300,predicted_scope_ratio_measured_r19,1.0425470251948858,x,r19 = 19.0% of ours = 16.6% of global; addendum 3's observed-era prediction was 0.931
