ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp245,lws,2150,fixed,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,lws,2150,joint,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,lws,2300,fixed,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,lws,2300,joint,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,total,2100,fixed,2000,52.29635169905769,61.76723931116241,44.36183636121701,100.81429564380487,56.45245928258786,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,total,2100,joint,2000,52.25761304665056,61.90432054665992,33.122822859462346,113.01513492138413,79.89231206192179,1.4152140239276287,0.9992592475163459,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,total,2150,fixed,2000,113.54260584653136,115.41873553610476,67.41106520944761,186.59985823723986,119.18879302779224,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,total,2150,joint,2000,109.39788185685688,111.08641044521663,46.79550515623227,204.11815388192468,157.32264872569243,1.3199449774527727,0.9634963108449647,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,total,2300,fixed,2000,280.55158777736904,270.71901900289066,113.04268393386435,429.61153937159054,316.5688554377262,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,total,2300,joint,2000,263.55795485555166,248.7599455088109,74.27388846815892,464.61687894431986,390.34299047616094,1.233042934487114,0.9394277784829269,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
