year,sum_components,total_target,residual,term_budget_closure,term_reconstruction,frederikse_gmsl,dang_sigma
1951,-5.155970695343885,-5.4950770375657925,0.33910634222190783,0.2712088234466714,0.06789751877523642,-5.427179518790556,1.7838425925950097
1952,-4.9060980585488405,-5.224996184831158,0.31889812628231784,0.549941884513026,-0.2310437582307081,-5.4560399430618665,1.7715811599702944
1953,-4.853491428223522,-5.3352413439159,0.4817499156923777,0.01987898503000185,0.46187093066237583,-4.873370413253524,1.7555185625558356
1954,-4.70912211212245,-5.127941677618937,0.418819565496487,1.137459799580169,-0.7186402340836819,-5.846581911702619,1.7380182306496017
1955,-4.840494802323255,-5.472432942739919,0.6319381404166649,0.6557755635924076,-0.023837423175742778,-5.496270365915662,1.7210343556374397
1956,-4.946551444855603,-5.659138423447326,0.7125869785917223,1.90075262649139,-1.1881656478996678,-6.8473040713469935,1.7089484359318607
1957,-4.693395498124035,-5.107489815830466,0.41409431770643046,0.5634226836941467,-0.14932836598771626,-5.256818181818182,1.6915125886010722
1958,-3.8878247526558973,-5.097668094673679,1.2098433420177819,1.532705947285708,-0.3228626052679262,-5.420530699941605,1.677494450905892
1959,-4.07291648658839,-4.9727829336889435,0.8998664471005533,1.0881528076967388,-0.18828636059618553,-5.161069294285129,1.6634658507552376
1960,-3.7125254419716924,-4.939828278424672,1.2273028364529797,0.8656563762101266,0.3616464602428531,-4.578181818181819,1.6508979687228504
1961,-3.411664893952283,-4.833232625878124,1.4215677319258413,1.2035441409459038,0.2180235909799375,-4.615209034898187,1.635188730720234
1962,-3.1847892073067756,-4.6839244378786695,1.499135230571894,1.598196811158961,-0.09906158058706716,-4.782986018465737,1.6196360557432135
1963,-3.252620199051771,-4.793041086951737,1.5404208878999661,1.501470710039139,0.03895017786082722,-4.75409090909091,1.6046645844768572
1964,-3.4990076330575075,-4.473911095272729,0.9749034622152211,1.6589037077520983,-0.6840002455368772,-5.157911340809606,1.588633306457865
1965,-3.5861718920144163,-4.245484458237755,0.6593125662233383,0.9438256193242935,-0.2845130531009552,-4.52999751133871,1.5729522503946176
1966,-3.4931430128487673,-4.285064238141662,0.7919212252928949,1.6511723247275887,-0.8592510994346938,-5.144315337576356,1.5574978496221843
1967,-3.6359728125008672,-4.569899013233658,0.9339262007327909,1.5499362784082242,-0.6160100776754334,-5.1859090909090915,1.5417268487003972
1968,-3.938290765610608,-4.540422925162573,0.6021321595519646,1.4283265791232882,-0.8261944195713236,-5.366617344733896,1.5223554334399818
1969,-3.7186349657448856,-4.056282556672161,0.3376475909272756,1.6186377615278422,-1.2809901706005666,-5.337272727272728,1.5069396031960998
1970,-3.7167251375588517,-4.213299142025142,0.4965740044662903,1.6199990133155184,-1.1234250088492281,-5.33672415087437,1.489913946914713
1971,-3.5450799730691047,-4.173902702036516,0.6288227289674113,0.6115046959059676,0.01731803306144375,-4.156584668975072,1.4720847073249599
1972,-3.436407711831007,-3.9113406376789097,0.4749329258479027,1.2914125240215948,-0.8164795981736921,-4.727820235852602,1.4551215543747125
