marker,specie,gate,key,value,verdict
LN,CH4,EXPLAINS-TAIL,fired_median_cm_2100,2.5648500198681745,PASS
LN,CH4,MEAN-MEDIAN-SIGN,ratio_2100,2.1754652027045593,PASS
LN,CH4,EXPLAINS-TAIL,smooth_p999_cm_2150,0.21467988681797295,PASS
LN,CH4,EXPLAINS-TAIL,fired_median_cm_2150,3.254577487594595,PASS
LN,CH4,MEAN-MEDIAN-SIGN,ratio_2150,2.6146626002201367,PASS
LN,CH4,EXPLAINS-TAIL,smooth_p999_cm_2300,0.24029584404927923,PASS
LN,CH4,EXPLAINS-TAIL,fired_median_cm_2300,3.2426507305625245,PASS
LN,CH4,MEAN-MEDIAN-SIGN,ratio_2300,3.1811368523601637,PASS
ML,CO2,CONFIG-IDENTITY,mismatches,0.0,PASS
ML,CO2,EXPLAINS-TAIL,smooth_p999_cm_2100,0.03898273867253268,PASS
ML,CO2,EXPLAINS-TAIL,fired_median_cm_2100,1.0323547273032645,PASS
ML,CO2,MEAN-MEDIAN-SIGN,ratio_2100,2.3720775848014553,PASS
ML,CO2,EXPLAINS-TAIL,smooth_p999_cm_2150,0.08866628302645933,PASS
ML,CO2,EXPLAINS-TAIL,fired_median_cm_2150,1.0938162620275946,PASS
ML,CO2,MEAN-MEDIAN-SIGN,ratio_2150,2.7252548617458223,PASS
ML,CO2,EXPLAINS-TAIL,smooth_p999_cm_2300,0.14219627595355389,PASS
ML,CO2,EXPLAINS-TAIL,fired_median_cm_2300,1.1030065758467273,PASS
ML,CO2,MEAN-MEDIAN-SIGN,ratio_2300,2.6217733758191657,PASS
ML,CH4,CONFIG-IDENTITY,mismatches,0.0,PASS
ML,CH4,EXPLAINS-TAIL,smooth_p999_cm_2100,0.20566836590311022,PASS
ML,CH4,EXPLAINS-TAIL,fired_median_cm_2100,1.4833665888804362,PASS
ML,CH4,MEAN-MEDIAN-SIGN,ratio_2100,2.2471259731275155,PASS
ML,CH4,EXPLAINS-TAIL,smooth_p999_cm_2150,0.23285096049245557,PASS
ML,CH4,EXPLAINS-TAIL,fired_median_cm_2150,1.7789245045483497,PASS
ML,CH4,MEAN-MEDIAN-SIGN,ratio_2150,2.8586763278884497,PASS
ML,CH4,EXPLAINS-TAIL,smooth_p999_cm_2300,0.2405497641018473,PASS
ML,CH4,EXPLAINS-TAIL,fired_median_cm_2300,2.100890417599384,PASS
ML,CH4,MEAN-MEDIAN-SIGN,ratio_2300,3.77538882077226,PASS
M,CO2,CONFIG-IDENTITY,mismatches,0.0,PASS
M,CO2,EXPLAINS-TAIL,smooth_p999_cm_2100,0.0410327854305472,PASS
M,CO2,EXPLAINS-TAIL,fired_median_cm_2100,0.9810277933434275,PASS
M,CO2,MEAN-MEDIAN-SIGN,ratio_2100,2.239211996808366,PASS
M,CO2,EXPLAINS-TAIL,smooth_p999_cm_2150,0.1169745279397566,PASS
M,CO2,EXPLAINS-TAIL,fired_median_cm_2150,0.9492030411338277,PASS
M,CO2,MEAN-MEDIAN-SIGN,ratio_2150,2.3910247662228152,PASS
M,CO2,EXPLAINS-TAIL,smooth_p999_cm_2300,0.5688671418484096,PASS
M,CO2,EXPLAINS-TAIL,fired_median_cm_2300,0.9851365896459328,PASS
M,CO2,MEAN-MEDIAN-SIGN,ratio_2300,2.337083334616094,PASS
M,CH4,CONFIG-IDENTITY,mismatches,0.0,PASS
M,CH4,EXPLAINS-TAIL,smooth_p999_cm_2100,0.24089696297038748,PASS
M,CH4,EXPLAINS-TAIL,fired_median_cm_2100,1.1240093308093293,PASS
M,CH4,MEAN-MEDIAN-SIGN,ratio_2100,1.696638506999363,PASS
M,CH4,EXPLAINS-TAIL,smooth_p999_cm_2150,0.3688901559808326,PASS
M,CH4,EXPLAINS-TAIL,fired_median_cm_2150,1.102781432036437,PASS
M,CH4,MEAN-MEDIAN-SIGN,ratio_2150,1.0229055688322601,PASS
M,CH4,EXPLAINS-TAIL,smooth_p999_cm_2300,1.0204022710839415,PASS
M,CH4,EXPLAINS-TAIL,fired_median_cm_2300,1.0931123117488042,PASS
M,CH4,MEAN-MEDIAN-SIGN,ratio_2300,1.0306435647730248,PASS
HL,CO2,CONFIG-IDENTITY,mismatches,0.0,PASS
HL,CO2,EXPLAINS-TAIL,smooth_p999_cm_2100,0.05030962753124073,PASS
HL,CO2,EXPLAINS-TAIL,fired_median_cm_2100,0.9659303190315249,PASS
HL,CO2,MEAN-MEDIAN-SIGN,ratio_2100,2.2361441097404122,PASS
HL,CO2,EXPLAINS-TAIL,smooth_p999_cm_2150,0.11743730478860465,PASS
HL,CO2,EXPLAINS-TAIL,fired_median_cm_2150,0.993526084465536,PASS
HL,CO2,MEAN-MEDIAN-SIGN,ratio_2150,2.7311104897018104,PASS
HL,CO2,EXPLAINS-TAIL,smooth_p999_cm_2300,0.264487431173428,PASS
HL,CO2,EXPLAINS-TAIL,fired_median_cm_2300,1.023640661078847,PASS
HL,CO2,MEAN-MEDIAN-SIGN,ratio_2300,2.9256750646808896,PASS
HL,CH4,CONFIG-IDENTITY,mismatches,0.0,PASS
HL,CH4,EXPLAINS-TAIL,smooth_p999_cm_2100,0.24415650171607176,PASS
HL,CH4,EXPLAINS-TAIL,fired_median_cm_2100,1.0972335228576426,PASS
HL,CH4,MEAN-MEDIAN-SIGN,ratio_2100,1.6691040279483882,PASS
HL,CH4,EXPLAINS-TAIL,smooth_p999_cm_2150,0.34943341218648327,PASS
HL,CH4,EXPLAINS-TAIL,fired_median_cm_2150,1.18488355394679,PASS
HL,CH4,MEAN-MEDIAN-SIGN,ratio_2150,1.1952334092540262,PASS
HL,CH4,EXPLAINS-TAIL,smooth_p999_cm_2300,0.3993584396611528,PASS
HL,CH4,EXPLAINS-TAIL,fired_median_cm_2300,1.289778800832181,PASS
HL,CH4,MEAN-MEDIAN-SIGN,ratio_2300,1.2176757553172024,PASS
H,CO2,CONFIG-IDENTITY,mismatches,0.0,PASS
H,CO2,EXPLAINS-TAIL,smooth_p999_cm_2100,0.04284779525123957,PASS
H,CO2,EXPLAINS-TAIL,fired_median_cm_2100,0.9063608938692269,PASS
H,CO2,MEAN-MEDIAN-SIGN,ratio_2100,2.253451787401479,PASS
H,CO2,EXPLAINS-TAIL,smooth_p999_cm_2150,0.11455940569831924,PASS
H,CO2,EXPLAINS-TAIL,fired_median_cm_2150,0.9216623020888548,PASS
H,CO2,MEAN-MEDIAN-SIGN,ratio_2150,2.221123570189857,PASS
H,CO2,EXPLAINS-TAIL,smooth_p999_cm_2300,0.7012933519735031,PASS
H,CO2,EXPLAINS-TAIL,fired_median_cm_2300,0.9471166998382046,PASS
H,CO2,MEAN-MEDIAN-SIGN,ratio_2300,1.5987733441788705,PASS
H,CH4,CONFIG-IDENTITY,mismatches,0.0,PASS
H,CH4,EXPLAINS-TAIL,smooth_p999_cm_2100,0.28710476612283425,PASS
H,CH4,EXPLAINS-TAIL,fired_median_cm_2100,1.0886856590776794,PASS
H,CH4,MEAN-MEDIAN-SIGN,ratio_2100,1.012635417066014,PASS
H,CH4,EXPLAINS-TAIL,smooth_p999_cm_2150,0.4544999936197016,PASS
H,CH4,EXPLAINS-TAIL,fired_median_cm_2150,1.0909307023661938,PASS
H,CH4,MEAN-MEDIAN-SIGN,ratio_2150,0.9749551400032291,PASS
H,CH4,EXPLAINS-TAIL,smooth_p999_cm_2300,1.0639188821056873,PASS
H,CH4,EXPLAINS-TAIL,fired_median_cm_2300,1.0849872705552457,PASS
H,CH4,MEAN-MEDIAN-SIGN,ratio_2300,0.9917067624693985,PASS
