rff_idx,fair_cfg_idx,seed_idx,post_idx,axis
103,261,0,1,anova27k_brick
103,261,0,5001,anova27k_brick
103,261,0,10000,anova27k_brick
103,261,1,1,anova27k_brick
103,261,1,5001,anova27k_brick
103,261,1,10000,anova27k_brick
103,261,2,1,anova27k_brick
103,261,2,5001,anova27k_brick
103,261,2,10000,anova27k_brick
103,290,0,1,anova27k_brick
103,290,0,5001,anova27k_brick
103,290,0,10000,anova27k_brick
103,290,1,1,anova27k_brick
103,290,1,5001,anova27k_brick
103,290,1,10000,anova27k_brick
103,290,2,1,anova27k_brick
103,290,2,5001,anova27k_brick
103,290,2,10000,anova27k_brick
103,319,0,1,anova27k_brick
103,319,0,5001,anova27k_brick
103,319,0,10000,anova27k_brick
103,319,1,1,anova27k_brick
103,319,1,5001,anova27k_brick
103,319,1,10000,anova27k_brick
103,319,2,1,anova27k_brick
103,319,2,5001,anova27k_brick
103,319,2,10000,anova27k_brick
103,348,0,1,anova27k_brick
103,348,0,5001,anova27k_brick
103,348,0,10000,anova27k_brick
103,348,1,1,anova27k_brick
103,348,1,5001,anova27k_brick
103,348,1,10000,anova27k_brick
103,348,2,1,anova27k_brick
103,348,2,5001,anova27k_brick
103,348,2,10000,anova27k_brick
103,377,0,1,anova27k_brick
103,377,0,5001,anova27k_brick
103,377,0,10000,anova27k_brick
103,377,1,1,anova27k_brick
103,377,1,5001,anova27k_brick
103,377,1,10000,anova27k_brick
103,377,2,1,anova27k_brick
103,377,2,5001,anova27k_brick
103,377,2,10000,anova27k_brick
103,406,0,1,anova27k_brick
103,406,0,5001,anova27k_brick
103,406,0,10000,anova27k_brick
103,406,1,1,anova27k_brick
103,406,1,5001,anova27k_brick
103,406,1,10000,anova27k_brick
103,406,2,1,anova27k_brick
103,406,2,5001,anova27k_brick
103,406,2,10000,anova27k_brick
103,434,0,1,anova27k_brick
103,434,0,5001,anova27k_brick
103,434,0,10000,anova27k_brick
103,434,1,1,anova27k_brick
103,434,1,5001,anova27k_brick
103,434,1,10000,anova27k_brick
103,434,2,1,anova27k_brick
103,434,2,5001,anova27k_brick
103,434,2,10000,anova27k_brick
103,463,0,1,anova27k_brick
103,463,0,5001,anova27k_brick
103,463,0,10000,anova27k_brick
103,463,1,1,anova27k_brick
103,463,1,5001,anova27k_brick
103,463,1,10000,anova27k_brick
103,463,2,1,anova27k_brick
103,463,2,5001,anova27k_brick
103,463,2,10000,anova27k_brick
103,492,0,1,anova27k_brick
103,492,0,5001,anova27k_brick
103,492,0,10000,anova27k_brick
103,492,1,1,anova27k_brick
103,492,1,5001,anova27k_brick
103,492,1,10000,anova27k_brick
103,492,2,1,anova27k_brick
103,492,2,5001,anova27k_brick
103,492,2,10000,anova27k_brick
103,521,0,1,anova27k_brick
103,521,0,5001,anova27k_brick
103,521,0,10000,anova27k_brick
103,521,1,1,anova27k_brick
103,521,1,5001,anova27k_brick
103,521,1,10000,anova27k_brick
103,521,2,1,anova27k_brick
103,521,2,5001,anova27k_brick
103,521,2,10000,anova27k_brick
103,550,0,1,anova27k_brick
103,550,0,5001,anova27k_brick
103,550,0,10000,anova27k_brick
103,550,1,1,anova27k_brick
103,550,1,5001,anova27k_brick
103,550,1,10000,anova27k_brick
103,550,2,1,anova27k_brick
103,550,2,5001,anova27k_brick
103,550,2,10000,anova27k_brick
103,579,0,1,anova27k_brick
103,579,0,5001,anova27k_brick
103,579,0,10000,anova27k_brick
103,579,1,1,anova27k_brick
103,579,1,5001,anova27k_brick
103,579,1,10000,anova27k_brick
103,579,2,1,anova27k_brick
103,579,2,5001,anova27k_brick
103,579,2,10000,anova27k_brick
103,608,0,1,anova27k_brick
103,608,0,5001,anova27k_brick
103,608,0,10000,anova27k_brick
103,608,1,1,anova27k_brick
103,608,1,5001,anova27k_brick
103,608,1,10000,anova27k_brick
103,608,2,1,anova27k_brick
103,608,2,5001,anova27k_brick
103,608,2,10000,anova27k_brick
103,637,0,1,anova27k_brick
103,637,0,5001,anova27k_brick
103,637,0,10000,anova27k_brick
103,637,1,1,anova27k_brick
103,637,1,5001,anova27k_brick
103,637,1,10000,anova27k_brick
103,637,2,1,anova27k_brick
103,637,2,5001,anova27k_brick
103,637,2,10000,anova27k_brick
103,666,0,1,anova27k_brick
103,666,0,5001,anova27k_brick
103,666,0,10000,anova27k_brick
103,666,1,1,anova27k_brick
103,666,1,5001,anova27k_brick
103,666,1,10000,anova27k_brick
103,666,2,1,anova27k_brick
103,666,2,5001,anova27k_brick
103,666,2,10000,anova27k_brick
103,695,0,1,anova27k_brick
103,695,0,5001,anova27k_brick
103,695,0,10000,anova27k_brick
103,695,1,1,anova27k_brick
103,695,1,5001,anova27k_brick
103,695,1,10000,anova27k_brick
103,695,2,1,anova27k_brick
103,695,2,5001,anova27k_brick
103,695,2,10000,anova27k_brick
103,724,0,1,anova27k_brick
103,724,0,5001,anova27k_brick
103,724,0,10000,anova27k_brick
103,724,1,1,anova27k_brick
103,724,1,5001,anova27k_brick
103,724,1,10000,anova27k_brick
103,724,2,1,anova27k_brick
103,724,2,5001,anova27k_brick
103,724,2,10000,anova27k_brick
103,753,0,1,anova27k_brick
103,753,0,5001,anova27k_brick
103,753,0,10000,anova27k_brick
103,753,1,1,anova27k_brick
103,753,1,5001,anova27k_brick
103,753,1,10000,anova27k_brick
103,753,2,1,anova27k_brick
103,753,2,5001,anova27k_brick
103,753,2,10000,anova27k_brick
103,782,0,1,anova27k_brick
103,782,0,5001,anova27k_brick
103,782,0,10000,anova27k_brick
103,782,1,1,anova27k_brick
103,782,1,5001,anova27k_brick
103,782,1,10000,anova27k_brick
103,782,2,1,anova27k_brick
103,782,2,5001,anova27k_brick
103,782,2,10000,anova27k_brick
103,811,0,1,anova27k_brick
103,811,0,5001,anova27k_brick
103,811,0,10000,anova27k_brick
103,811,1,1,anova27k_brick
103,811,1,5001,anova27k_brick
103,811,1,10000,anova27k_brick
103,811,2,1,anova27k_brick
103,811,2,5001,anova27k_brick
103,811,2,10000,anova27k_brick
103,840,0,1,anova27k_brick
103,840,0,5001,anova27k_brick
103,840,0,10000,anova27k_brick
103,840,1,1,anova27k_brick
103,840,1,5001,anova27k_brick
103,840,1,10000,anova27k_brick
103,840,2,1,anova27k_brick
103,840,2,5001,anova27k_brick
103,840,2,10000,anova27k_brick
204,0,0,1,anova27k_brick
204,0,0,5001,anova27k_brick
204,0,0,10000,anova27k_brick
204,0,1,1,anova27k_brick
204,0,1,5001,anova27k_brick
204,0,1,10000,anova27k_brick
204,0,2,1,anova27k_brick
204,0,2,5001,anova27k_brick
204,0,2,10000,anova27k_brick
204,29,0,1,anova27k_brick
204,29,0,5001,anova27k_brick
204,29,0,10000,anova27k_brick
204,29,1,1,anova27k_brick
204,29,1,5001,anova27k_brick
204,29,1,10000,anova27k_brick
204,29,2,1,anova27k_brick
204,29,2,5001,anova27k_brick
204,29,2,10000,anova27k_brick
204,58,0,1,anova27k_brick
204,58,0,5001,anova27k_brick
204,58,0,10000,anova27k_brick
204,58,1,1,anova27k_brick
204,58,1,5001,anova27k_brick
204,58,1,10000,anova27k_brick
204,58,2,1,anova27k_brick
204,58,2,5001,anova27k_brick
204,58,2,10000,anova27k_brick
204,87,0,1,anova27k_brick
204,87,0,5001,anova27k_brick
204,87,0,10000,anova27k_brick
204,87,1,1,anova27k_brick
204,87,1,5001,anova27k_brick
204,87,1,10000,anova27k_brick
204,87,2,1,anova27k_brick
204,87,2,5001,anova27k_brick
204,87,2,10000,anova27k_brick
204,116,0,1,anova27k_brick
204,116,0,5001,anova27k_brick
204,116,0,10000,anova27k_brick
204,116,1,1,anova27k_brick
204,116,1,5001,anova27k_brick
204,116,1,10000,anova27k_brick
