name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.5450997491173563,0.9383117835822823,1.6075793897080979,0.9868047379788805,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
gis_slow_w,12,likelihood_only,0.9328151097655012,1000.0,0.0,1.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.0503880244694136,0.43829385067464954,0.9247998389022508,0.4561260381641202,Slow (discharge) channel: temperature-dependent fraction of the rate,–
gis_amp,13,likelihood_only,1.9221976385152952,0.3181243343729514,1.5101657793813976,2.2846646737809513,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,1.5720976565509373,1.9134544973244738,2.2289821596545103,1.907680149467036,Southern-Greenland/global warming ratio,–
gis_s_high,14,greenland_icesheet,0.0,0.5,-2.0,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,-0.7840283722033441,-0.5585751246685258,-0.3601899767579501,-0.563225995578847,log₁₀ rate scale of the high basin (NO+NE) relative to the active basin,log₁₀(–)
thermal_alpha,15,thermal_expansion,0.16,1000.0,0.05,0.3,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.14839161580898552,0.1666552221266666,0.18584698676937514,0.16681118468476383,Thermal expansion coefficient α,kg m⁻³ °C⁻¹
gic_a_R19,16,glaciers_small_icecaps,0.069,0.018,0.01,0.141,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.039081625447625806,0.06736448682523069,0.09608547524701416,0.06743787135458575,"Committed-loss scale a, RGI 19",m SLE
gic_b_R19,17,glaciers_small_icecaps,0.768973947986,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.2014659677058276,0.726621801023404,2.4502864272928955,0.9364136448427084,"Equilibrium temperature sensitivity b, RGI 19",K⁻¹ (glacier frame)
gic_T_off_R19,18,glaciers_small_icecaps,0.162195920935,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,-3.1534862656833273,-0.13428457916821773,0.7114301929676121,-0.522194231445364,"Equilibrium temperature offset T_off, RGI 19","K rel. 1850–1900, glacier frame"
gic_log10_kappa_R19,19,glaciers_small_icecaps,-2.7735015084073384,0.114,-3.906900780980522,-1.6567771449058029,"N(k10c(gic_amp_R19), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.774,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,-2.997705286585659,-2.780500087655569,-2.5630339139105196,-2.7801209317317728,"log₁₀ of the response-rate constant κ, RGI 19",log₁₀(yr⁻¹ K⁻ν)
gic_a_SLOWP,20,glaciers_small_icecaps,0.145920024267,0.0327892146787,0.0332566214715,0.2770768829818,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.09016357976051016,0.13124171586346475,0.17759753452913501,0.13218422705978633,"Committed-loss scale a, SLOWG",m SLE
gic_b_SLOWP,21,glaciers_small_icecaps,0.269493082055,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.113762166648767,0.170370424349845,0.28328705469031956,0.18094182791331187,"Equilibrium temperature sensitivity b, SLOWG",K⁻¹ (glacier frame)
gic_T_off_SLOWP,22,glaciers_small_icecaps,0.342896725929,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,-3.88506021550197,-2.782498288651064,-1.0171906106825435,-2.6645019721115824,"Equilibrium temperature offset T_off, SLOWG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_SLOWP,23,glaciers_small_icecaps,-3.4077329224195196,0.114,-4.748442048628195,-2.1692365340734474,"N(k10c(gic_amp_SLOWP), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -3.408,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,-3.6915738665698234,-3.4797570526952004,-3.2561600399131,-3.477853879483344,"log₁₀ of the response-rate constant κ, SLOWG",log₁₀(yr⁻¹ K⁻ν)
gic_a_FAST,24,glaciers_small_icecaps,0.139935475733,0.0242107853213,0.08091770565225,0.2367786170182,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.12118757745431563,0.1513742816466073,0.1837431660766859,0.1516120950398003,"Committed-loss scale a, FASTG",m SLE
gic_b_FAST,25,glaciers_small_icecaps,0.368982026346,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.2497580909822964,0.3344442655635249,0.45881717073143746,0.34150010044291873,"Equilibrium temperature sensitivity b, FASTG",K⁻¹ (glacier frame)
gic_T_off_FAST,26,glaciers_small_icecaps,-1.21396297595,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,-2.1909285381253816,-1.523992885918739,-0.9204660292438075,-1.5334014691749063,"Equilibrium temperature offset T_off, FASTG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_FAST,27,glaciers_small_icecaps,-2.583191353176445,0.114,-3.774659554587068,-1.5210935581243517,"N(k10c(gic_amp_FAST), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.583,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,-2.7604665445544936,-2.6081711186315095,-2.454678811647905,-2.608332524894542,"log₁₀ of the response-rate constant κ, FASTG",log₁₀(yr⁻¹ K⁻ν)
gic_amp_R19,28,likelihood_only,0.72,0.15,0.58,0.88,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.5988024807654594,0.726424925231308,0.8588972461575441,0.727292857994355,"Regional/global warming ratio, RGI 19",–
gic_amp_SLOWP,29,likelihood_only,2.5,0.45,1.8,3.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,2.0699338403935936,2.640576127218128,3.2042980175251645,2.6370570453537474,"Regional/global warming ratio, SLOWG",–
gic_amp_FAST,30,likelihood_only,1.45,0.15,1.33,1.82,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,1.3476460666033951,1.4650171176805702,1.6532383248960858,1.4778742722946885,"Regional/global warming ratio, FASTG",–
gic_u_unch,31,likelihood_only,28.15,1000.0,14.5,41.8,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,20.859546189972296,32.97789303432054,40.821838037929076,32.21395279646169,Uncharted-ice content of the Frederikse glacier target,mm SLE
d2_steric_1,32,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.009931194886813752,0.20962198715045596,0.39630632305373487,0.20687328842949723,"Thermal-expansion discrepancy, basis coefficient 1",cm (RMS)
d2_steric_2,33,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,-0.054314761486255074,0.06895113071650436,0.19967742257044105,0.0701118924357677,"Thermal-expansion discrepancy, basis coefficient 2",cm (RMS)
antarctic_kappa,34,antarctic_icesheet,0.05877084,0.016584998,0.025000414,0.084999464,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.03198959932982274,0.05420762069025295,0.07680458696039906,0.054249067363557904,Exponential dependence of precipitation on Antarctic temperature κ_DAIS,°C⁻¹
ais_gmst_amp,35,antarctic_icesheet,1.09,0.18,0.55,1.63,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.7860281366462697,1.0762356900922623,1.3685775872772632,1.076569161587092,Antarctic/global warming ratio,–
ais_mu,36,antarctic_icesheet,10.803983219053745,1.8146745536450215,7.050094127655029,13.64998722076416,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,8.37047150374131,10.869623072044481,13.078346893498423,10.81396259269517,Profile parameter µ,m¹ᐟ²
ais_bedheight0,37,antarctic_icesheet,780.0119260199738,22.981432678137423,740.0018920898438,819.9996337890625,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,749.3070963699394,781.1366694609713,811.4895072292065,780.7784257200583,Bed height at the continent centre b₀,m
ais_slope,38,antarctic_icesheet,0.0006282574195086,6.241869534698466e-05,0.0004504189419094,0.000749991624616,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.00056774944775472,0.0006094057745868,0.000652696893966345,0.000609589628980445,Bed slope,–
ais_iceflow0,39,antarctic_icesheet,1.236704511362016,0.3409994913939713,0.6000201106071472,1.7999885082244873,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.8181326738062583,1.2006536479759617,1.6348793014436789,1.210062926909696,Ice-flow constant f₀,m yr⁻¹
ais_precip_u,40,antarctic_icesheet,-1.9760223084136732,0.7434692410998681,-1000000000.0,1000000000.0,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,-1.7935956152417276,-1.673845950984632,-1.50709893628821,-1.6643212808891283,"u = ln P₀ + κ_DAIS·T̄ (T̄ = −17.99 °C, DAIS scale); ln P₀ is derived",ln(m yr⁻¹)
ais_runoff_Ton,41,antarctic_icesheet,-15.635803044193976,5.538678616391889,-43.273209157795954,-5.221713088869225,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,-21.536213685952983,-17.591066973014993,-7.586254375562362,-16.2246105846567,Runoff onset temperature T_on = −h₀/c (sampled in place of h₀),°C (DAIS scale)
ais_c,42,antarctic_icesheet,97.23491521829128,26.614172731873794,47.5013542175293,142.49981689453125,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,58.36936020290927,92.66762410871411,130.4480916076698,93.41424597619807,Runoff-line slope c,m °C⁻¹
sd_ais,43,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the ais residual,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.0187531210875321,0.0216162186323639,0.024907237589095223,0.021686331369550654,"AR(1) innovation sd, Antarctica",cm
rho_ais,44,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the ais residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.7475376860608891,0.8927771305205826,0.9757799857214406,0.8814776647931954,"AR(1) autocorrelation, Antarctica",–
sd_gsic,45,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gsic residual,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.012116304884346675,0.016680436483839947,0.022301446683326367,0.01688007922485136,"AR(1) innovation sd, glaciers",cm
rho_gsic,46,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gsic residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.1549813315733222,0.5927256054412615,0.9379249036126903,0.5797153728271277,"AR(1) autocorrelation, glaciers",–
sd_gis,47,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gis residual,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.02183815908378484,0.02547888550942575,0.029649916619249664,0.025583192996202906,"AR(1) innovation sd, Greenland",cm
rho_gis,48,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gis residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.8502212881861824,0.9601005341108229,0.9877985359956021,0.9449926812250246,"AR(1) autocorrelation, Greenland",–
sd_steric,49,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the steric residual,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.08988923114761026,0.10132318447275244,0.1148990834399793,0.1017097361472422,"AR(1) innovation sd, thermal expansion",cm
rho_steric,50,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the steric residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.8541872115521545,0.9397856026332079,0.9827779804861642,0.9316895815401184,"AR(1) autocorrelation, thermal expansion",–
