marker,marker_label,component,year,width_ladrillo_cm,width_brick20_cm,width_ratio
vvLN,Low-to-Neg,ais,2100,45.15050616448188,61.74898014664647,0.7311943623563468
vvLN,Low-to-Neg,ais,2150,67.81650519638006,89.43192112445821,0.7583031242502665
vvLN,Low-to-Neg,ais,2300,67.69183811108918,85.62305753231047,0.7905795478693948
vvL,Low,ais,2100,44.73485150888138,59.26071007251739,0.7548821378302638
vvL,Low,ais,2150,82.48044859665059,109.32777882814405,0.7544326746663749
vvL,Low,ais,2300,114.16579922391907,170.28967995643612,0.6704211274172646
vvML,Medium-to-Low,ais,2100,53.76097897074597,66.38465034365653,0.8098405081963825
vvML,Medium-to-Low,ais,2150,108.29423662449743,126.58927425146103,0.8554771900293721
vvML,Medium-to-Low,ais,2300,138.73077468613272,167.70443572998036,0.8272337823520786
vvM,Medium,ais,2100,55.330255460748965,67.34021599292754,0.8216524797984026
vvM,Medium,ais,2150,120.96391728263217,134.150352525711,0.9017040582092279
vvM,Medium,ais,2300,333.10870507284096,297.17788467407223,1.1209067775624542
vvHL,High-to-Low,ais,2100,64.90911854538075,74.40125881433487,0.8724196281054687
vvHL,High-to-Low,ais,2150,124.71702707463376,141.37951387166976,0.8821435557335376
vvHL,High-to-Low,ais,2300,208.21564022933134,237.73482689857462,0.8758314587124539
vvH,High,ais,2100,60.690908491619794,70.83948228359222,0.8567384534044932
vvH,High,ais,2150,124.12072182299092,119.45289058685299,1.0390767541346686
vvH,High,ais,2300,273.91604962841643,331.6531562805175,0.825911179921755
vvVL,Very Low,te,2100,11.857356617467994,13.897417426109314,0.8532057614669742
vvVL,Very Low,te,2150,16.38532410047906,18.115338039398196,0.9045000465817082
vvVL,Very Low,te,2300,23.098796435671794,24.82807219028473,0.9303499787917644
vvLN,Low-to-Neg,te,2100,11.483273690086968,14.199815130233764,0.808691774137057
vvLN,Low-to-Neg,te,2150,15.016924625810027,17.024599027633656,0.8820721475692408
vvLN,Low-to-Neg,te,2300,14.957387165260844,15.169890630245208,0.9859917602464001
vvL,Low,te,2100,11.412202539882532,14.211680698394776,0.8030156870307079
vvL,Low,te,2150,16.09570421634638,18.450456905364984,0.8723742885557542
vvL,Low,te,2300,22.521891845889076,24.403385639190674,0.922900296658837
vvML,Medium-to-Low,te,2100,12.971963588452136,16.53297410011291,0.7846116197788966
vvML,Medium-to-Low,te,2150,19.14108842455341,22.28396921157836,0.8589622541126127
vvML,Medium-to-Low,te,2300,21.485502703429958,22.376694679260247,0.9601732074998419
vvM,Medium,te,2100,13.825506807810605,18.170175647735594,0.7608901023217994
vvM,Medium,te,2150,24.82754934049803,30.66825885772705,0.809551968883378
vvM,Medium,te,2300,56.12503263464341,62.96493034362792,0.8913697248348229
vvHL,High-to-Low,te,2100,15.834901115589084,19.523505687713623,0.8110685329199959
vvHL,High-to-Low,te,2150,23.35906134017596,26.546804571151725,0.8799198893248391
vvHL,High-to-Low,te,2300,29.116310530884526,31.129916620254505,0.9353160461708453
vvH,High,te,2100,14.949985935919038,19.321087455749506,0.7737652432948473
vvH,High,te,2150,28.811561014935734,35.23914403915404,0.8176010456702169
vvH,High,te,2300,79.98943057161054,90.0418285369873,0.8883585759117781
vvVL,Very Low,glaciers,2100,5.120031379474452,6.329089546203614,0.8089680738591551
vvVL,Very Low,glaciers,2150,6.835095717692376,9.666979026794433,0.7070560201638185
vvVL,Very Low,glaciers,2300,8.636114532576954,15.754859542846681,0.5481556029801666
vvLN,Low-to-Neg,glaciers,2100,4.579046868721938,6.002544784545897,0.7628509295775876
vvLN,Low-to-Neg,glaciers,2150,5.954984309189139,9.047134208679196,0.6582177484972355
vvLN,Low-to-Neg,glaciers,2300,6.2383636000696185,13.618708562850953,0.4580730670077335
vvL,Low,glaciers,2100,4.671277320329886,5.956429004669188,0.7842412486857674
vvL,Low,glaciers,2150,6.508578893346426,9.189811277389524,0.7082385804113343
vvL,Low,glaciers,2300,8.03506426699393,14.88055849075317,0.5399706114516432
vvML,Medium-to-Low,glaciers,2100,5.186993606469003,6.437408781051634,0.8057579971830904
vvML,Medium-to-Low,glaciers,2150,7.20074902594847,9.98351430892944,0.7212639560708585
vvML,Medium-to-Low,glaciers,2300,7.953271944103566,14.835874462127684,0.5360837990646456
vvM,Medium,glaciers,2100,5.504645661992633,6.581728076934816,0.8363526413805001
vvM,Medium,glaciers,2150,8.617442841825753,11.013055896759031,0.7824751751565822
vvM,Medium,glaciers,2300,11.547114652326211,20.881112098693844,0.552993279177334
vvHL,High-to-Low,glaciers,2100,6.373371483265046,7.302711153030398,0.8727404589486325
vvHL,High-to-Low,glaciers,2150,8.506752008630347,11.115224885940545,0.7653243273008709
vvHL,High-to-Low,glaciers,2300,9.325025536359618,16.525543212890618,0.5642795166385639
vvH,High,glaciers,2100,5.897678606112544,6.714984846115112,0.8782862122949672
vvH,High,glaciers,2150,8.947148775563106,11.530407619476314,0.7759611863547861
vvH,High,glaciers,2300,11.153703141685785,22.623702526092533,0.49300962690885436
