forcing,scenario,component,horizon,ladrillo_our_climate_cm,ladrillo_magicc_climate_cm,magicc_slr_cm,module_plus_climate_cm,climate_cm,module_cm,joint_spread_cm,climate_share_of_gap,verdict
spliced,vvM,total,2150,132.7265068984532,114.99979981762093,99.351530807895,-33.37497609055821,-17.726707080832284,-15.648269009725922,140.5748198422417,0.5311376713119856,BOTH
spliced,vvM,total,2300,336.9511540175088,311.3125819799958,266.1420000582991,-70.80915395920971,-25.63857203751303,-45.17058192169668,382.7977686603675,0.36207990922024536,BOTH
spliced,vvHL,glaciers,2100,11.040782186794722,10.554415260810648,12.894889545512656,1.8541073587179344,-0.4863669259840737,2.340474284702008,6.999589500467235,-0.2623186428214078,OPPOSED
spliced,vvHL,glaciers,2150,13.596072646823965,12.783726362372484,15.87070566414631,2.274633017322346,-0.8123462844514808,3.0869793017738267,8.812555822566763,-0.35713289935787496,OPPOSED
spliced,vvHL,glaciers,2300,14.601861953731229,13.276452593428903,13.270522575022865,-1.331339378708364,-1.3254093603023254,-0.005930018406038684,9.237747415244998,0.995545825128532,CLIMATE
spliced,vvHL,gis,2100,9.585611808606362,9.123888431491014,10.07438075771029,0.4887689491039282,-0.46172337711534794,0.9504923262192762,6.112635870666475,-0.9446659366595125,OPPOSED
spliced,vvHL,gis,2150,11.706627588487072,10.801539032072265,15.814756077498268,4.108128489011197,-0.9050885564148068,5.013217045426003,8.638016915735133,-0.22031651610601316,MODULE
spliced,vvHL,gis,2300,10.07214943319164,7.808991554743672,21.41776411268451,11.345614679492869,-2.2631578784479682,13.608772557940837,7.993986303523037,-0.19947424113905549,MODULE
spliced,vvHL,ais,2100,30.241663768535624,20.589750393104993,13.913503516655084,-16.32816025188054,-9.651913375430631,-6.676246876449909,61.228665404373494,0.5911206912805137,BOTH
spliced,vvHL,ais,2150,47.85819247392985,24.80759684291616,23.043393750799233,-24.814798723130615,-23.05059563101369,-1.7642030921169258,120.606822906265,0.9289052024237271,CLIMATE
spliced,vvHL,ais,2300,53.0612213322117,28.830552198453447,26.50454595741381,-26.55667537479789,-24.230669133758255,-2.326006241039636,150.7399332522184,0.912413500251353,CLIMATE
spliced,vvHL,te,2100,22.780834918442643,16.437983204399217,17.413263601529927,-5.367571316912716,-6.342851714043427,0.9752803971307102,15.026682592633744,1.1816986379030854,CLIMATE
spliced,vvHL,te,2150,28.47447236307046,19.675624208140224,19.782360216378116,-8.692112146692345,-8.798848154930237,0.10673600823789187,21.999534249387366,1.0122796400272527,CLIMATE
spliced,vvHL,te,2300,25.625329788614025,16.947241324868397,15.162847940519214,-10.46248184809481,-8.678088463745627,-1.7843933843491833,26.516151787580984,0.8294483650956951,CLIMATE
spliced,vvHL,lws,2100,2.596380650083528,2.596380650083528,3.0076045676447416,0.4112239175612138,0.0,0.4112239175612138,0.0,0.0,MODULE
spliced,vvHL,lws,2150,4.2307986469202445,4.2307986469202445,4.962999145299118,0.732200498378873,0.0,0.732200498378873,0.0,0.0,MODULE
spliced,vvHL,lws,2300,8.483616077316128,8.483616077316128,10.781041437526657,2.2974253602105286,0.0,2.2974253602105286,0.0,0.0,MODULE
spliced,vvHL,total,2100,77.33283976762971,58.73139761490065,57.12043431465969,-20.212405452970017,-18.601442152729057,-1.610963300240961,76.54509678477936,0.920298288890487,CLIMATE
spliced,vvHL,total,2150,106.12057862033971,72.6392126569126,79.22176619398783,-26.89881242635188,-33.48136596342711,6.582553537075228,144.0328726404989,1.2447153960829334,CLIMATE
spliced,vvHL,total,2300,112.52967715096229,77.71159194157013,88.89333350110054,-23.636343649861743,-34.81808520939215,11.181741559530408,179.40537243930686,1.4730740813880414,OVERSHOOT
spliced,vvH,glaciers,2100,11.105659017012863,11.126064869526418,13.284869776718814,2.179210759705951,0.02040585251355509,2.158804907192396,7.002332630413624,0.00936387287125387,MODULE
spliced,vvH,glaciers,2150,17.277618054738653,17.60947335509875,19.300194339863705,2.0225762851250515,0.3318553003600968,1.6907209847649547,10.233205103565895,0.164075542070137,MODULE
spliced,vvH,glaciers,2300,25.53561380684026,25.760672215554255,27.383093887872327,1.8474800810320673,0.22505840871399485,1.6224216723180724,11.669291446163314,0.12181912596766364,MODULE
spliced,vvH,gis,2100,9.724468388103066,9.808687947384197,10.130376058791866,0.4059076706887996,0.08421955928113078,0.32168811140766884,6.441886434142866,0.2074845226211555,MODULE
spliced,vvH,gis,2150,17.870890029427386,18.585168172076894,20.1460570844579,2.275167055030515,0.7142781426495084,1.5608889123810066,17.755928977996852,0.3139453610978594,BOTH
spliced,vvH,gis,2300,57.01958163158287,60.02717512351549,68.10200774133268,11.082426109749818,3.0075934919326244,8.074832617817194,81.68887927638993,0.2713840328957104,BOTH
spliced,vvH,ais,2100,26.877462718354035,25.89682158969954,16.13019546628319,-10.747267252070845,-0.9806411286544936,-9.766626123416351,60.3940755547176,0.09124562604187014,MODULE
spliced,vvH,ais,2150,78.78789319365342,78.8213271143457,62.68208119098672,-16.105812002666696,0.03343392069228912,-16.139245923358985,108.42260090540849,-0.0020758916524515093,MODULE
spliced,vvH,ais,2300,258.670125557453,260.2581858089401,381.61543336483464,122.94530780738165,1.588060251487093,121.35724755589456,269.1552659280992,0.012916802436861649,MODULE
spliced,vvH,te,2100,23.640643936345658,18.19137281566121,19.76098733644976,-3.879656599895899,-5.449271120684447,1.569614520788548,15.40650863268254,1.404575631985229,OVERSHOOT
spliced,vvH,te,2150,41.164670341931995,32.02179369920445,34.73066451372382,-6.434005828208171,-9.142876642727543,2.708870814519372,29.52058669901139,1.4210239914056426,OVERSHOOT
spliced,vvH,te,2300,89.51178611409667,71.05612878190101,75.67176890084946,-13.840017213247208,-18.455657332195656,4.615640118948448,76.89982236772224,1.3334995938105128,OVERSHOOT
spliced,vvH,lws,2100,2.596380650083528,2.596380650083528,3.0076045676447416,0.4112239175612138,0.0,0.4112239175612138,0.0,0.0,MODULE
spliced,vvH,lws,2150,4.2307986469202445,4.2307986469202445,4.962999145299118,0.732200498378873,0.0,0.732200498378873,0.0,0.0,MODULE
spliced,vvH,lws,2300,8.483616077316128,8.483616077316128,10.781041437526657,2.2974253602105286,0.0,2.2974253602105286,0.0,0.0,MODULE
spliced,vvH,total,2100,74.52358917347743,68.04907858872559,62.28740435587878,-12.236184817598655,-6.47451058475184,-5.761674232846815,74.49622210571592,0.5291282112247844,BOTH
spliced,vvH,total,2150,161.34961247694605,152.34653202785483,140.42146306139358,-20.92814941555247,-9.003080449091215,-11.925068966461254,134.8844313247754,0.4301899929288874,BOTH
spliced,vvH,total,2300,441.7611933363421,426.4617478686692,569.7736806074633,128.01248727112124,-15.29944546767291,143.31193273879416,355.03918380945464,-0.11951525818938105,MODULE
spliced,ssp126,glaciers,2100,8.021595172855484,7.3757308897260945,10.44819043611281,2.426595263257326,-0.6458642831293897,3.0724595463867157,5.244961203745632,-0.2661606955675078,OPPOSED
spliced,ssp126,glaciers,2150,9.882140234170706,8.78582715209988,12.278045232411682,2.395904998240976,-1.0963130820708251,3.492218080311801,6.7548166761913935,-0.45757786008865775,OPPOSED
spliced,ssp126,glaciers,2300,12.479159640659333,10.660014978266776,13.799726083865266,1.3205664432059336,-1.8191446623925565,3.13971110559849,8.862363626410616,-1.3775487570138665,OPPOSED
spliced,ssp126,gis,2100,6.572936109291344,5.963177212192571,6.401275386354422,-0.17166072293692203,-0.6097588970987733,0.43809817416185126,3.7091794894787298,,AGREE
spliced,ssp126,gis,2150,8.015123713025716,6.905061362914413,9.31219456099364,1.297070847967925,-1.1100623501113027,2.4071331980792277,5.425531606204648,-0.8558224493676642,OPPOSED
spliced,ssp126,gis,2300,9.938047500400888,8.06336731035983,14.97829851426494,5.040251013864053,-1.8746801900410581,6.914931203905111,8.482281574730344,-0.3719418308501773,OPPOSED
spliced,ssp126,ais,2100,4.819206128682296,4.431368405818484,3.658585883495484,-1.1606202451868124,-0.3878377228638126,-0.7727825223229998,24.70386009544031,,AGREE
spliced,ssp126,ais,2150,7.459410209558355,6.611040719149472,5.335333641839513,-2.1240765677188413,-0.8483694904088832,-1.2757070773099581,34.1429774704024,0.39940626590499617,BOTH
spliced,ssp126,ais,2300,14.742639554049736,12.421542729322727,8.707630226188467,-6.035009327861269,-2.321096824727009,-3.71391250313426,57.07858123771999,0.3846053417036849,BOTH
spliced,ssp126,te,2100,16.096817684653605,10.958592337597205,11.090158502953017,-5.006659181700588,-5.1382253470564,0.131566165355812,11.37342722601412,1.0262782347631507,CLIMATE
spliced,ssp126,te,2150,20.04097764070649,13.101846213180131,12.67911786219686,-7.361859778509631,-6.939131427526359,-0.422728350983272,15.90160520590755,0.9425785924071416,CLIMATE
spliced,ssp126,te,2300,25.839785407355286,17.88932972174301,16.735522709890873,-9.104262697464414,-7.950455685612276,-1.1538070118521375,25.55331794337473,0.8732673858176918,CLIMATE
spliced,ssp126,lws,2100,2.596380650083528,2.596380650083528,3.0076045676447416,0.4112239175612138,0.0,0.4112239175612138,0.0,0.0,MODULE
spliced,ssp126,lws,2150,4.2307986469202445,4.2307986469202445,4.962999145299118,0.732200498378873,0.0,0.732200498378873,0.0,0.0,MODULE
spliced,ssp126,lws,2300,8.483616077316128,8.483616077316128,10.781041437526657,2.2974253602105286,0.0,2.2974253602105286,0.0,0.0,MODULE
spliced,ssp126,total,2100,38.36451912123168,31.222465464984104,35.592213393630836,-2.7723057276008447,-7.142053656247576,4.369747928646731,37.60370699479609,2.5762142988566827,OVERSHOOT
spliced,ssp126,total,2150,50.16659565216147,39.52438369155784,45.9368640506098,-4.22973160155167,-10.642211960603632,6.412480359051962,51.40397001759381,2.5160489986408487,OVERSHOOT
spliced,ssp126,total,2300,72.85341255360493,57.6247983317151,66.49419349167921,-6.359219061925714,-15.228614221889828,8.869395159964114,83.44819610708475,2.394730244955308,OVERSHOOT
spliced,ssp245,glaciers,2100,9.718815172648378,9.86972704485497,12.535170684740605,2.816355512092226,0.15091187220659208,2.665443639885634,6.582400456129783,0.05358409886771789,MODULE
spliced,ssp245,glaciers,2150,13.466997632736112,13.46729678063788,16.714586745263688,3.247589112527576,0.00029914790176910344,3.247289964625807,9.3046554851038,9.211383934474355e-05,MODULE
spliced,ssp245,glaciers,2300,18.38115783261746,18.16700942478068,21.468602639037208,3.0874448064197466,-0.21414840783678102,3.3015932142565276,12.355151573963647,-0.06936104813647216,MODULE
spliced,ssp245,gis,2100,8.219407755622035,8.401232515365791,9.283617426671595,1.0642096710495608,0.18182475974375656,0.8823849113058042,5.431155451238068,0.17085426367572343,MODULE
spliced,ssp245,gis,2150,11.889772760137657,11.910145739172671,16.52813440609547,4.638361645957815,0.020372979035014893,4.6179886669228,10.148491726031551,0.004392279125705797,MODULE
spliced,ssp245,gis,2300,17.144257225616098,16.790121013844598,35.78984963527208,18.64559240965598,-0.35413621177150034,18.99972862142748,22.24905106041211,-0.018993025482424687,MODULE
