zone,amp_window,amp,anchor_splice,scenario,kind,onset_K_GMT,year,value
south,modern,1.7918384323792236,1.9903991580229998,ALL,M2_inert_margin,5.0,,2.8065470742098535
south,modern,1.7918384323792236,1.9903991580229998,SSP5-8.5,M3_ramp_W_zone,5.0,,1.5447419806103753
south,modern,1.7918384323792236,1.9903991580229998,SSP5-8.5,onset_translated,6.0,2135.0,9.129912335767244
south,modern,1.7918384323792236,1.9903991580229998,ALL,M2_inert_margin,6.0,,4.351289054820229
south,modern,1.7918384323792236,1.9903991580229998,SSP5-8.5,M3_ramp_W_zone,6.0,,1.521580959223975
south,modern,1.7918384323792236,1.9903991580229998,SSP5-8.5,onset_translated,7.0,2179.0,10.65149329499122
south,modern,1.7918384323792236,1.9903991580229998,ALL,M2_inert_margin,7.0,,5.872870014044204
south,modern,1.7918384323792236,1.9903991580229998,SSP5-8.5,M3_ramp_W_zone,7.0,,
central,full,2.359081851790682,2.775846324090182,SSP1-2.6,level,,2100.0,4.010161952001965
central,full,2.359081851790682,2.775846324090182,SSP1-2.6,level,,2200.0,3.7713350516933097
central,full,2.359081851790682,2.775846324090182,SSP1-2.6,level,,2300.0,3.816416987368331
central,full,2.359081851790682,2.775846324090182,SSP2-4.5,level,,2100.0,5.845486269144706
central,full,2.359081851790682,2.775846324090182,SSP2-4.5,level,,2200.0,6.727700926994839
central,full,2.359081851790682,2.775846324090182,SSP2-4.5,level,,2300.0,6.725448945255522
central,full,2.359081851790682,2.775846324090182,SSP5-8.5,level,,2100.0,9.999015568418518
central,full,2.359081851790682,2.775846324090182,SSP5-8.5,level,,2200.0,15.606541311128922
central,full,2.359081851790682,2.775846324090182,SSP5-8.5,level,,2300.0,16.677686010958542
central,full,2.359081851790682,2.775846324090182,SSP5-8.5,M1_map_min_step,,,0.00033574531937219376
central,full,2.359081851790682,2.775846324090182,SSP5-8.5,onset_translated,4.0,2087.0,8.594805621229419
central,full,2.359081851790682,2.775846324090182,ALL,M2_inert_margin,4.0,,1.7996384391393097
central,full,2.359081851790682,2.775846324090182,SSP5-8.5,M3_ramp_W_zone,4.0,,2.0989591036563837
central,full,2.359081851790682,2.775846324090182,SSP5-8.5,onset_translated,5.0,2107.0,10.693764724885803
central,full,2.359081851790682,2.775846324090182,ALL,M2_inert_margin,5.0,,3.8985975427956934
central,full,2.359081851790682,2.775846324090182,SSP5-8.5,M3_ramp_W_zone,5.0,,2.1453576216169985
central,full,2.359081851790682,2.775846324090182,SSP5-8.5,onset_translated,6.0,2135.0,12.839122346502801
central,full,2.359081851790682,2.775846324090182,ALL,M2_inert_margin,6.0,,6.043955164412692
central,full,2.359081851790682,2.775846324090182,SSP5-8.5,M3_ramp_W_zone,6.0,,2.1131912958619914
central,full,2.359081851790682,2.775846324090182,SSP5-8.5,onset_translated,7.0,2179.0,14.952313642364793
central,full,2.359081851790682,2.775846324090182,ALL,M2_inert_margin,7.0,,8.157146460274683
central,full,2.359081851790682,2.775846324090182,SSP5-8.5,M3_ramp_W_zone,7.0,,
central,modern,2.239705061849797,2.775846324090182,SSP1-2.6,level,,2100.0,3.947701788815117
central,modern,2.239705061849797,2.775846324090182,SSP1-2.6,level,,2200.0,3.7209602634538115
central,modern,2.239705061849797,2.775846324090182,SSP1-2.6,level,,2300.0,3.76376091467017
central,modern,2.239705061849797,2.775846324090182,SSP2-4.5,level,,2100.0,5.690153056506588
central,modern,2.239705061849797,2.775846324090182,SSP2-4.5,level,,2200.0,6.527724942079447
central,modern,2.239705061849797,2.775846324090182,SSP2-4.5,level,,2300.0,6.525586917535316
central,modern,2.239705061849797,2.775846324090182,SSP5-8.5,level,,2100.0,9.633501011586535
central,modern,2.239705061849797,2.775846324090182,SSP5-8.5,level,,2200.0,14.957268722684969
central,modern,2.239705061849797,2.775846324090182,SSP5-8.5,level,,2300.0,15.974210209628694
central,modern,2.239705061849797,2.775846324090182,SSP5-8.5,M1_map_min_step,,,0.0003187555746428927
central,modern,2.239705061849797,2.775846324090182,SSP5-8.5,onset_translated,4.0,2087.0,8.300348402137221
central,modern,2.239705061849797,2.775846324090182,ALL,M2_inert_margin,4.0,,1.708571204759286
central,modern,2.239705061849797,2.775846324090182,SSP5-8.5,M3_ramp_W_zone,4.0,,1.9927453239939723
central,modern,2.239705061849797,2.775846324090182,SSP5-8.5,onset_translated,5.0,2107.0,10.293093726131193
central,modern,2.239705061849797,2.775846324090182,ALL,M2_inert_margin,5.0,,3.7013165287532583
central,modern,2.239705061849797,2.775846324090182,SSP5-8.5,M3_ramp_W_zone,5.0,,2.03679593438709
central,modern,2.239705061849797,2.775846324090182,SSP5-8.5,onset_translated,6.0,2135.0,12.329889660518283
central,modern,2.239705061849797,2.775846324090182,ALL,M2_inert_margin,6.0,,5.738112463140348
central,modern,2.239705061849797,2.775846324090182,SSP5-8.5,M3_ramp_W_zone,6.0,,2.006257323545796
central,modern,2.239705061849797,2.775846324090182,SSP5-8.5,onset_translated,7.0,2179.0,14.33614698406408
central,modern,2.239705061849797,2.775846324090182,ALL,M2_inert_margin,7.0,,7.7443697866861445
central,modern,2.239705061849797,2.775846324090182,SSP5-8.5,M3_ramp_W_zone,7.0,,
north,full,2.827785079541622,3.2383725978089997,SSP1-2.6,level,,2100.0,4.871534598959768
north,full,2.827785079541622,3.2383725978089997,SSP1-2.6,level,,2200.0,4.59428568085988
north,full,2.827785079541622,3.2383725978089997,SSP1-2.6,level,,2300.0,4.649570977652527
north,full,2.827785079541622,3.2383725978089997,SSP2-4.5,level,,2100.0,7.334293122151186
north,full,2.827785079541622,3.2383725978089997,SSP2-4.5,level,,2200.0,8.47213792856191
north,full,2.827785079541622,3.2383725978089997,SSP2-4.5,level,,2300.0,8.469253919929303
north,full,2.827785079541622,3.2383725978089997,SSP5-8.5,level,,2100.0,12.656656325557567
north,full,2.827785079541622,3.2383725978089997,SSP5-8.5,level,,2200.0,19.83795463148801
north,full,2.827785079541622,3.2383725978089997,SSP5-8.5,level,,2300.0,21.209720000250236
north,full,2.827785079541622,3.2383725978089997,SSP5-8.5,M1_map_min_step,,,0.00042997346848849816
north,full,2.827785079541622,3.2383725978089997,SSP5-8.5,onset_translated,4.0,2087.0,10.858349732310323
north,full,2.827785079541622,3.2383725978089997,ALL,M2_inert_margin,4.0,,2.2998108979562346
north,full,2.827785079541622,3.2383725978089997,SSP5-8.5,M3_ramp_W_zone,4.0,,2.6880396358232677
north,full,2.827785079541622,3.2383725978089997,SSP5-8.5,onset_translated,5.0,2107.0,13.54638936813359
north,full,2.827785079541622,3.2383725978089997,ALL,M2_inert_margin,5.0,,4.987850533779502
north,full,2.827785079541622,3.2383725978089997,SSP5-8.5,M3_ramp_W_zone,5.0,,2.7474600671715113
north,full,2.827785079541622,3.2383725978089997,SSP5-8.5,onset_translated,6.0,2135.0,16.293849435305102
north,full,2.827785079541622,3.2383725978089997,ALL,M2_inert_margin,6.0,,7.7353106009510135
north,full,2.827785079541622,3.2383725978089997,SSP5-8.5,M3_ramp_W_zone,6.0,,2.7062661447088807
north,full,2.827785079541622,3.2383725978089997,SSP5-8.5,onset_translated,7.0,2179.0,19.000115580013983
north,full,2.827785079541622,3.2383725978089997,ALL,M2_inert_margin,7.0,,10.441576745659894
north,full,2.827785079541622,3.2383725978089997,SSP5-8.5,M3_ramp_W_zone,7.0,,
north,modern,2.7111939499980724,3.2383725978089997,SSP1-2.6,level,,2100.0,4.804198434051281
north,modern,2.7111939499980724,3.2383725978089997,SSP1-2.6,level,,2200.0,4.538380640883715
north,modern,2.7111939499980724,3.2383725978089997,SSP1-2.6,level,,2300.0,4.5913864945719896
north,modern,2.7111939499980724,3.2383725978089997,SSP2-4.5,level,,2100.0,7.1654160727924445
north,modern,2.7111939499980724,3.2383725978089997,SSP2-4.5,level,,2200.0,8.256346913858183
north,modern,2.7111939499980724,3.2383725978089997,SSP2-4.5,level,,2300.0,8.253581814483042
north,modern,2.7111939499980724,3.2383725978089997,SSP5-8.5,level,,2100.0,12.268335322619878
north,modern,2.7111939499980724,3.2383725978089997,SSP5-8.5,level,,2200.0,19.153544761282753
north,modern,2.7111939499980724,3.2383725978089997,SSP5-8.5,level,,2300.0,20.468751491635782
north,modern,2.7111939499980724,3.2383725978089997,SSP5-8.5,M1_map_min_step,,,0.0004122454265917952
north,modern,2.7111939499980724,3.2383725978089997,SSP5-8.5,onset_translated,4.0,2087.0,10.544173896376023
north,modern,2.7111939499980724,3.2383725978089997,ALL,M2_inert_margin,4.0,,2.2049884334524084
north,modern,2.7111939499980724,3.2383725978089997,SSP5-8.5,M3_ramp_W_zone,4.0,,2.57721028755849
north,modern,2.7111939499980724,3.2383725978089997,SSP5-8.5,onset_translated,5.0,2107.0,13.121384183934513
north,modern,2.7111939499980724,3.2383725978089997,ALL,M2_inert_margin,5.0,,4.782198721010898
north,modern,2.7111939499980724,3.2383725978089997,SSP5-8.5,M3_ramp_W_zone,5.0,,2.6341807819369887
north,modern,2.7111939499980724,3.2383725978089997,SSP5-8.5,onset_translated,6.0,2135.0,15.755564965871502
north,modern,2.7111939499980724,3.2383725978089997,ALL,M2_inert_margin,6.0,,7.416379502947887
north,modern,2.7111939499980724,3.2383725978089997,SSP5-8.5,M3_ramp_W_zone,6.0,,2.594685307487607
north,modern,2.7111939499980724,3.2383725978089997,SSP5-8.5,onset_translated,7.0,2179.0,18.35025027335911
north,modern,2.7111939499980724,3.2383725978089997,ALL,M2_inert_margin,7.0,,10.011064810435494
north,modern,2.7111939499980724,3.2383725978089997,SSP5-8.5,M3_ramp_W_zone,7.0,,
