year,tas_global,tas_ais,scenario,member
62,287.63308587871404,239.78322648789413,1pctCO2,r1i1p1f1
63,287.5360107519984,239.82575431989733,1pctCO2,r1i1p1f1
64,287.5445436418468,239.2767057762184,1pctCO2,r1i1p1f1
65,287.58081022602164,239.270195067042,1pctCO2,r1i1p1f1
66,287.72590543898747,239.58935795841145,1pctCO2,r1i1p1f1
67,287.68948326022803,239.07515858621665,1pctCO2,r1i1p1f1
68,287.73887032438046,239.23887063074224,1pctCO2,r1i1p1f1
69,287.71503732509814,239.00079128110318,1pctCO2,r1i1p1f1
70,287.7730891371316,240.0371496592386,1pctCO2,r1i1p1f1
71,287.6336925334564,239.58590644902927,1pctCO2,r1i1p1f1
72,287.7618598902912,238.92293290167814,1pctCO2,r1i1p1f1
73,287.81261008172237,239.76382859868514,1pctCO2,r1i1p1f1
74,287.8310613034244,239.59977914660692,1pctCO2,r1i1p1f1
75,287.7670013503919,239.19552992640098,1pctCO2,r1i1p1f1
76,287.8081727490782,239.47688138302772,1pctCO2,r1i1p1f1
77,287.94743679852974,239.0902792837372,1pctCO2,r1i1p1f1
78,287.90518959957126,238.97064197772056,1pctCO2,r1i1p1f1
79,287.9174772659252,239.7522576613418,1pctCO2,r1i1p1f1
80,288.00495949663906,239.47460943403,1pctCO2,r1i1p1f1
81,288.1375639516601,239.9819009065463,1pctCO2,r1i1p1f1
82,288.0718497319436,240.17144980375645,1pctCO2,r1i1p1f1
83,288.1129294155917,240.54331492683335,1pctCO2,r1i1p1f1
84,288.160667793345,239.94532608389196,1pctCO2,r1i1p1f1
85,288.17642572012153,240.3889494179636,1pctCO2,r1i1p1f1
86,288.14776461556374,240.32800946729517,1pctCO2,r1i1p1f1
87,288.11540277437666,239.98354797388268,1pctCO2,r1i1p1f1
88,288.15684948668746,239.79073909145643,1pctCO2,r1i1p1f1
89,288.2539441530628,240.18649069343863,1pctCO2,r1i1p1f1
90,288.2709798955568,240.41900172420173,1pctCO2,r1i1p1f1
91,288.2333084461907,240.45014646148337,1pctCO2,r1i1p1f1
92,288.1720262834959,239.5106143403093,1pctCO2,r1i1p1f1
93,288.28895744697905,240.3889598493827,1pctCO2,r1i1p1f1
94,288.3794215919632,240.98645124294436,1pctCO2,r1i1p1f1
95,288.36900065079766,240.5735195445257,1pctCO2,r1i1p1f1
96,288.3801873438958,240.00640880383713,1pctCO2,r1i1p1f1
97,288.4195729189319,239.91202310779295,1pctCO2,r1i1p1f1
98,288.3958415418671,240.020918096829,1pctCO2,r1i1p1f1
99,288.4390365813222,240.64690999687906,1pctCO2,r1i1p1f1
