year,tas_global,tas_ais,scenario,member
44,293.2564434041516,244.56812262785172,abrupt-4xCO2,r1i1p1f1
45,293.3567760108542,243.5839904886881,abrupt-4xCO2,r1i1p1f1
46,293.29634113221704,245.6682045247066,abrupt-4xCO2,r1i1p1f1
47,293.21519615500017,244.50327668220913,abrupt-4xCO2,r1i1p1f1
48,293.3531506150622,244.34181640776845,abrupt-4xCO2,r1i1p1f1
49,293.3118876138141,245.32995939262423,abrupt-4xCO2,r1i1p1f1
50,293.182725185657,244.9260041545946,abrupt-4xCO2,r1i1p1f1
51,293.31828400681127,244.80777087024592,abrupt-4xCO2,r1i1p1f1
52,293.3754379522248,244.88376682722895,abrupt-4xCO2,r1i1p1f1
53,293.4545161736315,245.10744329322105,abrupt-4xCO2,r1i1p1f1
54,293.63208182379327,245.0830468521365,abrupt-4xCO2,r1i1p1f1
55,293.47536591491286,244.67491635244954,abrupt-4xCO2,r1i1p1f1
56,293.61733602138014,245.26638257765603,abrupt-4xCO2,r1i1p1f1
57,293.61299072486486,245.4451566747152,abrupt-4xCO2,r1i1p1f1
58,293.7936463629499,244.58208373844246,abrupt-4xCO2,r1i1p1f1
59,293.6237571511359,245.39867677640478,abrupt-4xCO2,r1i1p1f1
60,293.7168801169001,245.89138091128305,abrupt-4xCO2,r1i1p1f1
61,293.7424188686678,246.2416799477845,abrupt-4xCO2,r1i1p1f1
62,293.53502784822035,245.2742566436961,abrupt-4xCO2,r1i1p1f1
63,293.7961038192661,246.13845409477912,abrupt-4xCO2,r1i1p1f1
64,293.7376178014935,245.77511644232675,abrupt-4xCO2,r1i1p1f1
65,293.67687132532836,245.70700640770326,abrupt-4xCO2,r1i1p1f1
66,293.69055106451833,245.2230814077064,abrupt-4xCO2,r1i1p1f1
67,293.6432156978714,246.30744432397668,abrupt-4xCO2,r1i1p1f1
68,293.6285098261894,244.70170841469877,abrupt-4xCO2,r1i1p1f1
69,293.8574737864497,245.74924570192502,abrupt-4xCO2,r1i1p1f1
70,293.6504035946372,245.0984521839886,abrupt-4xCO2,r1i1p1f1
71,293.6854532153025,246.10204966946236,abrupt-4xCO2,r1i1p1f1
72,293.9016917002458,246.191658415835,abrupt-4xCO2,r1i1p1f1
73,293.7843759001607,245.36556012575278,abrupt-4xCO2,r1i1p1f1
74,293.89527817629244,245.28551401301496,abrupt-4xCO2,r1i1p1f1
75,293.90712315160437,246.319469130508,abrupt-4xCO2,r1i1p1f1
76,293.7369400637565,245.9048396712843,abrupt-4xCO2,r1i1p1f1
77,293.95057149272435,246.4895655818025,abrupt-4xCO2,r1i1p1f1
78,294.111266587741,246.39259705522608,abrupt-4xCO2,r1i1p1f1
79,294.0193707850825,245.23148007308416,abrupt-4xCO2,r1i1p1f1
