year,member,tas_global,tas_ais,scenario
1928,r10i1p1f1,287.35503768317426,238.818321019452,historical
1929,r10i1p1f1,287.33504224621464,238.80262090138618,historical
1930,r10i1p1f1,287.214057032155,237.63870157064946,historical
1931,r10i1p1f1,287.238936240877,238.53951593460516,historical
1932,r10i1p1f1,287.28086325243476,238.31341251186439,historical
1933,r10i1p1f1,287.2720595550282,239.0705330492121,historical
1934,r10i1p1f1,287.2146458856523,238.74314290614114,historical
1935,r10i1p1f1,287.3786884151943,238.6838559122676,historical
1936,r10i1p1f1,287.28222059575705,238.31442022492786,historical
1937,r10i1p1f1,287.1936017671258,238.0672636884779,historical
1938,r10i1p1f1,287.2690694442308,239.09333548709182,historical
1939,r10i1p1f1,287.2097483480441,237.9779464162021,historical
1940,r10i1p1f1,287.30997005669894,237.95144623519715,historical
1941,r10i1p1f1,287.2513742858633,237.70423426539338,historical
1942,r10i1p1f1,287.36602215128727,238.27510088792977,historical
1943,r10i1p1f1,287.46157422135656,238.153916823687,historical
1944,r10i1p1f1,287.461782577546,239.3088156210772,historical
1945,r10i1p1f1,287.26858292441835,237.78123819375799,historical
1946,r10i1p1f1,287.27724131548047,237.83761764434553,historical
1947,r10i1p1f1,287.1720864053567,238.52125094075132,historical
1948,r10i1p1f1,287.14428413815443,238.14235985882038,historical
1949,r10i1p1f1,287.2859876687969,237.80085299250138,historical
1950,r10i1p1f1,287.298028687084,238.21655463920982,historical
1951,r10i1p1f1,287.30878105192824,238.65480442284007,historical
1952,r10i1p1f1,287.5428680448299,239.34993577337352,historical
1953,r10i1p1f1,287.42877959658665,238.18996631150256,historical
1954,r10i1p1f1,287.403164263163,238.44272184962793,historical
1955,r10i1p1f1,287.4271575945084,239.43473191897553,historical
1956,r10i1p1f1,287.3741025325178,238.77657190115096,historical
1957,r10i1p1f1,287.38889685677896,238.87440987558074,historical
1958,r10i1p1f1,287.25880850269556,239.19016625258158,historical
1959,r10i1p1f1,287.3294590641773,238.78684360995453,historical
1960,r10i1p1f1,287.48015277873475,239.12212422017387,historical
1961,r10i1p1f1,287.36082849442437,238.33210016086065,historical
1962,r10i1p1f1,287.3626821194151,238.75862147372854,historical
1963,r10i1p1f1,287.4789094988755,238.49104677446286,historical
1964,r10i1p1f1,287.16165916989934,237.49666132293547,historical
1965,r10i1p1f1,287.1064766494413,238.02116715422008,historical
1966,r10i1p1f1,287.1435221758035,238.7001737125823,historical
1967,r10i1p1f1,286.9374405208091,238.2320463850997,historical
1968,r10i1p1f1,287.14031285108587,238.48194608198406,historical
1969,r10i1p1f1,287.26755219044446,238.54011429316327,historical
1970,r10i1p1f1,287.51938392852117,239.15089475960113,historical
1971,r10i1p1f1,287.48462188923787,238.55332822192764,historical
1972,r10i1p1f1,287.50548772581226,240.13619612521154,historical
1973,r10i1p1f1,287.4134966512239,238.70410936076058,historical
1974,r10i1p1f1,287.37575127450555,238.19504002446743,historical
1975,r10i1p1f1,287.3370188142704,237.86370395023508,historical
1976,r10i1p1f1,287.2466360510133,238.14051931842943,historical
1977,r10i1p1f1,287.4897487934063,238.71454477180845,historical
1978,r10i1p1f1,287.57415112013746,238.9593364506534,historical
1979,r10i1p1f1,287.49611513379716,239.07876767136406,historical
1980,r10i1p1f1,287.43284379635355,238.44754759563287,historical
1981,r10i1p1f1,287.49717017737566,238.40559635422574,historical
1982,r10i1p1f1,287.4457956201009,238.02904976116056,historical
1983,r10i1p1f1,287.4244851688347,238.26399442254086,historical
1984,r10i1p1f1,287.5920988494721,238.10546561907444,historical
1985,r10i1p1f1,287.54784578664606,238.5601912922284,historical
1986,r10i1p1f1,287.51233860554106,239.12969275562145,historical
1987,r10i1p1f1,287.6663633728333,238.57183862387032,historical
1988,r10i1p1f1,287.64039202519155,239.36385377149531,historical
1989,r10i1p1f1,287.7090570871701,238.89901214260357,historical
1990,r10i1p1f1,287.78304426838184,239.10890863877677,historical
1991,r10i1p1f1,287.57765016623785,239.2357199173782,historical
1992,r10i1p1f1,287.4008388385266,239.07970975025836,historical
1993,r10i1p1f1,287.7183486087142,239.04814545304555,historical
1994,r10i1p1f1,287.98346459741407,239.26084070793414,historical
1995,r10i1p1f1,287.5876917140483,239.2198533465488,historical
1996,r10i1p1f1,287.7005768906609,238.39280037724785,historical
1997,r10i1p1f1,287.8975858760893,239.59894933074236,historical
1998,r10i1p1f1,287.7703387685228,239.36252596258208,historical
1999,r10i1p1f1,287.7688311003615,239.43764470950063,historical
2000,r10i1p1f1,287.8229794994354,239.60487695812017,historical
2001,r10i1p1f1,287.9850581296502,238.70108079644675,historical
2002,r10i1p1f1,288.1900473529666,239.08484273072497,historical
2003,r10i1p1f1,288.18052547816393,239.5792028448798,historical
2004,r10i1p1f1,288.1833720457296,240.14063746756008,historical
2005,r10i1p1f1,288.2108659763747,238.922302040581,historical
2006,r10i1p1f1,288.2805871977693,239.95594610866786,historical
2007,r10i1p1f1,288.31740664064984,239.01355402541614,historical
2008,r10i1p1f1,288.3256658480053,238.93497710931769,historical
2009,r10i1p1f1,288.23171628621895,239.45901830197664,historical
2010,r10i1p1f1,288.32054339145816,239.75694127887712,historical
2011,r10i1p1f1,288.2996047996769,239.61359109525208,historical
2012,r10i1p1f1,288.0823669295267,239.16240199950087,historical
2013,r10i1p1f1,288.0199803800946,239.52655172291645,historical
2014,r10i1p1f1,288.3171644781147,239.60542250030903,historical
2015,r10i1p1f1,288.418434990622,239.27080242284904,ssp245
2016,r10i1p1f1,288.1948293277783,239.90933163576636,ssp245
2017,r10i1p1f1,288.3196598414352,239.59450545441905,ssp245
2018,r10i1p1f1,288.3415894501721,239.98097626748117,ssp245
2019,r10i1p1f1,288.11938521714626,239.4116638465057,ssp245
2020,r10i1p1f1,288.31459849560036,239.6046652716372,ssp245
2021,r10i1p1f1,288.4190680427327,239.64666346642028,ssp245
2022,r10i1p1f1,288.3956359800799,240.2845493339438,ssp245
2023,r10i1p1f1,288.6155487001114,240.42040097650215,ssp245
2024,r10i1p1f1,288.5866282839403,240.15818741923943,ssp245
2025,r10i1p1f1,288.644966094687,240.7025445725688,ssp245
2026,r10i1p1f1,288.7168786755216,240.35442148579753,ssp245
2027,r10i1p1f1,288.7955305696081,240.30521097573717,ssp245
2028,r10i1p1f1,288.7162493430661,239.71601152187097,ssp245
2029,r10i1p1f1,288.6661606579811,241.1286817928131,ssp245
2030,r10i1p1f1,288.68494509174127,239.62741446766793,ssp245
2031,r10i1p1f1,288.9244805755631,240.15606090138706,ssp245
2032,r10i1p1f1,288.8480488901971,240.24071871883746,ssp245
2033,r10i1p1f1,288.70614200772883,240.33581282721929,ssp245
2034,r10i1p1f1,288.8917143125512,240.38250772423666,ssp245
2035,r10i1p1f1,288.7865300918917,239.91053535620026,ssp245
2036,r10i1p1f1,288.695775061715,240.65555783939658,ssp245
2037,r10i1p1f1,288.90004601551254,240.57988212602956,ssp245
2038,r10i1p1f1,289.03498527594064,240.80595002082222,ssp245
2039,r10i1p1f1,289.21474496316944,240.7790334969989,ssp245
2040,r10i1p1f1,289.1127282238475,240.70687860000012,ssp245
2041,r10i1p1f1,288.9213434954192,240.3730641719533,ssp245
2042,r10i1p1f1,289.0991145953331,239.8416227307193,ssp245
2043,r10i1p1f1,289.35905794803364,240.70312387134607,ssp245
2044,r10i1p1f1,289.3680252672637,240.58422821410934,ssp245
2045,r10i1p1f1,289.13115707246675,240.73848737471707,ssp245
2046,r10i1p1f1,289.21878493823067,240.5194557784235,ssp245
2047,r10i1p1f1,289.3718574594866,241.49196786826258,ssp245
2048,r10i1p1f1,289.4732684240107,240.83024941957788,ssp245
2049,r10i1p1f1,289.4578766700314,240.65564420173504,ssp245
2050,r10i1p1f1,289.63954467213904,242.31303785801316,ssp245
2051,r10i1p1f1,289.51269807845415,241.0833347585108,ssp245
2052,r10i1p1f1,289.47976951035895,241.15774669750851,ssp245
2053,r10i1p1f1,289.6544281591398,241.27511050448808,ssp245
2054,r10i1p1f1,289.6113912897514,241.7062206941798,ssp245
2055,r10i1p1f1,289.7282669397343,240.96380614906172,ssp245
2056,r10i1p1f1,289.90523803730565,242.3295362483127,ssp245
2057,r10i1p1f1,289.698336997314,241.73151023686142,ssp245
2058,r10i1p1f1,289.5260581169818,241.30702145696088,ssp245
2059,r10i1p1f1,289.6599267435676,240.35398431776764,ssp245
2060,r10i1p1f1,289.7082432747952,242.10579705164713,ssp245
2061,r10i1p1f1,289.63757120400567,240.8787378751362,ssp245
2062,r10i1p1f1,289.6921427885009,241.78037771047175,ssp245
2063,r10i1p1f1,289.6682021617944,241.16608361106367,ssp245
2064,r10i1p1f1,289.98902348331063,241.80905776664184,ssp245
2065,r10i1p1f1,289.89776830285007,242.030930852311,ssp245
2066,r10i1p1f1,289.7336690796264,241.55849038861686,ssp245
2067,r10i1p1f1,289.88386737422434,241.3306959695687,ssp245
2068,r10i1p1f1,289.9777112328285,241.4977098066974,ssp245
2069,r10i1p1f1,289.95124131715846,241.84143488779281,ssp245
2070,r10i1p1f1,289.9641697456768,242.34357741587306,ssp245
2071,r10i1p1f1,289.73814374751265,242.24866103209877,ssp245
2072,r10i1p1f1,289.80313631555026,241.8632565024279,ssp245
2073,r10i1p1f1,290.1618670226143,242.62715166727355,ssp245
2074,r10i1p1f1,290.1878923963865,242.2192350762277,ssp245
2075,r10i1p1f1,290.28103896683496,242.26583217639086,ssp245
2076,r10i1p1f1,290.0166872075068,241.83850032835278,ssp245
2077,r10i1p1f1,290.170484616776,242.3531333260372,ssp245
2078,r10i1p1f1,290.22669565975707,243.04930682747082,ssp245
2079,r10i1p1f1,290.11345896754915,242.558079948708,ssp245
2080,r10i1p1f1,290.2560117180664,242.7325704396452,ssp245
2081,r10i1p1f1,290.32042190772216,242.7105405639327,ssp245
2082,r10i1p1f1,290.219975785755,242.38695077110506,ssp245
2083,r10i1p1f1,290.1885192048839,242.51097045481748,ssp245
2084,r10i1p1f1,290.1350551678322,241.96825973142106,ssp245
2085,r10i1p1f1,290.2992207485956,242.80702678328487,ssp245
2086,r10i1p1f1,290.3164172602146,242.16946936433123,ssp245
2087,r10i1p1f1,290.3812035159631,242.75650105356686,ssp245
2088,r10i1p1f1,290.1957675084876,243.43015699720968,ssp245
2089,r10i1p1f1,290.41802152989777,242.6804097966896,ssp245
2090,r10i1p1f1,290.41634526780075,243.08429914667053,ssp245
2091,r10i1p1f1,290.5222461897795,243.37611151548444,ssp245
2092,r10i1p1f1,290.6734237865351,243.4121352984399,ssp245
2093,r10i1p1f1,290.6705696175479,243.07375884499984,ssp245
