year,tas_sh,tas_nh,scenario
1912,286.06757394520554,288.34043849445993,historical
1913,286.10257086673425,288.16020852930393,historical
1914,286.19565535633285,288.3666686979578,historical
1915,286.01506874147583,288.13539128858383,historical
1916,286.07446995986686,288.30275148896254,historical
1917,286.16040034972923,288.3157146852552,historical
1918,286.40437395334266,288.53421796219465,historical
1919,286.21900884161465,288.4547580082446,historical
1920,286.27305649392105,288.57457840779756,historical
1921,286.1597007611979,288.5518438989132,historical
1922,286.12252697330166,288.66315093677946,historical
1923,286.22893778653247,288.4361337111057,historical
1924,286.230341406325,288.4351684785688,historical
1925,286.3326843359078,288.5445233843058,historical
1926,286.53488406684954,288.5940979871679,historical
1927,286.1896582201791,288.3534737109922,historical
1928,286.2528789337472,288.45719643259855,historical
1929,286.3221456594709,288.34793883295555,historical
1930,286.0990606744931,288.329053389814,historical
1931,286.0953429619457,288.3825295198057,historical
1932,286.1995535662219,288.36217293864485,historical
1933,286.1746607881352,288.36945832191856,historical
1934,286.10560881995474,288.3236829513473,historical
1935,286.292211717812,288.46516511257374,historical
1936,286.18849413957554,288.375947051936,historical
1937,286.0741017423978,288.3131017918511,historical
1938,286.1788240073445,288.35931488111436,historical
1939,286.1343971917457,288.2850995043399,historical
1940,286.1894078473806,288.4305322660145,historical
1941,286.13014629683727,288.3726022748865,historical
1942,286.17008316748826,288.5619611350836,historical
1943,286.3120498117628,288.6110986309475,historical
1944,286.4022800169553,288.52128513813386,historical
1945,286.139141775093,288.3980240737408,historical
1946,286.1318729941581,288.4226096368001,historical
1947,286.11828314115644,288.2258896695543,historical
1948,286.18036711089843,288.1082011654076,historical
1949,286.1889036050311,288.38307173255987,historical
1950,286.2256998655428,288.3703575086226,historical
1951,286.34840918625815,288.26915291759553,historical
1952,286.56562920773047,288.52010688192667,historical
1953,286.4471669868126,288.41039220635787,historical
1954,286.3686292107958,288.43769931552754,historical
1955,286.37361651341627,288.48069867559764,historical
1956,286.4676863805068,288.280518684526,historical
1957,286.4437363055619,288.3340574079932,historical
1958,286.25263061222097,288.2649863931674,historical
1959,286.3712017468553,288.2877163814966,historical
1960,286.53977287037725,288.4205326870897,historical
1961,286.27658349951946,288.44507348932666,historical
1962,286.3633668743881,288.36199736443945,historical
1963,286.4746415800578,288.4831774176905,historical
1964,286.16203827206755,288.1612800677283,historical
1965,286.269262436938,287.9436908619417,historical
1966,286.3020668641133,287.9849774874909,historical
1967,286.08604701008045,287.7888340315349,historical
1968,286.2302490945433,288.05037660762565,historical
1969,286.3899462634746,288.14515811741165,historical
1970,286.6948547606,288.34391309643973,historical
1971,286.48527937941753,288.4839643990554,historical
1972,286.63056245898565,288.38041299263597,historical
1973,286.5380715759623,288.28892172648284,historical
1974,286.4265207269663,288.32498182204216,historical
1975,286.4970436301746,288.1769939983635,historical
1976,286.34806960606727,288.14520249595654,historical
1977,286.5820295768032,288.39746801000683,historical
1978,286.7172449915163,288.43105724875574,historical
1979,286.63071910926635,288.36151115832536,historical
1980,286.54426626786386,288.3214213248405,historical
1981,286.58364321943196,288.41069713531647,historical
1982,286.5279593048916,288.3636319353075,historical
1983,286.5777472262405,288.271223111426,historical
1984,286.58393797645164,288.6002597224897,historical
1985,286.5741588046621,288.5215327686273,historical
1986,286.57854169106486,288.4461355200144,historical
1987,286.6116056616982,288.72112108396567,historical
1988,286.59014235396563,288.69064169641445,historical
1989,286.6589971775544,288.7591169967828,historical
1990,286.68714321759904,288.87894531916197,historical
1991,286.57542572504644,288.57987460742635,historical
1992,286.55698287147777,288.24469480557246,historical
1993,286.83225788659485,288.604439330831,historical
1994,287.0459016640858,288.9210275307395,historical
1995,286.6053131185624,288.5700703095313,historical
1996,286.6233315215716,288.77782225974727,historical
1997,286.8581658008651,288.937005951311,historical
1998,286.559837802938,288.9808397341048,historical
1999,286.6499140577001,288.8877481430203,historical
2000,286.700286680119,288.9456723187491,historical
2001,286.76048117484174,289.2096350844558,historical
2002,286.9832642956291,289.39683041030133,historical
2003,286.9358383364195,289.4252126199056,historical
2004,286.982274769512,289.3844693219444,historical
2005,287.02455924558564,289.39717270716096,historical
2006,287.12863772424924,289.4325366712868,historical
2007,286.98241557738106,289.6523977039159,historical
2008,286.95775183794024,289.69357985806755,historical
2009,286.8793694870565,289.5840630853786,historical
2010,287.102556500589,289.5385302823247,historical
2011,287.1071790345855,289.4920305647656,historical
2012,286.79049304016075,289.37424081889,historical
2013,286.86751008837086,289.17245067181557,historical
2014,287.03817091043254,289.59615804579425,historical
2015,287.2694800578957,289.5673899233457,ssp245
2016,287.07110719348043,289.31855146207346,ssp245
2017,287.1419351072199,289.49738457564786,ssp245
2018,287.2352737917203,289.4479051086211,ssp245
2019,286.9926555704756,289.24611486381417,ssp245
2020,287.16348707913806,289.46570991206005,ssp245
2021,287.3551988817281,289.48293720373454,ssp245
2022,287.3001141334415,289.4911578267155,ssp245
2023,287.51376742706117,289.7173299731589,ssp245
2024,287.39915968309305,289.7740968847848,ssp245
2025,287.3794482329262,289.91048395644503,ssp245
2026,287.51676098888316,289.91699636215714,ssp245
2027,287.5478356911152,290.04322544809827,ssp245
2028,287.42845114325075,290.0040475428789,ssp245
2029,287.39273801898497,289.9395832969745,ssp245
2030,287.43611088685816,289.9337792966216,ssp245
2031,287.58598814726747,290.26297300385596,ssp245
2032,287.5007341327126,290.195363647679,ssp245
2033,287.3817907918183,290.0304932236366,ssp245
2034,287.546644685153,290.23678393994663,ssp245
2035,287.5696114036947,290.003448780086,ssp245
2036,287.5117456053607,289.8798045180666,ssp245
2037,287.60346946483537,290.1966225661867,ssp245
2038,287.83392501676923,290.2360455351093,ssp245
2039,287.9679116399272,290.4615782864089,ssp245
2040,287.9303066412796,290.2951498064125,ssp245
2041,287.62875052083467,290.21393647000104,ssp245
2042,287.79199979894554,290.4062293917179,ssp245
2043,288.0782898301807,290.63982606588377,ssp245
2044,288.0412989826722,290.6947515518525,ssp245
2045,287.81415980358196,290.44815434134875,ssp245
2046,287.8215842612879,290.61598561517076,ssp245
2047,287.9803558228847,290.76335909608565,ssp245
2048,288.22541184772564,290.7211250002931,ssp245
2049,288.1048507473146,290.8109025927455,ssp245
2050,288.4080925105165,290.87099683375874,ssp245
2051,288.18842421724474,290.83697193966077,ssp245
2052,288.16522073468155,290.79431828603356,ssp245
2053,288.3003207083251,291.00853560995176,ssp245
2054,288.34831994913486,290.87446263036526,ssp245
2055,288.28600885389534,291.17052502557044,ssp245
2056,288.6398207026577,291.170655371951,ssp245
2057,288.4854150834195,290.91125891120566,ssp245
2058,288.2864851884658,290.765631045495,ssp245
2059,288.28399269700003,291.0358607901323,ssp245
2060,288.468735679594,290.94775086999374,ssp245
2061,288.3218046545948,290.9533377534136,ssp245
2062,288.38646410390425,290.9978214730946,ssp245
2063,288.3319695113926,291.00443481219344,ssp245
2064,288.69492236809833,291.2831245985202,ssp245
2065,288.662522921802,291.1330136838953,ssp245
2066,288.45390241302437,291.01343574622547,ssp245
2067,288.60106843615404,291.16666631229185,ssp245
2068,288.6834157240155,291.27200674163873,ssp245
2069,288.64890425584565,291.25357837846866,ssp245
2070,288.8380198415675,291.09031964978345,ssp245
2071,288.54084226749444,290.9354452275283,ssp245
2072,288.55203620302433,291.05423642807364,ssp245
2073,288.8842157506372,291.4395182945885,ssp245
2074,288.9303446567356,291.44544013603473,ssp245
2075,289.0150391517318,291.54703878193544,ssp245
2076,288.7128522748285,291.3205221401824,ssp245
2077,288.9317641964208,291.40920503712834,ssp245
2078,289.0074431603859,291.4459481591254,ssp245
2079,288.81947095027954,291.40744698481603,ssp245
2080,289.03287413537277,291.4791493007574,ssp245
2081,289.16438017153536,291.47646364390636,ssp245
2082,288.97153323976374,291.4684183317434,ssp245
2083,288.9530074298712,291.4240309798937,ssp245
2084,288.8982433154367,291.37186702022484,ssp245
2085,289.1297025419272,291.4687389552613,ssp245
2086,289.16811783097984,291.4647166894467,ssp245
2087,289.2390987971341,291.5233082347893,ssp245
2088,289.0627985563197,291.3287364606528,ssp245
2089,289.1920910469627,291.64395201283014,ssp245
2090,289.2845523815401,291.5481381540587,ssp245
2091,289.27770714040844,291.7667852391476,ssp245
2092,289.3890024173796,291.95784515568806,ssp245
2093,289.3961735421021,291.944965692991,ssp245
2094,289.3562766395656,291.88026674193776,ssp245
2095,289.39810688315714,291.82509266231875,ssp245
2096,289.4200110102989,291.89787901697736,ssp245
2097,289.5798720500616,291.80073991996056,ssp245
2098,289.29589406718446,291.5018769436755,ssp245
2099,289.4592186110056,291.63147961196836,ssp245
2100,289.6739716623477,291.9394306612371,ssp245
2015,287.2753253950881,289.66562602844857,ssp585
2016,286.93071857911514,289.2924093866913,ssp585
2017,286.9321127908633,289.2851512299008,ssp585
2018,287.2487845094679,289.4499995367527,ssp585
2019,287.3289991312684,289.7147600347298,ssp585
2020,287.1444611611289,289.68448254064407,ssp585
2021,287.2725270459361,289.78330440673426,ssp585
2022,287.44075845410254,289.6944783299696,ssp585
2023,287.44820619510773,289.8358567078857,ssp585
2024,287.2544414480865,289.81661481496076,ssp585
2025,287.2478718924555,289.6114161680444,ssp585
2026,287.3611109425727,289.77880560691494,ssp585
2027,287.51665329241837,290.2491628481808,ssp585
2028,287.6129350104182,290.2942414079293,ssp585
2029,287.63635931695154,290.3134479164017,ssp585
2030,287.51892128146386,290.1303166489988,ssp585
2031,287.54038919175895,290.01610237468117,ssp585
2032,287.68767371472427,290.42780860186144,ssp585
2033,287.84765341334474,290.4603295734352,ssp585
2034,287.8356076489212,290.5104639300664,ssp585
2035,287.9299827240556,290.6646732125657,ssp585
2036,287.7810846660215,290.6411681686014,ssp585
2037,287.824885070753,290.7706323632431,ssp585
2038,287.8318260351867,290.70122409680306,ssp585
2039,287.8705861008832,290.75530901662586,ssp585
2040,288.04599458063865,290.721160607855,ssp585
2041,287.99020977020245,290.8641216612712,ssp585
2042,288.0763265278521,290.9819644071094,ssp585
2043,288.2992301732127,290.93776300512314,ssp585
2044,288.0180303583402,290.77383173831805,ssp585
2045,288.07335392250496,290.79135534765,ssp585
2046,288.37339046663226,291.1195119307615,ssp585
2047,288.56217261526587,291.1575105374739,ssp585
2048,288.4453889436305,291.34959573570785,ssp585
2049,288.6093649311469,291.4783819758333,ssp585
2050,288.7484203214853,291.51855632013286,ssp585
2051,288.5745240829802,291.4634896220744,ssp585
2052,288.7193107666923,291.4126456607997,ssp585
2053,288.69938652850044,291.41848667372136,ssp585
2054,288.5626154060962,291.5443232136364,ssp585
2055,288.7254175504049,291.72709616399476,ssp585
2056,288.781686570877,291.8723831515321,ssp585
2057,288.6999874753265,291.81826949427085,ssp585
2058,289.1010860431145,291.8967371306289,ssp585
2059,289.0487067924584,291.8087362307943,ssp585
2060,289.09829868104924,291.87941492259483,ssp585
2061,289.11757077195773,291.9412845688286,ssp585
2062,289.1623186550995,291.93825046288316,ssp585
2063,289.38562218379604,292.0362837795904,ssp585
2064,289.18230035990314,291.9705293929116,ssp585
2065,289.2960064126405,292.3204297812799,ssp585
