year,ohc,scenario
126,-5.264964430299524,1pctCO2
127,-5.260773265296645,1pctCO2
128,-5.255430514191928,1pctCO2
129,-5.250765620192436,1pctCO2
130,-5.245838529769689,1pctCO2
131,-5.240279863440925,1pctCO2
132,-5.235216106780588,1pctCO2
133,-5.22979260405449,1pctCO2
134,-5.224856903128428,1pctCO2
135,-5.219299696833709,1pctCO2
136,-5.214707161629037,1pctCO2
137,-5.209340974729355,1pctCO2
138,-5.2044261083210985,1pctCO2
139,-5.19955809520242,1pctCO2
140,-5.194108308504705,1pctCO2
141,-5.188890730191583,1pctCO2
142,-5.182690984908849,1pctCO2
143,-5.177923534737259,1pctCO2
144,-5.171828673637076,1pctCO2
145,-5.167315032384167,1pctCO2
146,-5.161837517725278,1pctCO2
147,-5.156356801100768,1pctCO2
148,-5.151128715358368,1pctCO2
149,-5.144903210417865,1pctCO2
150,-5.138989155913053,1pctCO2
1,-5.639415001542601,abrupt-4xCO2
2,-5.6249034189198115,abrupt-4xCO2
3,-5.612666197813274,abrupt-4xCO2
4,-5.601685510922785,abrupt-4xCO2
5,-5.591439704372458,abrupt-4xCO2
6,-5.5815904382157,abrupt-4xCO2
7,-5.572968170291087,abrupt-4xCO2
8,-5.563625960154076,abrupt-4xCO2
9,-5.554786780109144,abrupt-4xCO2
10,-5.546399606417303,abrupt-4xCO2
11,-5.537958938567365,abrupt-4xCO2
12,-5.529913601809985,abrupt-4xCO2
13,-5.521478824092918,abrupt-4xCO2
14,-5.512984266673049,abrupt-4xCO2
15,-5.505663475703672,abrupt-4xCO2
16,-5.4981754590387215,abrupt-4xCO2
17,-5.490795157706901,abrupt-4xCO2
18,-5.483692527143923,abrupt-4xCO2
19,-5.476789126630689,abrupt-4xCO2
20,-5.468171173252472,abrupt-4xCO2
21,-5.460949824607535,abrupt-4xCO2
22,-5.454116503833092,abrupt-4xCO2
23,-5.447370912207932,abrupt-4xCO2
24,-5.441486404366689,abrupt-4xCO2
25,-5.4345138197075835,abrupt-4xCO2
26,-5.428251369685343,abrupt-4xCO2
27,-5.422273362269167,abrupt-4xCO2
28,-5.416275524766478,abrupt-4xCO2
29,-5.410653943884863,abrupt-4xCO2
30,-5.40396035599382,abrupt-4xCO2
31,-5.397095704990658,abrupt-4xCO2
32,-5.391797794707834,abrupt-4xCO2
33,-5.385360105070349,abrupt-4xCO2
34,-5.38052880927308,abrupt-4xCO2
35,-5.3747224052095675,abrupt-4xCO2
36,-5.369096763819864,abrupt-4xCO2
37,-5.3640106253428,abrupt-4xCO2
38,-5.358635200866281,abrupt-4xCO2
39,-5.352921229242627,abrupt-4xCO2
40,-5.347031794508842,abrupt-4xCO2
41,-5.3414357616476815,abrupt-4xCO2
42,-5.336676831441383,abrupt-4xCO2
43,-5.330971577128426,abrupt-4xCO2
44,-5.326639166270217,abrupt-4xCO2
45,-5.3209989704497875,abrupt-4xCO2
46,-5.315029352005214,abrupt-4xCO2
47,-5.309514106948519,abrupt-4xCO2
48,-5.303370650827068,abrupt-4xCO2
49,-5.298730890718225,abrupt-4xCO2
50,-5.293526130833038,abrupt-4xCO2
51,-5.289214573167775,abrupt-4xCO2
52,-5.284760889288497,abrupt-4xCO2
53,-5.280434257037019,abrupt-4xCO2
54,-5.275359341869615,abrupt-4xCO2
55,-5.270306036120555,abrupt-4xCO2
56,-5.265865284122833,abrupt-4xCO2
57,-5.261119947041551,abrupt-4xCO2
58,-5.255382183806537,abrupt-4xCO2
59,-5.251263305789134,abrupt-4xCO2
60,-5.2466447046358295,abrupt-4xCO2
61,-5.241589175185112,abrupt-4xCO2
62,-5.236465028214128,abrupt-4xCO2
63,-5.231429856983039,abrupt-4xCO2
64,-5.2275127959578,abrupt-4xCO2
65,-5.222361015946897,abrupt-4xCO2
66,-5.217371590496742,abrupt-4xCO2
67,-5.213086920357793,abrupt-4xCO2
68,-5.208784231421066,abrupt-4xCO2
69,-5.203577530220763,abrupt-4xCO2
70,-5.1989202603901905,abrupt-4xCO2
71,-5.194654925924833,abrupt-4xCO2
72,-5.1896872598830965,abrupt-4xCO2
73,-5.186162577589897,abrupt-4xCO2
74,-5.18103585177905,abrupt-4xCO2
