year,tas_global,tas_ais,scenario,member
64,288.53856917715115,239.0457421392397,1pctCO2,r1i1p1f1
65,288.6073851082887,239.25979595804372,1pctCO2,r1i1p1f1
66,288.517360769032,239.87734745930345,1pctCO2,r1i1p1f1
67,288.57756659825753,239.9400463518637,1pctCO2,r1i1p1f1
68,288.595164471654,239.15330851231948,1pctCO2,r1i1p1f1
69,288.64417639158944,239.0675014491215,1pctCO2,r1i1p1f1
70,288.618037091782,239.80832033901171,1pctCO2,r1i1p1f1
71,288.679581454025,239.75295669052875,1pctCO2,r1i1p1f1
72,288.6364173011686,239.13607792750656,1pctCO2,r1i1p1f1
73,288.66169824032147,239.14675282823123,1pctCO2,r1i1p1f1
74,288.6440587058421,239.3672438961032,1pctCO2,r1i1p1f1
75,288.749420335976,240.28689440613402,1pctCO2,r1i1p1f1
76,288.8747173474322,239.17849278367711,1pctCO2,r1i1p1f1
77,288.7822597633939,239.76055015308458,1pctCO2,r1i1p1f1
78,288.7070347936093,239.3500045683465,1pctCO2,r1i1p1f1
79,288.97829222505635,239.8544876945372,1pctCO2,r1i1p1f1
80,288.93068752182523,240.25037752784291,1pctCO2,r1i1p1f1
81,288.89061858836834,239.93356837798396,1pctCO2,r1i1p1f1
82,289.0354612683408,240.10450609787634,1pctCO2,r1i1p1f1
83,288.99360510238427,239.71262003831276,1pctCO2,r1i1p1f1
84,289.0575374336493,239.97877873577227,1pctCO2,r1i1p1f1
85,289.1509214679045,240.60193278494344,1pctCO2,r1i1p1f1
86,289.12749330543625,239.64649139993043,1pctCO2,r1i1p1f1
87,289.19333287138403,239.89007841230435,1pctCO2,r1i1p1f1
88,289.14366362909436,239.55520701314356,1pctCO2,r1i1p1f1
89,289.2074977441522,240.3337533128099,1pctCO2,r1i1p1f1
90,289.2699326514585,240.2052697881022,1pctCO2,r1i1p1f1
91,289.20749093538257,240.3631543666972,1pctCO2,r1i1p1f1
92,289.2148694690841,240.44835234493232,1pctCO2,r1i1p1f1
93,289.361369674044,240.3568692319625,1pctCO2,r1i1p1f1
94,289.2261708112297,239.73810801265373,1pctCO2,r1i1p1f1
95,289.2863671366603,240.1810982350484,1pctCO2,r1i1p1f1
96,289.44676282791943,240.47530531016977,1pctCO2,r1i1p1f1
97,289.35548741112524,240.6397329204711,1pctCO2,r1i1p1f1
98,289.48793870729196,240.6114707686807,1pctCO2,r1i1p1f1
99,289.3856962315145,240.5300454138856,1pctCO2,r1i1p1f1
100,289.5326718175721,240.68158482026877,1pctCO2,r1i1p1f1
101,289.5335090695461,240.8349106945756,1pctCO2,r1i1p1f1
102,289.4666751893602,240.2143332612101,1pctCO2,r1i1p1f1
103,289.5350806848474,240.3220031237391,1pctCO2,r1i1p1f1
104,289.62540943072923,240.8900210670718,1pctCO2,r1i1p1f1
105,289.59603250884334,240.63865541713528,1pctCO2,r1i1p1f1
106,289.6835315044286,240.9613898210202,1pctCO2,r1i1p1f1
107,289.5802622109351,240.76897532427532,1pctCO2,r1i1p1f1
108,289.63214971280934,240.25105960751682,1pctCO2,r1i1p1f1
109,289.7277544883904,241.27000603371994,1pctCO2,r1i1p1f1
110,289.73860069209337,241.0969820784722,1pctCO2,r1i1p1f1
111,289.79202744264245,240.9820355442058,1pctCO2,r1i1p1f1
112,289.8622002297413,241.45600386711936,1pctCO2,r1i1p1f1
113,289.81750851596456,241.25424371443856,1pctCO2,r1i1p1f1
114,289.86790538243486,240.961295942531,1pctCO2,r1i1p1f1
115,289.9998856504613,241.19127268832938,1pctCO2,r1i1p1f1
116,290.0104521233968,240.61067070491455,1pctCO2,r1i1p1f1
117,289.98717742996223,240.629613778652,1pctCO2,r1i1p1f1
118,290.1677010321031,241.4637093915708,1pctCO2,r1i1p1f1
