year,member,tas_global,tas_ais,scenario
2029,r1i1p1f1,288.3858447973907,240.32621598354712,ssp370
2030,r1i1p1f1,288.36723181709,240.04657375882826,ssp370
2031,r1i1p1f1,288.729393472772,241.0580603381,ssp370
2032,r1i1p1f1,288.83214764285594,240.33468323003086,ssp370
2033,r1i1p1f1,288.6104192764858,240.46180077386148,ssp370
2034,r1i1p1f1,288.5122600699798,239.762171246778,ssp370
2035,r1i1p1f1,288.8106421248509,240.26461811737104,ssp370
2036,r1i1p1f1,289.0409772664758,240.5097205876626,ssp370
2037,r1i1p1f1,289.07937373781095,240.76092628890905,ssp370
2038,r1i1p1f1,288.87666117383213,240.89400301826012,ssp370
2039,r1i1p1f1,288.8233668621815,240.6419133165664,ssp370
2040,r1i1p1f1,288.9919955580179,240.50434314068426,ssp370
2041,r1i1p1f1,289.1476423508923,240.6210377574268,ssp370
2042,r1i1p1f1,289.2426247740847,240.50147653459084,ssp370
2043,r1i1p1f1,289.4288472270365,240.501879857939,ssp370
2044,r1i1p1f1,289.45478035918063,241.45028096481673,ssp370
2045,r1i1p1f1,289.17958953388813,241.2978221452497,ssp370
2046,r1i1p1f1,289.0640562738726,240.66908354379743,ssp370
2047,r1i1p1f1,289.1736096278417,240.39504102198435,ssp370
2048,r1i1p1f1,289.4190740414105,240.95476468314092,ssp370
2049,r1i1p1f1,289.7740085692783,240.71487650486577,ssp370
2050,r1i1p1f1,289.6047990948779,241.83276168507925,ssp370
2051,r1i1p1f1,289.3982307507819,241.30823763628902,ssp370
2052,r1i1p1f1,289.486620484202,241.4172980014359,ssp370
2053,r1i1p1f1,289.6192343004899,240.5615054146363,ssp370
2054,r1i1p1f1,289.84854956976477,241.64593710534095,ssp370
2055,r1i1p1f1,289.9490556381689,241.87663996021362,ssp370
2056,r1i1p1f1,289.7311656112159,240.77395240189045,ssp370
2057,r1i1p1f1,289.68582371908445,241.0567323624611,ssp370
2058,r1i1p1f1,289.9239552989958,242.24110879353742,ssp370
2059,r1i1p1f1,290.1420982759305,241.93977166503154,ssp370
2060,r1i1p1f1,290.1379853629737,242.01367767574897,ssp370
2061,r1i1p1f1,289.99965106534034,242.27233682247848,ssp370
2062,r1i1p1f1,290.0342390489969,241.76941908466034,ssp370
2063,r1i1p1f1,290.25314819571474,241.93258596545198,ssp370
2064,r1i1p1f1,290.4211383970029,242.3898607545807,ssp370
2065,r1i1p1f1,290.11527855132636,241.53144385923895,ssp370
2066,r1i1p1f1,290.0470429288407,242.12553111134721,ssp370
2067,r1i1p1f1,290.2000774431026,241.97213180301495,ssp370
2068,r1i1p1f1,290.47389834443044,241.9229239562615,ssp370
2069,r1i1p1f1,290.5771490162734,242.48237389277065,ssp370
2070,r1i1p1f1,290.26634740766826,243.14935195054787,ssp370
2071,r1i1p1f1,290.1515759656271,242.11511546745032,ssp370
2072,r1i1p1f1,290.3444405165386,241.3387969961826,ssp370
2073,r1i1p1f1,290.67203541011264,242.4655187458594,ssp370
2074,r1i1p1f1,290.6293719694259,242.65250109586898,ssp370
2075,r1i1p1f1,290.45009087026114,242.56024283146473,ssp370
2076,r1i1p1f1,290.2741139185523,241.59149766287644,ssp370
2077,r1i1p1f1,290.62960990948125,241.73524832882316,ssp370
2078,r1i1p1f1,290.88734888772393,243.04284023538455,ssp370
2079,r1i1p1f1,290.87898694041326,243.2374114495266,ssp370
2080,r1i1p1f1,290.56994072263257,243.29419524122267,ssp370
2081,r1i1p1f1,290.6163599410528,242.23162186286953,ssp370
2082,r1i1p1f1,290.78340598998193,241.7993711879416,ssp370
2083,r1i1p1f1,290.9603279359744,242.43749027507522,ssp370
2084,r1i1p1f1,291.0998779153964,242.3251796750092,ssp370
2085,r1i1p1f1,290.90963353102586,242.47794692304694,ssp370
2086,r1i1p1f1,290.951437387061,242.81330782341303,ssp370
2087,r1i1p1f1,291.0564134562935,243.06713458081927,ssp370
2088,r1i1p1f1,291.1849477683066,242.83178557803413,ssp370
2089,r1i1p1f1,291.3042645983646,242.76102274528148,ssp370
2090,r1i1p1f1,291.1973799651782,243.01035023387996,ssp370
2091,r1i1p1f1,291.1083428895414,242.41357171495736,ssp370
2092,r1i1p1f1,291.20296242839544,242.55770062421112,ssp370
2093,r1i1p1f1,291.5286719202453,243.57273629233444,ssp370
2094,r1i1p1f1,291.74907193382876,243.50732127502047,ssp370
2095,r1i1p1f1,291.4630895739897,243.84879223596917,ssp370
2096,r1i1p1f1,291.34551427787255,243.1610077292571,ssp370
2097,r1i1p1f1,291.49785791220387,243.71580573311513,ssp370
2098,r1i1p1f1,291.6611721694295,243.6523929902325,ssp370
2099,r1i1p1f1,291.8343798477551,244.21011016150558,ssp370
2100,r1i1p1f1,291.56819429535705,244.71724243830545,ssp370
