year,member,tas_global,tas_ais,scenario
2030,r1i1p2f1,289.12630209239495,240.03517819893764,ssp370
2031,r1i1p2f1,289.2734066605678,239.7144551188262,ssp370
2032,r1i1p2f1,289.26173836674064,241.04662281051716,ssp370
2033,r1i1p2f1,289.21804138689726,239.69987524725147,ssp370
2034,r1i1p2f1,289.42366706540827,240.3764242569265,ssp370
2035,r1i1p2f1,289.4077407140808,239.42004847135348,ssp370
2036,r1i1p2f1,289.44203306080266,240.5053604271274,ssp370
2037,r1i1p2f1,289.4509858059513,240.90742782316985,ssp370
2038,r1i1p2f1,289.48379181197515,240.32188850402935,ssp370
2039,r1i1p2f1,289.3554328095562,240.722162119928,ssp370
2040,r1i1p2f1,289.38409075548526,241.11864878007952,ssp370
2041,r1i1p2f1,289.409624895911,240.18350031982453,ssp370
2042,r1i1p2f1,289.60074676088215,240.9949120914889,ssp370
2043,r1i1p2f1,289.65675518679075,240.78024727620615,ssp370
2044,r1i1p2f1,289.6340189305858,240.61244995887702,ssp370
2045,r1i1p2f1,289.69397170715996,240.75599101256756,ssp370
2046,r1i1p2f1,289.90559744885786,240.2015826373917,ssp370
2047,r1i1p2f1,290.05132658671243,240.76110309470235,ssp370
2048,r1i1p2f1,289.877617064273,240.83013452874727,ssp370
2049,r1i1p2f1,289.9450374645896,240.4956496956817,ssp370
2050,r1i1p2f1,290.11562409706954,241.10668651034078,ssp370
2051,r1i1p2f1,290.2584779040741,240.81823022889907,ssp370
2052,r1i1p2f1,290.2439323340211,240.5093424728815,ssp370
2053,r1i1p2f1,290.3410704272514,240.37959735031086,ssp370
2054,r1i1p2f1,290.3795924704757,240.81963183068592,ssp370
2055,r1i1p2f1,290.4002276026722,240.41184836442667,ssp370
2056,r1i1p2f1,290.57180527022484,240.71082880965358,ssp370
2057,r1i1p2f1,290.57651529886584,241.1258790008004,ssp370
2058,r1i1p2f1,290.75778410814115,241.92307139756193,ssp370
2059,r1i1p2f1,290.6429102178104,242.13330362335645,ssp370
2060,r1i1p2f1,290.81469116201396,241.8218570335471,ssp370
2061,r1i1p2f1,290.93108460552736,241.4621807921892,ssp370
2062,r1i1p2f1,290.9231076324694,242.35184096582913,ssp370
2063,r1i1p2f1,290.94768442716344,241.62094341858878,ssp370
2064,r1i1p2f1,290.9853034130181,241.1078604645127,ssp370
2065,r1i1p2f1,290.8778935126361,242.3104438727501,ssp370
2066,r1i1p2f1,291.0516923800661,241.03945321161177,ssp370
2067,r1i1p2f1,291.13619814834635,241.7239591962056,ssp370
2068,r1i1p2f1,291.2547829925828,242.12114165472568,ssp370
2069,r1i1p2f1,291.41857506012985,241.48420022574567,ssp370
2070,r1i1p2f1,291.37547034949154,242.97182050759423,ssp370
2071,r1i1p2f1,291.26590391061,242.20790203243186,ssp370
2072,r1i1p2f1,291.4261356958302,242.4044843273767,ssp370
2073,r1i1p2f1,291.52297638961096,242.17611828894292,ssp370
2074,r1i1p2f1,291.6080099411318,243.10441945544684,ssp370
2075,r1i1p2f1,291.5401118717805,242.91031268898493,ssp370
2076,r1i1p2f1,291.62991728140014,243.5759006089851,ssp370
2077,r1i1p2f1,291.67458204861765,243.04649345263158,ssp370
2078,r1i1p2f1,291.8889466919369,243.04332673402268,ssp370
2079,r1i1p2f1,292.0104525809918,243.35270810518952,ssp370
2080,r1i1p2f1,291.73508585706156,243.2323097191956,ssp370
2081,r1i1p2f1,291.8473964717667,243.500157772492,ssp370
2082,r1i1p2f1,292.0062665584747,243.10306901661738,ssp370
2083,r1i1p2f1,291.9683232686021,243.3627684416794,ssp370
2084,r1i1p2f1,292.24873791241936,242.45383185909105,ssp370
2085,r1i1p2f1,292.25162798863784,243.77411776819469,ssp370
2086,r1i1p2f1,292.17424873177123,243.37499478688648,ssp370
2087,r1i1p2f1,292.32529891288556,242.82886135248202,ssp370
2088,r1i1p2f1,292.5487661769112,244.1371130288168,ssp370
2089,r1i1p2f1,292.6092420580609,243.37036750165535,ssp370
2090,r1i1p2f1,292.5294905154389,243.98381213505627,ssp370
2091,r1i1p2f1,292.4887677033818,243.82043290862356,ssp370
2092,r1i1p2f1,292.7447527559748,244.20066648666315,ssp370
2093,r1i1p2f1,292.84881095695897,244.13642360148324,ssp370
2094,r1i1p2f1,292.840612826801,243.9335483210063,ssp370
2095,r1i1p2f1,292.9424905182921,244.43711064967337,ssp370
2096,r1i1p2f1,293.02095818349,244.62694413827575,ssp370
2097,r1i1p2f1,292.94858991822,244.43202842552856,ssp370
2098,r1i1p2f1,293.0088397433298,244.67777799213954,ssp370
2099,r1i1p2f1,293.1416269521168,244.43147275419443,ssp370
2100,r1i1p2f1,292.9919519922623,244.20936949101235,ssp370
