year,tas_sh,tas_nh,scenario
2001,288.11787009406993,287.33823105030194,historical
2002,288.22258528346043,287.5825129169725,historical
2003,288.18958769049027,287.7828624870446,historical
2004,288.19644428193413,287.70594190242775,historical
2005,288.3131993617474,287.84632041159165,historical
2006,288.27921169463417,287.8897633051306,historical
2007,288.2008715151713,288.0430062795518,historical
2008,288.4049751029717,287.9338322589747,historical
2009,288.41742286522526,288.05911135802575,historical
2010,288.32594629842595,288.17671416197527,historical
2011,288.2714052475862,288.1536246916919,historical
2012,288.41176047945714,288.1968412341843,historical
2013,288.4709816358039,288.3456493605364,historical
2014,288.3687382310117,288.3827702308918,historical
2015,288.3510588810134,288.5888115403291,ssp245
2016,288.3523997771334,288.4712138746197,ssp245
2017,288.48275550508924,288.62226395709706,ssp245
2018,288.3750230761923,288.8267494357008,ssp245
2019,288.65411999029914,288.8306297123993,ssp245
2020,288.4417192059075,288.45311354867823,ssp245
2021,288.39541925268406,288.5066594644931,ssp245
2022,288.5533222864888,288.53902804211845,ssp245
2023,288.53010704159624,288.8146146598323,ssp245
2024,288.50695716348923,288.94122157845766,ssp245
2025,288.66011869716493,288.9521413486767,ssp245
2026,288.6815578911976,288.9092586239713,ssp245
2027,288.5733503933303,288.9676644215304,ssp245
2028,288.559618021396,289.0796738179795,ssp245
2029,288.74537765433473,289.1111326305873,ssp245
2030,288.6584283664155,288.8919702896318,ssp245
2031,288.6280657841751,288.8708811120746,ssp245
2032,288.76853497060785,288.92713367209757,ssp245
2033,288.72320222047284,288.9931808291286,ssp245
2034,288.7722312309279,288.9636897207703,ssp245
2035,288.9128989251495,289.1479858515357,ssp245
2036,288.66346395922506,288.9009333515907,ssp245
2037,288.7789488271974,288.6492325415537,ssp245
2038,288.75305022947543,288.93430071993384,ssp245
2039,288.87373005188107,289.11883929970406,ssp245
2040,288.77666239153575,289.08920365088306,ssp245
2041,288.8664639674198,289.24847193076357,ssp245
2042,289.06395681607455,289.13383211042697,ssp245
2043,288.73848621099785,289.1292560693004,ssp245
2044,288.6998003666677,289.1250228348237,ssp245
2045,288.9124431033373,289.2017926631688,ssp245
2046,289.01414366263714,289.40879263571804,ssp245
2047,289.11348786996706,289.4150301751487,ssp245
2048,288.8493693408589,289.35635858170576,ssp245
2049,289.0038191483101,289.6763563720861,ssp245
2050,289.3209347649823,289.95295819190227,ssp245
2051,289.1457549155245,289.79330219120357,ssp245
2052,288.9818566263949,289.6861473856903,ssp245
2053,289.15307169257903,289.6992230896661,ssp245
2054,289.40866879769675,289.80461451557267,ssp245
2055,289.1307370910617,289.79792813717427,ssp245
2056,289.2410595320184,289.8169083925235,ssp245
2057,289.3717632835774,289.8847885566397,ssp245
2058,289.16281421759544,289.75903454446075,ssp245
2059,289.39605796494396,289.8731033305874,ssp245
2060,289.53877893469235,290.1533983950882,ssp245
2061,289.37187823338144,289.8945908777497,ssp245
2062,289.41010133879587,290.01514444071535,ssp245
2063,289.56169552810593,290.19226446456486,ssp245
2064,289.5142331214892,290.06255293168687,ssp245
2065,289.3814298679822,290.17034830862247,ssp245
2066,289.6298717875331,290.1258235925163,ssp245
2067,289.52367175496533,289.958168628159,ssp245
2068,289.484138954433,290.0726455239543,ssp245
2069,289.4136202986613,289.98005290232805,ssp245
2070,289.59026262827825,290.08099002913104,ssp245
2071,289.6360594012906,290.14831401850523,ssp245
2072,289.6251624114817,290.1516721281413,ssp245
2073,289.65248410222114,290.37837991319236,ssp245
2074,289.8200936710793,290.3412140553752,ssp245
2075,289.4568894558896,290.110598460207,ssp245
2076,289.53471470529087,290.28752868704566,ssp245
2077,289.7041543964009,290.42382941532856,ssp245
2078,289.467892989958,290.35001639856364,ssp245
2079,289.637995683799,290.37683258947106,ssp245
2080,289.87146656218965,290.4448750437982,ssp245
2081,289.83442409530505,290.1276334442785,ssp245
2082,289.61374751064204,290.2240627286429,ssp245
2083,289.5441318003161,290.0586864347205,ssp245
2084,289.6270163500686,290.0977961501804,ssp245
2085,289.72944893720853,290.5055815512432,ssp245
2086,289.95065284150024,290.7033789623036,ssp245
2087,289.66368719218735,290.6313921039848,ssp245
2088,289.7594413194569,290.64494179744986,ssp245
2089,289.90614091984804,290.50209167982695,ssp245
2090,289.97897050327356,290.47213461419096,ssp245
2091,289.97683256830055,290.4718506394866,ssp245
2092,289.88635620325636,290.6433592699703,ssp245
2093,290.1675058372363,290.8406917484146,ssp245
2094,289.7500556298193,290.90634796323445,ssp245
2095,289.81001426056133,290.7700244786583,ssp245
2096,290.1506381880544,291.07524736953326,ssp245
2097,289.73442632705934,290.7949524091633,ssp245
2098,289.8291925970937,290.8294157290275,ssp245
2099,290.0460165053494,290.9017016874366,ssp245
2100,289.9897740304697,290.88763406844345,ssp245
2015,288.3589002338198,288.4896236432936,ssp585
2016,288.4100286529615,288.37335215229734,ssp585
2017,288.3157787520071,288.3589799826341,ssp585
2018,288.37620759290854,288.5411145334599,ssp585
2019,288.4550924839166,288.5061452603203,ssp585
2020,288.30842783190764,288.3880996090432,ssp585
2021,288.4111270966675,288.39522429367076,ssp585
2022,288.5703837178551,288.6211535495335,ssp585
2023,288.3201202380067,288.6060258012141,ssp585
2024,288.4735999252618,288.72334744741954,ssp585
2025,288.52775884578693,288.7885300582401,ssp585
2026,288.53494571918026,288.7674050668403,ssp585
2027,288.5949478733336,288.82141237994557,ssp585
2028,288.7289489044544,289.0681136529109,ssp585
2029,288.6155595783769,289.0831811363937,ssp585
2030,288.50244117074516,289.1387114661578,ssp585
2031,288.7270220661911,289.1033712562501,ssp585
2032,288.8456304161321,289.1143004745343,ssp585
2033,288.7122007152376,289.06698222022453,ssp585
2034,288.6835598779853,289.1658646306566,ssp585
2035,288.823042425589,289.37107333766613,ssp585
2036,289.0637573710554,289.4111172355265,ssp585
2037,288.86156503175044,289.3024938015098,ssp585
2038,288.8383393568517,289.40607355943547,ssp585
2039,289.0572868180831,289.72305113475574,ssp585
2040,289.1951568252896,289.83107553198835,ssp585
2041,289.3597289602099,290.04861631761116,ssp585
2042,288.9119482963271,289.7050004290253,ssp585
2043,289.03164868492536,289.68561050705097,ssp585
2044,289.0770722341184,289.9667141493491,ssp585
2045,289.10440271203845,290.0178490572129,ssp585
2046,289.36726200493695,290.3829958304262,ssp585
2047,289.46910366606056,290.5325741461274,ssp585
2048,289.0893166702135,290.13830475171835,ssp585
2049,289.2582470045411,290.10588400388707,ssp585
2050,289.4404024570637,290.0738036808128,ssp585
