ais_ocean_temperature₀,antarctic_alpha,antarctic_nu,antarctic_temp_threshold,anto_alpha,anto_beta,gis_c1,gis_c0,gis_f,gis_alpha_f,gis_beta_f,gis_slow_ell,gis_slow_w,gis_amp,gis_s_high,thermal_alpha,gic_a_R19,gic_b_R19,gic_T_off_R19,gic_log10_kappa_R19,gic_a_SLOWP,gic_b_SLOWP,gic_T_off_SLOWP,gic_log10_kappa_SLOWP,gic_a_FAST,gic_b_FAST,gic_T_off_FAST,gic_log10_kappa_FAST,gic_amp_R19,gic_amp_SLOWP,gic_amp_FAST,gic_u_unch,gic_u_pre,gic_s_r5,d2_steric_1,d2_steric_2,obs_corr_log10L,antarctic_lambda,antarctic_gamma,antarctic_kappa,ais_gmst_amp,ais_mu,ais_bedheight0,ais_slope,ais_iceflow0,ais_precip_u,ais_runoff_Ton,ais_c,sd_ais,rho_ais,sd_gsic,rho_gsic,sd_gis,rho_gis,sd_steric,rho_steric
-4.380891695083052e-8,9.45969789828215e-8,3.6442757537364994e-9,5.395265491307897e-6,-1.6198857022462698e-7,3.8536367527775433e-7,3.537533827519626e-9,5.557615250621336e-8,-1.1981128061063068e-7,-3.693472917172033e-8,1.2302150636319326e-7,2.7422402072126307e-6,-3.5317157523839287e-6,-8.960375300562307e-7,-2.4495443803345328e-6,-8.716374963003155e-8,2.0695675530116625e-7,-2.7572377379474445e-6,1.7732800061904883e-7,-6.995324817939598e-7,1.0323606327012164e-7,8.88127577499834e-9,1.3674736928021553e-6,3.538721985567483e-7,1.9581063486069736e-7,-2.5956347214979187e-7,3.81694917166622e-6,-9.028462534577143e-10,3.5603599606382275e-7,-1.659835607956629e-6,-7.12056870380774e-7,1.7874982231357727e-6,-3.568099769992551e-6,-5.453767158441708e-6,-6.092383832681679e-7,-7.683897182249592e-7,2.034539978507812e-8,-9.973108520608157e-9,1.988521090942278e-6,-4.578142116377006e-9,-6.471493435182461e-7,-3.2549722281492606e-6,2.3738807523852893e-5,-6.878597783668843e-12,-1.5663182430923376e-9,1.4125518828826044e-8,-1.3069351171477824e-6,2.3068063615905594e-5,4.96070723798247e-9,3.149486843714024e-7,9.31590912986019e-9,6.002966116978687e-7,1.4995141753282393e-9,1.331815319328117e-7,3.030899007952466e-8,2.3482312817022145e-8
-7.162685283464197e-5,7.819440611968116e-7,-4.846092439147785e-7,-0.0001719064597751447,-4.663459015076449e-5,-2.61366977439423e-5,-1.732277932728246e-5,6.347585220738316e-6,-0.0001558163823999209,7.134765009685613e-7,2.7422402072126307e-6,0.0019973263826337903,0.0001629855121845952,-0.0001319752561505052,-0.00027592360538928283,3.380620882031257e-6,5.3298747997082476e-5,-0.00016053346349516461,-0.0004269305390439098,0.00014496195717181106,-5.7993070149835626e-5,6.967386661471649e-5,0.0003173632619723377,0.00029284926762353756,-2.3517529825967826e-6,8.295882385764056e-5,0.0007558883805152594,5.706524223965151e-5,-6.03149129238378e-5,-0.00032955863769718936,-4.868995052856567e-5,-0.0013419461453864179,0.008110004988179804,0.0020493908784462167,-7.134610057287467e-5,1.5543228626779787e-5,1.099296844343498e-6,4.91096542437021e-6,-0.00038686322942245346,-9.08880250370024e-6,-5.236103360016982e-5,-0.00048030049191299034,0.004139686740715702,-4.2459956575242895e-9,1.7399694645537476e-5,-8.281510238845662e-6,-0.0001384043290431065,0.003893426725882285,-1.1859038495964669e-6,5.6514906207600463e-5,2.919867906468973e-6,9.521882308875699e-5,9.55939717142436e-7,-1.4543529102916771e-5,4.486767359288355e-6,1.2466707990204193e-5
-2.907751967609989e-5,-1.9497119391166712e-5,-5.566023051601544e-8,0.00021289966919575836,-6.0352922609779156e-6,-4.433740896270689e-5,-6.663829407216783e-6,-3.914057116041792e-6,6.323371442844359e-5,2.085689505286105e-6,-3.5317157523839287e-6,0.0001629855121845952,0.0009538094712283498,2.2153559717206407e-5,-6.656665678216828e-5,9.64422744599719e-6,3.2205874151150155e-5,-2.5489687874278455e-5,-0.00010040538978836754,0.00011896063803371512,-1.574767830483861e-5,1.3715580662930372e-5,4.699959556256559e-5,-4.47503398955375e-5,3.952233038204241e-6,3.7384337672926106e-5,-6.899428939157381e-6,-5.383760421927337e-5,-1.5943055017051617e-5,0.0004572542206307298,4.797142826337342e-5,0.0011514825457100226,0.0009398604513912036,0.000603348329376592,9.817265786730369e-6,5.269176954801835e-5,1.894955858795513e-6,3.8360265143278225e-6,0.0010133657578908523,-5.749544802685486e-6,7.519302441407716e-6,-0.00018158488394988891,-0.0025432541962390177,-4.3180622090763015e-9,-2.055207356113559e-5,-6.0355515261784954e-5,1.292815871383982e-5,-0.005674931253268121,1.6979841518977826e-6,-2.8100912303437986e-6,-3.7748608811541313e-7,-1.739747867231416e-5,1.4368372735692866e-6,-5.121037336663504e-6,-5.93104112216354e-6,-1.3904275015000198e-6
-2.5229834244900894e-5,4.82292940135022e-6,-5.313041269945472e-7,0.00023365620836176044,-5.724791396800339e-6,-2.690696533048307e-5,2.38173715714481e-6,-6.016044080239854e-7,-1.802348621707137e-5,1.8358572351683908e-7,-8.960375300562307e-7,-0.0001319752561505052,2.2153559717206407e-5,0.00025337152786307954,6.577488393083315e-5,2.8594658935442015e-6,7.872621001804515e-6,1.842339433545892e-5,2.0499836399694507e-5,-0.00010706185441132477,8.329565745140864e-6,7.924179818896036e-6,0.00014786138738294343,-8.045667244253627e-5,-4.3719582498482665e-6,-2.9100642619252393e-7,-0.00013819372562172348,-1.3839204387962354e-5,1.1101353421989165e-5,0.00010541676969071079,-7.863947426268388e-6,0.001124752227310167,-0.0012678367989044383,-0.000367871322446,-4.772274530415831e-5,1.7457204369638612e-5,-1.2434900471113008e-6,6.525530746705979e-7,0.0005972481994088628,-8.712561580281102e-9,5.71138332795989e-6,-1.802662061244596e-5,0.002051940415707786,1.9980953535492423e-9,4.638249306920118e-6,1.0526288997265564e-5,2.6609989576289282e-5,-0.001222660347728438,-3.428866275572502e-7,3.7572359332781024e-5,3.9209800072823485e-7,1.229220656812278e-5,8.267112849098185e-7,-6.278697116662945e-7,-2.0427836532494834e-6,-5.066152517086414e-6
4.5241609632326245e-5,5.298673394553679e-7,-3.999796956016027e-7,0.0004125524184673162,3.603188817218609e-5,-1.5565520490200674e-5,6.104762958866698e-6,-4.430164668489776e-6,-4.371989163268195e-6,-1.0245359709665458e-6,-2.4495443803345328e-6,-0.00027592360538928283,-6.656665678216828e-5,6.577488393083315e-5,0.0010881194816541693,3.311304740492859e-6,-3.2812644097872236e-5,-3.1453586945415467e-5,-9.1562664030883e-5,-2.8198356042682292e-5,3.6305564836462775e-6,-2.5147580877259753e-5,4.560701608098086e-5,-3.6032086126995154e-5,-6.239295464208471e-6,-5.5098587098008125e-6,-0.00011564847199936887,0.00010535903512723735,9.82370704281984e-6,0.00033063334642121365,-1.7084378811625538e-6,-0.000764558616320242,-0.001293470945191498,-0.0003520781356443226,9.71121005702746e-5,1.0069427472911909e-5,-4.533304647124614e-7,6.576835849515572e-7,-0.001002619723448603,5.094740765937752e-7,8.930865426252001e-5,0.0006484356296135903,-0.0078029556150671685,-3.182201001688107e-9,5.50550714057077e-6,-6.507749561515113e-6,2.230132257370516e-5,-0.004072746291077107,-1.0301066297965548e-6,-3.054445038240425e-5,1.692751183293959e-6,-4.7779046156541294e-5,-3.224831501312082e-6,-9.697765443065596e-6,-1.0351021626166101e-5,-6.382518946024974e-6
3.4090634314695994e-6,1.1826929409989624e-6,5.2204364347957534e-8,-7.609025500908491e-6,-9.558195183437202e-8,5.7757469985078336e-6,-1.22807188693645e-7,2.975968329609748e-7,-2.435008672839859e-6,1.2697498690161148e-8,-8.716374963003155e-8,3.380620882031257e-6,9.64422744599719e-6,2.8594658935442015e-6,3.311304740492859e-6,4.154094301372137e-6,1.1337653275541346e-6,-5.2343480030166406e-6,-5.59481773101096e-6,-3.254696328897551e-6,6.336724544508005e-7,-1.015978228507781e-6,5.89694126536723e-5,7.947245398412688e-6,5.691428855232632e-7,-1.2345536567789792e-6,-3.0260911986569825e-5,1.6859127883598506e-6,-1.3059923290705713e-6,-1.631969552908216e-5,-1.8693374718286971e-6,-8.219941593315824e-5,-0.00028452820537767714,0.00016349079208221318,4.712433820430002e-7,1.4656575714738498e-5,-2.0945392332129744e-7,4.262833237498645e-7,-2.5860423175331924e-6,6.28201239457605e-7,-2.217610586702167e-6,-8.107025535469418e-7,0.00031664678623621753,-1.2557446004094673e-10,-5.649410912079588e-7,-1.8697443284404291e-6,-5.485547354169793e-6,-8.869069920937052e-5,-6.230166815052171e-8,2.197492796709859e-6,1.59562609729774e-7,7.508255709263126e-7,2.2898819905895832e-8,8.41017216664093e-7,-2.857666907781947e-7,-5.378691003809697e-7
-6.989192465357577e-6,-2.872052127209644e-7,7.9964192883712e-8,-4.035018850789025e-6,1.9533852984597006e-7,-1.1872682768703895e-5,-4.3173135925288764e-7,-1.0443024436673256e-6,-5.5121258725866795e-6,1.143833382668103e-7,2.0695675530116625e-7,5.3298747997082476e-5,3.2205874151150155e-5,7.872621001804515e-6,-3.2812644097872236e-5,1.1337653275541346e-6,1.7281656074046554e-5,-1.1270458325113891e-5,-0.00012357690061456147,-7.754261382808687e-7,-5.372669054459362e-6,6.238970106636292e-6,-5.552696078462812e-5,-1.4337359156843892e-5,4.391162272760483e-6,-4.771387857952397e-6,3.9734550965599644e-5,9.657951927660091e-6,5.504207676312153e-6,-5.9040151718445536e-5,3.663044223094817e-7,0.0005987664321806939,0.00038441913854350435,0.00027438646883197026,-1.5817103279868217e-5,9.06947994603043e-6,3.451651020868715e-8,9.67234796352873e-8,0.00010173684453969662,-9.86237761930099e-7,-1.1522204600110448e-5,-4.664647394807324e-5,0.0017619926937599163,6.854106142751073e-10,-4.971408044110654e-7,-4.005191440766185e-6,6.229417292414628e-6,0.0010890041530873839,-1.15435392618111e-7,4.9030517288861895e-6,5.196015966744538e-7,-3.934679310478721e-8,7.913264915452139e-9,-6.08480365121473e-7,-2.1127770116415982e-7,5.062795917505314e-7
0.00016270227351682253,-1.4521826125779676e-5,-1.344613924097369e-7,-0.00047110237991837805,4.683725267366755e-5,0.00010957432491227412,6.119847089320464e-6,-1.499447526415747e-5,5.4395705756178125e-5,7.052374400255017e-7,-2.7572377379474445e-6,-0.00016053346349516461,-2.5489687874278455e-5,1.842339433545892e-5,-3.1453586945415467e-5,-5.2343480030166406e-6,-1.1270458325113891e-5,0.003546508146001862,0.0018074749074156243,-2.1920487932939014e-5,-1.0771989145742531e-5,9.61157609194924e-5,0.0007887786771884302,0.00010206727733390257,-7.362091017701553e-6,-5.7650218908756186e-5,-0.00043900221674641153,9.089701587871221e-5,1.5013997643840184e-5,-0.0009052304553241633,6.570827462673775e-5,2.50817926828468e-5,0.0027290201267569573,0.0003453978882583928,-0.0002764632210479829,8.877449222595614e-5,5.064811150929931e-7,9.014279303369072e-6,0.0011252211155548995,2.0031151107846596e-7,0.00011410328758015233,-0.0007709493932698132,-0.0003098191672525769,1.3767734462347444e-8,7.925364636564159e-6,0.00011906666729237965,0.00028744184679598645,0.0015381822861834993,1.7719860163102673e-6,8.984119205673188e-5,-3.94500506482716e-7,1.662380836706721e-5,4.486446827667083e-6,-8.513779962272936e-6,3.734155863730075e-7,8.054811374755382e-6
0.0003842131365651809,5.4644815647488285e-5,-4.854243186563708e-6,-0.001656961704795029,-9.8798899995779e-5,0.0004975648931671842,1.0082235453961056e-5,-2.203538366336659e-5,0.0003905123020146193,-3.086966277657393e-7,1.7732800061904883e-7,-0.0004269305390439098,-0.00010040538978836754,2.0499836399694507e-5,-9.1562664030883e-5,-5.59481773101096e-6,-0.00012357690061456147,0.0018074749074156243,0.01573335518531827,0.00027986111993548934,6.547503701517048e-5,-8.096922565015349e-5,-0.0017794170301745822,0.00012565865825291543,-7.056767012448412e-5,0.00043796451815325944,-6.449857397203564e-5,-0.0001241603447234983,0.00014322407678620826,0.0008362425985722604,0.0001337495775501477,0.014792363738814008,-0.008083958162187278,-0.004796472613312535,-0.0004317723645363125,0.00019002938073880366,-3.864868204496923e-6,2.873827562661475e-6,0.007886812312008114,6.398060212071056e-6,0.00010531595829552161,-0.0016587407014920358,-0.010507753565012682,1.8378502742764216e-8,1.0525566612455006e-5,0.00023408507390772877,0.0003715696523962127,-0.007934880505540995,5.012523993458923e-6,9.363336286034826e-5,1.3517298043321214e-6,0.00011452857608956135,-4.6356369614077e-6,3.267785777348158e-6,2.9166256523591057e-5,-2.0405620798721178e-5
-4.936369392381872e-5,-3.9905398219219595e-6,6.106454643724381e-8,-0.0005036642363738773,1.722327929427472e-5,-7.366916629834353e-5,-3.8013144002950475e-6,-1.1747275176067406e-6,1.4166973216343354e-5,6.162168529612377e-7,-6.995324817939598e-7,0.00014496195717181106,0.00011896063803371512,-0.00010706185441132477,-2.8198356042682292e-5,-3.254696328897551e-6,-7.754261382808687e-7,-2.1920487932939014e-5,0.00027986111993548934,0.0002950154700072913,-2.64473069083391e-5,-3.167088407965248e-5,-0.00042862246203764814,0.00016608655773465118,3.945811746539214e-7,-1.7066602566560263e-5,-7.590162458671476e-5,-3.38962374758922e-5,-6.3423262079130695e-6,0.00016453925177197044,-2.6906520501480295e-5,0.0017383229418311307,0.001044774005909975,0.001105859033848809,-3.638306019653242e-6,-1.882645622168498e-5,7.859872091902134e-7,1.4788841985478162e-6,0.0003334135770428815,1.4679090565561622e-6,6.802607586022177e-5,-0.00010742134221523881,0.0017695272747916897,-2.457946622739792e-9,-1.058607793734069e-6,-3.5669503347401886e-5,3.49240336544172e-5,-0.004632822747318122,-9.687585100449637e-7,-5.681557653911166e-6,-2.3210591441315364e-7,-7.007415077688565e-5,-5.432895052128334e-7,-1.2798600733552517e-6,-4.124413746343877e-8,1.3700662633229503e-6
